sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
2,7,RSU-0000,Local,1768652650342062,1768652650346781,1768652650347099,1768652652793188,,1768652650404200,1768652652793187,,1768652652798539,2456477,2446407,,,2388987,82745,19,1280,720,yolov5m,JpgLossy,T1,HD
2,7,RSU-0001,Local,1768652650342062,1768652650347125,1768652650347469,1768652652845253,,1768652650413086,1768652652845253,,1768652652850911,2508849,2498128,,,2432167,82745,19,1280,720,yolov5m,JpgLossy,T1,HD
2,7,RSU-0002,Local,1768652650342062,1768652650338115,1768652650341400,1768652652934974,,1768652650434469,1768652652934973,,1768652652954762,2612700,2596859,,,2500504,82745,19,1280,720,yolov5m,JpgLossy,T1,HD
26,79,RSU-0000,Local,1768652652772729,1768652652785027,1768652652785986,1768652655204179,,1768652652793574,1768652655204178,,1768652655210993,2438264,2419152,,,2410604,77411,23,1280,720,yolov5m,JpgLossy,T1,HD
26,79,RSU-0001,Local,1768652652772729,1768652652774893,1768652652775307,1768652655413036,,1768652652845406,1768652655413035,,1768652655417121,2644392,2638143,,,2567629,77411,23,1280,720,yolov5m,JpgLossy,T1,HD
27,82,RSU-0002,Local,1768652652874134,1768652652869055,1768652652872172,1768652655427565,,1768652652935138,1768652655427565,,1768652655443345,2569211,2558510,,,2492427,77305,22,1280,720,yolov5m,JpgLossy,T1,HD
49,148,RSU-0000,Local,1768652655104990,1768652655110182,1768652655113080,1768652657625755,,1768652655204547,1768652657625754,,1768652657632260,2527270,2515573,,,2421207,78234,23,1280,720,yolov5m,JpgLossy,T1,HD
52,157,RSU-0002,Local,1768652655407626,1768652655403694,1768652655407701,1768652657897101,,1768652655427732,1768652657897100,,1768652657912351,2504725,2493407,,,2469368,77540,22,1280,720,yolov5m,JpgLossy,T1,HD
51,154,RSU-0001,Local,1768652655306748,1768652655311605,1768652655311991,1768652657987783,,1768652655413172,1768652657987782,,1768652657993031,2686283,2676178,,,2574610,77948,25,1280,720,yolov5m,JpgLossy,T1,HD
73,220,RSU-0000,Local,1768652657534479,1768652657539853,1768652657542865,1768652660037802,,1768652657626113,1768652660037801,,1768652660044438,2509959,2497949,,,2411688,77048,22,1280,720,yolov5m,JpgLossy,T1,HD
76,229,RSU-0002,Local,1768652657838538,1768652657834764,1768652657837748,1768652660367564,,1768652657897211,1768652660367563,,1768652660382649,2544111,2532800,,,2470352,77491,23,1280,720,yolov5m,JpgLossy,T1,HD
77,232,RSU-0001,Local,1768652657939947,1768652657946125,1768652657947378,1768652660540772,,1768652657987950,1768652660540771,,1768652660546061,2606114,2594647,,,2552821,77752,24,1280,720,yolov5m,JpgLossy,T1,HD
97,292,RSU-0000,Local,1768652659966673,1768652659972255,1768652659975096,1768652662444814,,1768652660038142,1768652662444813,,1768652662450409,2483736,2472559,,,2406671,77088,20,1280,720,yolov5m,JpgLossy,T1,HD
100,301,RSU-0002,Local,1768652660270747,1768652660266296,1768652660266623,1768652662855706,,1768652660367902,1768652662855705,,1768652662870966,2600219,2589410,,,2487803,76910,20,1280,720,yolov5m,JpgLossy,T1,HD
102,307,RSU-0001,Local,1768652660473251,1768652660478860,1768652660479202,1768652663091938,,1768652660541186,1768652663091937,,1768652663096741,2623490,2613078,,,2550751,76523,20,1280,720,yolov5m,JpgLossy,T1,HD
