sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
2,7,RSU-0002,Local,1769331055882441,1769331055890442,1769331055890805,1769331059308193,,1769331055917629,1769331059308192,,1769331059312836,3430395,3417751,,,,3390563,82745,19,yolov5m,JpgLossy,T1,HD
3,10,RSU-0000,Local,1769331055984252,1769331055990467,1769331055993711,1769331059401664,,1769331056033554,1769331059401663,,1769331059406491,3422239,3411197,,,,3368109,78234,19,yolov5m,JpgLossy,T1,HD
2,7,RSU-0001,Local,1769331055882439,1769331055888480,1769331055888790,1769331059759608,,1769331055949539,1769331059759607,,1769331059760657,3878218,3871128,,,,3810068,82745,19,yolov5m,JpgLossy,T1,HD
35,106,RSU-0002,Local,1769331059226932,1769331059232635,1769331059235815,1769331062807964,,1769331059308333,1769331062807963,,1769331062809737,3582805,3575329,,,,3499630,77678,23,yolov5m,JpgLossy,T1,HD
36,109,RSU-0000,Local,1769331059328245,1769331059335179,1769331059335481,1769331063064671,,1769331059401807,1769331063064670,,1769331063069510,3741265,3729492,,,,3662863,77911,23,yolov5m,JpgLossy,T1,HD
40,121,RSU-0001,Local,1769331059734131,1769331059741357,1769331059742052,1769331063758828,,1769331059759759,1769331063758827,,1769331063763155,4029024,4017471,,,,3999068,77668,21,yolov5m,JpgLossy,T1,HD
70,211,RSU-0002,Local,1769331062774367,1769331062783948,1769331062785126,1769331066292839,,1769331062808107,1769331066292838,,1769331066294569,3520202,3508891,,,,3484731,77293,23,yolov5m,JpgLossy,T1,HD
72,217,RSU-0000,Local,1769331062975879,1769331062983126,1769331062984003,1769331066707360,,1769331063064832,1769331066707359,,1769331066712183,3736304,3724234,,,,3642527,77136,23,yolov5m,JpgLossy,T1,HD
79,238,RSU-0001,Local,1769331063685953,1769331063692037,1769331063695272,1769331067726582,,1769331063758981,1769331067726581,,1769331067731265,4045312,4034545,,,,3967600,77544,25,yolov5m,JpgLossy,T1,HD
104,313,RSU-0002,Local,1769331066214963,1769331066220631,1769331066220898,1769331069780036,,1769331066292997,1769331069780035,,1769331069781989,3567026,3559405,,,,3487038,76442,22,yolov5m,JpgLossy,T1,HD
108,325,RSU-0000,Local,1769331066621329,1769331066629223,1769331066629804,1769331070365030,,1769331066707497,1769331070365029,,1769331070370022,3748693,3735807,,,,3657532,76627,20,yolov5m,JpgLossy,T1,HD
118,355,RSU-0001,Local,1769331067632974,1769331067639303,1769331067639621,1769331071697506,,1769331067726747,1769331071697505,,1769331071698674,4065700,4058203,,,,3970758,76489,20,yolov5m,JpgLossy,T1,HD
139,418,RSU-0002,Local,1769331069759279,1769331069765883,1769331069770050,1769331073260596,,1769331069780177,1769331073260596,,1769331073265803,3506524,3494713,,,,3480419,76293,21,yolov5m,JpgLossy,T1,HD
144,433,RSU-0000,Local,1769331070265143,1769331070267839,1769331070268095,1769331074005312,,1769331070365129,1769331074005311,,1769331074010375,3745232,3737473,,,,3640182,75772,18,yolov5m,JpgLossy,T1,HD
158,475,RSU-0001,Local,1769331071681843,1769331071688962,1769331071689735,1769331075659444,,1769331071697651,1769331075659443,,1769331075660681,3978838,3970482,,,,3961792,76447,18,yolov5m,JpgLossy,T1,HD
173,520,RSU-0002,Local,1769331073202713,1769331073208643,1769331073211557,1769331076739798,,1769331073260753,1769331076739797,,1769331076744992,3542279,3531155,,,,3479044,76730,22,yolov5m,JpgLossy,T1,HD
180,541,RSU-0000,Local,1769331073912160,1769331073918567,1769331073918827,1769331077648889,,1769331074005457,1769331077648888,,1769331077653591,3741431,3730322,,,,3643431,76371,25,yolov5m,JpgLossy,T1,HD
197,592,RSU-0001,Local,1769331075633820,1769331075640808,1769331075645088,1769331079624740,,1769331075659596,1769331079624739,,1769331079629208,3995388,3983932,,,,3965143,77281,20,yolov5m,JpgLossy,T1,HD
207,622,RSU-0002,Local,1769331076645601,1769331076652627,1769331076655631,1769331080223900,,1769331076739951,1769331080223899,,1769331080225850,3580249,3571273,,,,3483948,78245,23,yolov5m,JpgLossy,T1,HD
216,649,RSU-0000,Local,1769331077558780,1769331077565155,1769331077565457,1769331081301529,,1769331077649028,1769331081301528,,1769331081306310,3747530,3736374,,,,3652500,78987,23,yolov5m,JpgLossy,T1,HD
236,709,RSU-0001,Local,1769331079584774,1769331079591439,1769331079592174,1769331083598399,,1769331079624892,1769331083598398,,1769331083602905,4018131,4006960,,,,3973506,77506,23,yolov5m,JpgLossy,T1,HD
242,727,RSU-0002,Local,1769331080194498,1769331080200656,1769331080201344,1769331083704543,,1769331080224053,1769331083704543,,1769331083709795,3515297,3503887,,,,3480490,78554,25,yolov5m,JpgLossy,T1,HD
252,757,RSU-0000,Local,1769331081210636,1769331081213064,1769331081213329,1769331084956251,,1769331081301671,1769331084956251,,1769331084960952,3750316,3743187,,,,3654580,78885,24,yolov5m,JpgLossy,T1,HD
276,829,RSU-0002,Local,1769331083641693,1769331083646803,1769331083647145,1769331087182000,,1769331083704698,1769331087181999,,1769331087187191,3545498,3535197,,,,3477301,78787,20,yolov5m,JpgLossy,T1,HD
275,826,RSU-0001,Local,1769331083540361,1769331083546499,1769331083549602,1769331087558801,,1769331083598563,1769331087558800,,1769331087563337,4022976,4012302,,,,3960237,78514,22,yolov5m,JpgLossy,T1,HD
288,865,RSU-0000,Local,1769331084859409,1769331084865337,1769331084865607,1769331088604368,,1769331084956396,1769331088604367,,1769331088609245,3749836,3739031,,,,3647971,80885,22,yolov5m,JpgLossy,T1,HD
310,931,RSU-0002,Local,1769331087093526,1769331087102139,1769331087102521,1769331090657699,,1769331087182142,1769331090657698,,1769331090659549,3566023,3555560,,,,3475556,75937,22,yolov5m,JpgLossy,T1,HD
314,943,RSU-0001,Local,1769331087499680,1769331087505755,1769331087506043,1769331091522244,,1769331087558971,1769331091522243,,1769331091526767,4027087,4016489,,,,3963272,74750,22,yolov5m,JpgLossy,T1,HD
324,973,RSU-0000,Local,1769331088511670,1769331088518230,1769331088518493,1769331092253347,,1769331088604520,1769331092253347,,1769331092258066,3746396,3735117,,,,3648827,75754,21,yolov5m,JpgLossy,T1,HD
345,1036,RSU-0002,Local,1769331090639984,1769331090647605,1769331090652128,1769331094136010,,1769331090657833,1769331094136009,,1769331094141150,3501166,3488405,,,,3478176,75196,18,yolov5m,JpgLossy,T1,HD
353,1060,RSU-0001,Local,1769331091449094,1769331091455192,1769331091464946,1769331095492818,,1769331091522395,1769331095492818,,1769331095497116,4048022,4037626,,,,3970423,74483,16,yolov5m,JpgLossy,T1,HD
360,1081,RSU-0000,Local,1769331092157700,1769331092164435,1769331092164681,1769331095905025,,1769331092253490,1769331095905024,,1769331095909758,3752058,3740590,,,,3651534,74512,16,yolov5m,JpgLossy,T1,HD
379,1138,RSU-0002,Local,1769331094082479,1769331094087704,1769331094090784,1769331097618055,,1769331094136159,1769331097618055,,1769331097623199,3540720,3530351,,,,3481896,75046,16,yolov5m,JpgLossy,T1,HD
392,1177,RSU-0001,Local,1769331095398535,1769331095405196,1769331095405462,1769331099459332,,1769331095492964,1769331099459331,,1769331099460434,4061899,4054136,,,,3966367,74910,17,yolov5m,JpgLossy,T1,HD
396,1189,RSU-0000,Local,1769331095803174,1769331095808626,1769331095808871,1769331099549822,,1769331095905126,1769331099549821,,1769331099554805,3751631,3741196,,,,3644695,74743,16,yolov5m,JpgLossy,T1,HD
413,1240,RSU-0002,Local,1769331097524165,1769331097530794,1769331097533917,1769331101095664,,1769331097618197,1769331101095663,,1769331101097312,3573147,3564870,,,,3477466,74872,16,yolov5m,JpgLossy,T1,HD
432,1297,RSU-0000,Local,1769331099449535,1769331099455605,1769331099455966,1769331103198422,,1769331099549973,1769331103198421,,1769331103203940,3754405,3742817,,,,3648448,75134,17,yolov5m,JpgLossy,T1,HD
432,1297,RSU-0001,Local,1769331099449549,1769331099456842,1769331099457354,1769331103420940,,1769331099459492,1769331103420939,,1769331103421997,3972448,3964098,,,,3961447,75134,17,yolov5m,JpgLossy,T1,HD
448,1345,RSU-0002,Local,1769331101072712,1769331101079949,1769331101080586,1769331104571575,,1769331101095819,1769331104571574,,1769331104576940,3504228,3491626,,,,3475755,75808,21,yolov5m,JpgLossy,T1,HD
468,1405,RSU-0000,Local,1769331103096004,1769331103102069,1769331103102328,1769331106847978,,1769331103198578,1769331106847978,,1769331106851092,3755088,3745909,,,,3649400,76610,18,yolov5m,JpgLossy,T1,HD
471,1414,RSU-0001,Local,1769331103399200,1769331103405747,1769331103410152,1769331107391342,,1769331103421100,1769331107391341,,1769331107395560,3996360,3985595,,,,3970241,76731,18,yolov5m,JpgLossy,T1,HD
482,1447,RSU-0002,Local,1769331104515486,1769331104520850,1769331104521098,1769331108048907,,1769331104571720,1769331108048906,,1769331108054255,3538769,3528057,,,,3477186,76000,18,yolov5m,JpgLossy,T1,HD
504,1513,RSU-0000,Local,1769331106742463,1769331106749003,1769331106749274,1769331110492662,,1769331106848109,1769331110492662,,1769331110494371,3751908,3743659,,,,3644553,76671,17,yolov5m,JpgLossy,T1,HD
510,1531,RSU-0001,Local,1769331107350328,1769331107354665,1769331107356187,1769331111362709,,1769331107391504,1769331111362708,,1769331111367089,4016761,4008044,,,,3971204,76580,16,yolov5m,JpgLossy,T1,HD
516,1549,RSU-0002,Local,1769331107956772,1769331107961287,1769331107961682,1769331111538699,,1769331108049061,1769331111538698,,1769331111542648,3585876,3577412,,,,3489637,76499,14,yolov5m,JpgLossy,T1,HD
540,1621,RSU-0000,Local,1769331110385871,1769331110392024,1769331110392367,1769331114128327,,1769331110492800,1769331114128326,,1769331114132907,3747036,3736303,,,,3635526,75640,12,yolov5m,JpgLossy,T1,HD
551,1654,RSU-0002,Local,1769331111498831,1769331111504997,1769331111509129,1769331115009991,,1769331111538843,1769331115009991,,1769331115014974,3516143,3504994,,,,3471148,75582,15,yolov5m,JpgLossy,T1,HD
549,1648,RSU-0001,Local,1769331111296703,1769331111303209,1769331111306197,1769331115339208,,1769331111362870,1769331115339207,,1769331115340413,4043710,4035999,,,,3976337,75560,15,yolov5m,JpgLossy,T1,HD
