sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
1,7,RSU-0002,Local,1769326635531953,1769326635537639,1769326635537927,1769326638900621,,1769326635600121,1769326638900620,,1769326638905809,3373856,3362982,,,,3300499,28343,17,yolov5m,JpgLossy,T1,Letterbox
1,7,RSU-0000,Local,1769326635531938,1769326635542973,1769326635543207,1769326638969258,,1769326635674138,1769326638969257,,1769326638967312,3435374,3426285,,,,3295119,28343,17,yolov5m,JpgLossy,T1,Letterbox
1,7,RSU-0001,Local,1769326635531952,1769326635536245,1769326635536523,1769326639383300,,1769326635607531,1769326639383299,,1769326639385053,3853101,3847055,,,,3775768,28343,17,yolov5m,JpgLossy,T1,Letterbox
17,103,RSU-0002,Local,1769326638753002,1769326638756787,1769326638757036,1769326642325580,,1769326638900761,1769326642325579,,1769326642332417,3579415,3568793,,,,3424818,28116,23,yolov5m,JpgLossy,T1,Letterbox
18,109,RSU-0000,Local,1769326638954208,1769326638964530,1769326638965119,1769326642595432,,1769326638969410,1769326642595431,,1769326642593514,3639306,3630902,,,,3626021,28046,21,yolov5m,JpgLossy,T1,Letterbox
20,121,RSU-0001,Local,1769326639355628,1769326639360671,1769326639361007,1769326643357660,,1769326639383454,1769326643357659,,1769326643362658,4007030,3996989,,,,3974205,28063,22,yolov5m,JpgLossy,T1,Letterbox
34,205,RSU-0002,Local,1769326642174663,1769326642179585,1769326642179874,1769326645746548,,1769326642325677,1769326645746547,,1769326645752118,3577455,3566963,,,,3420870,28006,23,yolov5m,JpgLossy,T1,Letterbox
36,217,RSU-0000,Local,1769326642577479,1769326642587882,1769326642588616,1769326646216608,,1769326642595588,1769326646216607,,1769326646214576,3637097,3628726,,,,3621019,28062,21,yolov5m,JpgLossy,T1,Letterbox
39,235,RSU-0001,Local,1769326643180715,1769326643186128,1769326643186378,1769326647135524,,1769326643357766,1769326647135523,,1769326647139703,3958988,3949396,,,,3777757,28027,23,yolov5m,JpgLossy,T1,Letterbox
51,307,RSU-0002,Local,1769326645600312,1769326645605134,1769326645605344,1769326649163694,,1769326645746707,1769326649163694,,1769326649169333,3569021,3558560,,,,3416987,27655,20,yolov5m,JpgLossy,T1,Letterbox
54,325,RSU-0000,Local,1769326646205591,1769326646215888,1769326646216219,1769326649834684,,1769326646216686,1769326649834683,,1769326649832940,3627349,3618796,,,,3617997,27724,19,yolov5m,JpgLossy,T1,Letterbox
58,349,RSU-0001,Local,1769326647011658,1769326647017105,1769326647017337,1769326650916666,,1769326647135669,1769326650916665,,1769326650921607,3909949,3899561,,,,3780996,27776,19,yolov5m,JpgLossy,T1,Letterbox
68,409,RSU-0002,Local,1769326649025323,1769326649030884,1769326649031138,1769326652573382,,1769326649163848,1769326652573381,,1769326652578924,3553601,3542498,,,,3409533,27787,18,yolov5m,JpgLossy,T1,Letterbox
71,427,RSU-0000,Local,1769326649629511,1769326649638645,1769326649638888,1769326653453083,,1769326649834833,1769326653453082,,1769326653454602,3825091,3814438,,,,3618249,27810,19,yolov5m,JpgLossy,T1,Letterbox
77,463,RSU-0001,Local,1769326650838300,1769326650843513,1769326650843735,1769326654699747,,1769326650916828,1769326654699746,,1769326654704980,3866680,3856234,,,,3782918,27675,19,yolov5m,JpgLossy,T1,Letterbox
85,511,RSU-0002,Local,1769326652448237,1769326652453921,1769326652454112,1769326655980316,,1769326652573539,1769326655980315,,1769326655985799,3537562,3526395,,,,3406776,27870,18,yolov5m,JpgLossy,T1,Letterbox
89,535,RSU-0000,Local,1769326653253395,1769326653262789,1769326653263032,1769326657074906,,1769326653453223,1769326657074905,,1769326657077913,3824518,3812117,,,,3621682,27857,21,yolov5m,JpgLossy,T1,Letterbox
96,577,RSU-0001,Local,1769326654661078,1769326654667669,1769326654668302,1769326658481802,,1769326654699933,1769326658481802,,1769326658485798,3824720,3814133,,,,3781869,27900,21,yolov5m,JpgLossy,T1,Letterbox
102,613,RSU-0002,Local,1769326655868501,1769326655873931,1769326655874165,1769326659387373,,1769326655980469,1769326659387372,,1769326659392972,3524471,3513442,,,,3406903,28386,21,yolov5m,JpgLossy,T1,Letterbox
107,643,RSU-0000,Local,1769326656876942,1769326656885759,1769326656886002,1769326660697742,,1769326657075061,1769326660697741,,1769326660698930,3821988,3811983,,,,3622680,28580,20,yolov5m,JpgLossy,T1,Letterbox
114,685,RSU-0001,Local,1769326658286018,1769326658291511,1769326658291757,1769326662262597,,1769326658481907,1769326662262596,,1769326662267533,3981515,3971086,,,,3780689,28730,23,yolov5m,JpgLossy,T1,Letterbox
119,715,RSU-0002,Local,1769326659293255,1769326659298212,1769326659298444,1769326662804589,,1769326659387525,1769326662804588,,1769326662810288,3517033,3506377,,,,3417063,28192,22,yolov5m,JpgLossy,T1,Letterbox
