sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
2,7,RSU-0000,Local,1768652828026904,1768652828031823,1768652828032149,1768652830511178,,1768652828124105,1768652830511178,,1768652830521391,2494487,2479355,,,2387073,107692,18,1920,1080,yolov5m,JpgLossy,T2,FHD
2,7,RSU-0002,Local,1768652828026904,1768652828022380,1768652828026333,1768652830577050,,1768652828059630,1768652830577049,,1768652830595752,2568848,2554670,,,2517419,107692,18,1920,1080,yolov5m,JpgLossy,T2,FHD
3,10,RSU-0001,Local,1768652828127751,1768652828132947,1768652828136253,1768652830594902,,1768652828145709,1768652830594901,,1768652830600761,2473010,2461955,,,2449192,75133,20,1920,1080,yolov5m,JpgLossy,T2,FHD
26,79,RSU-0000,Local,1768652830457673,1768652830463921,1768652830464244,1768652832954521,,1768652830511367,1768652832954520,,1768652832960744,2503071,2490600,,,2443153,66485,23,1920,1080,yolov5m,JpgLossy,T2,FHD
27,82,RSU-0002,Local,1768652830558877,1768652830554097,1768652830559567,1768652833116479,,1768652830577206,1768652833116478,,1768652833129272,2570395,2562382,,,2539272,66489,24,1920,1080,yolov5m,JpgLossy,T2,FHD
27,82,RSU-0001,Local,1768652830558877,1768652830565670,1768652830569840,1768652833153740,,1768652830595077,1768652833153739,,1768652833159177,2600300,2588070,,,2558662,66489,24,1920,1080,yolov5m,JpgLossy,T2,FHD
50,151,RSU-0000,Local,1768652832892952,1768652832897937,1768652832898181,1768652835390296,,1768652832954673,1768652835390295,,1768652835396532,2503580,2492359,,,2435622,67336,24,1920,1080,yolov5m,JpgLossy,T2,FHD
52,157,RSU-0002,Local,1768652833096259,1768652833091875,1768652833095165,1768652835653751,,1768652833116709,1768652835653750,,1768652835671955,2575696,2561876,,,2537041,66952,22,1920,1080,yolov5m,JpgLossy,T2,FHD
52,157,RSU-0001,Local,1768652833096259,1768652833103606,1768652833103899,1768652835679462,,1768652833154095,1768652835679461,,1768652835684909,2588650,2575856,,,2525366,66952,22,1920,1080,yolov5m,JpgLossy,T2,FHD
74,223,RSU-0000,Local,1768652835331563,1768652835335375,1768652835335667,1768652837827441,,1768652835390525,1768652837827440,,1768652837833636,2502073,2492066,,,2436915,66870,21,1920,1080,yolov5m,JpgLossy,T2,FHD
77,232,RSU-0001,Local,1768652835635606,1768652835644117,1768652835644619,1768652838202418,,1768652835679838,1768652838202418,,1768652838204712,2569106,2558301,,,2522580,67092,22,1920,1080,yolov5m,JpgLossy,T2,FHD
77,232,RSU-0002,Local,1768652835635606,1768652835630442,1768652835633996,1768652838192584,,1768652835653906,1768652838192583,,1768652838205158,2569552,2562142,,,2538677,67092,22,1920,1080,yolov5m,JpgLossy,T2,FHD
98,295,RSU-0000,Local,1768652837769205,1768652837776074,1768652837776365,1768652840270274,,1768652837827715,1768652840270273,,1768652840276571,2507366,2494200,,,2442558,66636,20,1920,1080,yolov5m,JpgLossy,T2,FHD
102,307,RSU-0002,Local,1768652838175763,1768652838171005,1768652838174658,1768652840731895,,1768652838192740,1768652840731894,,1768652840744474,2568711,2560890,,,2539154,66071,21,1920,1080,yolov5m,JpgLossy,T2,FHD
102,307,RSU-0001,Local,1768652838175763,1768652838182182,1768652838182521,1768652840802192,,1768652838202573,1768652840802192,,1768652840807273,2631510,2620010,,,2599619,66071,21,1920,1080,yolov5m,JpgLossy,T2,FHD
122,367,RSU-0000,Local,1768652840199251,1768652840206110,1768652840206310,1768652842706318,,1768652840270533,1768652842706317,,1768652842712301,2513050,2500208,,,2435784,65750,18,1920,1080,yolov5m,JpgLossy,T2,FHD
127,382,RSU-0002,Local,1768652840705407,1768652840701321,1768652840708166,1768652843268221,,1768652840732059,1768652843268220,,1768652843280854,2575447,2566900,,,2536161,65664,22,1920,1080,yolov5m,JpgLossy,T2,FHD
127,382,RSU-0001,Local,1768652840705407,1768652840710647,1768652840711892,1768652843322836,,1768652840802355,1768652843322836,,1768652843328343,2622936,2612189,,,2520481,65664,22,1920,1080,yolov5m,JpgLossy,T2,FHD
146,439,RSU-0000,Local,1768652842632084,1768652842635956,1768652842636196,1768652845142931,,1768652842706508,1768652845142930,,1768652845149329,2517245,2506975,,,2436422,65873,19,1920,1080,yolov5m,JpgLossy,T2,FHD
152,457,RSU-0002,Local,1768652843240507,1768652843239391,1768652843243717,1768652845809562,,1768652843268391,1768652845809561,,1768652845825637,2585130,2570171,,,2541170,65985,20,1920,1080,yolov5m,JpgLossy,T2,FHD
152,457,RSU-0001,Local,1768652843240507,1768652843246113,1768652843246456,1768652845846586,,1768652843323002,1768652845846585,,1768652845851818,2611311,2600473,,,2523583,65985,20,1920,1080,yolov5m,JpgLossy,T2,FHD
170,511,RSU-0000,Local,1768652845062496,1768652845068042,1768652845068323,1768652847580378,,1768652845143081,1768652847580377,,1768652847586283,2523787,2512336,,,2437296,66565,22,1920,1080,yolov5m,JpgLossy,T2,FHD
177,532,RSU-0002,Local,1768652845769582,1768652845763855,1768652845767774,1768652848336844,,1768652845809923,1768652848336843,,1768652848349784,2580202,2572989,,,2526920,66245,22,1920,1080,yolov5m,JpgLossy,T2,FHD
177,532,RSU-0001,Local,1768652845769582,1768652845775697,1768652845776349,1768652848367065,,1768652845846746,1768652848367065,,1768652848372596,2603014,2591368,,,2520319,66245,22,1920,1080,yolov5m,JpgLossy,T2,FHD
194,583,RSU-0000,Local,1768652847495804,1768652847502550,1768652847502796,1768652850016935,,1768652847580599,1768652850016934,,1768652850022402,2526598,2514385,,,2436335,66280,20,1920,1080,yolov5m,JpgLossy,T2,FHD
202,607,RSU-0002,Local,1768652848307347,1768652848303759,1768652848306798,1768652850871997,,1768652848337230,1768652850871996,,1768652850884688,2577341,2568238,,,2534766,67683,22,1920,1080,yolov5m,JpgLossy,T2,FHD
202,607,RSU-0001,Local,1768652848307347,1768652848312629,1768652848312928,1768652850890504,,1768652848367491,1768652850890503,,1768652850892862,2585515,2577875,,,2523012,67683,22,1920,1080,yolov5m,JpgLossy,T2,FHD
