sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
3,7,RSU-0000,Local,1769337490442606,1769337490448517,1769337490457238,1769337493881863,,1769337490497640,1769337493881862,,1769337493886250,3443644,3433346,,,,3384222,96723,18,yolov5m,JpgLossy,T3,FHD
4,9,RSU-0002,Local,1769337490510332,1769337490515752,1769337490517349,1769337493934385,,1769337490519098,1769337493934384,,1769337493937571,3427239,3418633,,,,3415286,74149,17,yolov5m,JpgLossy,T3,FHD
3,7,RSU-0001,Local,1769337490442622,1769337490445071,1769337490448716,1769337494373208,,1769337490512578,1769337494373207,,1769337494380434,3937812,3928137,,,,3860629,96723,18,yolov5m,JpgLossy,T3,FHD
53,107,RSU-0000,Local,1769337493842004,1769337493849052,1769337493859774,1769337497378028,,1769337493882005,1769337497378027,,1769337497382514,3540510,3528976,,,,3496022,61853,21,yolov5m,JpgLossy,T3,FHD
54,109,RSU-0002,Local,1769337493910671,1769337493918031,1769337493920209,1769337497603218,,1769337493934550,1769337497603217,,1769337497606280,3695609,3685187,,,,3668667,61811,23,yolov5m,JpgLossy,T3,FHD
60,121,RSU-0001,Local,1769337494316609,1769337494318339,1769337494318626,1769337498461870,,1769337494373361,1769337498461869,,1769337498469262,4152653,4143531,,,,4088508,61850,21,yolov5m,JpgLossy,T3,FHD
104,209,RSU-0000,Local,1769337497309791,1769337497315405,1769337497318156,1769337500850511,,1769337497378186,1769337500850511,,1769337500853773,3543982,3535106,,,,3472325,61614,21,yolov5m,JpgLossy,T3,FHD
108,217,RSU-0002,Local,1769337497582623,1769337497588551,1769337497590980,1769337501241988,,1769337497603319,1769337501241988,,1769337501248359,3665736,3653437,,,,3638669,61473,23,yolov5m,JpgLossy,T3,FHD
120,241,RSU-0001,Local,1769337498398232,1769337498400878,1769337498401145,1769337502531053,,1769337498461977,1769337502531052,,1769337502538470,4140238,4130175,,,,4069075,61542,23,yolov5m,JpgLossy,T3,FHD
155,311,RSU-0000,Local,1769337500778073,1769337500781103,1769337500783664,1769337504331979,,1769337500850655,1769337504331978,,1769337504333379,3555306,3550876,,,,3481323,60921,19,yolov5m,JpgLossy,T3,FHD
161,323,RSU-0002,Local,1769337501184874,1769337501188208,1769337501189306,1769337504894623,,1769337501242130,1769337504894622,,1769337504900895,3716021,3706415,,,,3652492,60945,18,yolov5m,JpgLossy,T3,FHD
180,361,RSU-0001,Local,1769337502479354,1769337502482082,1769337502482348,1769337506605629,,1769337502531214,1769337506605628,,1769337506612977,4133623,4123547,,,,4074414,60745,19,yolov5m,JpgLossy,T3,FHD
207,415,RSU-0000,Local,1769337504313371,1769337504316741,1769337504323954,1769337507805424,,1769337504332110,1769337507805423,,1769337507806538,3493167,3488683,,,,3473313,60760,19,yolov5m,JpgLossy,T3,FHD
215,431,RSU-0002,Local,1769337504857573,1769337504863027,1769337504864865,1769337508531395,,1769337504894788,1769337508531394,,1769337508534646,3677073,3668368,,,,3636606,60277,18,yolov5m,JpgLossy,T3,FHD
240,481,RSU-0001,Local,1769337506555860,1769337506558650,1769337506558945,1769337510684633,,1769337506605745,1769337510684632,,1769337510692102,4136242,4125983,,,,4078887,60760,17,yolov5m,JpgLossy,T3,FHD
258,517,RSU-0000,Local,1769337507779742,1769337507787523,1769337507790824,1769337511278382,,1769337507805537,1769337511278381,,1769337511279797,3500055,3490859,,,,3472844,61423,19,yolov5m,JpgLossy,T3,FHD
268,537,RSU-0002,Local,1769337508460694,1769337508465265,1769337508466577,1769337512184682,,1769337508531543,1769337512184681,,1769337512191070,3730376,3719417,,,,3653138,60999,22,yolov5m,JpgLossy,T3,FHD
309,619,RSU-0000,Local,1769337511248565,1769337511255747,1769337511260812,1769337514747557,,1769337511278522,1769337514747557,,1769337514748980,3500415,3491810,,,,3469035,62278,23,yolov5m,JpgLossy,T3,FHD
300,601,RSU-0001,Local,1769337510636339,1769337510639136,1769337510639443,1769337514762215,,1769337510684782,1769337514762214,,1769337514769608,4133269,4123079,,,,4077432,62076,22,yolov5m,JpgLossy,T3,FHD
322,645,RSU-0002,Local,1769337512130340,1769337512134142,1769337512135123,1769337515816048,,1769337512184846,1769337515816047,,1769337515819358,3689018,3681906,,,,3631201,62745,23,yolov5m,JpgLossy,T3,FHD
360,721,RSU-0000,Local,1769337514713289,1769337514721163,1769337514722184,1769337518215098,,1769337514747711,1769337518215097,,1769337518216360,3503071,3493935,,,,3467386,62185,24,yolov5m,JpgLossy,T3,FHD
360,721,RSU-0001,Local,1769337514713303,1769337514715041,1769337514715308,1769337518839696,,1769337514762363,1769337518839695,,1769337518846993,4133690,4124655,,,,4077332,62185,24,yolov5m,JpgLossy,T3,FHD
376,753,RSU-0002,Local,1769337515801333,1769337515808632,1769337515812911,1769337519442701,,1769337515816195,1769337519442700,,1769337519450549,3649216,3634069,,,,3626505,62850,24,yolov5m,JpgLossy,T3,FHD
411,823,RSU-0000,Local,1769337518180640,1769337518188567,1769337518197633,1769337521683426,,1769337518215238,1769337521683425,,1769337521685104,3504464,3494859,,,,3468187,62168,22,yolov5m,JpgLossy,T3,FHD
420,841,RSU-0001,Local,1769337518792861,1769337518794577,1769337518794870,1769337522921747,,1769337518839876,1769337522921746,,1769337522929135,4136274,4127170,,,,4081870,62495,21,yolov5m,JpgLossy,T3,FHD
429,859,RSU-0002,Local,1769337519404554,1769337519410163,1769337519412101,1769337523074468,,1769337519442856,1769337523074467,,1769337523081091,3676537,3664305,,,,3631611,63041,22,yolov5m,JpgLossy,T3,FHD
462,925,RSU-0000,Local,1769337521648319,1769337521657207,1769337521668081,1769337525154842,,1769337521683572,1769337525154841,,1769337525156242,3507923,3497635,,,,3471269,60972,22,yolov5m,JpgLossy,T3,FHD
482,965,RSU-0002,Local,1769337523009800,1769337523014380,1769337523015375,1769337526728809,,1769337523074595,1769337526728808,,1769337526735385,3725585,3714429,,,,3654213,59711,19,yolov5m,JpgLossy,T3,FHD
480,961,RSU-0001,Local,1769337522873360,1769337522877165,1769337522877439,1769337526995393,,1769337522921901,1769337526995393,,1769337527002898,4129538,4118228,,,,4073492,59736,19,yolov5m,JpgLossy,T3,FHD
513,1027,RSU-0000,Local,1769337525118105,1769337525124733,1769337525128666,1769337528631838,,1769337525154982,1769337528631837,,1769337528636251,3518146,3507105,,,,3476855,59426,19,yolov5m,JpgLossy,T3,FHD
536,1073,RSU-0002,Local,1769337526682349,1769337526689429,1769337526692438,1769337530387466,,1769337526729147,1769337530387465,,1769337530390893,3708544,3698037,,,,3658318,58949,16,yolov5m,JpgLossy,T3,FHD
540,1081,RSU-0001,Local,1769337526953694,1769337526957252,1769337526958525,1769337531062523,,1769337526995542,1769337531062522,,1769337531066724,4113030,4105271,,,,4066980,59158,18,yolov5m,JpgLossy,T3,FHD
564,1129,RSU-0000,Local,1769337528583919,1769337528591317,1769337528596116,1769337532104222,,1769337528631970,1769337532104221,,1769337532108670,3524751,3512905,,,,3472251,59125,17,yolov5m,JpgLossy,T3,FHD
590,1181,RSU-0002,Local,1769337530353478,1769337530359907,1769337530363049,1769337534036671,,1769337530387566,1769337534036670,,1769337534039964,3686486,3676764,,,,3649104,59143,16,yolov5m,JpgLossy,T3,FHD
600,1201,RSU-0001,Local,1769337531035697,1769337531040499,1769337531040997,1769337535135270,,1769337531062666,1769337535135270,,1769337535139642,4103945,4094771,,,,4072604,59364,16,yolov5m,JpgLossy,T3,FHD
615,1231,RSU-0000,Local,1769337532054465,1769337532059866,1769337532060160,1769337535574527,,1769337532104357,1769337535574526,,1769337535578986,3524521,3514661,,,,3470169,59088,16,yolov5m,JpgLossy,T3,FHD
