sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
1,7,RSU-0000,Local,1768649885233835,1768649885239372,1768649885239637,1768649887604719,,1768649885297619,1768649887604718,,1768649887612981,2379146,2365347,,,2307099,20664,16,640,640,yolov5m,JpgLossy,T3,Letterbox
1,7,RSU-0001,Local,1768649885233835,1768649885240082,1768649885240245,1768649887731341,,1768649885357307,1768649887731340,,1768649887737102,2503267,2491259,,,2374033,20664,16,640,640,yolov5m,JpgLossy,T3,Letterbox
0,1,RSU-0002,Local,1768649885032146,1768649885045486,1768649885045996,1768649887741447,,1768649885228827,1768649887741446,,1768649887750046,2717900,2695961,,,2512619,20824,17,640,640,yolov5m,JpgLossy,T3,Letterbox
12,73,RSU-0000,Local,1768649887446574,1768649887455334,1768649887455571,1768649889987856,,1768649887604866,1768649889987855,,1768649889991898,2545324,2532522,,,2382989,20385,17,640,640,yolov5m,JpgLossy,T3,Letterbox
13,79,RSU-0001,Local,1768649887648138,1768649887654400,1768649887654576,1768649890168366,,1768649887731739,1768649890168365,,1768649890173054,2524916,2513966,,,2436626,20435,19,640,640,yolov5m,JpgLossy,T3,Letterbox
13,79,RSU-0002,Local,1768649887648138,1768649887650041,1768649887650303,1768649890275535,,1768649887741684,1768649890275535,,1768649890281150,2633012,2625494,,,2533851,20435,19,640,640,yolov5m,JpgLossy,T3,Letterbox
24,145,RSU-0000,Local,1768649889861504,1768649889871941,1768649889872156,1768649892357343,,1768649889988001,1768649892357342,,1768649892361456,2499952,2485402,,,2369341,20565,20,640,640,yolov5m,JpgLossy,T3,Letterbox
25,151,RSU-0001,Local,1768649890063151,1768649890067643,1768649890067859,1768649892595305,,1768649890168764,1768649892595304,,1768649892600577,2537426,2527662,,,2426540,20565,22,640,640,yolov5m,JpgLossy,T3,Letterbox
26,157,RSU-0002,Local,1768649890264594,1768649890266524,1768649890267027,1768649892749371,,1768649890275684,1768649892749370,,1768649892757968,2493374,2482847,,,2473686,20548,23,640,640,yolov5m,JpgLossy,T3,Letterbox
36,217,RSU-0000,Local,1768649892275882,1768649892283046,1768649892283265,1768649894718849,,1768649892357488,1768649894718848,,1768649894719995,2444113,2435803,,,2361360,20484,22,640,640,yolov5m,JpgLossy,T3,Letterbox
37,223,RSU-0001,Local,1768649892477404,1768649892483506,1768649892483705,1768649895013466,,1768649892595707,1768649895013465,,1768649895019190,2541786,2529960,,,2417758,20396,22,640,640,yolov5m,JpgLossy,T3,Letterbox
38,229,RSU-0002,Local,1768649892678875,1768649892681367,1768649892681704,1768649895338334,,1768649892749607,1768649895338334,,1768649895347266,2668391,2656967,,,2588727,20456,23,640,640,yolov5m,JpgLossy,T3,Letterbox
48,289,RSU-0000,Local,1768649894688929,1768649894698768,1768649894699338,1768649897093655,,1768649894719012,1768649897093654,,1768649897097734,2408805,2394887,,,2374642,20437,20,640,640,yolov5m,JpgLossy,T3,Letterbox
49,295,RSU-0001,Local,1768649894889421,1768649894895343,1768649894895584,1768649897438856,,1768649895013863,1768649897438855,,1768649897444423,2555002,2543513,,,2424992,20439,18,640,640,yolov5m,JpgLossy,T3,Letterbox
