sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
1,7,RSU-0000,Local,1768751736667930,1768751736676537,1768751736676766,1768751738956772,,1768751736710395,1768751738956771,,1768751738968305,2300375,2280235,,,2246376,20664,16,640,640,yolov5m,JpgLossy,T3,Letterbox
1,7,RSU-0002,Local,1768751736667930,1768751736678601,1768751736678796,1768751738971846,,1768751736707037,1768751738971845,,1768751738978936,2311006,2293245,,,2264808,20664,16,640,640,yolov5m,JpgLossy,T3,Letterbox
1,7,RSU-0001,Local,1768751736667930,1768751736678312,1768751736678471,1768751739309236,,1768751736854548,1768751739309235,,1768751739310084,2642154,2630924,,,2454687,20664,16,640,640,yolov5m,JpgLossy,T3,Letterbox
12,73,RSU-0002,Local,1768751738884679,1768751738895480,1768751738896036,1768751741286360,,1768751738972002,1768751741286359,,1768751741287821,2403142,2390880,,,2314357,20385,17,640,640,yolov5m,JpgLossy,T3,Letterbox
12,73,RSU-0000,Local,1768751738884679,1768751738888817,1768751738889055,1768751741289148,,1768751738956917,1768751741289147,,1768751741293182,2408503,2400331,,,2332230,20385,17,640,640,yolov5m,JpgLossy,T3,Letterbox
14,85,RSU-0001,Local,1768751739288028,1768751739298926,1768751739299120,1768751741802057,,1768751739309804,1768751741802056,,1768751741801995,2513967,2503131,,,2492252,20446,20,640,640,yolov5m,JpgLossy,T3,Letterbox
23,139,RSU-0002,Local,1768751741097779,1768751741112162,1768751741112406,1768751743597714,,1768751741286508,1768751743597713,,1768751743598865,2501086,2485552,,,2311205,20637,22,640,640,yolov5m,JpgLossy,T3,Letterbox
23,139,RSU-0000,Local,1768751741097779,1768751741105038,1768751741105221,1768751743612126,,1768751741289305,1768751743612125,,1768751743615334,2517555,2507088,,,2322820,20637,22,640,640,yolov5m,JpgLossy,T3,Letterbox
26,157,RSU-0001,Local,1768751741700386,1768751741710258,1768751741710459,1768751744277365,,1768751741802609,1768751744277365,,1768751744277188,2576802,2567107,,,2474756,20548,23,640,640,yolov5m,JpgLossy,T3,Letterbox
35,211,RSU-0002,Local,1768751743513433,1768751743528776,1768751743529162,1768751745925480,,1768751743597859,1768751745925480,,1768751745923721,2410288,2396704,,,2327621,20529,22,640,640,yolov5m,JpgLossy,T3,Letterbox
35,211,RSU-0000,Local,1768751743513433,1768751743519730,1768751743519993,1768751745938266,,1768751743612273,1768751745938266,,1768751745939245,2425812,2418536,,,2325993,20529,22,640,640,yolov5m,JpgLossy,T3,Letterbox
38,229,RSU-0001,Local,1768751744117422,1768751744128050,1768751744128275,1768751746753544,,1768751744277947,1768751746753544,,1768751746751796,2634374,2625494,,,2475597,20456,23,640,640,yolov5m,JpgLossy,T3,Letterbox
46,277,RSU-0002,Local,1768751745728262,1768751745744400,1768751745744619,1768751748240031,,1768751745925623,1768751748240030,,1768751748240931,2512669,2495631,,,2314407,20577,22,640,640,yolov5m,JpgLossy,T3,Letterbox
47,283,RSU-0000,Local,1768751745930105,1768751745935179,1768751745935578,1768751748267349,,1768751745938407,1768751748267348,,1768751748271554,2341449,2332170,,,2328941,20570,19,640,640,yolov5m,JpgLossy,T3,Letterbox
51,307,RSU-0001,Local,1768751746734610,1768751746746877,1768751746747374,1768751749233550,,1768751746754118,1768751749233549,,1768751749233325,2498715,2486673,,,2479431,20308,19,640,640,yolov5m,JpgLossy,T3,Letterbox
58,349,RSU-0002,Local,1768751748145572,1768751748156827,1768751748157004,1768751750551542,,1768751748240181,1768751750551541,,1768751750552776,2407204,2394715,,,2311360,20329,19,640,640,yolov5m,JpgLossy,T3,Letterbox
58,349,RSU-0000,Local,1768751748145572,1768751748152634,1768751748152825,1768751750595092,,1768751748267492,1768751750595091,,1768751750595924,2450352,2442458,,,2327599,20329,19,640,640,yolov5m,JpgLossy,T3,Letterbox
