sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0000,Local,1768646765740747,1768646765747842,1768646765752398,1768646768456872,,1768646766014913,1768646768456872,,1768646768463564,2722817,2709030,,,2441959,1321370,17,1920,1080,yolov5m,PngLossless,T1,FHD
0,1,RSU-0001,Local,1768646765740747,1768646765750000,1768646765754962,1768646768508364,,1768646766028105,1768646768508362,,1768646768513991,2773244,2758364,,,2480257,1321370,17,1920,1080,yolov5m,PngLossless,T1,FHD
0,1,RSU-0002,Local,1768646765740747,1768646765741872,1768646765744285,1768646768548734,,1768646766004129,1768646768548733,,1768646768566709,2825962,2806862,,,2544604,1321370,17,1920,1080,yolov5m,PngLossless,T1,FHD
2,61,RSU-0000,Local,1768646767743116,1768646767747991,1768646767749795,1768646770953308,,1768646768457025,1768646770953307,,1768646770960709,3217593,3205317,,,2496282,802335,22,1920,1080,yolov5m,PngLossless,T1,FHD
2,61,RSU-0001,Local,1768646767743116,1768646767749662,1768646767752021,1768646771091471,,1768646768508739,1768646771091470,,1768646771094750,3351634,3341809,,,2582731,802335,22,1920,1080,yolov5m,PngLossless,T1,FHD
2,61,RSU-0002,Local,1768646767743116,1768646767743356,1768646767744429,1768646771108246,,1768646768549108,1768646771108246,,1768646771123620,3380504,3364890,,,2559138,802335,22,1920,1080,yolov5m,PngLossless,T1,FHD
5,151,RSU-0000,Local,1768646770749423,1768646770753903,1768646770755837,1768646773438917,,1768646770953669,1768646773438917,,1768646773446502,2697079,2685014,,,2485248,821595,24,1920,1080,yolov5m,PngLossless,T1,FHD
5,151,RSU-0001,Local,1768646770749423,1768646770757075,1768646770760275,1768646773657923,,1768646771091622,1768646773657922,,1768646773661338,2911915,2900848,,,2566300,821595,24,1920,1080,yolov5m,PngLossless,T1,FHD
5,151,RSU-0002,Local,1768646770749423,1768646770743970,1768646770745198,1768646773649002,,1768646771108680,1768646773649002,,1768646773665009,2915586,2905032,,,2540322,821595,24,1920,1080,yolov5m,PngLossless,T1,FHD
7,211,RSU-0000,Local,1768646772751365,1768646772756183,1768646772757290,1768646775928439,,1768646773439088,1768646775928438,,1768646775935510,3184145,3172256,,,2489350,817848,23,1920,1080,yolov5m,PngLossless,T1,FHD
