sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
3,7,RSU-0000,Local,1768753721095587,1768753721103626,1768753721104194,1768753723450807,,1768753721161219,1768753723450806,,1768753723460685,2365098,2347181,,,2289587,277101,17,640,640,yolov5m,PngLossless,T1,Letterbox
3,7,RSU-0002,Local,1768753721095587,1768753721100691,1768753721101163,1768753723522420,,1768753721134989,1768753723522419,,1768753723535127,2439540,2421729,,,2387430,277101,17,640,640,yolov5m,PngLossless,T1,Letterbox
4,9,RSU-0001,Local,1768753721163412,1768753721171608,1768753721172028,1768753723713055,,1768753721218305,1768753723713054,,1768753723720272,2556860,2541447,,,2494749,265374,17,640,640,yolov5m,PngLossless,T1,Letterbox
38,77,RSU-0002,Local,1768753723477177,1768753723485669,1768753723486149,1768753725874380,,1768753723522939,1768753725874379,,1768753725878694,2401517,2388711,,,2351440,262498,22,640,640,yolov5m,PngLossless,T1,Letterbox
37,75,RSU-0000,Local,1768753723409198,1768753723415483,1768753723415906,1768753725884818,,1768753723450952,1768753725884817,,1768753725883800,2474602,2469335,,,2433865,262305,22,640,640,yolov5m,PngLossless,T1,Letterbox
41,83,RSU-0001,Local,1768753723681049,1768753723688773,1768753723689186,1768753726277753,,1768753723713279,1768753726277752,,1768753726277297,2596248,2588980,,,2564473,264016,21,640,640,yolov5m,PngLossless,T1,Letterbox
73,147,RSU-0002,Local,1768753725856383,1768753725868326,1768753725868639,1768753728190881,,1768753725875259,1768753728190880,,1768753728195199,2338816,2322555,,,2315621,264984,22,640,640,yolov5m,PngLossless,T1,Letterbox
73,147,RSU-0000,Local,1768753725856383,1768753725872097,1768753725873405,1768753728279919,,1768753725885148,1768753728279918,,1768753728278987,2422604,2407822,,,2394770,264984,22,640,640,yolov5m,PngLossless,T1,Letterbox
79,159,RSU-0001,Local,1768753726264875,1768753726272908,1768753726273234,1768753728847365,,1768753726277925,1768753728847365,,1768753728849866,2584991,2574457,,,2569440,264295,20,640,640,yolov5m,PngLossless,T1,Letterbox
107,215,RSU-0002,Local,1768753728173328,1768753728180149,1768753728180545,1768753730512678,,1768753728191018,1768753730512677,,1768753730516570,2343242,2332529,,,2321659,263017,21,640,640,yolov5m,PngLossless,T1,Letterbox
