sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
3,7,RSU-0002,Local,1769340401282575,1769340401294125,1769340401296637,1769340404709161,,1769340401364300,1769340404709160,,1769340404704189,3421614,3415036,,,,3344860,283082,17,yolov5m,PngLossless,T2,Letterbox
5,11,RSU-0000,Local,1769340401417945,1769340401424997,1769340401432897,1769340404744681,,1769340401445969,1769340404744681,,1769340404750091,3332146,3319684,,,,3298712,266754,16,yolov5m,PngLossless,T2,Letterbox
2,5,RSU-0001,Local,1769340401214493,1769340401213880,1769340401222510,1769340405065526,,1769340401285519,1769340405065525,,1769340405078378,3863885,3851646,,,,3780006,292933,18,yolov5m,PngLossless,T2,Letterbox
53,107,RSU-0002,Local,1769340404681776,1769340404696519,1769340404700909,1769340408218076,,1769340404709315,1769340408218075,,1769340408216164,3534388,3521557,,,,3508760,272157,22,yolov5m,PngLossless,T2,Letterbox
53,107,RSU-0000,Local,1769340404681758,1769340404688728,1769340404698554,1769340408217128,,1769340404744818,1769340408217128,,1769340408219524,3537766,3528400,,,,3472310,272157,22,yolov5m,PngLossless,T2,Letterbox
58,117,RSU-0001,Local,1769340405022245,1769340405021820,1769340405032252,1769340409060304,,1769340405065643,1769340409060303,,1769340409073172,4050927,4038484,,,,3994660,271804,21,yolov5m,PngLossless,T2,Letterbox
104,209,RSU-0000,Local,1769340408148302,1769340408157409,1769340408165140,1769340411685363,,1769340408217466,1769340411685362,,1769340411688359,3540057,3527954,,,,3467896,267654,21,yolov5m,PngLossless,T2,Letterbox
104,209,RSU-0002,Local,1769340408148318,1769340408160369,1769340408162429,1769340411702503,,1769340408218219,1769340411702503,,1769340411697527,3549209,3542134,,,,3484284,267654,21,yolov5m,PngLossless,T2,Letterbox
117,235,RSU-0001,Local,1769340409032786,1769340409030963,1769340409040252,1769340413038138,,1769340409060438,1769340413038137,,1769340413052657,4019871,4007175,,,,3977699,269123,21,yolov5m,PngLossless,T2,Letterbox
155,311,RSU-0000,Local,1769340411618265,1769340411626202,1769340411634017,1769340415144897,,1769340411685461,1769340415144897,,1769340415147789,3529524,3518695,,,,3459436,266933,18,yolov5m,PngLossless,T2,Letterbox
156,313,RSU-0002,Local,1769340411686087,1769340411699478,1769340411702436,1769340415187350,,1769340411702769,1769340415187349,,1769340415182561,3496474,3487872,,,,3484580,266505,18,yolov5m,PngLossless,T2,Letterbox
175,351,RSU-0001,Local,1769340412978742,1769340412975773,1769340412983405,1769340416994103,,1769340413038297,1769340416994103,,1769340417010265,4031523,4018330,,,,3955806,268464,19,yolov5m,PngLossless,T2,Letterbox
206,413,RSU-0000,Local,1769340415089694,1769340415098816,1769340415124037,1769340418616029,,1769340415145000,1769340418616028,,1769340418618759,3529065,3517213,,,,3471028,267150,17,yolov5m,PngLossless,T2,Letterbox
207,415,RSU-0002,Local,1769340415157945,1769340415171361,1769340415175660,1769340418655658,,1769340415187482,1769340418655658,,1769340418650743,3492798,3484297,,,,3468176,267897,17,yolov5m,PngLossless,T2,Letterbox
233,467,RSU-0001,Local,1769340416927205,1769340416924338,1769340416931968,1769340420956238,,1769340416994243,1769340420956237,,1769340420965951,4038746,4031900,,,,3961994,265774,19,yolov5m,PngLossless,T2,Letterbox
257,515,RSU-0000,Local,1769340418558591,1769340418565774,1769340418573410,1769340422085661,,1769340418616182,1769340422085660,,1769340422088422,3529831,3519887,,,,3469478,266199,20,yolov5m,PngLossless,T2,Letterbox
258,517,RSU-0002,Local,1769340418626236,1769340418636459,1769340418639664,1769340422126245,,1769340418655816,1769340422126245,,1769340422121395,3495159,3489786,,,,3470429,267193,21,yolov5m,PngLossless,T2,Letterbox
292,585,RSU-0001,Local,1769340420938185,1769340420935475,1769340420944653,1769340424919743,,1769340420956366,1769340424919742,,1769340424932615,3994430,3984268,,,,3963376,268447,20,yolov5m,PngLossless,T2,Letterbox
308,617,RSU-0000,Local,1769340422025628,1769340422034795,1769340422042676,1769340425548070,,1769340422085803,1769340425548069,,1769340425550856,3525228,3513275,,,,3462266,272156,22,yolov5m,PngLossless,T2,Letterbox
309,619,RSU-0002,Local,1769340422092764,1769340422105379,1769340422109186,1769340425593766,,1769340422126404,1769340425593765,,1769340425588800,3496036,3488387,,,,3467361,271597,22,yolov5m,PngLossless,T2,Letterbox
350,701,RSU-0001,Local,1769340424883756,1769340424884487,1769340424894334,1769340428887089,,1769340424919914,1769340428887088,,1769340428899990,4016234,4002602,,,,3967174,273548,24,yolov5m,PngLossless,T2,Letterbox
359,719,RSU-0000,Local,1769340425495830,1769340425503547,1769340425525032,1769340429014123,,1769340425548220,1769340429014122,,1769340429017054,3521224,3510576,,,,3465902,272407,24,yolov5m,PngLossless,T2,Letterbox
360,721,RSU-0002,Local,1769340425564251,1769340425577603,1769340425581856,1769340429088415,,1769340425593893,1769340429088414,,1769340429086580,3522329,3510812,,,,3494521,273954,24,yolov5m,PngLossless,T2,Letterbox
410,821,RSU-0000,Local,1769340428963665,1769340428974380,1769340428988640,1769340432484083,,1769340429014261,1769340432484082,,1769340432487030,3523365,3509703,,,,3469821,274437,22,yolov5m,PngLossless,T2,Letterbox
411,823,RSU-0002,Local,1769340429031265,1769340429043639,1769340429045812,1769340432569305,,1769340429088561,1769340432569304,,1769340432567373,3536108,3525666,,,,3480743,275048,22,yolov5m,PngLossless,T2,Letterbox
408,817,RSU-0001,Local,1769340428827286,1769340428826693,1769340428839614,1769340432865581,,1769340428887244,1769340432865580,,1769340432875397,4048111,4038888,,,,3978336,273953,21,yolov5m,PngLossless,T2,Letterbox
461,923,RSU-0000,Local,1769340432432454,1769340432439639,1769340432448985,1769340435956976,,1769340432484211,1769340435956975,,1769340435959955,3527501,3517337,,,,3472764,267425,22,yolov5m,PngLossless,T2,Letterbox
462,925,RSU-0002,Local,1769340432500866,1769340432515037,1769340432517148,1769340436059062,,1769340432569461,1769340436059061,,1769340436054007,3553141,3544025,,,,3489600,267375,21,yolov5m,PngLossless,T2,Letterbox
467,935,RSU-0001,Local,1769340432839913,1769340432837852,1769340432846173,1769340436834677,,1769340432865731,1769340436834676,,1769340436847482,4007569,3996825,,,,3968945,263845,19,yolov5m,PngLossless,T2,Letterbox
512,1025,RSU-0000,Local,1769340435899523,1769340435908726,1769340435918364,1769340439423026,,1769340435957117,1769340439423026,,1769340439425939,3526416,3514300,,,,3465909,264673,18,yolov5m,PngLossless,T2,Letterbox
514,1029,RSU-0002,Local,1769340436035080,1769340436048519,1769340436053325,1769340439531715,,1769340436059222,1769340439531715,,1769340439527006,3491926,3483196,,,,3472493,264385,19,yolov5m,PngLossless,T2,Letterbox
525,1051,RSU-0001,Local,1769340436783407,1769340436781496,1769340436781898,1769340440785715,,1769340436834830,1769340440785714,,1769340440798903,4015496,4004219,,,,3950884,262337,17,yolov5m,PngLossless,T2,Letterbox
563,1127,RSU-0000,Local,1769340439367065,1769340439375458,1769340439385070,1769340442893645,,1769340439423170,1769340442893644,,1769340442897292,3530227,3518187,,,,3470474,264073,17,yolov5m,PngLossless,T2,Letterbox
565,1131,RSU-0002,Local,1769340439503009,1769340439516982,1769340439521693,1769340443027564,,1769340439531860,1769340443027563,,1769340443025849,3522840,3510582,,,,3495703,264118,17,yolov5m,PngLossless,T2,Letterbox
