sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Local,1769334521953114,1769334521960254,1769334521987268,1769334525728864,,1769334522238033,1769334525728863,,1769334525729209,3776095,3768610,,,,3490830,8296178,17,yolov5m,PngLossless,T3,FHD
2,7,RSU-0002,Local,1769334522155272,1769334522163812,1769334522208265,1769334525921862,,1769334522269128,1769334525921861,,1769334525960480,3805208,3758050,,,,3652733,8296178,18,yolov5m,PngLossless,T3,FHD
0,1,RSU-0001,Local,1769334521953115,1769334521958975,1769334521976749,1769334526309828,,1769334522277847,1769334526309827,,1769334526410851,4457736,4350853,,,,4031980,8296178,17,yolov5m,PngLossless,T3,FHD
37,112,RSU-0000,Local,1769334525707502,1769334525716269,1769334525726022,1769334529280915,,1769334525728975,1769334529280914,,1769334529281562,3574060,3564646,,,,3551939,8296178,24,yolov5m,PngLossless,T3,FHD
38,115,RSU-0002,Local,1769334525808966,1769334525817239,1769334525824239,1769334529545000,,1769334525921981,1769334529544999,,1769334529547591,3738625,3727761,,,,3623018,8296178,24,yolov5m,PngLossless,T3,FHD
20,61,RSU-0001,Local,1769334523982481,1769334526191028,1769334526197679,1769334530522645,,1769334526309982,1769334530522644,,1769334530575868,6593387,4331617,,,,4212662,8296178,22,yolov5m,PngLossless,T3,FHD
72,217,RSU-0000,Local,1769334529254357,1769334529262961,1769334529276556,1769334532824329,,1769334529281053,1769334532824328,,1769334532824905,3570548,3561368,,,,3543275,8296178,25,yolov5m,PngLossless,T3,FHD
74,223,RSU-0002,Local,1769334529456594,1769334529464300,1769334529472540,1769334533042863,,1769334529545145,1769334533042862,,1769334533042383,3585789,3578563,,,,3497717,8296178,21,yolov5m,PngLossless,T3,FHD
40,121,RSU-0001,Local,1769334526011034,1769334530369314,1769334530377245,1769334534744561,,1769334530522785,1769334534744560,,1769334534752328,8741294,4375247,,,,4221775,8296178,22,yolov5m,PngLossless,T3,FHD
109,328,RSU-0002,Local,1769334533005330,1769334533015409,1769334533024343,1769334536516150,,1769334533043181,1769334536516150,,1769334536518722,3513392,3500741,,,,3472969,8296178,21,yolov5m,PngLossless,T3,FHD
107,322,RSU-0000,Local,1769334532801759,1769334532813295,1769334532822214,1769334536361383,,1769334532824464,1769334536361383,,1769334539044372,6242613,3548088,,,,3536919,8296178,21,yolov5m,PngLossless,T3,FHD
62,187,RSU-0001,Local,1769334528241558,1769334534354243,1769334534554452,1769334538952066,,1769334534744696,1769334538952065,,1769334539175026,10933468,4597823,,,,4207369,8296178,21,yolov5m,PngLossless,T3,FHD
143,430,RSU-0002,Local,1769334536448416,1769334536457122,1769334536464247,1769334539992582,,1769334536516478,1769334539992581,,1769334539995056,3546640,3535460,,,,3476103,8296178,20,yolov5m,PngLossless,T3,FHD
132,397,RSU-0000,Local,1769334535333896,1769334536279861,1769334536288895,1769334539872303,,1769334536361476,1769334539872302,,1769334540307035,4973139,3592442,,,,3510826,8296178,18,yolov5m,PngLossless,T3,FHD
85,256,RSU-0001,Local,1769334530571498,1769334538311027,1769334538784047,1769334543203382,,1769334538952191,1769334543203381,,1769334543268054,12696556,4892355,,,,4251190,8296178,20,yolov5m,PngLossless,T3,FHD
177,532,RSU-0002,Local,1769334539892102,1769334539899986,1769334539906253,1769334543474271,,1769334539992725,1769334543474270,,1769334543473646,3581544,3574285,,,,3481545,8296178,22,yolov5m,PngLossless,T3,FHD
142,427,RSU-0000,Local,1769334536347098,1769334539522021,1769334539529311,1769334543396879,,1769334539872435,1769334543396877,,1769334544137471,7790373,3874858,,,,3524442,8296178,23,yolov5m,PngLossless,T3,FHD
212,637,RSU-0002,Local,1769334543441738,1769334543450634,1769334543465278,1769334546943356,,1769334543474417,1769334546943356,,1769334546945772,3504034,3492722,,,,3468939,8296178,23,yolov5m,PngLossless,T3,FHD
152,457,RSU-0000,Local,1769334537358308,1769334543380858,1769334543394821,1769334546939728,,1769334543397061,1769334546939727,,1769334547223886,9865578,3558870,,,,3542666,8296178,21,yolov5m,PngLossless,T3,FHD
