sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Local,1769326068352901,1769326068364159,1769326068629133,1769326072004530,,1769326068631152,1769326072004529,,1769326072006557,3653656,3640371,,,,3373377,3687468,17,yolov5m,PngLossless,T3,HD
0,1,RSU-0002,Local,1769326068352902,1769326068358928,1769326068382350,1769326072066804,,1769326068670104,1769326072066803,,1769326072071877,3718975,3707876,,,,3396699,3687468,17,yolov5m,PngLossless,T3,HD
0,1,RSU-0001,Local,1769326068352901,1769326068359794,1769326068452418,1769326072477070,,1769326068679111,1769326072477069,,1769326072482505,4129604,4117276,,,,3797958,3687468,17,yolov5m,PngLossless,T3,HD
3,91,RSU-0000,Local,1769326071357139,1769326071363733,1769326071469032,1769326075678190,,1769326072004684,1769326075678189,,1769326075680279,4323140,4314457,,,,3673505,3687468,23,yolov5m,PngLossless,T3,HD
3,91,RSU-0002,Local,1769326071357155,1769326071361759,1769326071379522,1769326075691055,,1769326072066920,1769326075691054,,1769326075695775,4338620,4329296,,,,3624134,3687468,23,yolov5m,PngLossless,T3,HD
4,121,RSU-0001,Local,1769326072358384,1769326072363849,1769326072458130,1769326076455154,,1769326072477175,1769326076455153,,1769326076465063,4106679,4091305,,,,3977978,3687468,22,yolov5m,PngLossless,T3,HD
7,211,RSU-0002,Local,1769326075363253,1769326075366530,1769326075384030,1769326079289268,,1769326075691212,1769326079289267,,1769326079294333,3931080,3922738,,,,3598055,3687468,23,yolov5m,PngLossless,T3,HD
7,211,RSU-0000,Local,1769326075363238,1769326075370733,1769326075506069,1769326079323036,,1769326075678333,1769326079323035,,1769326079325494,3962256,3952303,,,,3644702,3687468,23,yolov5m,PngLossless,T3,HD
7,211,RSU-0001,Local,1769326075363252,1769326075365255,1769326075456385,1769326080418484,,1769326076455293,1769326080418483,,1769326080475191,5111939,5053229,,,,3963190,3687468,23,yolov5m,PngLossless,T3,HD
10,301,RSU-0002,Local,1769326078367667,1769326078377722,1769326078395438,1769326082864510,,1769326079289414,1769326082864509,,1769326082869271,4501604,4486788,,,,3575095,3687468,19,yolov5m,PngLossless,T3,HD
10,301,RSU-0000,Local,1769326078367650,1769326078377974,1769326078631929,1769326082972094,,1769326079323196,1769326082972093,,1769326082974318,4606668,4594120,,,,3648897,3687468,19,yolov5m,PngLossless,T3,HD
11,331,RSU-0001,Local,1769326079368974,1769326079373995,1769326079424282,1769326084374988,,1769326080418642,1769326084374987,,1769326084376818,5007844,5000993,,,,3956345,3687468,20,yolov5m,PngLossless,T3,HD
14,421,RSU-0002,Local,1769326082374670,1769326082383185,1769326082399804,1769326086463797,,1769326082864651,1769326086463796,,1769326086468490,4093820,4080612,,,,3599145,3687468,20,yolov5m,PngLossless,T3,HD
14,421,RSU-0000,Local,1769326082374653,1769326082383916,1769326082493879,1769326086617147,,1769326082972218,1769326086617146,,1769326086619271,4244618,4233231,,,,3644928,3687468,20,yolov5m,PngLossless,T3,HD
15,451,RSU-0001,Local,1769326083376156,1769326083381316,1769326083472819,1769326088333048,,1769326084375137,1769326088333047,,1769326088338648,4962492,4951732,,,,3957910,3687468,21,yolov5m,PngLossless,T3,HD
18,541,RSU-0002,Local,1769326086378823,1769326086384276,1769326086401621,1769326090079899,,1769326086463954,1769326090079898,,1769326090085147,3706324,3695623,,,,3615944,3687468,22,yolov5m,PngLossless,T3,HD
18,541,RSU-0000,Local,1769326086378811,1769326086388856,1769326086552869,1769326090251482,,1769326086617286,1769326090251482,,1769326090253996,3875185,3862626,,,,3634196,3687468,22,yolov5m,PngLossless,T3,HD
19,571,RSU-0001,Local,1769326087380650,1769326087385510,1769326087483389,1769326092294260,,1769326088333211,1769326092294259,,1769326092299894,4919244,4908750,,,,3961048,3687468,21,yolov5m,PngLossless,T3,HD
21,631,RSU-0002,Local,1769326089384627,1769326089387652,1769326089410117,1769326093640843,,1769326090080058,1769326093640843,,1769326093645719,4261092,4253191,,,,3560785,3687468,23,yolov5m,PngLossless,T3,HD
21,631,RSU-0000,Local,1769326089384608,1769326089393285,1769326089489404,1769326093899446,,1769326090251635,1769326093899445,,1769326093901656,4517048,4506161,,,,3647810,3687468,23,yolov5m,PngLossless,T3,HD
23,691,RSU-0001,Local,1769326091388257,1769326091393312,1769326091644132,1769326096249750,,1769326092294410,1769326096249749,,1769326096255666,4867409,4856438,,,,3955339,3687468,24,yolov5m,PngLossless,T3,HD
25,751,RSU-0002,Local,1769326093391766,1769326093397369,1769326093417137,1769326097220703,,1769326093640991,1769326097220702,,1769326097225915,3834149,3823334,,,,3579711,3687468,24,yolov5m,PngLossless,T3,HD
25,751,RSU-0000,Local,1769326093391752,1769326093402115,1769326093713933,1769326097557330,,1769326093899587,1769326097557329,,1769326097713362,4321610,4155215,,,,3657742,3687468,24,yolov5m,PngLossless,T3,HD
27,811,RSU-0001,Local,1769326095393871,1769326095399794,1769326095514623,1769326100206596,,1769326096249911,1769326100206595,,1769326100212303,4818432,4806802,,,,3956684,3687468,21,yolov5m,PngLossless,T3,HD
28,841,RSU-0002,Local,1769326096394787,1769326096399510,1769326096421470,1769326100781923,,1769326097220850,1769326100781922,,1769326100786776,4391989,4382413,,,,3561072,3687468,21,yolov5m,PngLossless,T3,HD
28,841,RSU-0000,Local,1769326096394758,1769326096404083,1769326096744509,1769326101216956,,1769326097557461,1769326101216955,,1769326101219106,4824348,4812873,,,,3659494,3687468,21,yolov5m,PngLossless,T3,HD
31,931,RSU-0001,Local,1769326099399273,1769326099404475,1769326099493557,1769326104157640,,1769326100206745,1769326104157639,,1769326104163143,4763870,4753165,,,,3950894,3687468,22,yolov5m,PngLossless,T3,HD
32,961,RSU-0002,Local,1769326100400156,1769326100405801,1769326100428564,1769326104360196,,1769326100782065,1769326104360195,,1769326104365191,3965035,3954395,,,,3578130,3687468,18,yolov5m,PngLossless,T3,HD
32,961,RSU-0000,Local,1769326100400139,1769326100409428,1769326100573894,1769326104866916,,1769326101217097,1769326104866915,,1769326104869147,4469008,4457488,,,,3649818,3687468,18,yolov5m,PngLossless,T3,HD
35,1051,RSU-0002,Local,1769326103403364,1769326103410782,1769326103432532,1769326107967202,,1769326104360415,1769326107967202,,1769326107972190,4568826,4556420,,,,3606787,3687468,17,yolov5m,PngLossless,T3,HD
35,1051,RSU-0001,Local,1769326103403363,1769326103410484,1769326103503533,1769326108107029,,1769326104157792,1769326108107028,,1769326108112584,4709221,4696545,,,,3949236,3687468,17,yolov5m,PngLossless,T3,HD
36,1081,RSU-0000,Local,1769326104404506,1769326104412540,1769326104695111,1769326108531127,,1769326104867062,1769326108531126,,1769326108533115,4128609,4118587,,,,3664064,3687468,17,yolov5m,PngLossless,T3,HD
39,1171,RSU-0002,Local,1769326107407915,1769326107412058,1769326107431987,1769326111564401,,1769326107967348,1769326111564401,,1769326111569275,4161360,4152343,,,,3597053,3687468,16,yolov5m,PngLossless,T3,HD
39,1171,RSU-0001,Local,1769326107407914,1769326107409856,1769326107500805,1769326112059951,,1769326108107176,1769326112059950,,1769326112065401,4657487,4650095,,,,3952774,3687468,16,yolov5m,PngLossless,T3,HD
40,1201,RSU-0000,Local,1769326108409627,1769326108419053,1769326108530631,1769326112180705,,1769326108531243,1769326112180704,,1769326112183147,3773520,3761652,,,,3649461,3687468,15,yolov5m,PngLossless,T3,HD
43,1291,RSU-0002,Local,1769326111413759,1769326111420112,1769326111440866,1769326115161951,,1769326111564547,1769326115161950,,1769326115166659,3752900,3741839,,,,3597403,3687468,17,yolov5m,PngLossless,T3,HD
43,1291,RSU-0000,Local,1769326111413741,1769326111423929,1769326111527955,1769326115831635,,1769326112180858,1769326115831634,,1769326115833670,4419929,4407706,,,,3650776,3687468,17,yolov5m,PngLossless,T3,HD
43,1291,RSU-0001,Local,1769326111413758,1769326111415683,1769326111506217,1769326116012512,,1769326112060091,1769326116012511,,1769326116017829,4604071,4596829,,,,3952420,3687468,17,yolov5m,PngLossless,T3,HD
46,1381,RSU-0002,Local,1769326114419012,1769326114426103,1769326114446858,1769326118757059,,1769326115162106,1769326118757058,,1769326118762080,4343068,4330956,,,,3594952,3687468,20,yolov5m,PngLossless,T3,HD
47,1411,RSU-0000,Local,1769326115420627,1769326115430012,1769326115606262,1769326119483037,,1769326115831803,1769326119483036,,1769326119546972,4126345,4053025,,,,3651233,3687468,18,yolov5m,PngLossless,T3,HD
47,1411,RSU-0001,Local,1769326115420641,1769326115425770,1769326115516230,1769326119970748,,1769326116012654,1769326119970747,,1769326119976142,4555501,4544978,,,,3958093,3687468,18,yolov5m,PngLossless,T3,HD
50,1501,RSU-0002,Local,1769326118425174,1769326118431575,1769326118453186,1769326122351405,,1769326118757181,1769326122351404,,1769326122353259,3928085,3919830,,,,3594223,3687468,19,yolov5m,PngLossless,T3,HD
50,1501,RSU-0000,Local,1769326118425159,1769326118435627,1769326118775582,1769326123098412,,1769326119483163,1769326123098411,,1769326123100761,4675602,4662785,,,,3615248,3687468,19,yolov5m,PngLossless,T3,HD
51,1531,RSU-0001,Local,1769326119426621,1769326119431920,1769326119512807,1769326123928306,,1769326119970892,1769326123928305,,1769326123933619,4506998,4496386,,,,3957413,3687468,16,yolov5m,PngLossless,T3,HD
53,1591,RSU-0002,Local,1769326121428874,1769326121437808,1769326121457473,1769326125929743,,1769326122351552,1769326125929743,,1769326125934680,4505806,4491935,,,,3578191,3687468,12,yolov5m,PngLossless,T3,HD
54,1621,RSU-0000,Local,1769326122429821,1769326122439795,1769326122537930,1769326126719948,,1769326123098567,1769326126719947,,1769326126721753,4291932,4280153,,,,3621380,3687468,12,yolov5m,PngLossless,T3,HD
55,1651,RSU-0001,Local,1769326123430842,1769326123436867,1769326123477243,1769326127896772,,1769326123928456,1769326127896771,,1769326127902183,4471341,4459905,,,,3968315,3687468,15,yolov5m,PngLossless,T3,HD
57,1711,RSU-0002,Local,1769326125432829,1769326125438377,1769326125458745,1769326129531633,,1769326125929868,1769326129531632,,1769326129537544,4104715,4093256,,,,3601764,3687468,18,yolov5m,PngLossless,T3,HD
58,1741,RSU-0000,Local,1769326126433740,1769326126441788,1769326126708061,1769326130340920,,1769326126720088,1769326130340920,,1769326130340405,3906665,3899132,,,,3620832,3687468,17,yolov5m,PngLossless,T3,HD
59,1771,RSU-0001,Local,1769326127435148,1769326127441095,1769326127533073,1769326131840634,,1769326127896929,1769326131840633,,1769326131846841,4411693,4399539,,,,3943704,3687468,20,yolov5m,PngLossless,T3,HD
59,1771,RSU-0002,Local,1769326127435149,1769326127441884,1769326127463180,1769326133103923,,1769326129531790,1769326133103922,,1769326133109000,5673851,5662039,,,,3572132,3687468,20,yolov5m,PngLossless,T3,HD
59,1771,RSU-0000,Local,1769326127435134,1769326127445597,1769326127537081,1769326133978838,,1769326130341003,1769326133978837,,1769326133981716,6546582,6533241,,,,3637834,3687468,20,yolov5m,PngLossless,T3,HD
