sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
1,7,RSU-0000,Local,1768650702302861,1768650702322660,1768650702326884,1768650705132462,,1768650702404908,1768650705132461,,1768650705152304,2849443,2809802,,,2727553,3687468,17,1280,720,yolov5m,PngLossless,T3,HD
1,7,RSU-0001,Local,1768650702302861,1768650702315554,1768650702319999,1768650705237748,,1768650702387875,1768650705237747,,1768650705249927,2947066,2922194,,,2849872,3687468,17,1280,720,yolov5m,PngLossless,T3,HD
1,7,RSU-0002,Local,1768650702302861,1768650702314792,1768650702403034,1768650705642343,,1768650702453568,1768650705642342,,1768650705682990,3380129,3327551,,,3188774,3687468,17,1280,720,yolov5m,PngLossless,T3,HD
14,85,RSU-0000,Local,1768650704919914,1768650704927234,1768650704930280,1768650707965692,,1768650705133031,1768650707965692,,1768650707989114,3069200,3038458,,,2832661,3687468,23,1280,720,yolov5m,PngLossless,T3,HD
15,91,RSU-0001,Local,1768650705120425,1768650705134413,1768650705138067,1768650708073868,,1768650705238128,1768650708073867,,1768650708109062,2988637,2939455,,,2835739,3687468,23,1280,720,yolov5m,PngLossless,T3,HD
16,97,RSU-0002,Local,1768650705321292,1768650705384051,1768650705478669,1768650708738022,,1768650705642765,1768650708738021,,1768650708809840,3488548,3353971,,,3095256,3687468,22,1280,720,yolov5m,PngLossless,T3,HD
28,169,RSU-0000,Local,1768650707739864,1768650707747758,1768650707755648,1768650710709234,,1768650707966683,1768650710709233,,1768650710761558,3021694,2961476,,,2742550,3687468,22,1280,720,yolov5m,PngLossless,T3,HD
29,175,RSU-0001,Local,1768650707940637,1768650707966618,1768650707976149,1768650710837589,,1768650708074235,1768650710837588,,1768650710858087,2917450,2870971,,,2763353,3687468,23,1280,720,yolov5m,PngLossless,T3,HD
32,193,RSU-0002,Local,1768650708543730,1768650708595472,1768650708693806,1768650711883314,,1768650708738187,1768650711883313,,1768650711916738,3373008,3287842,,,3145126,3687468,23,1280,720,yolov5m,PngLossless,T3,HD
42,253,RSU-0000,Local,1768650710555027,1768650710564045,1768650710572618,1768650713527095,,1768650710709401,1768650713527094,,1768650713561127,3006100,2963050,,,2817693,3687468,22,1280,720,yolov5m,PngLossless,T3,HD
42,253,RSU-0001,Local,1768650710555027,1768650710565540,1768650710572634,1768650713509711,,1768650710838137,1768650713509710,,1768650713580632,3025605,2944171,,,2671573,3687468,22,1280,720,yolov5m,PngLossless,T3,HD
48,289,RSU-0002,Local,1768650711762513,1768650711767984,1768650711881905,1768650715008006,,1768650711883693,1768650715008005,,1768650715103612,3341099,3240022,,,3124312,3687468,20,1280,720,yolov5m,PngLossless,T3,HD
56,337,RSU-0001,Local,1768650713375935,1768650713388646,1768650713395566,1768650716307143,,1768650713509860,1768650716307142,,1768650716322813,2946878,2918497,,,2797282,3687468,19,1280,720,yolov5m,PngLossless,T3,HD
56,337,RSU-0000,Local,1768650713375935,1768650713383531,1768650713391911,1768650716420156,,1768650713527483,1768650716420155,,1768650716453318,3077383,3036625,,,2892672,3687468,19,1280,720,yolov5m,PngLossless,T3,HD
63,379,RSU-0002,Local,1768650714784881,1768650714786839,1768650714884489,1768650718110695,,1768650715008154,1768650718110694,,1768650718244373,3459492,3323856,,,3102540,3687468,21,1280,720,yolov5m,PngLossless,T3,HD
70,421,RSU-0001,Local,1768650716194450,1768650716210177,1768650716213484,1768650719099564,,1768650716307538,1768650719099564,,1768650719111208,2916758,2889387,,,2792026,3687468,20,1280,720,yolov5m,PngLossless,T3,HD
71,427,RSU-0000,Local,1768650716395645,1768650716403844,1768650716413094,1768650719307505,,1768650716420540,1768650719307504,,1768650719320480,2924835,2903661,,,2886964,3687468,21,1280,720,yolov5m,PngLossless,T3,HD
79,475,RSU-0002,Local,1768650718009162,1768650718015884,1768650718111651,1768650721144309,,1768650718111851,1768650721144308,,1768650721160701,3151539,3128425,,,3032457,3687468,17,1280,720,yolov5m,PngLossless,T3,HD
84,505,RSU-0001,Local,1768650719015514,1768650719024247,1768650719033503,1768650721899866,,1768650719099717,1768650721899865,,1768650721924061,2908547,2875619,,,2800148,3687468,19,1280,720,yolov5m,PngLossless,T3,HD
85,511,RSU-0000,Local,1768650719216626,1768650719264121,1768650719279190,1768650722052866,,1768650719307794,1768650722052865,,1768650722067596,2850970,2788745,,,2745071,3687468,21,1280,720,yolov5m,PngLossless,T3,HD
94,565,RSU-0002,Local,1768650721028882,1768650721039704,1768650721140110,1768650724185423,,1768650721144874,1768650724185422,,1768650724478969,3450087,3145719,,,3040548,3687468,20,1280,720,yolov5m,PngLossless,T3,HD
98,589,RSU-0001,Local,1768650721832496,1768650721846543,1768650721850447,1768650724649717,,1768650721900431,1768650724649716,,1768650724655290,2822794,2803174,,,2749285,3687468,20,1280,720,yolov5m,PngLossless,T3,HD
98,589,RSU-0000,Local,1768650721832496,1768650721847636,1768650721857331,1768650724905853,,1768650722054693,1768650724905852,,1768650724921145,3088649,3058217,,,2851159,3687468,20,1280,720,yolov5m,PngLossless,T3,HD
108,649,RSU-0002,Local,1768650723848053,1768650723863224,1768650723963178,1768650727303301,,1768650724185822,1768650727303300,,1768650727327765,3479712,3440077,,,3117478,3687468,23,1280,720,yolov5m,PngLossless,T3,HD
111,667,RSU-0001,Local,1768650724452462,1768650724459141,1768650724462135,1768650727398912,,1768650724649932,1768650727398911,,1768650727460979,3008517,2939771,,,2748979,3687468,21,1280,720,yolov5m,PngLossless,T3,HD
113,679,RSU-0000,Local,1768650724856132,1768650724869471,1768650724872899,1768650727746186,,1768650724906241,1768650727746185,,1768650727768442,2912310,2876715,,,2839944,3687468,23,1280,720,yolov5m,PngLossless,T3,HD
125,751,RSU-0001,Local,1768650727271523,1768650727291188,1768650727299306,1768650730153409,,1768650727399275,1768650730153407,,1768650730226418,2954895,2862221,,,2754132,3687468,24,1280,720,yolov5m,PngLossless,T3,HD
127,763,RSU-0000,Local,1768650727675287,1768650727733444,1768650727738880,1768650730472945,,1768650727746330,1768650730472944,,1768650730497450,2822163,2739501,,,2726614,3687468,22,1280,720,yolov5m,PngLossless,T3,HD
125,751,RSU-0002,Local,1768650727271523,1768650727279750,1768650727299703,1768650730495054,,1768650727303662,1768650730495053,,1768650730543180,3271657,3215304,,,3191391,3687468,24,1280,720,yolov5m,PngLossless,T3,HD
138,829,RSU-0001,Local,1768650729893194,1768650729907192,1768650729915352,1768650732902982,,1768650730153621,1768650732902981,,1768650732928490,3035296,2995790,,,2749360,3687468,20,1280,720,yolov5m,PngLossless,T3,HD
140,841,RSU-0000,Local,1768650730296771,1768650730308204,1768650730316530,1768650733241477,,1768650730473506,1768650733241476,,1768650733255680,2958909,2933273,,,2767970,3687468,21,1280,720,yolov5m,PngLossless,T3,HD
140,841,RSU-0002,Local,1768650730296771,1768650730307491,1768650730350672,1768650733583438,,1768650730495210,1768650733583437,,1768650733641986,3345215,3275947,,,3088227,3687468,21,1280,720,yolov5m,PngLossless,T3,HD
