sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
3,7,RSU-0001,Local,1768658858551320,1768658858554888,1768658858556754,1768658861085418,,1768658858616954,1768658861085417,,1768658861116882,2565562,2530530,,,2468463,1323987,17,640,640,yolov5m,PngLossless,T3,Letterbox
1,3,RSU-0000,Local,1768658858415756,1768658858418233,1768658858451870,1768658861592194,,1768658858548919,1768658861592193,,1768658861646759,3231003,3173961,,,3043274,1323944,17,640,640,yolov5m,PngLossless,T3,Letterbox
1,3,RSU-0002,Local,1768658858415756,1768658858417516,1768658858454011,1768658861890136,,1768658858527558,1768658861890135,,1768658861918042,3502286,3472620,,,3362577,1323944,17,640,640,yolov5m,PngLossless,T3,Letterbox
40,81,RSU-0001,Local,1768658861068433,1768658861074183,1768658861083279,1768658863705987,,1768658861085648,1768658863705986,,1768658863729844,2661411,2631804,,,2620338,1323894,22,640,640,yolov5m,PngLossless,T3,Letterbox
46,93,RSU-0000,Local,1768658861476289,1768658861500507,1768658861537219,1768658864629375,,1768658861592330,1768658864629374,,1768658864659938,3183649,3128868,,,3037044,1323945,20,640,640,yolov5m,PngLossless,T3,Letterbox
51,103,RSU-0002,Local,1768658861815363,1768658861830492,1768658861869553,1768658865290350,,1768658861890650,1768658865290349,,1768658865431310,3615947,3459858,,,3399699,1323945,22,640,640,yolov5m,PngLossless,T3,Letterbox
78,157,RSU-0001,Local,1768658863649238,1768658863650979,1768658863652485,1768658866264898,,1768658863706129,1768658866264898,,1768658866270864,2621626,2613919,,,2558769,1324044,22,640,640,yolov5m,PngLossless,T3,Letterbox
91,183,RSU-0000,Local,1768658864533601,1768658864546907,1768658864591814,1768658867396513,,1768658864629513,1768658867396512,,1768658867442179,2908578,2849606,,,2766999,1324100,23,640,640,yolov5m,PngLossless,T3,Letterbox
116,233,RSU-0001,Local,1768658866229788,1768658866234113,1768658866244377,1768658868813086,,1768658866265285,1768658868813086,,1768658868825016,2595228,2578973,,,2547801,1324115,21,640,640,yolov5m,PngLossless,T3,Letterbox
101,203,RSU-0002,Local,1768658865212974,1768658865212999,1768658865255615,1768658868965653,,1768658865290700,1768658868965652,,1768658869018298,3805324,3752654,,,3674952,1324098,22,640,640,yolov5m,PngLossless,T3,Letterbox
132,265,RSU-0000,Local,1768658867319067,1768658867326263,1768658867328784,1768658869982020,,1768658867396857,1768658869982019,,1768658869985773,2666706,2655757,,,2585162,1324125,22,640,640,yolov5m,PngLossless,T3,Letterbox
153,307,RSU-0001,Local,1768658868746945,1768658868749720,1768658868751206,1768658871361496,,1768658868813237,1768658871361495,,1768658871367302,2620357,2611776,,,2548258,1324162,19,640,640,yolov5m,PngLossless,T3,Letterbox
155,311,RSU-0002,Local,1768658868882345,1768658868887532,1768658868930106,1768658872487516,,1768658868966035,1768658872487515,,1768658872516551,3634206,3599984,,,3521480,1324171,18,640,640,yolov5m,PngLossless,T3,Letterbox
171,343,RSU-0000,Local,1768658869969536,1768658869975924,1768658869976896,1768658872556477,,1768658869982405,1768658872556476,,1768658872561808,2592272,2580553,,,2574071,1324154,18,640,640,yolov5m,PngLossless,T3,Letterbox
191,383,RSU-0001,Local,1768658871329386,1768658871332714,1768658871351552,1768658873904881,,1768658871361650,1768658873904880,,1768658873915404,2586018,2572167,,,2543230,1324158,20,640,640,yolov5m,PngLossless,T3,Letterbox
208,417,RSU-0000,Local,1768658872484651,1768658872491098,1768658872535867,1768658875127977,,1768658872556817,1768658875127977,,1768658875138855,2654204,2636879,,,2571160,1324175,19,640,640,yolov5m,PngLossless,T3,Letterbox
207,415,RSU-0002,Local,1768658872417278,1768658872416034,1768658872453533,1768658876035468,,1768658872487913,1768658876035467,,1768658876099467,3682189,3619434,,,3547554,1324180,17,640,640,yolov5m,PngLossless,T3,Letterbox
228,457,RSU-0001,Local,1768658873842142,1768658873844718,1768658873846239,1768658876490880,,1768658873905031,1768658876490879,,1768658876504792,2662650,2646162,,,2585848,1324135,21,640,640,yolov5m,PngLossless,T3,Letterbox
246,493,RSU-0000,Local,1768658875063865,1768658875070626,1768658875072225,1768658877685511,,1768658875128126,1768658877685510,,1768658877696600,2632735,2614885,,,2557384,1324110,19,640,640,yolov5m,PngLossless,T3,Letterbox
266,533,RSU-0001,Local,1768658876426252,1768658876431169,1768658876438442,1768658879042817,,1768658876491055,1768658879042816,,1768658879051806,2625554,2611648,,,2551761,1324133,22,640,640,yolov5m,PngLossless,T3,Letterbox
259,519,RSU-0002,Local,1768658875949135,1768658875949962,1768658875987375,1768658879555979,,1768658876035616,1768658879555978,,1768658879577727,3628592,3606017,,,3520362,1324130,20,640,640,yolov5m,PngLossless,T3,Letterbox
283,567,RSU-0000,Local,1768658877581628,1768658877587261,1768658877623650,1768658880249680,,1768658877685602,1768658880249679,,1768658880287477,2705849,2662419,,,2564077,1324124,20,640,640,yolov5m,PngLossless,T3,Letterbox
304,609,RSU-0001,Local,1768658879010737,1768658879012533,1768658879022887,1768658881598495,,1768658879042974,1768658881598494,,1768658881604051,2593314,2585962,,,2555520,1324022,21,640,640,yolov5m,PngLossless,T3,Letterbox
311,623,RSU-0002,Local,1768658879486899,1768658879489743,1768658879529616,1768658882666326,,1768658879556346,1768658882666326,,1768658882674010,3187111,3176583,,,3109980,1323995,23,640,640,yolov5m,PngLossless,T3,Letterbox
321,643,RSU-0000,Local,1768658880167944,1768658880172034,1768658880173576,1768658882845113,,1768658880250023,1768658882845112,,1768658882846664,2678720,2673079,,,2595089,1323813,23,640,640,yolov5m,PngLossless,T3,Letterbox
342,685,RSU-0001,Local,1768658881594912,1768658881595584,1768658881597585,1768658884175452,,1768658881598656,1768658884175452,,1768658884184056,2589144,2579868,,,2576796,1323383,23,640,640,yolov5m,PngLossless,T3,Letterbox
357,715,RSU-0002,Local,1768658882614339,1768658882615858,1768658882653850,1768658885348447,,1768658882666482,1768658885348446,,1768658885376952,2762613,2732589,,,2681964,1323526,24,640,640,yolov5m,PngLossless,T3,Letterbox
360,721,RSU-0000,Local,1768658882817895,1768658882822800,1768658882825664,1768658885450268,,1768658882845469,1768658885450267,,1768658885454763,2636868,2627468,,,2604798,1323552,24,640,640,yolov5m,PngLossless,T3,Letterbox
379,759,RSU-0001,Local,1768658884110068,1768658884113167,1768658884122673,1768658886739789,,1768658884175666,1768658886739789,,1768658886748268,2638200,2626622,,,2564123,1323745,21,640,640,yolov5m,PngLossless,T3,Letterbox
396,793,RSU-0002,Local,1768658885264888,1768658885268954,1768658885312624,1768658888002406,,1768658885348595,1768658888002406,,1768658888029653,2764765,2733452,,,2653811,1323650,23,640,640,yolov5m,PngLossless,T3,Letterbox
398,797,RSU-0000,Local,1768658885400346,1768658885408303,1768658885444019,1768658888027089,,1768658885450468,1768658888027088,,1768658888033394,2633048,2618786,,,2576620,1323637,22,640,640,yolov5m,PngLossless,T3,Letterbox
417,835,RSU-0001,Local,1768658886691782,1768658886693223,1768658886701536,1768658889246444,,1768658886739938,1768658889246443,,1768658889255526,2563744,2553221,,,2506505,1323474,21,640,640,yolov5m,PngLossless,T3,Letterbox
435,871,RSU-0002,Local,1768658887914061,1768658887916841,1768658887954249,1768658890458746,,1768658888002555,1768658890458746,,1768658890467012,2552951,2541905,,,2456191,1322968,22,640,640,yolov5m,PngLossless,T3,Letterbox
