sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
2,7,RSU-0001,Local,1768655647918258,1768655647935002,1768655647935683,1768655650487853,,1768655648015381,1768655650487853,,1768655650481928,2563670,2552851,,,2472472,459196,17,1280,720,yolov5m,WebpLossless,T1,HD
3,10,RSU-0000,Local,1768655648020256,1768655648027159,1768655648027739,1768655650494991,,1768655648034104,1768655650494990,,1768655650496427,2476171,2467832,,,2460886,396916,20,1280,720,yolov5m,WebpLossless,T1,HD
2,7,RSU-0002,Local,1768655647918258,1768655647926939,1768655647927662,1768655650556401,,1768655647993205,1768655650556400,,1768655650560337,2642079,2629462,,,2563195,459196,17,1280,720,yolov5m,WebpLossless,T1,HD
27,82,RSU-0000,Local,1768655650454480,1768655650462920,1768655650465034,1768655653049089,,1768655650495143,1768655653049088,,1768655653052421,2597941,2586169,,,2553945,385218,25,1280,720,yolov5m,WebpLossless,T1,HD
27,82,RSU-0001,Local,1768655650454480,1768655650474444,1768655650474834,1768655653059556,,1768655650488072,1768655653059555,,1768655653053736,2599256,2585112,,,2571483,385218,25,1280,720,yolov5m,WebpLossless,T1,HD
27,82,RSU-0002,Local,1768655650454480,1768655650459721,1768655650460134,1768655653173935,,1768655650556630,1768655653173935,,1768655653178368,2723888,2714214,,,2617305,385218,25,1280,720,yolov5m,WebpLossless,T1,HD
52,157,RSU-0000,Local,1768655652986430,1768655652991658,1768655652992281,1768655655580258,,1768655653049192,1768655655580257,,1768655655584514,2598084,2588600,,,2531065,389508,22,1280,720,yolov5m,WebpLossless,T1,HD
52,157,RSU-0001,Local,1768655652986430,1768655653003069,1768655653003572,1768655655617549,,1768655653059710,1768655655617548,,1768655655611699,2625269,2614480,,,2557838,389508,22,1280,720,yolov5m,WebpLossless,T1,HD
53,160,RSU-0002,Local,1768655653088009,1768655653091495,1768655653092061,1768655655775007,,1768655653174094,1768655655775006,,1768655655779916,2691907,2683512,,,2600912,389034,23,1280,720,yolov5m,WebpLossless,T1,HD
77,232,RSU-0000,Local,1768655655516095,1768655655523142,1768655655523773,1768655658111817,,1768655655580410,1768655658111816,,1768655658113366,2597271,2588675,,,2531406,387666,22,1280,720,yolov5m,WebpLossless,T1,HD
77,232,RSU-0001,Local,1768655655516095,1768655655534241,1768655655534854,1768655658175616,,1768655655617701,1768655658175615,,1768655658166889,2650794,2641375,,,2557914,387666,22,1280,720,yolov5m,WebpLossless,T1,HD
79,238,RSU-0002,Local,1768655655718554,1768655655723774,1768655655724333,1768655658388103,,1768655655775169,1768655658388102,,1768655658389498,2670944,2664329,,,2612933,387906,25,1280,720,yolov5m,WebpLossless,T1,HD
102,307,RSU-0000,Local,1768655658050414,1768655658058334,1768655658058937,1768655660649580,,1768655658112195,1768655660649579,,1768655660659879,2609465,2591246,,,2537384,383336,21,1280,720,yolov5m,WebpLossless,T1,HD
103,310,RSU-0001,Local,1768655658152338,1768655658170064,1768655658170502,1768655660730558,,1768655658175734,1768655660730557,,1768655660721794,2569456,2560494,,,2554823,383662,20,1280,720,yolov5m,WebpLossless,T1,HD
105,316,RSU-0002,Local,1768655658355162,1768655658362384,1768655658363641,1768655660992524,,1768655658388552,1768655660992524,,1768655660999743,2644581,2630140,,,2603972,384268,21,1280,720,yolov5m,WebpLossless,T1,HD
127,382,RSU-0000,Local,1768655660586183,1768655660595378,1768655660595873,1768655663175703,,1768655660649728,1768655663175702,,1768655663183966,2597783,2580325,,,2525974,381562,21,1280,720,yolov5m,WebpLossless,T1,HD
