sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
1,7,RSU-0000,Local,1768652028277978,1768652028281440,1768652028282542,1768652030823653,,1768652028349616,1768652030823652,,1768652030829700,2551722,2542213,,,2474036,633352,18,1920,1080,yolov5m,WebpLossless,T2,FHD
1,7,RSU-0001,Local,1768652028277978,1768652028283468,1768652028285130,1768652030933673,,1768652028421932,1768652030933672,,1768652030936173,2658195,2650205,,,2511740,633352,18,1920,1080,yolov5m,WebpLossless,T2,FHD
1,7,RSU-0002,Local,1768652028277978,1768652028276123,1768652028276977,1768652030937580,,1768652028327513,1768652030937579,,1768652030950865,2672887,2661457,,,2610066,633352,18,1920,1080,yolov5m,WebpLossless,T2,FHD
13,79,RSU-0000,Local,1768652030699867,1768652030705155,1768652030705646,1768652033384402,,1768652030823833,1768652033384401,,1768652033390092,2690225,2679247,,,2560568,423028,23,1920,1080,yolov5m,WebpLossless,T2,FHD
14,85,RSU-0001,Local,1768652030900337,1768652030906440,1768652030907041,1768652033480519,,1768652030933891,1768652033480518,,1768652033486394,2586057,2574079,,,2546627,424460,23,1920,1080,yolov5m,WebpLossless,T2,FHD
14,85,RSU-0002,Local,1768652030900337,1768652030898822,1768652030900471,1768652033551214,,1768652030937730,1768652033551214,,1768652033564747,2664410,2652392,,,2613484,424460,23,1920,1080,yolov5m,WebpLossless,T2,FHD
26,157,RSU-0000,Local,1768652033316068,1768652033319156,1768652033319705,1768652035933614,,1768652033384840,1768652035933613,,1768652035939887,2623819,2614458,,,2548773,429476,22,1920,1080,yolov5m,WebpLossless,T2,FHD
26,157,RSU-0001,Local,1768652033316068,1768652033317502,1768652033318095,1768652035998322,,1768652033480674,1768652035998321,,1768652036004103,2688035,2680820,,,2517647,429476,22,1920,1080,yolov5m,WebpLossless,T2,FHD
27,163,RSU-0002,Local,1768652033517871,1768652033516522,1768652033518121,1768652036144890,,1768652033551636,1768652036144889,,1768652036155132,2637261,2628368,,,2593253,426970,22,1920,1080,yolov5m,WebpLossless,T2,FHD
38,229,RSU-0000,Local,1768652035734567,1768652035740037,1768652035740565,1768652038479877,,1768652035934007,1768652038479876,,1768652038485940,2751373,2739840,,,2545869,428408,23,1920,1080,yolov5m,WebpLossless,T2,FHD
39,235,RSU-0001,Local,1768652035935591,1768652035939715,1768652035940300,1768652038520323,,1768652035998480,1768652038520322,,1768652038525149,2589558,2580608,,,2521842,428242,23,1920,1080,yolov5m,WebpLossless,T2,FHD
40,241,RSU-0002,Local,1768652036136713,1768652036134853,1768652036136406,1768652038742074,,1768652036145047,1768652038742073,,1768652038755377,2618664,2607221,,,2597026,428306,24,1920,1080,yolov5m,WebpLossless,T2,FHD
51,307,RSU-0000,Local,1768652038355016,1768652038356066,1768652038356670,1768652041024561,,1768652038480248,1768652041024560,,1768652041030063,2675047,2668495,,,2544312,421728,21,1920,1080,yolov5m,WebpLossless,T2,FHD
51,307,RSU-0001,Local,1768652038355016,1768652038357232,1768652038357811,1768652041041710,,1768652038520467,1768652041041709,,1768652041047568,2692552,2684478,,,2521242,421728,21,1920,1080,yolov5m,WebpLossless,T2,FHD
