sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
4,9,RSU-0001,Local,1768660264007679,1768660264011332,1768660264011626,1768660266390496,,1768660264012833,1768660266390495,,1768660266395285,2387606,2379164,,,2377662,169400,17,640,640,yolov5m,WebpLossless,T2,Letterbox
4,9,RSU-0000,Local,1768660264007679,1768660264011886,1768660264012235,1768660266415613,,1768660264043869,1768660266415612,,1768660266421069,2413390,2403727,,,2371743,169400,17,640,640,yolov5m,WebpLossless,T2,Letterbox
4,9,RSU-0002,Local,1768660264007679,1768660264017730,1768660264018019,1768660266524042,,1768660264023901,1768660266524042,,1768660266527684,2520005,2506312,,,2500141,169400,17,640,640,yolov5m,WebpLossless,T2,Letterbox
39,79,RSU-0001,Local,1768660266385495,1768660266384948,1768660266385233,1768660268815746,,1768660266390660,1768660268815745,,1768660268820483,2434988,2430798,,,2425085,167016,23,640,640,yolov5m,WebpLossless,T2,Letterbox
39,79,RSU-0000,Local,1768660266385495,1768660266392417,1768660266393276,1768660268878767,,1768660266415719,1768660268878766,,1768660268880833,2495338,2486350,,,2463047,167016,23,640,640,yolov5m,WebpLossless,T2,Letterbox
40,81,RSU-0002,Local,1768660266453409,1768660266462682,1768660266463046,1768660269049318,,1768660266524212,1768660269049317,,1768660269047338,2593929,2586636,,,2525105,165746,22,640,640,yolov5m,WebpLossless,T2,Letterbox
74,149,RSU-0001,Local,1768660268765201,1768660268767570,1768660268767933,1768660271219480,,1768660268815899,1768660271219479,,1768660271224286,2459085,2451910,,,2403580,168386,21,640,640,yolov5m,WebpLossless,T2,Letterbox
75,151,RSU-0000,Local,1768660268833005,1768660268839775,1768660268840756,1768660271323596,,1768660268879143,1768660271323595,,1768660271328844,2495839,2483821,,,2444452,168314,23,640,640,yolov5m,WebpLossless,T2,Letterbox
78,157,RSU-0002,Local,1768660269036736,1768660269047109,1768660269047784,1768660271555670,,1768660269049871,1768660271555669,,1768660271556487,2519751,2508561,,,2505798,168048,22,640,640,yolov5m,WebpLossless,T2,Letterbox
110,221,RSU-0001,Local,1768660271209711,1768660271214068,1768660271214357,1768660273633215,,1768660271219607,1768660273633214,,1768660273637967,2428256,2419147,,,2413607,167128,21,640,640,yolov5m,WebpLossless,T2,Letterbox
111,223,RSU-0000,Local,1768660271277616,1768660271283144,1768660271284367,1768660273770627,,1768660271323913,1768660273770626,,1768660273775878,2498262,2487483,,,2446713,167912,22,640,640,yolov5m,WebpLossless,T2,Letterbox
114,229,RSU-0002,Local,1768660271481702,1768660271491944,1768660271492168,1768660274089506,,1768660271556054,1768660274089505,,1768660274087504,2605802,2597562,,,2533451,167834,20,640,640,yolov5m,WebpLossless,T2,Letterbox
145,291,RSU-0001,Local,1768660273589589,1768660273592389,1768660273593569,1768660276045851,,1768660273633340,1768660276045850,,1768660276050787,2461198,2453462,,,2412510,166828,20,640,640,yolov5m,WebpLossless,T2,Letterbox
147,295,RSU-0000,Local,1768660273725834,1768660273733618,1768660273734343,1768660276221198,,1768660273770966,1768660276221197,,1768660276226191,2500357,2487580,,,2450231,167014,20,640,640,yolov5m,WebpLossless,T2,Letterbox
152,305,RSU-0002,Local,1768660274065575,1768660274077166,1768660274078044,1768660276612143,,1768660274089774,1768660276612142,,1768660276609947,2544372,2534977,,,2522368,165596,19,640,640,yolov5m,WebpLossless,T2,Letterbox
181,363,RSU-0001,Local,1768660276038529,1768660276042242,1768660276042714,1768660278458142,,1768660276045997,1768660278458141,,1768660278466131,2427602,2415900,,,2412144,165534,18,640,640,yolov5m,WebpLossless,T2,Letterbox
183,367,RSU-0000,Local,1768660276175263,1768660276184691,1768660276185083,1768660278671982,,1768660276221571,1768660278671981,,1768660278677291,2502028,2487291,,,2450410,165634,17,640,640,yolov5m,WebpLossless,T2,Letterbox
189,379,RSU-0002,Local,1768660276583396,1768660276595706,1768660276596017,1768660279139347,,1768660276612337,1768660279139346,,1768660279136968,2553572,2543641,,,2527009,164940,20,640,640,yolov5m,WebpLossless,T2,Letterbox
216,433,RSU-0001,Local,1768660278421628,1768660278424929,1768660278425362,1768660280862358,,1768660278458293,1768660280862357,,1768660280870174,2448546,2437429,,,2404064,163700,18,640,640,yolov5m,WebpLossless,T2,Letterbox
219,439,RSU-0000,Local,1768660278625627,1768660278631591,1768660278632671,1768660281127401,,1768660278672361,1768660281127401,,1768660281132511,2506884,2495810,,,2455040,165400,19,640,640,yolov5m,WebpLossless,T2,Letterbox
226,453,RSU-0002,Local,1768660279102441,1768660279112762,1768660279113873,1768660281684722,,1768660279139538,1768660281684721,,1768660281684566,2582125,2571960,,,2545183,164900,23,640,640,yolov5m,WebpLossless,T2,Letterbox
251,503,RSU-0001,Local,1768660280801275,1768660280799936,1768660280800298,1768660283269529,,1768660280862515,1768660283269529,,1768660283274915,2473640,2469593,,,2407014,165824,19,640,640,yolov5m,WebpLossless,T2,Letterbox
255,511,RSU-0000,Local,1768660281073249,1768660281083761,1768660281084102,1768660283573730,,1768660281127781,1768660283573729,,1768660283578842,2505593,2489969,,,2445948,166430,21,640,640,yolov5m,WebpLossless,T2,Letterbox
263,527,RSU-0002,Local,1768660281617559,1768660281627884,1768660281628158,1768660284251908,,1768660281684965,1768660284251908,,1768660284252475,2634916,2624024,,,2566943,166746,23,640,640,yolov5m,WebpLossless,T2,Letterbox
287,575,RSU-0001,Local,1768660283247258,1768660283250798,1768660283251415,1768660285687203,,1768660283269679,1768660285687202,,1768660285694674,2447416,2436405,,,2417523,166886,22,640,640,yolov5m,WebpLossless,T2,Letterbox
291,583,RSU-0000,Local,1768660283517873,1768660283522844,1768660283523207,1768660286018172,,1768660283574073,1768660286018171,,1768660286023155,2505282,2495328,,,2444098,168356,19,640,640,yolov5m,WebpLossless,T2,Letterbox
301,603,RSU-0002,Local,1768660284198387,1768660284207446,1768660284207815,1768660286821746,,1768660284252139,1768660286821745,,1768660286820657,2622270,2614300,,,2569606,168326,23,640,640,yolov5m,WebpLossless,T2,Letterbox
322,645,RSU-0001,Local,1768660285627079,1768660285629420,1768660285629779,1768660288096274,,1768660285687352,1768660288096273,,1768660288101070,2473991,2466854,,,2408921,171946,23,640,640,yolov5m,WebpLossless,T2,Letterbox
327,655,RSU-0000,Local,1768660285967043,1768660285972104,1768660285972412,1768660288470677,,1768660286018539,1768660288470676,,1768660288475976,2508933,2498573,,,2452137,171384,25,640,640,yolov5m,WebpLossless,T2,Letterbox
339,679,RSU-0002,Local,1768660286783334,1768660286791782,1768660286792076,1768660289392174,,1768660286821989,1768660289392173,,1768660289390059,2606725,2600392,,,2570184,171468,22,640,640,yolov5m,WebpLossless,T2,Letterbox
358,717,RSU-0001,Local,1768660288075669,1768660288079092,1768660288079637,1768660290507218,,1768660288096496,1768660290507217,,1768660290515434,2439765,2428126,,,2410721,169624,26,640,640,yolov5m,WebpLossless,T2,Letterbox
363,727,RSU-0000,Local,1768660288415017,1768660288419969,1768660288420269,1768660290926920,,1768660288470830,1768660290926919,,1768660290932159,2517142,2506951,,,2456089,170832,24,640,640,yolov5m,WebpLossless,T2,Letterbox
377,755,RSU-0002,Local,1768660289366070,1768660289376361,1768660289376997,1768660291963042,,1768660289392572,1768660291963042,,1768660291963779,2597709,2586681,,,2570470,171972,23,640,640,yolov5m,WebpLossless,T2,Letterbox
393,787,RSU-0001,Local,1768660290455150,1768660290458121,1768660290458452,1768660292920688,,1768660290507362,1768660292920688,,1768660292925774,2470624,2462567,,,2413326,172360,23,640,640,yolov5m,WebpLossless,T2,Letterbox
399,799,RSU-0000,Local,1768660290861867,1768660290866580,1768660290866872,1768660293385551,,1768660290927294,1768660293385551,,1768660293387404,2525537,2518971,,,2458257,171910,21,640,640,yolov5m,WebpLossless,T2,Letterbox
414,829,RSU-0002,Local,1768660291882930,1768660291894046,1768660291894264,1768660294512923,,1768660291963469,1768660294512922,,1768660294514372,2631442,2618877,,,2549453,172812,20,640,640,yolov5m,WebpLossless,T2,Letterbox
429,859,RSU-0001,Local,1768660292901277,1768660292903633,1768660292904131,1768660295306071,,1768660292920843,1768660295306070,,1768660295314592,2413315,2402438,,,2385227,175144,23,640,640,yolov5m,WebpLossless,T2,Letterbox
436,873,RSU-0000,Local,1768660293375695,1768660293382710,1768660293383266,1768660295818239,,1768660293385695,1768660295818238,,1768660295824283,2448588,2435529,,,2432543,178820,22,640,640,yolov5m,WebpLossless,T2,Letterbox
441,883,RSU-0002,Local,1768660293716196,1768660293725312,1768660293725728,1768660297055404,,1768660294513504,1768660297055402,,1768660297057126,3340930,3330092,,,2541898,174994,23,640,640,yolov5m,WebpLossless,T2,Letterbox
441,883,RSU-0001,Local,1768660293716196,1768660293718329,1768660293718719,1768660297680370,,1768660295306606,1768660297680369,,1768660297688086,3971890,3962041,,,2373763,174994,23,640,640,yolov5m,WebpLossless,T2,Letterbox
441,883,RSU-0000,Local,1768660293716196,1768660293720358,1768660293720765,1768660298249379,,1768660295818400,1768660298249378,,1768660298255346,4539150,4529021,,,2430978,174994,23,640,640,yolov5m,WebpLossless,T2,Letterbox
