sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
2,7,RSU-0001,Local,1768654848285504,1768654848298285,1768654848299007,1768654850780216,,1768654848316738,1768654850780215,,1768654850777360,2491856,2481931,,,2463477,459196,17,1280,720,yolov5m,WebpLossy,T1,HD
2,7,RSU-0000,Local,1768654848285504,1768654848291259,1768654848291931,1768654850829117,,1768654848371769,1768654850829117,,1768654850841559,2556055,2537858,,,2457348,459196,17,1280,720,yolov5m,WebpLossy,T1,HD
2,7,RSU-0002,Local,1768654848285504,1768654848289916,1768654848290560,1768654850983351,,1768654848381348,1768654850983350,,1768654850986363,2700859,2693435,,,2602002,459196,17,1280,720,yolov5m,WebpLossy,T1,HD
26,79,RSU-0001,Local,1768654850717389,1768654850731742,1768654850733558,1768654853259916,,1768654850780416,1768654853259916,,1768654853257435,2540046,2528174,,,2479500,385336,22,1280,720,yolov5m,WebpLossy,T1,HD
26,79,RSU-0000,Local,1768654850717389,1768654850724173,1768654850724804,1768654853259878,,1768654850829269,1768654853259877,,1768654853275402,2558013,2535705,,,2430608,385336,22,1280,720,yolov5m,WebpLossy,T1,HD
28,85,RSU-0002,Local,1768654850920115,1768654850923801,1768654850924327,1768654853599174,,1768654850983655,1768654853599174,,1768654853605648,2685533,2675373,,,2615519,387570,23,1280,720,yolov5m,WebpLossy,T1,HD
50,151,RSU-0000,Local,1768654853152011,1768654853159917,1768654853160485,1768654855668942,,1768654853260007,1768654855668941,,1768654855676305,2524294,2509025,,,2408934,390352,24,1280,720,yolov5m,WebpLossy,T1,HD
50,151,RSU-0001,Local,1768654853152011,1768654853164638,1768654853165067,1768654855721191,,1768654853260067,1768654855721190,,1768654855716005,2563994,2556553,,,2461123,390352,24,1280,720,yolov5m,WebpLossy,T1,HD
54,163,RSU-0002,Local,1768654853557172,1768654853557965,1768654853558480,1768654856199498,,1768654853599589,1768654856199498,,1768654856202529,2645357,2641533,,,2599909,386972,23,1280,720,yolov5m,WebpLossy,T1,HD
74,223,RSU-0000,Local,1768654855583639,1768654855595225,1768654855595854,1768654858080794,,1768654855669331,1768654858080794,,1768654858085047,2501408,2485569,,,2411463,388372,20,1280,720,yolov5m,WebpLossy,T1,HD
75,226,RSU-0001,Local,1768654855684737,1768654855699958,1768654855708412,1768654858190870,,1768654855721345,1768654858190870,,1768654858188874,2504137,2490912,,,2469525,386130,21,1280,720,yolov5m,WebpLossy,T1,HD
80,241,RSU-0002,Local,1768654856192778,1768654856197940,1768654856198608,1768654858785736,,1768654856199813,1768654858785735,,1768654858792110,2599332,2587796,,,2585922,385004,24,1280,720,yolov5m,WebpLossy,T1,HD
98,295,RSU-0000,Local,1768654858023792,1768654858029186,1768654858029665,1768654860492977,,1768654858081165,1768654860492976,,1768654860494683,2470891,2463791,,,2411811,386086,20,1280,720,yolov5m,WebpLossy,T1,HD
99,298,RSU-0001,Local,1768654858124521,1768654858137290,1768654858142205,1768654860657406,,1768654858191239,1768654860657405,,1768654860655381,2530860,2520116,,,2466166,384156,20,1280,720,yolov5m,WebpLossy,T1,HD
105,316,RSU-0002,Local,1768654858735500,1768654858739617,1768654858751976,1768654861387581,,1768654858786132,1768654861387580,,1768654861391277,2655777,2647964,,,2601448,384268,21,1280,720,yolov5m,WebpLossy,T1,HD
122,367,RSU-0000,Local,1768654860456336,1768654860465095,1768654860466918,1768654862907729,,1768654860493333,1768654862907728,,1768654862909640,2453304,2442634,,,2414395,381438,18,1280,720,yolov5m,WebpLossy,T1,HD
123,370,RSU-0001,Local,1768654860558116,1768654860571516,1768654860576175,1768654863121529,,1768654860657560,1768654863121529,,1768654863116345,2558229,2550013,,,2463969,380586,17,1280,720,yolov5m,WebpLossy,T1,HD
131,394,RSU-0002,Local,1768654861368895,1768654861374231,1768654861386775,1768654863990249,,1768654861388068,1768654863990248,,1768654863996739,2627844,2616018,,,2602180,381622,19,1280,720,yolov5m,WebpLossy,T1,HD
146,439,RSU-0000,Local,1768654862888263,1768654862895141,1768654862896710,1768654865325993,,1768654862908075,1768654865325992,,1768654865331318,2443055,2430852,,,2417917,381534,20,1280,720,yolov5m,WebpLossy,T1,HD
148,445,RSU-0001,Local,1768654863092276,1768654863107334,1768654863108849,1768654865585174,,1768654863121680,1768654865585174,,1768654865583268,2490992,2477840,,,2463494,381112,24,1280,720,yolov5m,WebpLossy,T1,HD
156,469,RSU-0002,Local,1768654863903542,1768654863907681,1768654863908142,1768654866612242,,1768654863990650,1768654866612241,,1768654866617846,2714304,2704561,,,2621591,381812,19,1280,720,yolov5m,WebpLossy,T1,HD
169,508,RSU-0000,Local,1768654865222460,1768654865227847,1768654865237788,1768654867736479,,1768654865326369,1768654867736477,,1768654867740882,2518422,2508632,,,2410108,383384,20,1280,720,yolov5m,WebpLossy,T1,HD
172,517,RSU-0001,Local,1768654865526764,1768654865536629,1768654865537253,1768654868053702,,1768654865585549,1768654868053701,,1768654868051513,2524749,2517073,,,2468152,383928,21,1280,720,yolov5m,WebpLossy,T1,HD
182,547,RSU-0002,Local,1768654866541998,1768654866544784,1768654866545385,1768654869216420,,1768654866612391,1768654869216419,,1768654869219682,2677684,2671636,,,2604028,380694,21,1280,720,yolov5m,WebpLossy,T1,HD
193,580,RSU-0000,Local,1768654867659148,1768654867664098,1768654867674060,1768654870149452,,1768654867736838,1768654870149451,,1768654870154460,2495312,2485354,,,2412613,384520,20,1280,720,yolov5m,WebpLossy,T1,HD
196,589,RSU-0001,Local,1768654867964776,1768654867978359,1768654867978879,1768654870516938,,1768654868054142,1768654870516937,,1768654870518068,2553292,2538579,,,2462795,385466,20,1280,720,yolov5m,WebpLossy,T1,HD
208,625,RSU-0002,Local,1768654869182480,1768654869187141,1768654869187724,1768654871832369,,1768654869216575,1768654871832368,,1768654871838183,2655703,2645228,,,2615793,392486,23,1280,720,yolov5m,WebpLossy,T1,HD
217,652,RSU-0000,Local,1768654870094331,1768654870099672,1768654870112392,1768654872561329,,1768654870149808,1768654872561328,,1768654872563163,2468832,2461657,,,2411520,394536,25,1280,720,yolov5m,WebpLossy,T1,HD
220,661,RSU-0001,Local,1768654870399506,1768654870411606,1768654870412230,1768654872970646,,1768654870517303,1768654872970646,,1768654872965145,2565639,2559040,,,2453343,395836,23,1280,720,yolov5m,WebpLossy,T1,HD
234,703,RSU-0002,Local,1768654871819275,1768654871828035,1768654871829025,1768654874432912,,1768654871832523,1768654874432911,,1768654874439289,2620014,2604877,,,2600388,394080,25,1280,720,yolov5m,WebpLossy,T1,HD
241,724,RSU-0000,Local,1768654872528166,1768654872534923,1768654872548734,1768654874972606,,1768654872561687,1768654874972606,,1768654874982994,2454828,2437683,,,2410919,393780,25,1280,720,yolov5m,WebpLossy,T1,HD
245,736,RSU-0001,Local,1768654872935093,1768654872948660,1768654872954573,1768654875440424,,1768654872970786,1768654875440423,,1768654875438518,2503425,2491764,,,2469637,397454,25,1280,720,yolov5m,WebpLossy,T1,HD
259,778,RSU-0002,Local,1768654874354998,1768654874363330,1768654874374754,1768654877051415,,1768654874433063,1768654877051414,,1768654877057777,2702779,2688085,,,2618351,398738,23,1280,720,yolov5m,WebpLossy,T1,HD
264,793,RSU-0000,Local,1768654874863365,1768654874868087,1768654874868657,1768654877390236,,1768654874972918,1768654877390235,,1768654877394848,2531483,2522149,,,2417317,399546,22,1280,720,yolov5m,WebpLossy,T1,HD
269,808,RSU-0001,Local,1768654875369904,1768654875382981,1768654875387740,1768654877892558,,1768654875440797,1768654877892557,,1768654877890528,2520624,2509577,,,2451760,398996,19,1280,720,yolov5m,WebpLossy,T1,HD
