sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
2,7,RSU-0000,Local,1769332493280702,1769332493286805,1769332493300105,1769332496691457,,1769332493353625,1769332496691456,,1769332496696977,3416275,3404652,,,,3337831,179126,17,yolov5m,WebpLossy,T1,Letterbox
2,7,RSU-0002,Local,1769332493280719,1769332493285954,1769332493287757,1769332496708675,,1769332493367080,1769332496708674,,1769332496713245,3432526,3422721,,,,3341594,179126,17,yolov5m,WebpLossy,T1,Letterbox
2,7,RSU-0001,Local,1769332493280718,1769332493282514,1769332493288081,1769332497202646,,1769332493388083,1769332497202646,,1769332497211086,3930368,3920132,,,,3814563,179126,17,yolov5m,WebpLossy,T1,Letterbox
35,106,RSU-0000,Local,1769332496625751,1769332496631126,1769332496647640,1769332500247355,,1769332496691595,1769332500247354,,1769332500253138,3627387,3616229,,,,3555759,167462,22,yolov5m,WebpLossy,T1,Letterbox
35,106,RSU-0002,Local,1769332496625767,1769332496632766,1769332496634511,1769332500281683,,1769332496708823,1769332500281683,,1769332500286363,3660596,3648917,,,,3572860,167462,22,yolov5m,WebpLossy,T1,Letterbox
40,121,RSU-0001,Local,1769332497133009,1769332497134994,1769332497135260,1769332501071708,,1769332497202799,1769332501071707,,1769332501079396,3946387,3936714,,,,3868908,166836,22,yolov5m,WebpLossy,T1,Letterbox
70,211,RSU-0000,Local,1769332500171822,1769332500176161,1769332500176482,1769332503772536,,1769332500247514,1769332503772535,,1769332503778157,3606335,3596375,,,,3525021,168094,22,yolov5m,WebpLossy,T1,Letterbox
70,211,RSU-0002,Local,1769332500171839,1769332500177813,1769332500178064,1769332503836744,,1769332500281821,1769332503836743,,1769332503838995,3667156,3658931,,,,3554922,168094,22,yolov5m,WebpLossy,T1,Letterbox
78,235,RSU-0001,Local,1769332500983729,1769332500985085,1769332500990943,1769332504930395,,1769332501071878,1769332504930394,,1769332504938734,3955005,3945310,,,,3858516,167552,21,yolov5m,WebpLossy,T1,Letterbox
105,316,RSU-0000,Local,1769332503719796,1769332503724811,1769332503738870,1769332507306894,,1769332503772686,1769332507306893,,1769332507309408,3589612,3582083,,,,3534207,166546,19,yolov5m,WebpLossy,T1,Letterbox
106,319,RSU-0002,Local,1769332503821707,1769332503829247,1769332503834483,1769332507392047,,1769332503836900,1769332507392046,,1769332507394326,3572619,3562800,,,,3555146,166012,20,yolov5m,WebpLossy,T1,Letterbox
116,349,RSU-0001,Local,1769332504835507,1769332504837400,1769332504843491,1769332508786083,,1769332504930558,1769332508786082,,1769332508794408,3958901,3948683,,,,3855524,166248,19,yolov5m,WebpLossy,T1,Letterbox
140,421,RSU-0000,Local,1769332507269755,1769332507277647,1769332507278267,1769332510838053,,1769332507307058,1769332510838052,,1769332510844536,3574781,3560406,,,,3530994,165976,18,yolov5m,WebpLossy,T1,Letterbox
141,424,RSU-0002,Local,1769332507371153,1769332507374096,1769332507378505,1769332510935156,,1769332507392184,1769332510935155,,1769332510937271,3566118,3561060,,,,3542971,165722,18,yolov5m,WebpLossy,T1,Letterbox
154,463,RSU-0001,Local,1769332508689025,1769332508690945,1769332508696075,1769332512645810,,1769332508786243,1769332512645809,,1769332512654919,3965894,3954865,,,,3859566,165400,21,yolov5m,WebpLossy,T1,Letterbox
174,523,RSU-0000,Local,1769332510716445,1769332510720078,1769332510725511,1769332514355365,,1769332510838186,1769332514355364,,1769332514361076,3644631,3635287,,,,3517178,165498,20,yolov5m,WebpLossy,T1,Letterbox
176,529,RSU-0002,Local,1769332510919346,1769332510925631,1769332510929006,1769332514478025,,1769332510935258,1769332514478025,,1769332514480308,3560962,3552394,,,,3542767,166752,22,yolov5m,WebpLossy,T1,Letterbox
192,577,RSU-0001,Local,1769332512539904,1769332512541428,1769332512546618,1769332516503693,,1769332512645896,1769332516503692,,1769332516509020,3969116,3962265,,,,3857796,166594,23,yolov5m,WebpLossy,T1,Letterbox
209,628,RSU-0000,Local,1769332514263706,1769332514269107,1769332514274470,1769332517888188,,1769332514355522,1769332517888187,,1769332517893846,3630140,3619081,,,,3532665,169744,23,yolov5m,WebpLossy,T1,Letterbox
211,634,RSU-0002,Local,1769332514467053,1769332514473034,1769332514477345,1769332518041640,,1769332514478115,1769332518041640,,1769332518044032,3576979,3568606,,,,3563525,169814,22,yolov5m,WebpLossy,T1,Letterbox
231,694,RSU-0001,Local,1769332516490806,1769332516493406,1769332516499230,1769332520365081,,1769332516503842,1769332520365081,,1769332520370481,3879675,3871675,,,,3861239,171764,24,yolov5m,WebpLossy,T1,Letterbox
244,733,RSU-0000,Local,1769332517809327,1769332517813716,1769332517818904,1769332521419300,,1769332517888329,1769332521419299,,1769332521425039,3615712,3605584,,,,3530970,171750,24,yolov5m,WebpLossy,T1,Letterbox
246,739,RSU-0002,Local,1769332518011019,1769332518018907,1769332518022105,1769332521585870,,1769332518041769,1769332521585869,,1769332521588179,3577160,3566963,,,,3544100,172220,24,yolov5m,WebpLossy,T1,Letterbox
269,808,RSU-0001,Local,1769332520343966,1769332520346315,1769332520356796,1769332524226938,,1769332520365232,1769332524226937,,1769332524232234,3888268,3880623,,,,3861705,172386,19,yolov5m,WebpLossy,T1,Letterbox
279,838,RSU-0000,Local,1769332521356886,1769332521362174,1769332521367501,1769332524972620,,1769332521419440,1769332524972619,,1769332524978270,3621384,3610446,,,,3553179,173528,21,yolov5m,WebpLossy,T1,Letterbox
281,844,RSU-0002,Local,1769332521559958,1769332521566682,1769332521571518,1769332525141436,,1769332521586007,1769332525141435,,1769332525143868,3583910,3574754,,,,3555428,174702,22,yolov5m,WebpLossy,T1,Letterbox
307,922,RSU-0001,Local,1769332524195138,1769332524197878,1769332524206899,1769332528080546,,1769332524227098,1769332528080546,,1769332528085956,3890818,3882668,,,,3853448,156794,21,yolov5m,WebpLossy,T1,Letterbox
314,943,RSU-0000,Local,1769332524904341,1769332524911297,1769332524916554,1769332528530276,,1769332524972761,1769332528530275,,1769332528535881,3631540,3618979,,,,3557514,164086,21,yolov5m,WebpLossy,T1,Letterbox
316,949,RSU-0002,Local,1769332525107061,1769332525113372,1769332525118731,1769332528690699,,1769332525141605,1769332528690699,,1769332528692910,3585849,3577327,,,,3549094,164280,19,yolov5m,WebpLossy,T1,Letterbox
345,1036,RSU-0001,Local,1769332528047470,1769332528052098,1769332528058701,1769332531951076,,1769332528080691,1769332531951075,,1769332531959436,3911966,3898978,,,,3870384,165338,19,yolov5m,WebpLossy,T1,Letterbox
349,1048,RSU-0000,Local,1769332528453842,1769332528455967,1769332528461058,1769332532092616,,1769332528530418,1769332532092615,,1769332532098499,3644657,3636649,,,,3562197,165726,19,yolov5m,WebpLossy,T1,Letterbox
351,1054,RSU-0002,Local,1769332528656098,1769332528662301,1769332528667718,1769332532250225,,1769332528690805,1769332532250225,,1769332532255407,3599309,3587924,,,,3559420,164204,17,yolov5m,WebpLossy,T1,Letterbox
384,1153,RSU-0000,Local,1769332532001992,1769332532006098,1769332532024884,1769332535660389,,1769332532092773,1769332535660388,,1769332535663054,3661062,3654291,,,,3567615,165490,16,yolov5m,WebpLossy,T1,Letterbox
386,1159,RSU-0002,Local,1769332532204324,1769332532211207,1769332532216684,1769332535809713,,1769332532250370,1769332535809712,,1769332535814913,3610589,3598506,,,,3559342,164992,17,yolov5m,WebpLossy,T1,Letterbox
383,1150,RSU-0001,Local,1769332531900995,1769332531902095,1769332531907262,1769332535810850,,1769332531951228,1769332535810850,,1769332535819007,3918012,3908755,,,,3859622,165554,17,yolov5m,WebpLossy,T1,Letterbox
420,1261,RSU-0000,Local,1769332535649024,1769332535654987,1769332535655636,1769332539209716,,1769332535660531,1769332539209714,,1769332539212488,3563464,3554729,,,,3549183,164380,17,yolov5m,WebpLossy,T1,Letterbox
421,1264,RSU-0002,Local,1769332535750565,1769332535756242,1769332535759695,1769332539366475,,1769332535809850,1769332539366474,,1769332539371060,3620495,3610233,,,,3556624,165040,17,yolov5m,WebpLossy,T1,Letterbox
421,1264,RSU-0001,Local,1769332535750564,1769332535752432,1769332535762279,1769332539668952,,1769332535810999,1769332539668951,,1769332539677187,3926623,3916520,,,,3857952,165040,17,yolov5m,WebpLossy,T1,Letterbox
455,1366,RSU-0000,Local,1769332539197104,1769332539204462,1769332539209802,1769332542778425,,1769332539210077,1769332542778424,,1769332542781910,3584806,3573963,,,,3568347,166518,18,yolov5m,WebpLossy,T1,Letterbox
456,1369,RSU-0002,Local,1769332539298155,1769332539304247,1769332539307775,1769332542912436,,1769332539366616,1769332542912435,,1769332542917794,3619639,3608189,,,,3545819,167968,19,yolov5m,WebpLossy,T1,Letterbox
459,1378,RSU-0001,Local,1769332539603110,1769332539606750,1769332539611948,1769332543533260,,1769332539669105,1769332543533259,,1769332543541755,3938645,3926510,,,,3864154,166802,20,yolov5m,WebpLossy,T1,Letterbox
490,1471,RSU-0000,Local,1769332542744273,1769332542750939,1769332542751571,1769332546338959,,1769332542778573,1769332546338958,,1769332546344757,3600484,3588020,,,,3560385,168512,19,yolov5m,WebpLossy,T1,Letterbox
491,1474,RSU-0002,Local,1769332542845609,1769332542850473,1769332542853903,1769332546463875,,1769332542912592,1769332546463875,,1769332546469287,3623678,3613402,,,,3551283,168462,20,yolov5m,WebpLossy,T1,Letterbox
497,1492,RSU-0001,Local,1769332543453403,1769332543455433,1769332543460716,1769332547393531,,1769332543533420,1769332547393530,,1769332547398876,3945473,3938098,,,,3860110,169744,18,yolov5m,WebpLossy,T1,Letterbox
525,1576,RSU-0000,Local,1769332546287350,1769332546290820,1769332546306842,1769332549904259,,1769332546339111,1769332549904259,,1769332549909912,3622562,3613439,,,,3565148,166892,14,yolov5m,WebpLossy,T1,Letterbox
526,1579,RSU-0002,Local,1769332546388623,1769332546390847,1769332546392421,1769332550026520,,1769332546464016,1769332550026520,,1769332550032343,3643720,3635673,,,,3562504,165802,14,yolov5m,WebpLossy,T1,Letterbox
535,1606,RSU-0001,Local,1769332547300400,1769332547302434,1769332547308882,1769332551256438,,1769332547393677,1769332551256437,,1769332551263007,3962607,3954004,,,,3862760,165130,11,yolov5m,WebpLossy,T1,Letterbox
560,1681,RSU-0000,Local,1769332549834114,1769332549838826,1769332549839098,1769332553469203,,1769332549904408,1769332553469202,,1769332553474979,3640865,3630377,,,,3564794,165722,17,yolov5m,WebpLossy,T1,Letterbox
561,1684,RSU-0002,Local,1769332549935369,1769332549940479,1769332549944196,1769332553571035,,1769332550026665,1769332553571034,,1769332553576466,3641097,3630556,,,,3544369,165872,17,yolov5m,WebpLossy,T1,Letterbox
