sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0000,Local,1768647749862134,1768647749872020,1768647749872647,1768647752501954,,1768647750181404,1768647752501954,,1768647752512818,2650684,2629934,,,2320550,187358,17,640,640,yolov5m,WebpLossy,T1,Letterbox
0,1,RSU-0001,Local,1768647749862134,1768647749875482,1768647749876166,1768647752527776,,1768647750138617,1768647752527776,,1768647752531565,2669431,2652294,,,2389159,187358,17,640,640,yolov5m,WebpLossy,T1,Letterbox
0,1,RSU-0002,Local,1768647749862134,1768647749860949,1768647749861475,1768647752569722,,1768647750116749,1768647752569722,,1768647752582718,2720584,2708773,,,2452973,187358,17,640,640,yolov5m,WebpLossy,T1,Letterbox
2,61,RSU-0000,Local,1768647751865338,1768647751871952,1768647751872217,1768647754966832,,1768647752502099,1768647754966831,,1768647754972935,3107597,3094880,,,2464732,166078,19,640,640,yolov5m,WebpLossy,T1,Letterbox
2,61,RSU-0001,Local,1768647751865338,1768647751872569,1768647751872925,1768647755017326,,1768647752527884,1768647755017325,,1768647755021074,3155736,3144757,,,2489441,166078,19,640,640,yolov5m,WebpLossy,T1,Letterbox
2,61,RSU-0002,Local,1768647751865338,1768647751862714,1768647751863065,1768647755086837,,1768647752570101,1768647755086837,,1768647755100310,3234972,3224123,,,2516736,166078,19,640,640,yolov5m,WebpLossy,T1,Letterbox
5,151,RSU-0000,Local,1768647754869808,1768647754875147,1768647754875493,1768647757428133,,1768647754966980,1768647757428132,,1768647757434069,2564261,2552986,,,2461152,168314,23,640,640,yolov5m,WebpLossy,T1,Letterbox
5,151,RSU-0001,Local,1768647754869808,1768647754877276,1768647754877677,1768647757483189,,1768647755017492,1768647757483188,,1768647757487327,2617519,2605913,,,2465696,168314,23,640,640,yolov5m,WebpLossy,T1,Letterbox
5,151,RSU-0002,Local,1768647754869808,1768647754869726,1768647754870050,1768647757606036,,1768647755087203,1768647757606036,,1768647757618936,2749128,2736310,,,2518833,168314,23,640,640,yolov5m,WebpLossy,T1,Letterbox
7,211,RSU-0000,Local,1768647756871385,1768647756879572,1768647756879938,1768647759893223,,1768647757428278,1768647759893222,,1768647759895662,3024277,3013651,,,2464944,168094,22,640,640,yolov5m,WebpLossy,T1,Letterbox
7,211,RSU-0001,Local,1768647756871385,1768647756875812,1768647756876111,1768647759959926,,1768647757483524,1768647759959925,,1768647759960715,3089330,3084114,,,2476401,168094,22,640,640,yolov5m,WebpLossy,T1,Letterbox
7,211,RSU-0002,Local,1768647756871385,1768647756867427,1768647756867885,1768647760100686,,1768647757606202,1768647760100686,,1768647760113635,3242250,3233259,,,2494484,168094,22,640,640,yolov5m,WebpLossy,T1,Letterbox
10,301,RSU-0000,Local,1768647759874910,1768647759882511,1768647759883000,1768647762349530,,1768647759893596,1768647762349529,,1768647762355039,2480129,2467019,,,2455933,166452,19,640,640,yolov5m,WebpLossy,T1,Letterbox
10,301,RSU-0001,Local,1768647759874910,1768647759881704,1768647759881986,1768647762429253,,1768647759960291,1768647762429252,,1768647762433259,2558349,2547549,,,2468961,166452,19,640,640,yolov5m,WebpLossy,T1,Letterbox
10,301,RSU-0002,Local,1768647759874910,1768647759873935,1768647759874281,1768647762600326,,1768647760101086,1768647762600326,,1768647762612821,2737911,2726391,,,2499240,166452,19,640,640,yolov5m,WebpLossy,T1,Letterbox
12,361,RSU-0000,Local,1768647761877065,1768647761883619,1768647761883819,1768647764808682,,1768647762349896,1768647764808680,,1768647764813580,2936515,2925063,,,2458784,165204,17,640,640,yolov5m,WebpLossy,T1,Letterbox
12,361,RSU-0001,Local,1768647761877065,1768647761883140,1768647761883563,1768647764894836,,1768647762429799,1768647764894836,,1768647764895769,3018704,3011696,,,2465037,165204,17,640,640,yolov5m,WebpLossy,T1,Letterbox
12,361,RSU-0002,Local,1768647761877065,1768647761874087,1768647761874526,1768647765098584,,1768647762600715,1768647765098583,,1768647765111199,3234134,3224497,,,2497868,165204,17,640,640,yolov5m,WebpLossy,T1,Letterbox
14,421,RSU-0000,Local,1768647763879608,1768647763886723,1768647763887037,1768647767264819,,1768647764809194,1768647767264818,,1768647767269584,3389976,3378096,,,2455624,165976,18,640,640,yolov5m,WebpLossy,T1,Letterbox
15,451,RSU-0001,Local,1768647764880591,1768647764887926,1768647764888815,1768647767355391,,1768647764895216,1768647767355389,,1768647767359405,2478814,2467465,,,2460173,165628,24,640,640,yolov5m,WebpLossy,T1,Letterbox
15,451,RSU-0002,Local,1768647764880591,1768647764878142,1768647764878456,1768647767598187,,1768647765099081,1768647767598186,,1768647767610925,2730334,2720045,,,2499105,165628,24,640,640,yolov5m,WebpLossy,T1,Letterbox
17,511,RSU-0000,Local,1768647766882696,1768647766888697,1768647766889073,1768647769720501,,1768647767264979,1768647769720500,,1768647769725701,2843005,2831804,,,2455521,166430,21,640,640,yolov5m,WebpLossy,T1,Letterbox
17,511,RSU-0001,Local,1768647766882696,1768647766890326,1768647766890638,1768647769812176,,1768647767355749,1768647769812175,,1768647769816746,2934050,2921850,,,2456426,166430,21,640,640,yolov5m,WebpLossy,T1,Letterbox
17,511,RSU-0002,Local,1768647766882696,1768647766883415,1768647766883640,1768647770093431,,1768647767598617,1768647770093430,,1768647770106260,3223564,3210016,,,2494813,166430,21,640,640,yolov5m,WebpLossy,T1,Letterbox
19,571,RSU-0000,Local,1768647768885417,1768647768895563,1768647768895880,1768647772188780,,1768647769720664,1768647772188779,,1768647772193332,3307915,3293217,,,2468115,165828,20,640,640,yolov5m,WebpLossy,T1,Letterbox
19,571,RSU-0001,Local,1768647768885417,1768647768895124,1768647768895508,1768647772280659,,1768647769812819,1768647772280658,,1768647772284627,3399210,3385535,,,2467839,165828,20,640,640,yolov5m,WebpLossy,T1,Letterbox
20,601,RSU-0002,Local,1768647769887413,1768647769882695,1768647769883059,1768647772587614,,1768647770093859,1768647772587614,,1768647772600404,2712991,2704919,,,2493755,167732,22,640,640,yolov5m,WebpLossy,T1,Letterbox
22,661,RSU-0000,Local,1768647771890268,1768647771898248,1768647771898619,1768647774652296,,1768647772188941,1768647774652295,,1768647774657616,2767348,2754048,,,2463354,170232,22,640,640,yolov5m,WebpLossy,T1,Letterbox
22,661,RSU-0001,Local,1768647771890268,1768647771897414,1768647771897729,1768647774752101,,1768647772281004,1768647774752100,,1768647774755524,2865256,2854687,,,2471096,170232,22,640,640,yolov5m,WebpLossy,T1,Letterbox
22,661,RSU-0002,Local,1768647771890268,1768647771890122,1768647771890476,1768647775084034,,1768647772588034,1768647775084033,,1768647775096799,3206531,3193912,,,2495999,170232,22,640,640,yolov5m,WebpLossy,T1,Letterbox
24,721,RSU-0000,Local,1768647773893134,1768647773900207,1768647773900628,1768647777114219,,1768647774652587,1768647777114218,,1768647777119945,3226811,3214012,,,2461631,170426,24,640,640,yolov5m,WebpLossy,T1,Letterbox
24,721,RSU-0001,Local,1768647773893134,1768647773899717,1768647773900039,1768647777220085,,1768647774752473,1768647777220084,,1768647777223519,3330385,3320368,,,2467611,170426,24,640,640,yolov5m,WebpLossy,T1,Letterbox
25,751,RSU-0002,Local,1768647774895439,1768647774890161,1768647774890543,1768647777580535,,1768647775084459,1768647777580535,,1768647777593165,2697726,2690374,,,2496076,172366,23,640,640,yolov5m,WebpLossy,T1,Letterbox
27,811,RSU-0000,Local,1768647776899609,1768647776907614,1768647776907906,1768647779584043,,1768647777114595,1768647779584042,,1768647779591929,2692320,2676429,,,2469447,170880,20,640,640,yolov5m,WebpLossy,T1,Letterbox
