sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
4,9,RSU-0000,Local,1768659279880802,1768659279886911,1768659279887693,1768659282399684,,1768659279901999,1768659282399683,,1768659282404026,2523224,2512773,,,2497684,504156,19,1920,1080,yolov5m,WebpLossy,T2,FHD
4,9,RSU-0001,Local,1768659279880802,1768659279880824,1768659279886416,1768659282487927,,1768659279948152,1768659282487926,,1768659282497670,2616868,2607103,,,2539774,504156,19,1920,1080,yolov5m,WebpLossy,T2,FHD
3,7,RSU-0002,Local,1768659279813324,1768659279821429,1768659279822242,1768659282614001,,1768659279868831,1768659282614000,,1768659282627358,2814034,2792572,,,2745169,633352,18,1920,1080,yolov5m,WebpLossy,T2,FHD
40,81,RSU-0000,Local,1768659282328504,1768659282334423,1768659282335053,1768659284969752,,1768659282399891,1768659284969751,,1768659284975008,2646504,2635329,,,2569860,421244,24,1920,1080,yolov5m,WebpLossy,T2,FHD
42,85,RSU-0001,Local,1768659282464408,1768659282465992,1768659282466292,1768659285053482,,1768659282488121,1768659285053481,,1768659285060438,2596030,2587490,,,2565360,424460,23,1920,1080,yolov5m,WebpLossy,T2,FHD
43,87,RSU-0002,Local,1768659282532920,1768659282539923,1768659282551714,1768659285454149,,1768659282614146,1768659285454148,,1768659285461329,2928409,2914226,,,2840002,424930,23,1920,1080,yolov5m,WebpLossy,T2,FHD
78,157,RSU-0000,Local,1768659284910999,1768659284917047,1768659284917595,1768659287526368,,1768659284970304,1768659287526367,,1768659287528417,2617418,2609321,,,2556063,429476,22,1920,1080,yolov5m,WebpLossy,T2,FHD
80,161,RSU-0001,Local,1768659285046733,1768659285047460,1768659285051478,1768659287622079,,1768659285053630,1768659287622078,,1768659287632704,2585971,2574619,,,2568448,426248,22,1920,1080,yolov5m,WebpLossy,T2,FHD
85,171,RSU-0002,Local,1768659285386009,1768659285391873,1768659285403563,1768659288293932,,1768659285454301,1768659288293931,,1768659288297840,2911831,2902059,,,2839630,424320,23,1920,1080,yolov5m,WebpLossy,T2,FHD
116,233,RSU-0000,Local,1768659287493534,1768659287501286,1768659287501799,1768659290066339,,1768659287526755,1768659290066339,,1768659290071709,2578175,2565053,,,2539584,427932,21,1920,1080,yolov5m,WebpLossy,T2,FHD
117,235,RSU-0001,Local,1768659287561826,1768659287561514,1768659287562085,1768659290195506,,1768659287622489,1768659290195505,,1768659290205520,2643694,2633992,,,2573016,428242,23,1920,1080,yolov5m,WebpLossy,T2,FHD
127,255,RSU-0002,Local,1768659288241256,1768659288247967,1768659288267723,1768659291141980,,1768659288294109,1768659291141979,,1768659291146167,2904911,2894013,,,2847870,430598,20,1920,1080,yolov5m,WebpLossy,T2,FHD
153,307,RSU-0000,Local,1768659290008437,1768659290012110,1768659290012677,1768659292611597,,1768659290066489,1768659292611596,,1768659292613631,2605194,2599487,,,2545107,421728,21,1920,1080,yolov5m,WebpLossy,T2,FHD
155,311,RSU-0001,Local,1768659290144876,1768659290145876,1768659290148904,1768659292768253,,1768659290195902,1768659292768252,,1768659292777584,2632708,2622377,,,2572350,420330,21,1920,1080,yolov5m,WebpLossy,T2,FHD
169,339,RSU-0002,Local,1768659291093979,1768659291100342,1768659291120895,1768659293971338,,1768659291142404,1768659293971337,,1768659293972240,2878261,2870996,,,2828933,422656,19,1920,1080,yolov5m,WebpLossy,T2,FHD
191,383,RSU-0000,Local,1768659292587249,1768659292592014,1768659292592500,1768659295144865,,1768659292611732,1768659295144864,,1768659295149068,2561819,2552851,,,2533132,420676,21,1920,1080,yolov5m,WebpLossy,T2,FHD
193,387,RSU-0001,Local,1768659292722533,1768659292724183,1768659292730671,1768659295345713,,1768659292768648,1768659295345713,,1768659295352886,2630353,2621530,,,2577065,421136,20,1920,1080,yolov5m,WebpLossy,T2,FHD
211,423,RSU-0002,Local,1768659293947667,1768659293952027,1768659293968092,1768659296817668,,1768659293971469,1768659296817667,,1768659296828114,2880447,2865641,,,2846198,419844,19,1920,1080,yolov5m,WebpLossy,T2,FHD
228,457,RSU-0000,Local,1768659295106500,1768659295112710,1768659295113409,1768659297690004,,1768659295145014,1768659297690004,,1768659297694995,2588495,2577294,,,2544990,416450,21,1920,1080,yolov5m,WebpLossy,T2,FHD
231,463,RSU-0001,Local,1768659295309232,1768659295310331,1768659295311147,1768659297928132,,1768659295346121,1768659297928131,,1768659297937475,2628243,2617801,,,2582010,419624,21,1920,1080,yolov5m,WebpLossy,T2,FHD
252,505,RSU-0002,Local,1768659296736205,1768659296743547,1768659296744052,1768659299651687,,1768659296818055,1768659299651686,,1768659299655812,2919607,2908140,,,2833631,423362,21,1920,1080,yolov5m,WebpLossy,T2,FHD
265,531,RSU-0000,Local,1768659297620374,1768659297625392,1768659297626029,1768659300254661,,1768659297690158,1768659300254660,,1768659300259786,2639412,2629269,,,2564502,420710,22,1920,1080,yolov5m,WebpLossy,T2,FHD
269,539,RSU-0001,Local,1768659297891854,1768659297892915,1768659297896124,1768659300498803,,1768659297928531,1768659300498802,,1768659300505727,2613873,2605888,,,2570271,418826,22,1920,1080,yolov5m,WebpLossy,T2,FHD
294,589,RSU-0002,Local,1768659299594396,1768659299603453,1768659299604117,1768659302473401,,1768659299651840,1768659302473400,,1768659302474056,2879660,2869948,,,2821560,421106,21,1920,1080,yolov5m,WebpLossy,T2,FHD
303,607,RSU-0000,Local,1768659300205533,1768659300215563,1768659300216990,1768659302810392,,1768659300254813,1768659302810391,,1768659302812439,2606906,2594829,,,2555578,428848,22,1920,1080,yolov5m,WebpLossy,T2,FHD
307,615,RSU-0001,Local,1768659300476855,1768659300478415,1768659300484830,1768659303052004,,1768659300498967,1768659303052003,,1768659303061677,2584822,2573589,,,2553036,431996,22,1920,1080,yolov5m,WebpLossy,T2,FHD
336,673,RSU-0002,Local,1768659302444705,1768659302455367,1768659302456817,1768659305331487,,1768659302473557,1768659305331486,,1768659305335922,2891217,2876120,,,2857929,435236,22,1920,1080,yolov5m,WebpLossy,T2,FHD
341,683,RSU-0000,Local,1768659302783698,1768659302796511,1768659302798210,1768659305354273,,1768659302810540,1768659305354272,,1768659305359705,2576007,2557762,,,2543732,436064,24,1920,1080,yolov5m,WebpLossy,T2,FHD
344,689,RSU-0001,Local,1768659302987909,1768659302985208,1768659302988324,1768659305601258,,1768659303052123,1768659305601257,,1768659305608387,2620478,2616050,,,2549134,435260,23,1920,1080,yolov5m,WebpLossy,T2,FHD
378,757,RSU-0000,Local,1768659305301830,1768659305307693,1768659305308770,1768659307928265,,1768659305354492,1768659307928265,,1768659307932994,2631164,2620572,,,2573773,438748,24,1920,1080,yolov5m,WebpLossy,T2,FHD
378,757,RSU-0002,Local,1768659305301830,1768659305308235,1768659305308921,1768659308009061,,1768659305331637,1768659308009060,,1768659308012862,2711032,2700826,,,2677423,438748,24,1920,1080,yolov5m,WebpLossy,T2,FHD
382,765,RSU-0001,Local,1768659305573972,1768659305576774,1768659305584097,1768659308151561,,1768659305601629,1768659308151560,,1768659308161870,2587898,2574787,,,2549931,438296,23,1920,1080,yolov5m,WebpLossy,T2,FHD
416,833,RSU-0000,Local,1768659307886998,1768659307890842,1768659307903402,1768659310484337,,1768659307928649,1768659310484336,,1768659310489401,2602403,2593495,,,2555687,441666,21,1920,1080,yolov5m,WebpLossy,T2,FHD
417,835,RSU-0002,Local,1768659307955201,1768659307961064,1768659307961692,1768659310674306,,1768659308009232,1768659310674305,,1768659310678537,2723336,2713242,,,2665073,443622,20,1920,1080,yolov5m,WebpLossy,T2,FHD
