sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
2,7,RSU-0000,Local,1769332777450652,1769332777454877,1769332777472388,1769332780912023,,1769332777508757,1769332780912022,,1769332780940858,3490206,3457146,,,,3403265,466216,17,yolov5m,WebpLossy,T2,HD
3,10,RSU-0002,Local,1769332777552525,1769332777559362,1769332777562452,1769332781003493,,1769332777587832,1769332781003492,,1769332781011096,3458571,3444131,,,,3415660,401976,20,yolov5m,WebpLossy,T2,HD
1,4,RSU-0001,Local,1769332777348508,1769332777350563,1769332777410267,1769332781302108,,1769332777460062,1769332781302107,,1769332781308647,3960139,3951545,,,,3842045,579662,17,yolov5m,WebpLossy,T2,HD
35,106,RSU-0000,Local,1769332780795141,1769332780800486,1769332780818670,1769332784514877,,1769332780912159,1769332784514876,,1769332784520812,3725671,3714391,,,,3602717,393556,24,yolov5m,WebpLossy,T2,HD
36,109,RSU-0002,Local,1769332780895625,1769332780901447,1769332780904314,1769332784621808,,1769332781003646,1769332784621807,,1769332784626705,3731080,3720361,,,,3618161,394112,24,yolov5m,WebpLossy,T2,HD
39,118,RSU-0001,Local,1769332781200402,1769332781201969,1769332781213829,1769332785268566,,1769332781302263,1769332785268565,,1769332785274867,4074465,4066597,,,,3966302,393700,24,yolov5m,WebpLossy,T2,HD
71,214,RSU-0000,Local,1769332784446520,1769332784454638,1769332784493252,1769332788109116,,1769332784515020,1769332788109115,,1769332788124336,3677816,3654478,,,,3594095,391880,23,yolov5m,WebpLossy,T2,HD
72,217,RSU-0002,Local,1769332784547958,1769332784554721,1769332784557192,1769332788232797,,1769332784621965,1769332788232797,,1769332788237608,3689650,3678076,,,,3610832,389184,24,yolov5m,WebpLossy,T2,HD
78,235,RSU-0001,Local,1769332785154071,1769332785156547,1769332785167241,1769332789215471,,1769332785268764,1769332789215470,,1769332789237719,4083648,4058924,,,,3946706,391746,23,yolov5m,WebpLossy,T2,HD
106,319,RSU-0000,Local,1769332787986935,1769332787992243,1769332788004419,1769332791703283,,1769332788109249,1769332791703282,,1769332791709254,3722319,3711040,,,,3594033,387434,21,yolov5m,WebpLossy,T2,HD
108,325,RSU-0002,Local,1769332788190033,1769332788197001,1769332788201160,1769332791848183,,1769332788232898,1769332791848182,,1769332791849936,3659903,3651182,,,,3615284,387422,20,yolov5m,WebpLossy,T2,HD
117,352,RSU-0001,Local,1769332789100856,1769332789101951,1769332789114318,1769332793162230,,1769332789215608,1769332793162229,,1769332793172669,4071813,4060279,,,,3946621,387732,21,yolov5m,WebpLossy,T2,HD
142,427,RSU-0000,Local,1769332791632885,1769332791634554,1769332791646324,1769332795294754,,1769332791703436,1769332795294753,,1769332795303325,3670440,3660200,,,,3591317,384410,21,yolov5m,WebpLossy,T2,HD
144,433,RSU-0002,Local,1769332791834699,1769332791842217,1769332791846118,1769332795451944,,1769332791848332,1769332795451943,,1769332795456857,3622158,3609727,,,,3603611,381178,19,yolov5m,WebpLossy,T2,HD
156,469,RSU-0001,Local,1769332793050689,1769332793053575,1769332793071143,1769332797102930,,1769332793162388,1769332797102929,,1769332797110050,4059361,4049355,,,,3940541,386302,19,yolov5m,WebpLossy,T2,HD
177,532,RSU-0000,Local,1769332795180293,1769332795185951,1769332795221044,1769332798892145,,1769332795294880,1769332798892144,,1769332798898050,3717757,3706194,,,,3597264,387824,22,yolov5m,WebpLossy,T2,HD
179,538,RSU-0002,Local,1769332795382143,1769332795386834,1769332795389730,1769332799061154,,1769332795452084,1769332799061153,,1769332799066085,3683942,3674320,,,,3609069,385070,22,yolov5m,WebpLossy,T2,HD
195,586,RSU-0001,Local,1769332797000992,1769332797003059,1769332797013577,1769332801042774,,1769332797103083,1769332801042773,,1769332801051359,4050367,4039715,,,,3939690,386562,21,yolov5m,WebpLossy,T2,HD
213,640,RSU-0000,Local,1769332798822601,1769332798828166,1769332798838923,1769332802489831,,1769332798892293,1769332802489830,,1769332802496049,3673448,3661665,,,,3597537,400858,22,yolov5m,WebpLossy,T2,HD
215,646,RSU-0002,Local,1769332799025640,1769332799032377,1769332799039001,1769332802667658,,1769332799061297,1769332802667657,,1769332802672617,3646977,3635281,,,,3606360,399638,22,yolov5m,WebpLossy,T2,HD
234,703,RSU-0001,Local,1769332800952963,1769332800955629,1769332800967548,1769332804975768,,1769332801042924,1769332804975767,,1769332804984550,4031587,4020139,,,,3932843,399076,25,yolov5m,WebpLossy,T2,HD
248,745,RSU-0000,Local,1769332802370771,1769332802375489,1769332802395564,1769332806086692,,1769332802489965,1769332806086691,,1769332806092732,3721961,3711203,,,,3596726,406588,26,yolov5m,WebpLossy,T2,HD
250,751,RSU-0002,Local,1769332802573505,1769332802576769,1769332802577245,1769332806272920,,1769332802667804,1769332806272919,,1769332806277713,3704208,3696151,,,,3605115,403512,24,yolov5m,WebpLossy,T2,HD
273,820,RSU-0001,Local,1769332804900929,1769332804903226,1769332804914397,1769332808920271,,1769332804975942,1769332808920270,,1769332808929496,4028567,4017045,,,,3944328,402842,22,yolov5m,WebpLossy,T2,HD
284,853,RSU-0000,Local,1769332806013387,1769332806017950,1769332806042741,1769332809681079,,1769332806086844,1769332809681078,,1769332809683778,3670391,3663129,,,,3594234,408738,22,yolov5m,WebpLossy,T2,HD
286,859,RSU-0002,Local,1769332806215578,1769332806221390,1769332806224442,1769332809873319,,1769332806273063,1769332809873319,,1769332809875197,3659619,3651929,,,,3600256,413170,23,yolov5m,WebpLossy,T2,HD
312,937,RSU-0001,Local,1769332808849394,1769332808851998,1769332808862388,1769332812864140,,1769332808920428,1769332812864139,,1769332812872965,4023571,4012142,,,,3943711,379306,21,yolov5m,WebpLossy,T2,HD
320,961,RSU-0000,Local,1769332809658897,1769332809662593,1769332809663665,1769332813264003,,1769332809681179,1769332813264002,,1769332813269146,3610249,3601410,,,,3582823,379934,18,yolov5m,WebpLossy,T2,HD
322,967,RSU-0002,Local,1769332809861038,1769332809866816,1769332809870405,1769332813472618,,1769332809873460,1769332813472617,,1769332813477601,3616563,3605802,,,,3599157,380650,19,yolov5m,WebpLossy,T2,HD
351,1054,RSU-0001,Local,1769332812797725,1769332812799524,1769332812836412,1769332816806264,,1769332812864296,1769332816806263,,1769332816815156,4017431,4006740,,,,3941967,376230,17,yolov5m,WebpLossy,T2,HD
355,1066,RSU-0000,Local,1769332813201955,1769332813208311,1769332813242735,1769332816868122,,1769332813264132,1769332816868121,,1769332816892456,3690501,3659811,,,,3603989,374142,16,yolov5m,WebpLossy,T2,HD
357,1072,RSU-0002,Local,1769332813404843,1769332813410326,1769332813413107,1769332817078993,,1769332813472764,1769332817078993,,1769332817080611,3675768,3668667,,,,3606229,377214,16,yolov5m,WebpLossy,T2,HD
390,1171,RSU-0000,Local,1769332816745965,1769332816752455,1769332816752972,1769332820455267,,1769332816868249,1769332820455266,,1769332820461317,3715352,3702812,,,,3587017,379282,16,yolov5m,WebpLossy,T2,HD
393,1180,RSU-0002,Local,1769332817049507,1769332817055586,1769332817059240,1769332820688906,,1769332817079151,1769332820688905,,1769332820693878,3644371,3633320,,,,3609754,378538,17,yolov5m,WebpLossy,T2,HD
390,1171,RSU-0001,Local,1769332816745978,1769332816748414,1769332816748796,1769332820749237,,1769332816806418,1769332820749236,,1769332820757837,4011859,4000823,,,,3942818,379282,16,yolov5m,WebpLossy,T2,HD
426,1279,RSU-0000,Local,1769332820393189,1769332820399652,1769332820410341,1769332824049470,,1769332820455409,1769332824049469,,1769332824094910,3701721,3649818,,,,3594060,381580,17,yolov5m,WebpLossy,T2,HD
428,1285,RSU-0002,Local,1769332820595352,1769332820601475,1769332820605765,1769332824293246,,1769332820689063,1769332824293245,,1769332824298178,3702826,3691771,,,,3604182,381110,17,yolov5m,WebpLossy,T2,HD
429,1288,RSU-0001,Local,1769332820696096,1769332820697996,1769332820713873,1769332824697122,,1769332820749389,1769332824697121,,1769332824705829,4009733,3999126,,,,3947732,381390,17,yolov5m,WebpLossy,T2,HD
461,1384,RSU-0000,Local,1769332823939083,1769332823945037,1769332823957069,1769332827659500,,1769332824049600,1769332827659500,,1769332827665191,3726108,3714463,,,,3609900,390870,19,yolov5m,WebpLossy,T2,HD
464,1393,RSU-0002,Local,1769332824244401,1769332824250014,1769332824255062,1769332827892132,,1769332824293397,1769332827892132,,1769332827897444,3653043,3642118,,,,3598735,390688,18,yolov5m,WebpLossy,T2,HD
468,1405,RSU-0001,Local,1769332824652243,1769332824653935,1769332824665584,1769332828643211,,1769332824697271,1769332828643210,,1769332828652058,3999815,3989276,,,,3945939,389260,18,yolov5m,WebpLossy,T2,HD
497,1492,RSU-0000,Local,1769332827588144,1769332827594395,1769332827605149,1769332831251972,,1769332827659639,1769332831251971,,1769332831283597,3695453,3657577,,,,3592332,392958,18,yolov5m,WebpLossy,T2,HD
499,1498,RSU-0002,Local,1769332827791245,1769332827796852,1769332827801641,1769332831503337,,1769332827892275,1769332831503336,,1769332831508040,3716795,3706485,,,,3611061,387726,18,yolov5m,WebpLossy,T2,HD
507,1522,RSU-0001,Local,1769332828599524,1769332828597786,1769332828609508,1769332832583387,,1769332828643360,1769332832583386,,1769332832589028,3989504,3985601,,,,3940026,388006,16,yolov5m,WebpLossy,T2,HD
532,1597,RSU-0000,Local,1769332831132775,1769332831138065,1769332831178145,1769332834848606,,1769332831252106,1769332834848605,,1769332834854676,3721901,3710541,,,,3596499,380570,12,yolov5m,WebpLossy,T2,HD
535,1606,RSU-0002,Local,1769332831437638,1769332831443117,1769332831446077,1769332835098996,,1769332831503439,1769332835098995,,1769332835100497,3662859,3655879,,,,3595556,379434,12,yolov5m,WebpLossy,T2,HD
546,1639,RSU-0001,Local,1769332832551731,1769332832554783,1769332832566961,1769332836523647,,1769332832583533,1769332836523646,,1769332836529393,3977662,3968864,,,,3940113,378180,15,yolov5m,WebpLossy,T2,HD
568,1705,RSU-0000,Local,1769332834778248,1769332834784711,1769332834795496,1769332838444588,,1769332834848745,1769332838444587,,1769332838450874,3672626,3659877,,,,3595842,389542,16,yolov5m,WebpLossy,T2,HD
571,1714,RSU-0002,Local,1769332835080933,1769332835088711,1769332835095646,1769332838698119,,1769332835099095,1769332838698119,,1769332838703334,3622401,3609408,,,,3599024,390248,19,yolov5m,WebpLossy,T2,HD
585,1756,RSU-0001,Local,1769332836500931,1769332836503013,1769332836516608,1769332840449310,,1769332836523818,1769332840449309,,1769332840459083,3958152,3946297,,,,3925491,393482,18,yolov5m,WebpLossy,T2,HD
592,1777,RSU-0000,Local,1769332837209305,1769332837213400,1769332837224074,1769332842018813,,1769332838444727,1769332842018813,,1769332842025485,4816180,4805413,,,,3574086,395816,19,yolov5m,WebpLossy,T2,HD
