sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
1,7,RSU-0002,Local,1769328504973754,1769328504976791,1769328504984618,1769328508518200,,1769328505099150,1769328508518199,,1769328508525146,3551392,3541409,,,,3419049,798196,18,yolov5m,WebpLossy,T3,FHD
1,7,RSU-0000,Local,1769328504973734,1769328504980360,1769328505000714,1769328508541770,,1769328505126356,1769328508541770,,1769328508545974,3572240,3561410,,,,3415414,798196,18,yolov5m,WebpLossy,T3,FHD
1,7,RSU-0001,Local,1769328504973752,1769328504979067,1769328505000327,1769328509030285,,1769328505057763,1769328509030284,,1769328509033984,4060232,4051218,,,,3972521,798196,18,yolov5m,WebpLossy,T3,FHD
18,109,RSU-0002,Local,1769328508397353,1769328508401123,1769328508406408,1769328511885318,,1769328508518350,1769328511885317,,1769328511892375,3495022,3484195,,,,3366967,537558,24,yolov5m,WebpLossy,T3,FHD
18,109,RSU-0000,Local,1769328508397340,1769328508405065,1769328508419444,1769328511898916,,1769328508541910,1769328511898916,,1769328511903361,3506021,3493851,,,,3357006,537558,24,yolov5m,WebpLossy,T3,FHD
21,127,RSU-0001,Local,1769328509002399,1769328509006266,1769328509024434,1769328512891545,,1769328509030444,1769328512891544,,1769328512898405,3896006,3885279,,,,3861100,539980,23,yolov5m,WebpLossy,T3,FHD
35,211,RSU-0000,Local,1769328511822002,1769328511830043,1769328511830724,1769328515232619,,1769328511899075,1769328515232618,,1769328515236902,3414900,3402576,,,,3333543,536874,23,yolov5m,WebpLossy,T3,FHD
35,211,RSU-0002,Local,1769328511822016,1769328511825941,1769328511826585,1769328515240384,,1769328511885458,1769328515240383,,1769328515247368,3425352,3414443,,,,3354925,536874,23,yolov5m,WebpLossy,T3,FHD
40,241,RSU-0001,Local,1769328512826896,1769328512830288,1769328512830878,1769328516719981,,1769328512891690,1769328516719980,,1769328516726674,3899778,3889693,,,,3828290,534874,24,yolov5m,WebpLossy,T3,FHD
51,307,RSU-0000,Local,1769328515040672,1769328515046299,1769328515046893,1769328518565939,,1769328515232757,1769328518565938,,1769328518569605,3528933,3519640,,,,3333181,526734,21,yolov5m,WebpLossy,T3,FHD
51,307,RSU-0002,Local,1769328515040688,1769328515047482,1769328515053005,1769328518588761,,1769328515240541,1769328518588761,,1769328518595645,3554957,3541279,,,,3348220,526734,21,yolov5m,WebpLossy,T3,FHD
59,355,RSU-0001,Local,1769328516652819,1769328516656337,1769328516670291,1769328520547038,,1769328516720114,1769328520547037,,1769328520554022,3901203,3890701,,,,3826923,531684,20,yolov5m,WebpLossy,T3,FHD
68,409,RSU-0000,Local,1769328518462899,1769328518470939,1769328518490018,1769328521898645,,1769328518566083,1769328521898644,,1769328521899928,3437029,3427706,,,,3332561,521970,19,yolov5m,WebpLossy,T3,FHD
68,409,RSU-0002,Local,1769328518462924,1769328518466114,1769328518471503,1769328521933705,,1769328518588901,1769328521933704,,1769328521940753,3477829,3467591,,,,3344803,521970,19,yolov5m,WebpLossy,T3,FHD
78,469,RSU-0001,Local,1769328520478545,1769328520481954,1769328520496205,1769328524378425,,1769328520547190,1769328524378424,,1769328524385343,3906798,3896471,,,,3831234,526760,20,yolov5m,WebpLossy,T3,FHD
85,511,RSU-0000,Local,1769328521888043,1769328521895081,1769328521896162,1769328525227875,,1769328521898783,1769328525227874,,1769328525232389,3344346,3332794,,,,3329091,528774,22,yolov5m,WebpLossy,T3,FHD
85,511,RSU-0002,Local,1769328521888057,1769328521893349,1769328521895553,1769328525277816,,1769328521933845,1769328525277815,,1769328525287707,3399650,3384467,,,,3343970,528774,22,yolov5m,WebpLossy,T3,FHD
97,583,RSU-0001,Local,1769328524304727,1769328524308252,1769328524322526,1769328528210502,,1769328524378577,1769328528210501,,1769328528217298,3912571,3902250,,,,3831924,528612,20,yolov5m,WebpLossy,T3,FHD
101,607,RSU-0000,Local,1769328525110448,1769328525117176,1769328525131591,1769328528558176,,1769328525228011,1769328528558175,,1769328528559560,3449112,3441000,,,,3330164,536026,22,yolov5m,WebpLossy,T3,FHD
101,607,RSU-0002,Local,1769328525110465,1769328525113914,1769328525119245,1769328528631425,,1769328525277957,1769328528631424,,1769328528638412,3527947,3517511,,,,3353467,536026,22,yolov5m,WebpLossy,T3,FHD
118,709,RSU-0000,Local,1769328528531507,1769328528540218,1769328528556485,1769328531893032,,1769328528558328,1769328531893031,,1769328531897474,3365967,3352814,,,,3334703,537906,24,yolov5m,WebpLossy,T3,FHD
118,709,RSU-0002,Local,1769328528531524,1769328528535747,1769328528541412,1769328531992201,,1769328528631527,1769328531992201,,1769328531996174,3464650,3456454,,,,3360674,537906,24,yolov5m,WebpLossy,T3,FHD
116,697,RSU-0001,Local,1769328528129094,1769328528133624,1769328528148227,1769328532038663,,1769328528210655,1769328532038662,,1769328532045492,3916398,3905039,,,,3828007,544390,23,yolov5m,WebpLossy,T3,FHD
134,805,RSU-0000,Local,1769328531754478,1769328531761136,1769328531779510,1769328535219544,,1769328531893188,1769328535219543,,1769328535220731,3466253,3458408,,,,3326355,549982,22,yolov5m,WebpLossy,T3,FHD
135,811,RSU-0002,Local,1769328531956123,1769328531962064,1769328531963508,1769328535338630,,1769328531992342,1769328535338629,,1769328535345667,3389544,3376566,,,,3346287,546968,21,yolov5m,WebpLossy,T3,FHD
135,811,RSU-0001,Local,1769328531956122,1769328531960787,1769328531961323,1769328535863948,,1769328532038818,1769328535863947,,1769328535871266,3915144,3903161,,,,3825129,546968,21,yolov5m,WebpLossy,T3,FHD
151,907,RSU-0000,Local,1769328535180970,1769328535190096,1769328535208961,1769328538539868,,1769328535219679,1769328538539867,,1769328538544393,3363423,3349772,,,,3320188,526878,24,yolov5m,WebpLossy,T3,FHD
151,907,RSU-0002,Local,1769328535180988,1769328535185027,1769328535190775,1769328538693527,,1769328535338778,1769328538693526,,1769328538701152,3520164,3508500,,,,3354748,526878,24,yolov5m,WebpLossy,T3,FHD
154,925,RSU-0001,Local,1769328535784009,1769328535787550,1769328535802932,1769328539695492,,1769328535864100,1769328539695491,,1769328539702386,3918377,3907942,,,,3831391,520336,24,yolov5m,WebpLossy,T3,FHD
167,1003,RSU-0000,Local,1769328538400827,1769328538408677,1769328538432249,1769328541861474,,1769328538540000,1769328541861473,,1769328541865850,3465023,3452797,,,,3321473,505162,19,yolov5m,WebpLossy,T3,FHD
168,1009,RSU-0002,Local,1769328538601964,1769328538605205,1769328538611103,1769328542032446,,1769328538693668,1769328542032445,,1769328542035934,3433970,3427241,,,,3338777,506662,18,yolov5m,WebpLossy,T3,FHD
173,1039,RSU-0001,Local,1769328539608318,1769328539612703,1769328539644305,1769328543518742,,1769328539695655,1769328543518741,,1769328543525611,3917293,3906039,,,,3823086,512258,19,yolov5m,WebpLossy,T3,FHD
184,1105,RSU-0000,Local,1769328541823404,1769328541831582,1769328541850381,1769328545179661,,1769328541861594,1769328545179660,,1769328545184139,3360735,3348079,,,,3318066,508686,16,yolov5m,WebpLossy,T3,FHD
185,1111,RSU-0002,Local,1769328542025734,1769328542031257,1769328542031999,1769328545372675,,1769328542032528,1769328545372674,,1769328545379834,3354100,3341418,,,,3340146,511192,17,yolov5m,WebpLossy,T3,FHD
192,1153,RSU-0001,Local,1769328543439146,1769328543441915,1769328543469897,1769328547346352,,1769328543518894,1769328547346351,,1769328547353173,3914027,3904437,,,,3827457,510784,16,yolov5m,WebpLossy,T3,FHD
200,1201,RSU-0000,Local,1769328545049086,1769328545057127,1769328545057737,1769328548497193,,1769328545179828,1769328548497192,,1769328548524288,3475202,3440066,,,,3317364,509192,16,yolov5m,WebpLossy,T3,FHD
201,1207,RSU-0002,Local,1769328545249762,1769328545253929,1769328545259437,1769328548714067,,1769328545372816,1769328548714066,,1769328548720949,3471187,3460138,,,,3341250,510212,15,yolov5m,WebpLossy,T3,FHD
211,1267,RSU-0001,Local,1769328547264101,1769328547267756,1769328547281299,1769328551174587,,1769328547346497,1769328551174586,,1769328551181423,3917322,3906831,,,,3828089,508912,17,yolov5m,WebpLossy,T3,FHD
216,1297,RSU-0000,Local,1769328548270344,1769328548276963,1769328548293929,1769328551814057,,1769328548497323,1769328551814056,,1769328551818259,3547915,3537094,,,,3316733,505442,17,yolov5m,WebpLossy,T3,FHD
218,1309,RSU-0002,Local,1769328548673092,1769328548677894,1769328548684737,1769328552049918,,1769328548714226,1769328552049918,,1769328552056983,3383891,3372024,,,,3335692,503142,19,yolov5m,WebpLossy,T3,FHD
230,1381,RSU-0001,Local,1769328551088558,1769328551093006,1769328551094062,1769328555002264,,1769328551174733,1769328555002263,,1769328555009118,3920560,3909258,,,,3827530,527032,20,yolov5m,WebpLossy,T3,FHD
233,1399,RSU-0000,Local,1769328551691829,1769328551697633,1769328551735122,1769328555134945,,1769328551814194,1769328555134944,,1769328555136398,3444569,3437312,,,,3320750,519168,19,yolov5m,WebpLossy,T3,FHD
234,1405,RSU-0002,Local,1769328551892786,1769328551896093,1769328551901345,1769328555398511,,1769328552050060,1769328555398510,,1769328555405505,3512719,3502418,,,,3348450,522902,18,yolov5m,WebpLossy,T3,FHD
250,1501,RSU-0000,Local,1769328555116600,1769328555124386,1769328555125865,1769328558458553,,1769328555135085,1769328558458552,,1769328558464597,3347997,3334167,,,,3323467,515950,19,yolov5m,WebpLossy,T3,FHD
251,1507,RSU-0002,Local,1769328555318186,1769328555319921,1769328555326015,1769328558740871,,1769328555398652,1769328558740870,,1769328558747994,3429808,3420950,,,,3342218,518782,17,yolov5m,WebpLossy,T3,FHD
249,1495,RSU-0001,Local,1769328554915979,1769328554920444,1769328554971564,1769328558835791,,1769328555002411,1769328558835790,,1769328558842677,3926698,3915347,,,,3833379,524882,19,yolov5m,WebpLossy,T3,FHD
266,1597,RSU-0000,Local,1769328558338156,1769328558345493,1769328558361042,1769328561775687,,1769328558458691,1769328561775686,,1769328561790663,3452507,3430194,,,,3316995,508378,12,yolov5m,WebpLossy,T3,FHD
267,1603,RSU-0002,Local,1769328558539269,1769328558543123,1769328558548295,1769328562098302,,1769328558741030,1769328562098301,,1769328562105050,3565781,3555179,,,,3357271,509732,14,yolov5m,WebpLossy,T3,FHD
268,1609,RSU-0001,Local,1769328558740256,1769328558744841,1769328558758521,1769328562661762,,1769328558835971,1769328562661762,,1769328562668775,3928519,3916921,,,,3825791,511308,13,yolov5m,WebpLossy,T3,FHD
282,1693,RSU-0000,Local,1769328561563128,1769328561569716,1769328561622201,1769328565090279,,1769328561775838,1769328565090278,,1769328565094660,3531532,3520563,,,,3314440,526144,19,yolov5m,WebpLossy,T3,FHD
284,1705,RSU-0002,Local,1769328561966258,1769328561970307,1769328561975638,1769328565449800,,1769328562098445,1769328565449799,,1769328565460302,3494044,3479493,,,,3351354,531516,17,yolov5m,WebpLossy,T3,FHD
287,1723,RSU-0001,Local,1769328562571266,1769328562574696,1769328562595905,1769328566487914,,1769328562661908,1769328566487913,,1769328566495313,3924047,3913218,,,,3826005,531334,18,yolov5m,WebpLossy,T3,FHD
297,1783,RSU-0000,Local,1769328564583115,1769328564589981,1769328564642725,1769328568397725,,1769328565090420,1769328568397725,,1769328568403350,3820235,3807744,,,,3307305,544722,20,yolov5m,WebpLossy,T3,FHD
