sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
2,7,RSU-0000,Local,1768752803068193,1768752803075968,1768752803076377,1768752805414644,,1768752803154041,1768752805414644,,1768752805420459,2352266,2338676,,,2260603,217152,17,640,640,yolov5m,WebpLossy,T3,Letterbox
2,7,RSU-0002,Local,1768752803068193,1768752803076545,1768752803076879,1768752805450110,,1768752803130844,1768752805450109,,1768752805459314,2391121,2373565,,,2319265,217152,17,640,640,yolov5m,WebpLossy,T3,Letterbox
3,10,RSU-0001,Local,1768752803169797,1768752803178228,1768752803178562,1768752805675689,,1768752803191492,1768752805675689,,1768752805682283,2512486,2497461,,,2484197,205050,17,640,640,yolov5m,WebpLossy,T3,Letterbox
25,76,RSU-0000,Local,1768752805397667,1768752805407974,1768752805408470,1768752807729516,,1768752805414785,1768752807729515,,1768752807728828,2331161,2321542,,,2314730,204012,23,640,640,yolov5m,WebpLossy,T3,Letterbox
25,76,RSU-0002,Local,1768752805397667,1768752805407288,1768752805407746,1768752807825363,,1768752805450260,1768752807825362,,1768752807829753,2432086,2418075,,,2375102,204012,23,640,640,yolov5m,WebpLossy,T3,Letterbox
27,82,RSU-0001,Local,1768752805599712,1768752805607995,1768752805608299,1768752808211237,,1768752805675810,1768752808211237,,1768752808215320,2615608,2603242,,,2535427,204118,22,640,640,yolov5m,WebpLossy,T3,Letterbox
47,142,RSU-0000,Local,1768752807627059,1768752807635238,1768752807635636,1768752810044770,,1768752807729664,1768752810044769,,1768752810047360,2420301,2409532,,,2315105,205752,22,640,640,yolov5m,WebpLossy,T3,Letterbox
48,145,RSU-0002,Local,1768752807728816,1768752807731460,1768752807731809,1768752810184115,,1768752807825511,1768752810184114,,1768752810185927,2457111,2452655,,,2358603,204532,22,640,640,yolov5m,WebpLossy,T3,Letterbox
52,157,RSU-0001,Local,1768752808132764,1768752808141959,1768752808142543,1768752810749414,,1768752808211389,1768752810749413,,1768752810751512,2618748,2607455,,,2538024,205600,22,640,640,yolov5m,WebpLossy,T3,Letterbox
70,211,RSU-0000,Local,1768752809957289,1768752809965883,1768752809966286,1768752812353216,,1768752810044920,1768752812353215,,1768752812355898,2398609,2387333,,,2308295,205086,22,640,640,yolov5m,WebpLossy,T3,Letterbox
72,217,RSU-0002,Local,1768752810161178,1768752810173423,1768752810173733,1768752812550669,,1768752810184260,1768752812550669,,1768752812556338,2395160,2377246,,,2366409,204090,24,640,640,yolov5m,WebpLossy,T3,Letterbox
77,232,RSU-0001,Local,1768752810667439,1768752810676696,1768752810677308,1768752813276449,,1768752810749563,1768752813276449,,1768752813278718,2611279,2599753,,,2526886,205068,22,640,640,yolov5m,WebpLossy,T3,Letterbox
93,280,RSU-0000,Local,1768752812291836,1768752812299562,1768752812299945,1768752814653141,,1768752812353538,1768752814653140,,1768752814652350,2360514,2353579,,,2299602,205630,20,640,640,yolov5m,WebpLossy,T3,Letterbox
95,286,RSU-0002,Local,1768752812494157,1768752812504075,1768752812504421,1768752814896529,,1768752812550816,1768752814896528,,1768752814901340,2407183,2392454,,,2345712,205116,20,640,640,yolov5m,WebpLossy,T3,Letterbox
102,307,RSU-0001,Local,1768752813202699,1768752813211355,1768752813211691,1768752815802636,,1768752813276603,1768752815802635,,1768752815804238,2601539,2591281,,,2526032,203426,19,640,640,yolov5m,WebpLossy,T3,Letterbox
116,349,RSU-0000,Local,1768752814624183,1768752814634562,1768752814634762,1768752816953011,,1768752814653496,1768752816953010,,1768752816955522,2331339,2318449,,,2299514,203618,19,640,640,yolov5m,WebpLossy,T3,Letterbox
