sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0002,Local,1769287081984591,1769287081989241,1769287081989608,1769287082611362,,1769287082036582,1769287082611361,,1769287082615957,631366,622121,,,,574779,84671,15,yolov5n,JpgLossy,T1,HD
0,1,RSU-0000,Local,1769287081984590,1769287081986245,1769287081986497,1769287082616554,,1769287082036409,1769287082616553,,1769287082625294,640704,630309,,,,580144,84671,15,yolov5n,JpgLossy,T1,HD
0,1,RSU-0001,Local,1769287081984591,1769287081986616,1769287081986993,1769287082673920,,1769287082050623,1769287082673919,,1769287082682662,698071,687304,,,,623296,84671,15,yolov5n,JpgLossy,T1,HD
3,19,RSU-0000,Local,1769287082588998,1769287082585111,1769287082585676,1769287083169422,,1769287082616695,1769287083169421,,1769287083181569,592571,584311,,,,552726,76312,17,yolov5n,JpgLossy,T1,HD
3,19,RSU-0002,Local,1769287082589014,1769287082589349,1769287082589856,1769287083174399,,1769287082611767,1769287083174398,,1769287083182823,593809,585050,,,,562631,76312,17,yolov5n,JpgLossy,T1,HD
3,19,RSU-0001,Local,1769287082589013,1769287082588196,1769287082588423,1769287083263141,,1769287082674022,1769287083263140,,1769287083271608,682595,674945,,,,589118,76312,17,yolov5n,JpgLossy,T1,HD
5,31,RSU-0000,Local,1769287082992185,1769287082992834,1769287082993107,1769287083712012,,1769287083169567,1769287083712011,,1769287083724003,731818,719178,,,,542444,76181,17,yolov5n,JpgLossy,T1,HD
5,31,RSU-0002,Local,1769287082992245,1769287082998180,1769287082998467,1769287083718884,,1769287083174558,1769287083718883,,1769287083728421,736176,720704,,,,544325,76181,17,yolov5n,JpgLossy,T1,HD
6,37,RSU-0001,Local,1769287083192661,1769287083194520,1769287083194873,1769287083843838,,1769287083263267,1769287083843837,,1769287083852253,659592,649318,,,,580570,76139,15,yolov5n,JpgLossy,T1,HD
8,49,RSU-0000,Local,1769287083596366,1769287083592435,1769287083592682,1769287084258023,,1769287083712153,1769287084258022,,1769287084270128,673762,665588,,,,545869,76475,15,yolov5n,JpgLossy,T1,HD
8,49,RSU-0002,Local,1769287083596380,1769287083598043,1769287083598333,1769287084271725,,1769287083719030,1769287084271724,,1769287084279867,683487,673682,,,,552694,76475,15,yolov5n,JpgLossy,T1,HD
9,55,RSU-0001,Local,1769287083797894,1769287083799412,1769287083799638,1769287084424913,,1769287083844011,1769287084424912,,1769287084430950,633056,625501,,,,580901,77127,15,yolov5n,JpgLossy,T1,HD
11,67,RSU-0000,Local,1769287084200676,1769287084201288,1769287084201841,1769287084799111,,1769287084258166,1769287084799110,,1769287084811670,610994,597823,,,,540944,77108,14,yolov5n,JpgLossy,T1,HD
11,67,RSU-0002,Local,1769287084200692,1769287084206955,1769287084207208,1769287084816997,,1769287084271883,1769287084816996,,1769287084821802,621110,610042,,,,545113,77108,14,yolov5n,JpgLossy,T1,HD
12,73,RSU-0001,Local,1769287084402348,1769287084404289,1769287084404860,1769287085005684,,1769287084425064,1769287085005683,,1769287085013058,610710,601395,,,,580619,76888,15,yolov5n,JpgLossy,T1,HD
13,79,RSU-0000,Local,1769287084602754,1769287084602219,1769287084602633,1769287085340711,,1769287084799268,1769287085340710,,1769287085352989,750235,738492,,,,541442,77411,18,yolov5n,JpgLossy,T1,HD
