sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Local,1769291650802858,1769291650808070,1769291650808266,1769291651361535,,1769291650857167,1769291651361534,,1769291651366888,564030,553465,,,,504367,28714,15,yolov5n,JpgLossy,T1,Letterbox
0,1,RSU-0002,Local,1769291650802858,1769291650804057,1769291650804299,1769291651371535,,1769291650857135,1769291651371534,,1769291651385375,582517,567478,,,,514399,28714,15,yolov5n,JpgLossy,T1,Letterbox
0,1,RSU-0001,Local,1769291650802858,1769291650802285,1769291650802588,1769291651393793,,1769291650860584,1769291651393792,,1769291651404525,601667,591508,,,,533208,28714,15,yolov5n,JpgLossy,T1,Letterbox
5,16,RSU-0000,Local,1769291651309095,1769291651314373,1769291651316700,1769291651845958,,1769291651361690,1769291651845958,,1769291651848512,539417,531585,,,,484268,27577,14,yolov5n,JpgLossy,T1,Letterbox
5,16,RSU-0002,Local,1769291651309111,1769291651306260,1769291651308820,1769291651854280,,1769291651371640,1769291651854279,,1769291651868608,559497,548020,,,,482639,27577,14,yolov5n,JpgLossy,T1,Letterbox
5,16,RSU-0001,Local,1769291651309110,1769291651307688,1769291651309531,1769291651909666,,1769291651393942,1769291651909665,,1769291651920546,611436,601978,,,,515723,27577,14,yolov5n,JpgLossy,T1,Letterbox
10,31,RSU-0000,Local,1769291651815923,1769291651820997,1769291651821496,1769291652317860,,1769291651846102,1769291652317859,,1769291652323378,507455,496863,,,,471757,27529,13,yolov5n,JpgLossy,T1,Letterbox
10,31,RSU-0002,Local,1769291651815940,1769291651813768,1769291651814626,1769291652324611,,1769291651854416,1769291652324611,,1769291652336089,520149,510843,,,,470195,27529,13,yolov5n,JpgLossy,T1,Letterbox
10,31,RSU-0001,Local,1769291651815939,1769291651814335,1769291651814501,1769291652417780,,1769291651909815,1769291652417779,,1769291652428800,612861,603445,,,,507964,27529,13,yolov5n,JpgLossy,T1,Letterbox
14,43,RSU-0000,Local,1769291652220583,1769291652222092,1769291652222266,1769291652790869,,1769291652318002,1769291652790868,,1769291652796595,576012,568777,,,,472866,27662,13,yolov5n,JpgLossy,T1,Letterbox
15,46,RSU-0002,Local,1769291652322178,1769291652319625,1769291652322932,1769291652794076,,1769291652324713,1769291652794076,,1769291652807582,485404,474451,,,,469363,27621,15,yolov5n,JpgLossy,T1,Letterbox
15,46,RSU-0001,Local,1769291652322178,1769291652322482,1769291652324081,1769291652925007,,1769291652417928,1769291652925006,,1769291652936051,613873,602525,,,,507078,27621,15,yolov5n,JpgLossy,T1,Letterbox
19,58,RSU-0000,Local,1769291652727589,1769291652731890,1769291652733982,1769291653264721,,1769291652791010,1769291653264721,,1769291653267676,540087,532831,,,,473711,27785,16,yolov5n,JpgLossy,T1,Letterbox
19,58,RSU-0002,Local,1769291652727606,1769291652725698,1769291652728440,1769291653271395,,1769291652794220,1769291653271394,,1769291653286033,558427,545697,,,,477174,27785,16,yolov5n,JpgLossy,T1,Letterbox
20,61,RSU-0001,Local,1769291652828949,1769291652827911,1769291652828314,1769291653432334,,1769291652925135,1769291653432334,,1769291653443855,614906,604423,,,,507199,27784,14,yolov5n,JpgLossy,T1,Letterbox
