sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0000,Local,1768618122733957,1768618122739927,1768618122740260,1768618123293060,,1768618122784057,1768618123293059,,1768618123296124,562167,553133,,,509002,137185,16,1920,1080,yolov5n,JpgLossy,T2,FHD
0,1,RSU-0001,Local,1768618122733957,1768618122746712,1768618122747178,1768618123312348,,1768618122791116,1768618123312347,,1768618123314253,580296,565636,,,521231,137185,16,1920,1080,yolov5n,JpgLossy,T2,FHD
0,1,RSU-0002,Local,1768618122733957,1768618122743729,1768618122744093,1768618123337061,,1768618122800273,1768618123337060,,1768618123345332,611375,593332,,,536787,137185,16,1920,1080,yolov5n,JpgLossy,T2,FHD
1,31,RSU-0000,Local,1768618123735421,1768618123744327,1768618123744516,1768618124218310,,1768618123744567,1768618124218309,,1768618124221589,486168,473983,,,473742,65476,15,1920,1080,yolov5n,JpgLossy,T2,FHD
1,31,RSU-0002,Local,1768618123735421,1768618123737354,1768618123737551,1768618124230259,,1768618123737592,1768618124230258,,1768618124238692,503271,492905,,,492666,65476,15,1920,1080,yolov5n,JpgLossy,T2,FHD
1,31,RSU-0001,Local,1768618123735421,1768618123744388,1768618123744582,1768618124237291,,1768618123744651,1768618124237290,,1768618124240855,505434,492903,,,492639,65476,15,1920,1080,yolov5n,JpgLossy,T2,FHD
2,61,RSU-0001,Local,1768618124736929,1768618124746217,1768618124746432,1768618125211498,,1768618124746535,1768618125211497,,1768618125213070,476141,465281,,,464962,66282,15,1920,1080,yolov5n,JpgLossy,T2,FHD
2,61,RSU-0000,Local,1768618124736929,1768618124746256,1768618124746446,1768618125226968,,1768618124746488,1768618125226967,,1768618125230556,493627,480712,,,480479,66282,15,1920,1080,yolov5n,JpgLossy,T2,FHD
2,61,RSU-0002,Local,1768618124736929,1768618124739044,1768618124739227,1768618125243754,,1768618124739302,1768618125243753,,1768618125252749,515820,504710,,,504451,66282,15,1920,1080,yolov5n,JpgLossy,T2,FHD
3,91,RSU-0000,Local,1768618125737582,1768618125742113,1768618125742298,1768618126217469,,1768618125742340,1768618126217469,,1768618126220621,483039,475356,,,475129,66924,18,1920,1080,yolov5n,JpgLossy,T2,FHD
3,91,RSU-0001,Local,1768618125737582,1768618125747375,1768618125747580,1768618126220837,,1768618125747634,1768618126220836,,1768618126222330,484748,473462,,,473202,66924,18,1920,1080,yolov5n,JpgLossy,T2,FHD
3,91,RSU-0002,Local,1768618125737582,1768618125739397,1768618125739604,1768618126225419,,1768618125739748,1768618126225419,,1768618126233765,496183,486022,,,485671,66924,18,1920,1080,yolov5n,JpgLossy,T2,FHD
4,121,RSU-0000,Local,1768618126739018,1768618126746350,1768618126746548,1768618127214571,,1768618126746587,1768618127214570,,1768618127217877,478859,468221,,,467983,67065,16,1920,1080,yolov5n,JpgLossy,T2,FHD
4,121,RSU-0001,Local,1768618126739018,1768618126748891,1768618126749094,1768618127217427,,1768618126749202,1768618127217426,,1768618127219671,480653,468536,,,468224,67065,16,1920,1080,yolov5n,JpgLossy,T2,FHD
4,121,RSU-0002,Local,1768618126739018,1768618126740611,1768618126740814,1768618127221808,,1768618126740935,1768618127221808,,1768618127230388,491370,481197,,,480873,67065,16,1920,1080,yolov5n,JpgLossy,T2,FHD
5,151,RSU-0000,Local,1768618127739616,1768618127748198,1768618127748391,1768618128216763,,1768618127748428,1768618128216762,,1768618128221342,481726,468565,,,468334,67336,19,1920,1080,yolov5n,JpgLossy,T2,FHD
5,151,RSU-0001,Local,1768618127739616,1768618127747945,1768618127748147,1768618128220511,,1768618127748284,1768618128220511,,1768618128221812,482196,472566,,,472227,67336,19,1920,1080,yolov5n,JpgLossy,T2,FHD
5,151,RSU-0002,Local,1768618127739616,1768618127742470,1768618127742657,1768618128230946,,1768618127742768,1768618128230946,,1768618128239652,500036,488476,,,488178,67336,19,1920,1080,yolov5n,JpgLossy,T2,FHD
6,181,RSU-0000,Local,1768618128740725,1768618128749895,1768618128750083,1768618129220443,,1768618128750137,1768618129220442,,1768618129223376,482651,470548,,,470305,66515,17,1920,1080,yolov5n,JpgLossy,T2,FHD
6,181,RSU-0001,Local,1768618128740725,1768618128748911,1768618128749107,1768618129222731,,1768618128749213,1768618129222731,,1768618129224840,484115,473820,,,473518,66515,17,1920,1080,yolov5n,JpgLossy,T2,FHD
6,181,RSU-0002,Local,1768618128740725,1768618128743500,1768618128743689,1768618129224977,,1768618128743732,1768618129224976,,1768618129233360,492635,481477,,,481244,66515,17,1920,1080,yolov5n,JpgLossy,T2,FHD
7,211,RSU-0000,Local,1768618129742093,1768618129748736,1768618129748921,1768618130216537,,1768618129749028,1768618130216536,,1768618130219736,477643,467801,,,467508,66939,15,1920,1080,yolov5n,JpgLossy,T2,FHD
7,211,RSU-0001,Local,1768618129742093,1768618129750886,1768618129751121,1768618130233249,,1768618129751216,1768618130233248,,1768618130235457,493364,482363,,,482032,66939,15,1920,1080,yolov5n,JpgLossy,T2,FHD
7,211,RSU-0002,Local,1768618129742093,1768618129745511,1768618129745723,1768618130226955,,1768618129745770,1768618130226954,,1768618130235496,493403,481444,,,481184,66939,15,1920,1080,yolov5n,JpgLossy,T2,FHD
8,241,RSU-0000,Local,1768618130744008,1768618130750576,1768618130750774,1768618131218944,,1768618130750883,1768618131218943,,1768618131221771,477763,468368,,,468060,66824,16,1920,1080,yolov5n,JpgLossy,T2,FHD
8,241,RSU-0001,Local,1768618130744008,1768618130753179,1768618130753378,1768618131225780,,1768618130753440,1768618131225780,,1768618131227854,483846,472601,,,472340,66824,16,1920,1080,yolov5n,JpgLossy,T2,FHD
8,241,RSU-0002,Local,1768618130744008,1768618130746469,1768618130746662,1768618131228182,,1768618130746706,1768618131228182,,1768618131236002,491994,481713,,,481476,66824,16,1920,1080,yolov5n,JpgLossy,T2,FHD
9,271,RSU-0000,Local,1768618131745246,1768618131748777,1768618131748975,1768618132218242,,1768618131749032,1768618132218241,,1768618132221691,476445,469465,,,469209,67331,17,1920,1080,yolov5n,JpgLossy,T2,FHD
9,271,RSU-0001,Local,1768618131745246,1768618131755277,1768618131755483,1768618132224681,,1768618131755527,1768618132224681,,1768618132228531,483285,469404,,,469154,67331,17,1920,1080,yolov5n,JpgLossy,T2,FHD
9,271,RSU-0002,Local,1768618131745246,1768618131747752,1768618131747940,1768618132229779,,1768618131747983,1768618132229778,,1768618132238099,492853,482027,,,481795,67331,17,1920,1080,yolov5n,JpgLossy,T2,FHD
10,301,RSU-0000,Local,1768618132746674,1768618132753233,1768618132753432,1768618133220585,,1768618132753541,1768618133220584,,1768618133223351,476677,467352,,,467043,66315,14,1920,1080,yolov5n,JpgLossy,T2,FHD
10,301,RSU-0001,Local,1768618132746674,1768618132756314,1768618132756524,1768618133225020,,1768618132756641,1768618133225019,,1768618133226531,479857,468706,,,468378,66315,14,1920,1080,yolov5n,JpgLossy,T2,FHD
10,301,RSU-0002,Local,1768618132746674,1768618132749151,1768618132749350,1768618133230983,,1768618132749398,1768618133230982,,1768618133239529,492855,481832,,,481584,66315,14,1920,1080,yolov5n,JpgLossy,T2,FHD
11,331,RSU-0001,Local,1768618133747510,1768618133757567,1768618133757774,1768618134225100,,1768618133757878,1768618134225099,,1768618134227636,480126,467533,,,467221,66153,17,1920,1080,yolov5n,JpgLossy,T2,FHD
11,331,RSU-0000,Local,1768618133747510,1768618133754145,1768618133754332,1768618134226336,,1768618133754385,1768618134226335,,1768618134229849,482339,472191,,,471950,66153,17,1920,1080,yolov5n,JpgLossy,T2,FHD
11,331,RSU-0002,Local,1768618133747510,1768618133750157,1768618133750346,1768618134233488,,1768618133750392,1768618134233487,,1768618134241944,494434,483331,,,483095,66153,17,1920,1080,yolov5n,JpgLossy,T2,FHD
12,361,RSU-0000,Local,1768618134749209,1768618134756941,1768618134757129,1768618135224106,,1768618134757167,1768618135224105,,1768618135227271,478062,467165,,,466938,65975,18,1920,1080,yolov5n,JpgLossy,T2,FHD
12,361,RSU-0001,Local,1768618134749209,1768618134757410,1768618134757619,1768618135228482,,1768618134757675,1768618135228482,,1768618135230011,480802,471072,,,470807,65975,18,1920,1080,yolov5n,JpgLossy,T2,FHD
12,361,RSU-0002,Local,1768618134749209,1768618134753356,1768618134753548,1768618135235629,,1768618134753595,1768618135235629,,1768618135243969,494760,482273,,,482034,65975,18,1920,1080,yolov5n,JpgLossy,T2,FHD
