sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0001,Local,1768620758579698,1768620758584893,1768620758585189,1768620759120444,,1768620758631367,1768620759120443,,1768620759126396,546698,535551,,,489076,84671,15,1280,720,yolov5n,JpgLossy,T2,HD
0,1,RSU-0000,Local,1768620758579698,1768620758586273,1768620758586556,1768620759133022,,1768620758636757,1768620759133022,,1768620759138422,558724,546749,,,496265,84671,15,1280,720,yolov5n,JpgLossy,T2,HD
0,1,RSU-0002,Local,1768620758579698,1768620758587520,1768620758587743,1768620759161658,,1768620758655147,1768620759161657,,1768620759166332,586634,574138,,,506510,84671,15,1280,720,yolov5n,JpgLossy,T2,HD
2,13,RSU-0001,Local,1768620758981526,1768620758986706,1768620758987373,1768620759558582,,1768620759120600,1768620759558581,,1768620759563370,581844,571876,,,437981,76569,16,1280,720,yolov5n,JpgLossy,T2,HD
2,13,RSU-0000,Local,1768620758981526,1768620758991732,1768620758992094,1768620759594204,,1768620759133189,1768620759594204,,1768620759595683,614157,602472,,,461015,76569,16,1280,720,yolov5n,JpgLossy,T2,HD
2,13,RSU-0002,Local,1768620758981526,1768620758987664,1768620758990729,1768620759641269,,1768620759162093,1768620759641268,,1768620759645809,664283,653605,,,479175,76569,16,1280,720,yolov5n,JpgLossy,T2,HD
4,25,RSU-0001,Local,1768620759383397,1768620759394820,1768620759395167,1768620759989957,,1768620759558738,1768620759989956,,1768620759992615,609218,595137,,,431218,75987,16,1280,720,yolov5n,JpgLossy,T2,HD
5,31,RSU-0000,Local,1768620759584900,1768620759591762,1768620759592311,1768620760054647,,1768620759594364,1768620760054647,,1768620760059339,474439,462885,,,460283,76181,17,1280,720,yolov5n,JpgLossy,T2,HD
5,31,RSU-0002,Local,1768620759584900,1768620759588237,1768620759588575,1768620760115938,,1768620759641772,1768620760115937,,1768620760123552,538652,527701,,,474165,76181,17,1280,720,yolov5n,JpgLossy,T2,HD
6,37,RSU-0001,Local,1768620759785713,1768620759799183,1768620759799449,1768620760421405,,1768620759990085,1768620760421405,,1768620760423192,637479,622222,,,431320,76139,15,1280,720,yolov5n,JpgLossy,T2,HD
7,43,RSU-0000,Local,1768620759986553,1768620759994184,1768620759994493,1768620760515987,,1768620760054792,1768620760515986,,1768620760520405,533852,521803,,,461194,76419,14,1280,720,yolov5n,JpgLossy,T2,HD
7,43,RSU-0002,Local,1768620759986553,1768620759993320,1768620759996498,1768620760590452,,1768620760116374,1768620760590451,,1768620760595722,609169,597132,,,474077,76419,14,1280,720,yolov5n,JpgLossy,T2,HD
9,55,RSU-0001,Local,1768620760390352,1768620760397825,1768620760398331,1768620760850124,,1768620760421564,1768620760850123,,1768620760854992,464640,452299,,,428559,77127,15,1280,720,yolov5n,JpgLossy,T2,HD
9,55,RSU-0000,Local,1768620760390352,1768620760403702,1768620760403925,1768620760976606,,1768620760516357,1768620760976606,,1768620760980399,590047,572904,,,460249,77127,15,1280,720,yolov5n,JpgLossy,T2,HD
9,55,RSU-0002,Local,1768620760390352,1768620760407421,1768620760410602,1768620761065703,,1768620760590873,1768620761065702,,1768620761070109,679757,658282,,,474829,77127,15,1280,720,yolov5n,JpgLossy,T2,HD
11,67,RSU-0001,Local,1768620760792709,1768620760798239,1768620760799146,1768620761284521,,1768620760850278,1768620761284521,,1768620761289498,496789,486282,,,434243,77108,14,1280,720,yolov5n,JpgLossy,T2,HD
11,67,RSU-0000,Local,1768620760792709,1768620760803249,1768620760803754,1768620761437211,,1768620760976757,1768620761437210,,1768620761443730,651021,633962,,,460453,77108,14,1280,720,yolov5n,JpgLossy,T2,HD
12,73,RSU-0002,Local,1768620760993988,1768620760999697,1768620761002650,1768620761538781,,1768620761066173,1768620761538780,,1768620761543262,549274,539084,,,472607,76888,15,1280,720,yolov5n,JpgLossy,T2,HD
13,79,RSU-0001,Local,1768620761194718,1768620761199494,1768620761199764,1768620761714410,,1768620761284667,1768620761714410,,1768620761719757,525039,514916,,,429743,77411,18,1280,720,yolov5n,JpgLossy,T2,HD
14,85,RSU-0000,Local,1768620761396259,1768620761403164,1768620761403624,1768620761896587,,1768620761437372,1768620761896586,,1768620761900432,504173,493423,,,459214,77370,18,1280,720,yolov5n,JpgLossy,T2,HD
14,85,RSU-0002,Local,1768620761396259,1768620761402822,1768620761406325,1768620762014451,,1768620761539166,1768620762014451,,1768620762015968,619709,611629,,,475285,77370,18,1280,720,yolov5n,JpgLossy,T2,HD
15,91,RSU-0001,Local,1768620761597645,1768620761607246,1768620761607593,1768620762138746,,1768620761714564,1768620762138745,,1768620762143617,545972,531500,,,424181,77644,17,1280,720,yolov5n,JpgLossy,T2,HD
16,97,RSU-0000,Local,1768620761799255,1768620761805833,1768620761806206,1768620762356421,,1768620761896750,1768620762356420,,1768620762360492,561237,550588,,,459670,77452,14,1280,720,yolov5n,JpgLossy,T2,HD
17,103,RSU-0002,Local,1768620762001508,1768620762008109,1768620762011919,1768620762489171,,1768620762014828,1768620762489170,,1768620762493494,491986,481062,,,474342,77914,14,1280,720,yolov5n,JpgLossy,T2,HD
17,103,RSU-0001,Local,1768620762001508,1768620762007479,1768620762008054,1768620762573016,,1768620762138899,1768620762573015,,1768620762577967,576459,565537,,,434116,77914,14,1280,720,yolov5n,JpgLossy,T2,HD
18,109,RSU-0000,Local,1768620762203147,1768620762209963,1768620762210396,1768620762812764,,1768620762356584,1768620762812763,,1768620762815018,611871,602801,,,456179,77911,16,1280,720,yolov5n,JpgLossy,T2,HD
