sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0000,Local,1768618259535751,1768618259547706,1768618259548055,1768618260011101,,1768618259599879,1768618260011100,,1768618260014102,478351,463395,,,411221,28714,15,640,640,yolov5n,JpgLossy,T2,Letterbox
0,1,RSU-0001,Local,1768618259535751,1768618259548844,1768618259549038,1768618260014006,,1768618259598283,1768618260014005,,1768618260015693,479942,465162,,,415722,28714,15,640,640,yolov5n,JpgLossy,T2,Letterbox
0,1,RSU-0002,Local,1768618259535751,1768618259540935,1768618259541232,1768618260018291,,1768618259599550,1768618260018290,,1768618260025891,490140,477356,,,418740,28714,15,640,640,yolov5n,JpgLossy,T2,Letterbox
1,31,RSU-0001,Local,1768618260537240,1768618260546241,1768618260546394,1768618260938462,,1768618260546446,1768618260938460,,1768618260940539,403299,392221,,,392014,27529,13,640,640,yolov5n,JpgLossy,T2,Letterbox
1,31,RSU-0000,Local,1768618260537240,1768618260546239,1768618260546390,1768618260944154,,1768618260546427,1768618260944153,,1768618260946376,409136,397915,,,397726,27529,13,640,640,yolov5n,JpgLossy,T2,Letterbox
1,31,RSU-0002,Local,1768618260537240,1768618260539408,1768618260539561,1768618260948207,,1768618260539623,1768618260948206,,1768618260956367,419127,408799,,,408583,27529,13,640,640,yolov5n,JpgLossy,T2,Letterbox
2,61,RSU-0000,Local,1768618261538725,1768618261546336,1768618261546489,1768618261928833,,1768618261546588,1768618261928833,,1768618261931394,392669,382497,,,382245,27784,14,640,640,yolov5n,JpgLossy,T2,Letterbox
2,61,RSU-0002,Local,1768618261538725,1768618261540514,1768618261540666,1768618261930306,,1768618261540713,1768618261930305,,1768618261938394,399669,389792,,,389592,27784,14,640,640,yolov5n,JpgLossy,T2,Letterbox
2,61,RSU-0001,Local,1768618261538725,1768618261546841,1768618261547001,1768618261941454,,1768618261547126,1768618261941454,,1768618261943651,404926,394613,,,394328,27784,14,640,640,yolov5n,JpgLossy,T2,Letterbox
3,91,RSU-0002,Local,1768618262539809,1768618262542547,1768618262542714,1768618262932056,,1768618262542754,1768618262932055,,1768618262939815,400006,389509,,,389301,28009,16,640,640,yolov5n,JpgLossy,T2,Letterbox
3,91,RSU-0001,Local,1768618262539809,1768618262548258,1768618262548404,1768618262939684,,1768618262548441,1768618262939682,,1768618262941040,401231,391426,,,391241,28009,16,640,640,yolov5n,JpgLossy,T2,Letterbox
3,91,RSU-0000,Local,1768618262539809,1768618262548882,1768618262549032,1768618262938872,,1768618262549067,1768618262938872,,1768618262941304,401495,389990,,,389805,28009,16,640,640,yolov5n,JpgLossy,T2,Letterbox
4,121,RSU-0001,Local,1768618263540497,1768618263547957,1768618263548112,1768618263932944,,1768618263548150,1768618263932943,,1768618263934263,393766,384987,,,384793,28063,18,640,640,yolov5n,JpgLossy,T2,Letterbox
4,121,RSU-0002,Local,1768618263540497,1768618263543507,1768618263543658,1768618263932348,,1768618263543700,1768618263932347,,1768618263939699,399202,388841,,,388647,28063,18,640,640,yolov5n,JpgLossy,T2,Letterbox
4,121,RSU-0000,Local,1768618263540497,1768618263550902,1768618263551053,1768618263941575,,1768618263551098,1768618263941574,,1768618263944528,404031,390673,,,390476,28063,18,640,640,yolov5n,JpgLossy,T2,Letterbox
5,151,RSU-0000,Local,1768618264541685,1768618264550806,1768618264550961,1768618264936304,,1768618264551010,1768618264936303,,1768618264939312,397627,385498,,,385293,28072,18,640,640,yolov5n,JpgLossy,T2,Letterbox
5,151,RSU-0001,Local,1768618264541685,1768618264549964,1768618264550122,1768618264941122,,1768618264550165,1768618264941121,,1768618264942726,401041,391158,,,390956,28072,18,640,640,yolov5n,JpgLossy,T2,Letterbox
5,151,RSU-0002,Local,1768618264541685,1768618264544808,1768618264544977,1768618264935092,,1768618264545017,1768618264935091,,1768618264943107,401422,390284,,,390074,28072,18,640,640,yolov5n,JpgLossy,T2,Letterbox
6,181,RSU-0002,Local,1768618265543161,1768618265545472,1768618265545640,1768618265937376,,1768618265545694,1768618265937376,,1768618265942485,399324,391904,,,391682,27944,13,640,640,yolov5n,JpgLossy,T2,Letterbox
6,181,RSU-0000,Local,1768618265543161,1768618265552413,1768618265552565,1768618265942049,,1768618265552673,1768618265942049,,1768618265945494,402333,389636,,,389376,27944,13,640,640,yolov5n,JpgLossy,T2,Letterbox
6,181,RSU-0001,Local,1768618265543161,1768618265552299,1768618265552461,1768618265943473,,1768618265552500,1768618265943473,,1768618265945631,402470,391174,,,390973,27944,13,640,640,yolov5n,JpgLossy,T2,Letterbox
7,211,RSU-0001,Local,1768618266544774,1768618266553817,1768618266553973,1768618266940160,,1768618266554013,1768618266940159,,1768618266941460,396686,386343,,,386146,28029,13,640,640,yolov5n,JpgLossy,T2,Letterbox
7,211,RSU-0000,Local,1768618266544774,1768618266553404,1768618266553550,1768618266941362,,1768618266553592,1768618266941361,,1768618266943449,398675,387958,,,387769,28029,13,640,640,yolov5n,JpgLossy,T2,Letterbox
7,211,RSU-0002,Local,1768618266544774,1768618266546915,1768618266547066,1768618266936740,,1768618266547116,1768618266936739,,1768618266944957,400183,389825,,,389623,28029,13,640,640,yolov5n,JpgLossy,T2,Letterbox
8,241,RSU-0001,Local,1768618267545718,1768618267552912,1768618267553081,1768618267938694,,1768618267553122,1768618267938693,,1768618267939898,394180,385782,,,385571,27949,15,640,640,yolov5n,JpgLossy,T2,Letterbox
8,241,RSU-0000,Local,1768618267545718,1768618267554657,1768618267554812,1768618267943803,,1768618267554847,1768618267943802,,1768618267949153,403435,389146,,,388955,27949,15,640,640,yolov5n,JpgLossy,T2,Letterbox
