sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Local,1769287764997988,1769287764999374,1769287764999662,1769287765652007,,1769287765050325,1769287765652006,,1769287765660705,662717,652633,,,,601681,117204,17,yolov5n,JpgLossy,T3,FHD
0,1,RSU-0002,Local,1769287764997988,1769287765005174,1769287765005489,1769287765660838,,1769287765056639,1769287765660837,,1769287765666296,668308,655664,,,,604198,117204,17,yolov5n,JpgLossy,T3,FHD
0,1,RSU-0001,Local,1769287764997988,1769287765004980,1769287765005549,1769287765717646,,1769287765066640,1769287765717645,,1769287765723260,725272,712666,,,,651005,117204,17,yolov5n,JpgLossy,T3,FHD
3,19,RSU-0000,Local,1769287765601748,1769287765605510,1769287765609186,1769287766263038,,1769287765652150,1769287766263038,,1769287766271887,670139,657528,,,,610888,60465,17,yolov5n,JpgLossy,T3,FHD
3,19,RSU-0002,Local,1769287765601766,1769287765609659,1769287765613474,1769287766288697,,1769287765660993,1769287766288696,,1769287766294200,692434,679038,,,,627703,60465,17,yolov5n,JpgLossy,T3,FHD
3,19,RSU-0001,Local,1769287765601765,1769287765606639,1769287765609557,1769287766336950,,1769287765717795,1769287766336949,,1769287766342469,740704,730311,,,,619154,60465,17,yolov5n,JpgLossy,T3,FHD
6,37,RSU-0000,Local,1769287766206412,1769287766206718,1769287766211839,1769287766867959,,1769287766263187,1769287766867958,,1769287766876046,669634,661241,,,,604771,60503,16,yolov5n,JpgLossy,T3,FHD
6,37,RSU-0002,Local,1769287766206430,1769287766209935,1769287766213054,1769287766907832,,1769287766288782,1769287766907831,,1769287766913710,707280,697897,,,,619049,60503,16,yolov5n,JpgLossy,T3,FHD
6,37,RSU-0001,Local,1769287766206428,1769287766208450,1769287766211205,1769287766948831,,1769287766337113,1769287766948831,,1769287766954349,747921,740381,,,,611718,60503,16,yolov5n,JpgLossy,T3,FHD
9,55,RSU-0000,Local,1769287766810038,1769287766813069,1769287766816770,1769287767473126,,1769287766868104,1769287767473125,,1769287767481263,671225,660057,,,,605021,61106,16,yolov5n,JpgLossy,T3,FHD
9,55,RSU-0002,Local,1769287766810058,1769287766815067,1769287766818427,1769287767523019,,1769287766907980,1769287767523018,,1769287767528753,718695,707952,,,,615038,61106,16,yolov5n,JpgLossy,T3,FHD
9,55,RSU-0001,Local,1769287766810056,1769287766816779,1769287766819675,1769287767561558,,1769287766948985,1769287767561557,,1769287767567176,757120,744779,,,,612572,61106,16,yolov5n,JpgLossy,T3,FHD
