sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0000,Local,1768745972571835,1768745972584175,1768745972584330,1768745973049578,,1768745972638017,1768745973049578,,1768745973051893,480058,465403,,,411561,20824,13,640,640,yolov5n,JpgLossy,T3,Letterbox
0,1,RSU-0002,Local,1768745972571835,1768745972589525,1768745972589696,1768745973083980,,1768745972641092,1768745973083979,,1768745973079284,507449,494455,,,442887,20824,13,640,640,yolov5n,JpgLossy,T3,Letterbox
0,1,RSU-0001,Local,1768745972571835,1768745972586957,1768745972587234,1768745973094474,,1768745972653314,1768745973094473,,1768745973093085,521250,507517,,,441159,20824,13,640,640,yolov5n,JpgLossy,T3,Letterbox
6,13,RSU-0000,Local,1768745972980261,1768745972989182,1768745972989378,1768745973463088,,1768745973049719,1768745973463087,,1768745973471558,491297,473906,,,413368,20117,13,640,640,yolov5n,JpgLossy,T3,Letterbox
7,15,RSU-0002,Local,1768745973048895,1768745973063205,1768745973066573,1768745973485519,,1768745973084195,1768745973485518,,1768745973485287,436392,422314,,,401323,20167,14,640,640,yolov5n,JpgLossy,T3,Letterbox
7,15,RSU-0001,Local,1768745973048895,1768745973060929,1768745973063554,1768745973571582,,1768745973094962,1768745973571581,,1768745973573258,524363,510653,,,476619,20167,14,640,640,yolov5n,JpgLossy,T3,Letterbox
13,27,RSU-0002,Local,1768745973457993,1768745973473389,1768745973476736,1768745973869720,,1768745973485664,1768745973869719,,1768745973873666,415673,396331,,,384055,20060,18,640,640,yolov5n,JpgLossy,T3,Letterbox
12,25,RSU-0000,Local,1768745973389325,1768745973396037,1768745973396260,1768745973871154,,1768745973463222,1768745973871153,,1768745973878791,489466,475117,,,407931,20068,16,640,640,yolov5n,JpgLossy,T3,Letterbox
14,29,RSU-0001,Local,1768745973526031,1768745973538086,1768745973540243,1768745974043124,,1768745973572558,1768745974043123,,1768745974041936,515905,505038,,,470565,20055,17,640,640,yolov5n,JpgLossy,T3,Letterbox
18,37,RSU-0002,Local,1768745973798002,1768745973816800,1768745973816972,1768745974257839,,1768745973869866,1768745974257838,,1768745974254923,456921,441039,,,387972,20130,15,640,640,yolov5n,JpgLossy,T3,Letterbox
18,37,RSU-0000,Local,1768745973798002,1768745973809462,1768745973809625,1768745974278879,,1768745973871357,1768745974278878,,1768745974279179,481177,469417,,,407521,20130,15,640,640,yolov5n,JpgLossy,T3,Letterbox
21,43,RSU-0001,Local,1768745974000871,1768745974012865,1768745974013156,1768745974513596,,1768745974043951,1768745974513595,,1768745974509868,508997,500731,,,469644,20147,15,640,640,yolov5n,JpgLossy,T3,Letterbox
24,49,RSU-0002,Local,1768745974204959,1768745974218339,1768745974218610,1768745974648470,,1768745974257985,1768745974648469,,1768745974643261,438302,430131,,,390484,20250,15,640,640,yolov5n,JpgLossy,T3,Letterbox
24,49,RSU-0000,Local,1768745974204959,1768745974219236,1768745974219422,1768745974687635,,1768745974279023,1768745974687635,,1768745974687894,482935,468399,,,408612,20250,15,640,640,yolov5n,JpgLossy,T3,Letterbox
28,57,RSU-0001,Local,1768745974476546,1768745974488421,1768745974490251,1768745974984535,,1768745974514444,1768745974984534,,1768745974980622,504076,496114,,,470090,20278,15,640,640,yolov5n,JpgLossy,T3,Letterbox
30,61,RSU-0002,Local,1768745974613128,1768745974632113,1768745974632479,1768745975034334,,1768745974648681,1768745975034333,,1768745975029635,416507,402221,,,385652,20343,14,640,640,yolov5n,JpgLossy,T3,Letterbox
30,61,RSU-0000,Local,1768745974613128,1768745974623432,1768745974623615,1768745975095084,,1768745974687777,1768745975095083,,1768745975095006,481878,471652,,,407306,20343,14,640,640,yolov5n,JpgLossy,T3,Letterbox
36,73,RSU-0002,Local,1768745975020824,1768745975034049,1768745975034268,1768745975420814,,1768745975035185,1768745975420813,,1768745975418793,397969,386765,,,385628,20385,15,640,640,yolov5n,JpgLossy,T3,Letterbox
35,71,RSU-0001,Local,1768745974953184,1768745974965639,1768745974970259,1768745975456470,,1768745974985381,1768745975456469,,1768745975453185,500001,490831,,,471088,20527,16,640,640,yolov5n,JpgLossy,T3,Letterbox
36,73,RSU-0000,Local,1768745975020824,1768745975030024,1768745975030208,1768745975502460,,1768745975095253,1768745975502459,,1768745975503644,482820,472436,,,407206,20385,15,640,640,yolov5n,JpgLossy,T3,Letterbox
41,83,RSU-0002,Local,1768745975361875,1768745975375853,1768745975376766,1768745975819944,,1768745975420996,1768745975819943,,1768745975814743,452868,444091,,,398947,20397,14,640,640,yolov5n,JpgLossy,T3,Letterbox
42,85,RSU-0000,Local,1768745975429436,1768745975439197,1768745975439375,1768745975914265,,1768745975502929,1768745975914264,,1768745975915015,485579,475068,,,411335,20446,14,640,640,yolov5n,JpgLossy,T3,Letterbox
42,85,RSU-0001,Local,1768745975429436,1768745975441211,1768745975441813,1768745975931463,,1768745975457409,1768745975931463,,1768745975928049,498613,490252,,,474054,20446,14,640,640,yolov5n,JpgLossy,T3,Letterbox
