sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0001,Local,1768621466445523,1768621466458178,1768621466459870,1768621467046866,,1768621466512293,1768621467046865,,1768621467050939,605416,588688,,,534572,1352865,16,1920,1080,yolov5n,PngLossless,T2,FHD
0,1,RSU-0000,Local,1768621466445523,1768621466454549,1768621466456062,1768621467059728,,1768621466508120,1768621467059726,,1768621467063320,617797,605179,,,551606,1352865,16,1920,1080,yolov5n,PngLossless,T2,FHD
0,1,RSU-0002,Local,1768621466445523,1768621466460002,1768621466461899,1768621467104952,,1768621466524371,1768621467104951,,1768621467110724,665201,644950,,,580580,1352865,16,1920,1080,yolov5n,PngLossless,T2,FHD
2,13,RSU-0001,Local,1768621466848009,1768621466859216,1768621466860159,1768621467575958,,1768621467046999,1768621467575958,,1768621467583171,735162,716742,,,528959,797894,16,1920,1080,yolov5n,PngLossless,T2,FHD
2,13,RSU-0000,Local,1768621466848009,1768621466858256,1768621466859912,1768621467584149,,1768621467060029,1768621467584148,,1768621467588105,740096,725893,,,524119,797894,16,1920,1080,yolov5n,PngLossless,T2,FHD
3,19,RSU-0002,Local,1768621467049127,1768621467059022,1768621467063683,1768621467650862,,1768621467105060,1768621467650861,,1768621467658922,609795,591840,,,545801,794923,17,1920,1080,yolov5n,PngLossless,T2,FHD
5,31,RSU-0001,Local,1768621467452976,1768621467463239,1768621467464601,1768621468091292,,1768621467576114,1768621468091291,,1768621468092503,639527,628053,,,515177,792254,15,1920,1080,yolov5n,PngLossless,T2,FHD
5,31,RSU-0000,Local,1768621467452976,1768621467461116,1768621467463150,1768621468099318,,1768621467584312,1768621468099318,,1768621468100579,647603,638202,,,515006,792254,15,1920,1080,yolov5n,PngLossless,T2,FHD
5,31,RSU-0002,Local,1768621467452976,1768621467462841,1768621467463789,1768621468193633,,1768621467651034,1768621468193632,,1768621468194488,741512,730792,,,542598,792254,15,1920,1080,yolov5n,PngLossless,T2,FHD
8,49,RSU-0000,Local,1768621468056885,1768621468065312,1768621468066672,1768621468615398,,1768621468099483,1768621468615397,,1768621468619606,562721,550086,,,515914,797731,16,1920,1080,yolov5n,PngLossless,T2,FHD
8,49,RSU-0001,Local,1768621468056885,1768621468063891,1768621468071305,1768621468615561,,1768621468091438,1768621468615560,,1768621468619700,562815,551670,,,524122,797731,16,1920,1080,yolov5n,PngLossless,T2,FHD
8,49,RSU-0002,Local,1768621468056885,1768621468065682,1768621468066526,1768621468735543,,1768621468193991,1768621468735542,,1768621468739407,682522,669861,,,541551,797731,16,1920,1080,yolov5n,PngLossless,T2,FHD
10,61,RSU-0001,Local,1768621468458941,1768621468464908,1768621468465983,1768621469131072,,1768621468615726,1768621469131071,,1768621469135492,676551,666164,,,515345,805414,16,1920,1080,yolov5n,PngLossless,T2,FHD
10,61,RSU-0000,Local,1768621468458941,1768621468466122,1768621468467178,1768621469135506,,1768621468615571,1768621469135505,,1768621469139713,680772,669384,,,519934,805414,16,1920,1080,yolov5n,PngLossless,T2,FHD
11,67,RSU-0002,Local,1768621468660492,1768621468667136,1768621468668149,1768621469277597,,1768621468735938,1768621469277596,,1768621469278379,617887,610461,,,541658,807943,14,1920,1080,yolov5n,PngLossless,T2,FHD
