sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0000,Local,1768625017307727,1768625017314575,1768625017315032,1768625017787539,,1768625017368600,1768625017787538,,1768625017795607,487880,472964,,,418938,289689,14,640,640,yolov5n,PngLossless,T2,Letterbox
0,1,RSU-0001,Local,1768625017307727,1768625017317157,1768625017317818,1768625017804484,,1768625017378263,1768625017804483,,1768625017807055,499328,487327,,,426220,289689,14,640,640,yolov5n,PngLossless,T2,Letterbox
0,1,RSU-0002,Local,1768625017307727,1768625017314096,1768625017314619,1768625017875066,,1768625017371543,1768625017875066,,1768625017887264,579537,560970,,,503523,289689,14,640,640,yolov5n,PngLossless,T2,Letterbox
4,13,RSU-0000,Local,1768625017713400,1768625017718280,1768625017718654,1768625018178164,,1768625017787674,1768625018178164,,1768625018183424,470024,459884,,,390490,265492,13,640,640,yolov5n,PngLossless,T2,Letterbox
4,13,RSU-0001,Local,1768625017713400,1768625017720877,1768625017721460,1768625018192688,,1768625017804711,1768625018192687,,1768625018198433,485033,471811,,,387976,265492,13,640,640,yolov5n,PngLossless,T2,Letterbox
5,16,RSU-0002,Local,1768625017814524,1768625017819871,1768625017829518,1768625018276560,,1768625017875195,1768625018276559,,1768625018284148,469624,456689,,,401364,266574,13,640,640,yolov5n,PngLossless,T2,Letterbox
8,25,RSU-0000,Local,1768625018117461,1768625018123976,1768625018125147,1768625018569547,,1768625018178317,1768625018569546,,1768625018574749,457288,445571,,,391229,263052,14,640,640,yolov5n,PngLossless,T2,Letterbox
8,25,RSU-0001,Local,1768625018117461,1768625018124661,1768625018125091,1768625018577801,,1768625018192912,1768625018577799,,1768625018581628,464167,453140,,,384887,263052,14,640,640,yolov5n,PngLossless,T2,Letterbox
9,28,RSU-0002,Local,1768625018218851,1768625018219704,1768625018229076,1768625018670064,,1768625018276949,1768625018670063,,1768625018678381,459530,450360,,,393114,266053,12,640,640,yolov5n,PngLossless,T2,Letterbox
12,37,RSU-0000,Local,1768625018521493,1768625018528721,1768625018530245,1768625018959604,,1768625018569706,1768625018959603,,1768625018965375,443882,430883,,,389897,265730,14,640,640,yolov5n,PngLossless,T2,Letterbox
12,37,RSU-0001,Local,1768625018521493,1768625018527588,1768625018528910,1768625018965321,,1768625018578190,1768625018965320,,1768625018966121,444628,437733,,,387130,265730,14,640,640,yolov5n,PngLossless,T2,Letterbox
13,40,RSU-0002,Local,1768625018622861,1768625018624854,1768625018632469,1768625019066630,,1768625018670465,1768625019066629,,1768625019075204,452343,441776,,,396164,266221,15,640,640,yolov5n,PngLossless,T2,Letterbox
16,49,RSU-0000,Local,1768625018928072,1768625018939906,1768625018940847,1768625019349116,,1768625018959741,1768625019349115,,1768625019350883,422811,409210,,,389374,266349,14,640,640,yolov5n,PngLossless,T2,Letterbox
16,49,RSU-0001,Local,1768625018928072,1768625018936577,1768625018937125,1768625019352352,,1768625018965682,1768625019352351,,1768625019353387,425315,415775,,,386669,266349,14,640,640,yolov5n,PngLossless,T2,Letterbox
17,52,RSU-0002,Local,1768625019029586,1768625019029354,1768625019044101,1768625019460629,,1768625019067028,1768625019460628,,1768625019466138,436552,431275,,,393600,267228,13,640,640,yolov5n,PngLossless,T2,Letterbox
20,61,RSU-0000,Local,1768625019333182,1768625019340164,1768625019341397,1768625019740846,,1768625019349235,1768625019740845,,1768625019743575,410393,400682,,,391610,268206,15,640,640,yolov5n,PngLossless,T2,Letterbox
20,61,RSU-0001,Local,1768625019333182,1768625019344179,1768625019345593,1768625019737550,,1768625019352760,1768625019737549,,1768625019745749,412567,393371,,,384789,268206,15,640,640,yolov5n,PngLossless,T2,Letterbox
21,64,RSU-0002,Local,1768625019435195,1768625019438043,1768625019447199,1768625019855061,,1768625019461087,1768625019855060,,1768625019860553,425358,417018,,,393973,268530,14,640,640,yolov5n,PngLossless,T2,Letterbox
23,70,RSU-0001,Local,1768625019637813,1768625019645308,1768625019645612,1768625020122257,,1768625019737927,1768625020122256,,1768625020126195,488382,476949,,,384329,269142,14,640,640,yolov5n,PngLossless,T2,Letterbox
23,70,RSU-0000,Local,1768625019637813,1768625019643352,1768625019643743,1768625020129829,,1768625019740975,1768625020129828,,1768625020135064,497251,486477,,,388853,269142,14,640,640,yolov5n,PngLossless,T2,Letterbox
25,76,RSU-0002,Local,1768625019840470,1768625019843524,1768625019852275,1768625020248867,,1768625019855477,1768625020248866,,1768625020254678,414208,405343,,,393389,268514,13,640,640,yolov5n,PngLossless,T2,Letterbox
27,82,RSU-0001,Local,1768625020043634,1768625020050084,1768625020050524,1768625020509630,,1768625020122649,1768625020509629,,1768625020513438,469804,459546,,,386980,269486,15,640,640,yolov5n,PngLossless,T2,Letterbox
27,82,RSU-0000,Local,1768625020043634,1768625020047945,1768625020048475,1768625020522025,,1768625020130215,1768625020522024,,1768625020527227,483593,474080,,,391809,269486,15,640,640,yolov5n,PngLossless,T2,Letterbox
