sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0002,Local,1769299710256724,1769299710261198,1769299710296542,1769299711001792,,1769299710317744,1769299711001791,,1769299711007171,750447,740594,,,,684047,8296178,16,yolov5n,PngLossless,T3,FHD
0,1,RSU-0000,Local,1769299710256724,1769299710262871,1769299710272322,1769299710924479,,1769299710314016,1769299710924478,,1769299711233652,976928,661608,,,,610462,8296178,16,yolov5n,PngLossless,T3,FHD
0,1,RSU-0001,Local,1769299710256724,1769299710262499,1769299710276323,1769299711025850,,1769299710335156,1769299711025849,,1769299711368901,1112177,763351,,,,690693,8296178,16,yolov5n,PngLossless,T3,FHD
10,21,RSU-0002,Local,1769299710938022,1769299710942197,1769299710992784,1769299711713884,,1769299711001927,1769299711713883,,1769299711740806,802784,771687,,,,711956,8296178,16,yolov5n,PngLossless,T3,FHD
1,3,RSU-0000,Local,1769299710325480,1769299710329661,1769299710958684,1769299711630786,,1769299710958774,1769299711630785,,1769299711963256,1637776,1301125,,,,672011,8296178,16,yolov5n,PngLossless,T3,FHD
20,41,RSU-0002,Local,1769299711616194,1769299711620808,1769299711659000,1769299712394178,,1769299711714009,1769299712394177,,1769299712424578,808384,773370,,,,680168,8296178,15,yolov5n,PngLossless,T3,FHD
2,5,RSU-0001,Local,1769299710393057,1769299710522226,1769299710873630,1769299711792877,,1769299711026227,1769299711792877,,1769299712722297,2329240,1270651,,,,766650,8296178,16,yolov5n,PngLossless,T3,FHD
6,13,RSU-0001,Local,1769299710665282,1769299711555312,1769299711765594,1769299712528008,,1769299711793249,1769299712528007,,1769299712727657,2062375,972696,,,,734758,8296178,16,yolov5n,PngLossless,T3,FHD
3,7,RSU-0000,Local,1769299710460819,1769299711228271,1769299711531946,1769299712250062,,1769299711630920,1769299712250061,,1769299712819986,2359167,1021791,,,,619141,8296178,16,yolov5n,PngLossless,T3,FHD
4,9,RSU-0000,Local,1769299710529639,1769299711532175,1769299711958171,1769299712888900,,1769299712250187,1769299712888899,,1769299713016283,2486644,1356725,,,,638712,8296178,17,yolov5n,PngLossless,T3,FHD
30,61,RSU-0002,Local,1769299712295650,1769299712300932,1769299712342624,1769299713066677,,1769299712394318,1769299713066676,,1769299713102199,806549,765745,,,,672358,8296178,16,yolov5n,PngLossless,T3,FHD
9,19,RSU-0001,Local,1769299710870241,1769299712154747,1769299712344627,1769299713251641,,1769299712528134,1769299713251640,,1769299713296641,2426400,1096894,,,,723506,8296178,17,yolov5n,PngLossless,T3,FHD
6,13,RSU-0000,Local,1769299710665270,1769299712705536,1769299712812396,1769299713525915,,1769299712889005,1769299713525913,,1769299713540395,2875125,820379,,,,636908,8296178,16,yolov5n,PngLossless,T3,FHD
40,81,RSU-0002,Local,1769299712973883,1769299712978790,1769299713018315,1769299713747982,,1769299713066830,1769299713747981,,1769299713754166,780283,769192,,,,681151,8296178,17,yolov5n,PngLossless,T3,FHD
50,101,RSU-0002,Local,1769299713654518,1769299713657948,1769299713699557,1769299714430077,,1769299713748119,1769299714430076,,1769299714463987,809469,772129,,,,681957,8296178,18,yolov5n,PngLossless,T3,FHD
13,27,RSU-0001,Local,1769299711140197,1769299712915793,1769299713105005,1769299713981209,,1769299713251784,1769299713981208,,1769299714672131,3531934,1065416,,,,729424,8296178,16,yolov5n,PngLossless,T3,FHD
8,17,RSU-0000,Local,1769299710801865,1769299713008699,1769299713525141,1769299714167408,,1769299713527133,1769299714167407,,1769299714746851,3944986,1158709,,,,640274,8296178,16,yolov5n,PngLossless,T3,FHD
10,21,RSU-0000,Local,1769299710937997,1769299713532497,1769299714041569,1769299714812564,,1769299714167770,1769299714812563,,1769299714949186,4011189,1280067,,,,644793,8296178,16,yolov5n,PngLossless,T3,FHD
18,37,RSU-0001,Local,1769299711480079,1769299713754913,1769299713945832,1769299714705215,,1769299713981349,1769299714705215,,1769299715140618,3660539,950302,,,,723866,8296178,16,yolov5n,PngLossless,T3,FHD
60,121,RSU-0002,Local,1769299714334141,1769299714338772,1769299714389042,1769299715109711,,1769299714430178,1769299715109710,,1769299715142153,808012,770939,,,,679532,8296178,17,yolov5n,PngLossless,T3,FHD
13,27,RSU-0000,Local,1769299711140179,1769299714338287,1769299714739492,1769299715453541,,1769299714812910,1769299715453540,,1769299715764595,4624416,1115254,,,,640630,8296178,16,yolov5n,PngLossless,T3,FHD
70,141,RSU-0002,Local,1769299715013845,1769299715017900,1769299715055418,1769299715787844,,1769299715109931,1769299715787843,,1769299715790583,776738,769944,,,,677912,8296178,18,yolov5n,PngLossless,T3,FHD
16,33,RSU-0000,Local,1769299711344356,1769299714954085,1769299715367931,1769299716095266,,1769299715453885,1769299716095265,,1769299716105248,4760892,1141181,,,,641380,8296178,17,yolov5n,PngLossless,T3,FHD
81,163,RSU-0002,Local,1769299715763090,1769299715770221,1769299715784530,1769299716466541,,1769299715787988,1769299716466540,,1769299716501207,738117,696320,,,,678552,8296178,18,yolov5n,PngLossless,T3,FHD
21,43,RSU-0001,Local,1769299711684158,1769299714476553,1769299714668757,1769299715416974,,1769299714705354,1769299715416973,,1769299716740854,5056696,940421,,,,711619,8296178,15,yolov5n,PngLossless,T3,FHD
23,47,RSU-0001,Local,1769299711819792,1769299715140179,1769299715329540,1769299716149409,,1769299715417112,1769299716149408,,1769299716789836,4970044,1009230,,,,732296,8296178,15,yolov5n,PngLossless,T3,FHD
18,37,RSU-0000,Local,1769299711480064,1769299715755147,1769299715765268,1769299716740649,,1769299716095600,1769299716740649,,1769299717044712,5564648,985502,,,,645049,8296178,16,yolov5n,PngLossless,T3,FHD
27,55,RSU-0001,Local,1769299712092641,1769299715934509,1769299716131573,1769299716862291,,1769299716149545,1769299716862290,,1769299717124757,5032116,927782,,,,712745,8296178,15,yolov5n,PngLossless,T3,FHD
90,181,RSU-0002,Local,1769299716376273,1769299716381868,1769299716432697,1769299717148930,,1769299716466729,1769299717148929,,1769299717176441,800168,767062,,,,682200,8296178,17,yolov5n,PngLossless,T3,FHD
100,201,RSU-0002,Local,1769299717055125,1769299717059304,1769299717107432,1769299717827537,,1769299717149093,1769299717827536,,1769299717829962,774837,768233,,,,678443,8296178,14,yolov5n,PngLossless,T3,FHD
30,61,RSU-0001,Local,1769299712295648,1769299716737537,1769299716746307,1769299717587998,,1769299716862431,1769299717587997,,1769299718141633,5845985,850461,,,,725566,8296178,16,yolov5n,PngLossless,T3,FHD
111,223,RSU-0002,Local,1769299717802099,1769299717809978,1769299717824417,1769299718507365,,1769299717827683,1769299718507365,,1769299718536712,734613,697387,,,,679682,8296178,16,yolov5n,PngLossless,T3,FHD
34,69,RSU-0001,Local,1769299712566146,1769299717317442,1769299717510173,1769299718309623,,1769299717588142,1769299718309622,,1769299718737177,6171031,992181,,,,721480,8296178,14,yolov5n,PngLossless,T3,FHD
