sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0000,Local,1768625571340803,1768625571444047,1768625571447267,1768625572005234,,1768625571447367,1768625572005233,,1768625572016572,675769,561187,,,557866,3687468,16,1280,720,yolov5n,PngLossless,T3,HD
0,1,RSU-0001,Local,1768625571340803,1768625571445708,1768625571448555,1768625572031570,,1768625571448643,1768625572031569,,1768625572040036,699233,585862,,,582926,3687468,16,1280,720,yolov5n,PngLossless,T3,HD
0,1,RSU-0002,Local,1768625571340803,1768625571456577,1768625571461715,1768625572027767,,1768625571461818,1768625572027766,,1768625572264805,924002,571190,,,565948,3687468,16,1280,720,yolov5n,PngLossless,T3,HD
6,19,RSU-0000,Local,1768625571950747,1768625571956876,1768625571975275,1768625572549868,,1768625572005394,1768625572549867,,1768625572579571,628824,592992,,,544473,3687468,17,1280,720,yolov5n,PngLossless,T3,HD
6,19,RSU-0001,Local,1768625571950747,1768625571962608,1768625571966982,1768625572661590,,1768625572031735,1768625572661589,,1768625572672559,721812,698982,,,629854,3687468,17,1280,720,yolov5n,PngLossless,T3,HD
4,13,RSU-0002,Local,1768625571747033,1768625571892317,1768625571906988,1768625572544999,,1768625572028181,1768625572544998,,1768625572774429,1027396,652682,,,516817,3687468,15,1280,720,yolov5n,PngLossless,T3,HD
11,34,RSU-0000,Local,1768625572456757,1768625572471589,1768625572479918,1768625573101365,,1768625572549987,1768625573101365,,1768625573115049,658292,629776,,,551378,3687468,17,1280,720,yolov5n,PngLossless,T3,HD
6,19,RSU-0002,Local,1768625571950747,1768625572376488,1768625572464043,1768625573124361,,1768625572545470,1768625573124360,,1768625573276189,1325442,747873,,,578890,3687468,17,1280,720,yolov5n,PngLossless,T3,HD
12,37,RSU-0001,Local,1768625572557705,1768625572576817,1768625572580146,1768625573236603,,1768625572661740,1768625573236602,,1768625573279922,722217,659786,,,574862,3687468,17,1280,720,yolov5n,PngLossless,T3,HD
17,52,RSU-0000,Local,1768625573066108,1768625573076002,1768625573086321,1768625573611426,,1768625573101589,1768625573611425,,1768625573642383,576275,535424,,,509836,3687468,15,1280,720,yolov5n,PngLossless,T3,HD
13,40,RSU-0002,Local,1768625572659352,1768625572968309,1768625573064442,1768625573715919,,1768625573124757,1768625573715918,,1768625573779171,1119819,747610,,,591161,3687468,15,1280,720,yolov5n,PngLossless,T3,HD
18,55,RSU-0001,Local,1768625573168130,1768625573175093,1768625573184032,1768625573822756,,1768625573236752,1768625573822755,,1768625573838424,670294,647663,,,586003,3687468,15,1280,720,yolov5n,PngLossless,T3,HD
22,67,RSU-0000,Local,1768625573574292,1768625573580242,1768625573588595,1768625574201377,,1768625573611597,1768625574201376,,1768625574221121,646829,621135,,,589779,3687468,14,1280,720,yolov5n,PngLossless,T3,HD
24,73,RSU-0001,Local,1768625573778041,1768625573790414,1768625573805724,1768625574366646,,1768625573822912,1768625574366645,,1768625574367167,589126,576232,,,543733,3687468,14,1280,720,yolov5n,PngLossless,T3,HD
