sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0002,Local,1769290894184661,1769290894184682,1769290894203362,1769290894801451,,1769290894232855,1769290894801450,,1769290894810701,626040,616769,,,,568595,3687468,16,yolov5n,PngLossless,T3,HD
0,1,RSU-0001,Local,1769290894184661,1769290894185991,1769290894272127,1769290894883210,,1769290894272240,1769290894883209,,1769290894889893,705232,697219,,,,610969,3687468,16,yolov5n,PngLossless,T3,HD
1,7,RSU-0000,Local,1769290894386121,1769290894428523,1769290894430927,1769290894985495,,1769290894431125,1769290894985495,,1769290894990965,604844,556972,,,,554370,3687468,16,yolov5n,PngLossless,T3,HD
3,19,RSU-0002,Local,1769290894787965,1769290894786323,1769290894790352,1769290895351973,,1769290894801637,1769290895351972,,1769290895364962,576997,565650,,,,550335,3687468,17,yolov5n,PngLossless,T3,HD
3,19,RSU-0001,Local,1769290894787964,1769290894790700,1769290894879644,1769290895509462,,1769290894883362,1769290895509461,,1769290895515982,728018,718762,,,,626099,3687468,17,yolov5n,PngLossless,T3,HD
3,19,RSU-0000,Local,1769290894787950,1769290894793252,1769290894796473,1769290895528747,,1769290894985637,1769290895528746,,1769290895558095,770145,735495,,,,543109,3687468,17,yolov5n,PngLossless,T3,HD
5,31,RSU-0002,Local,1769290895191088,1769290895190328,1769290895212888,1769290895885478,,1769290895352113,1769290895885477,,1769290895896900,705812,695150,,,,533364,3687468,15,yolov5n,PngLossless,T3,HD
4,25,RSU-0000,Local,1769290894989653,1769290894990705,1769290894994366,1769290896055021,,1769290895528892,1769290896055020,,1769290896061019,1071366,1064316,,,,526128,3687468,17,yolov5n,PngLossless,T3,HD
6,37,RSU-0001,Local,1769290895392389,1769290895392256,1769290895486030,1769290896128302,,1769290895509566,1769290896128301,,1769290896135388,742999,736046,,,,618735,3687468,17,yolov5n,PngLossless,T3,HD
8,49,RSU-0002,Local,1769290895796242,1769290895796020,1769290895799578,1769290896420766,,1769290895885655,1769290896420765,,1769290896429792,633550,624746,,,,535110,3687468,15,yolov5n,PngLossless,T3,HD
