sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0000,Local,1768745681413827,1768745681424168,1768745681425643,1768745681891304,,1768745681478387,1768745681891303,,1768745681893239,479412,467136,,,412916,1323972,14,640,640,yolov5n,PngLossless,T3,Letterbox
0,1,RSU-0002,Local,1768745681413827,1768745681431405,1768745681433137,1768745681904083,,1768745681479558,1768745681904083,,1768745681901456,487629,472678,,,424525,1323972,14,640,640,yolov5n,PngLossless,T3,Letterbox
1,4,RSU-0001,Local,1768745681514546,1768745681526210,1768745681527208,1768745681938821,,1768745681527308,1768745681938821,,1768745681934172,419626,412611,,,411513,1323953,13,640,640,yolov5n,PngLossless,T3,Letterbox
4,13,RSU-0000,Local,1768745681819011,1768745681828091,1768745681829097,1768745682282092,,1768745681891443,1768745682282091,,1768745682284293,465282,454001,,,390648,1324018,13,640,640,yolov5n,PngLossless,T3,Letterbox
4,13,RSU-0002,Local,1768745681819011,1768745681833228,1768745681834553,1768745682306106,,1768745681904628,1768745682306105,,1768745682304721,485710,472878,,,401477,1324018,13,640,640,yolov5n,PngLossless,T3,Letterbox
5,16,RSU-0001,Local,1768745681920666,1768745681932702,1768745681934281,1768745682358987,,1768745681938920,1768745682358987,,1768745682354562,433896,426285,,,420067,1324038,13,640,640,yolov5n,PngLossless,T3,Letterbox
8,25,RSU-0000,Local,1768745682224271,1768745682231410,1768745682232993,1768745682670839,,1768745682282233,1768745682670839,,1768745682671632,447361,439429,,,388606,1324062,14,640,640,yolov5n,PngLossless,T3,Letterbox
8,25,RSU-0002,Local,1768745682224271,1768745682240421,1768745682241901,1768745682701171,,1768745682306619,1768745682701170,,1768745682698839,474568,460750,,,394551,1324062,14,640,640,yolov5n,PngLossless,T3,Letterbox
9,28,RSU-0001,Local,1768745682326288,1768745682337745,1768745682341487,1768745682761309,,1768745682359150,1768745682761309,,1768745682756593,430305,423564,,,402159,1324070,12,640,640,yolov5n,PngLossless,T3,Letterbox
12,37,RSU-0000,Local,1768745682629167,1768745682639116,1768745682643516,1768745683060317,,1768745682670994,1768745683060316,,1768745683059297,430130,421201,,,389322,1324061,14,640,640,yolov5n,PngLossless,T3,Letterbox
12,37,RSU-0002,Local,1768745682629167,1768745682643835,1768745682645185,1768745683098506,,1768745682701697,1768745683098505,,1768745683093876,464709,454671,,,396808,1324061,14,640,640,yolov5n,PngLossless,T3,Letterbox
13,40,RSU-0001,Local,1768745682731342,1768745682744224,1768745682747565,1768745683167498,,1768745682761467,1768745683167497,,1768745683168440,437098,423274,,,406030,1324072,15,640,640,yolov5n,PngLossless,T3,Letterbox
16,49,RSU-0000,Local,1768745683037335,1768745683046868,1768745683049626,1768745683448120,,1768745683060826,1768745683448119,,1768745683448919,411584,401252,,,387293,1324062,14,640,640,yolov5n,PngLossless,T3,Letterbox
16,49,RSU-0002,Local,1768745683037335,1768745683060563,1768745683061808,1768745683492407,,1768745683099032,1768745683492406,,1768745683488691,451356,431844,,,393374,1324062,14,640,640,yolov5n,PngLossless,T3,Letterbox
17,52,RSU-0001,Local,1768745683139367,1768745683152560,1768745683155191,1768745683570532,,1768745683167901,1768745683570531,,1768745683566349,426982,417972,,,402630,1324063,13,640,640,yolov5n,PngLossless,T3,Letterbox
19,58,RSU-0000,Local,1768745683341337,1768745683349177,1768745683351201,1768745683836107,,1768745683448666,1768745683836106,,1768745683837615,496278,486930,,,387440,1324058,15,640,640,yolov5n,PngLossless,T3,Letterbox
20,61,RSU-0002,Local,1768745683442671,1768745683461446,1768745683470533,1768745683883162,,1768745683492908,1768745683883161,,1768745683878330,435659,421716,,,390253,1324037,15,640,640,yolov5n,PngLossless,T3,Letterbox
21,64,RSU-0001,Local,1768745683544064,1768745683561824,1768745683563892,1768745683974676,,1768745683571475,1768745683974675,,1768745683971126,427062,412852,,,403200,1324020,14,640,640,yolov5n,PngLossless,T3,Letterbox
23,70,RSU-0000,Local,1768745683748154,1768745683758369,1768745683759919,1768745684224698,,1768745683836806,1768745684224697,,1768745684226664,478510,466329,,,387891,1323968,14,640,640,yolov5n,PngLossless,T3,Letterbox
24,73,RSU-0002,Local,1768745683849161,1768745683862628,1768745683863646,1768745684278723,,1768745683883674,1768745684278722,,1768745684273920,424759,416095,,,395048,1323925,14,640,640,yolov5n,PngLossless,T3,Letterbox
25,76,RSU-0001,Local,1768745683950953,1768745683962994,1768745683964314,1768745684380639,,1768745683975466,1768745684380639,,1768745684375585,424632,417645,,,405173,1323908,13,640,640,yolov5n,PngLossless,T3,Letterbox
27,82,RSU-0000,Local,1768745684154753,1768745684162875,1768745684165008,1768745684615171,,1768745684225454,1768745684615171,,1768745684617604,462851,452296,,,389717,1323878,15,640,640,yolov5n,PngLossless,T3,Letterbox
28,85,RSU-0002,Local,1768745684255388,1768745684272258,1768745684274294,1768745684670989,,1768745684279529,1768745684670988,,1768745684669652,414264,398731,,,391459,1323896,14,640,640,yolov5n,PngLossless,T3,Letterbox
29,88,RSU-0001,Local,1768745684356336,1768745684369556,1768745684371451,1768745684784699,,1768745684380743,1768745684784698,,1768745684780324,423988,415143,,,403955,1323912,14,640,640,yolov5n,PngLossless,T3,Letterbox
31,94,RSU-0000,Local,1768745684558514,1768745684566705,1768745684568310,1768745685006900,,1768745684615756,1768745685006899,,1768745685006658,448144,440195,,,391143,1323940,16,640,640,yolov5n,PngLossless,T3,Letterbox
33,100,RSU-0001,Local,1768745684761454,1768745684776190,1768745684778557,1768745685190785,,1768745684784844,1768745685190785,,1768745685190762,429308,414595,,,405941,1323927,14,640,640,yolov5n,PngLossless,T3,Letterbox
31,94,RSU-0002,Local,1768745684558514,1768745684572404,1768745684573695,1768745685061178,,1768745684671537,1768745685061178,,1768745685288565,730051,488774,,,389641,1323940,16,640,640,yolov5n,PngLossless,T3,Letterbox
35,106,RSU-0000,Local,1768745684964625,1768745684973973,1768745684976078,1768745685393302,,1768745685007769,1768745685393302,,1768745685400254,435629,419329,,,385533,1323915,15,640,640,yolov5n,PngLossless,T3,Letterbox
35,106,RSU-0002,Local,1768745684964625,1768745684979253,1768745684980932,1768745685457562,,1768745685061730,1768745685457562,,1768745685462941,498316,478309,,,395832,1323915,15,640,640,yolov5n,PngLossless,T3,Letterbox
37,112,RSU-0001,Local,1768745685167438,1768745685182831,1768745685184852,1768745685596785,,1768745685190899,1768745685596785,,1768745685599136,431698,413954,,,405886,1323957,16,640,640,yolov5n,PngLossless,T3,Letterbox
38,115,RSU-0000,Local,1768745685268586,1768745685391395,1768745685393213,1768745685782578,,1768745685394657,1768745685782577,,1768745685784465,515879,391183,,,387920,1323960,16,640,640,yolov5n,PngLossless,T3,Letterbox
