sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Local,1769291204963125,1769291204973296,1769291205006549,1769291205525371,,1769291205019155,1769291205525370,,1769291205531382,568257,552075,,,,506215,1323972,14,yolov5n,PngLossless,T3,Letterbox
0,1,RSU-0002,Local,1769291204963126,1769291204960981,1769291204969956,1769291205519932,,1769291205011821,1769291205519931,,1769291205532739,569613,558951,,,,508110,1323972,14,yolov5n,PngLossless,T3,Letterbox
0,1,RSU-0001,Local,1769291204963126,1769291204965142,1769291205099104,1769291205641958,,1769291205099175,1769291205641957,,1769291205701114,737988,676816,,,,542782,1323972,14,yolov5n,PngLossless,T3,Letterbox
2,13,RSU-0000,Local,1769291205364919,1769291205371026,1769291205408934,1769291206006961,,1769291205525470,1769291206006960,,1769291206013605,648686,635935,,,,481490,1324018,13,yolov5n,PngLossless,T3,Letterbox
2,13,RSU-0002,Local,1769291205364935,1769291205362502,1769291205372724,1769291206010114,,1769291205520072,1769291206010113,,1769291206020469,655534,647612,,,,490041,1324018,13,yolov5n,PngLossless,T3,Letterbox
2,13,RSU-0001,Local,1769291205364935,1769291205364440,1769291205397974,1769291206167816,,1769291205642104,1769291206167815,,1769291206177371,812436,803376,,,,525711,1324018,13,yolov5n,PngLossless,T3,Letterbox
4,25,RSU-0000,Local,1769291205767618,1769291205772901,1769291205809687,1769291206481213,,1769291206007102,1769291206481212,,1769291206485958,718340,708312,,,,474110,1324062,14,yolov5n,PngLossless,T3,Letterbox
5,31,RSU-0002,Local,1769291205969520,1769291205969674,1769291205982702,1769291206483443,,1769291206010453,1769291206483442,,1769291206495796,526276,513769,,,,472989,1324092,13,yolov5n,PngLossless,T3,Letterbox
5,31,RSU-0001,Local,1769291205969519,1769291205969734,1769291206002804,1769291206680439,,1769291206167986,1769291206680438,,1769291206690936,721417,710705,,,,512452,1324092,13,yolov5n,PngLossless,T3,Letterbox
7,43,RSU-0000,Local,1769291206372203,1769291206377469,1769291206411374,1769291206956868,,1769291206481363,1769291206956867,,1769291206962474,590271,579399,,,,475504,1324068,15,yolov5n,PngLossless,T3,Letterbox
