sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0000,Local,1768626837065954,1768626837074498,1768626837075194,1768626837638794,,1768626837122624,1768626837638793,,1768626837644793,578839,564296,,,516169,509564,16,1280,720,yolov5n,WebpLossless,T1,HD
0,1,RSU-0001,Local,1768626837065954,1768626837076115,1768626837076776,1768626837666292,,1768626837132077,1768626837666292,,1768626837671490,605536,590177,,,534215,509564,16,1280,720,yolov5n,WebpLossless,T1,HD
0,1,RSU-0002,Local,1768626837065954,1768626837070369,1768626837070891,1768626837666584,,1768626837131208,1768626837666582,,1768626837679546,613592,596215,,,535374,509564,16,1280,720,yolov5n,WebpLossless,T1,HD
5,16,RSU-0000,Local,1768626837572892,1768626837579763,1768626837581774,1768626838143034,,1768626837638944,1768626838143033,,1768626838148747,575855,563271,,,504089,380736,17,1280,720,yolov5n,WebpLossless,T1,HD
5,16,RSU-0001,Local,1768626837572892,1768626837579185,1768626837579873,1768626838166435,,1768626837666443,1768626838166435,,1768626838171448,598556,587250,,,499992,380736,17,1280,720,yolov5n,WebpLossless,T1,HD
5,16,RSU-0002,Local,1768626837572892,1768626837575380,1768626837575892,1768626838166934,,1768626837666743,1768626838166933,,1768626838175116,602224,591554,,,500190,380736,17,1280,720,yolov5n,WebpLossless,T1,HD
10,31,RSU-0000,Local,1768626838077452,1768626838082990,1768626838083718,1768626838637504,,1768626838143389,1768626838637504,,1768626838643265,565813,554514,,,494115,379250,15,1280,720,yolov5n,WebpLossless,T1,HD
10,31,RSU-0001,Local,1768626838077452,1768626838087223,1768626838087921,1768626838656613,,1768626838166878,1768626838656612,,1768626838661459,584007,569390,,,489734,379250,15,1280,720,yolov5n,WebpLossless,T1,HD
10,31,RSU-0002,Local,1768626838077452,1768626838079095,1768626838079766,1768626838660199,,1768626838167102,1768626838660198,,1768626838670915,593463,581104,,,493096,379250,15,1280,720,yolov5n,WebpLossless,T1,HD
15,46,RSU-0000,Local,1768626838584331,1768626838589326,1768626838589851,1768626839129340,,1768626838637624,1768626839129339,,1768626839132433,548102,540014,,,491715,381916,16,1280,720,yolov5n,WebpLossless,T1,HD
15,46,RSU-0001,Local,1768626838584331,1768626838590368,1768626838590955,1768626839147364,,1768626838656769,1768626839147363,,1768626839152124,567793,556996,,,490594,381916,16,1280,720,yolov5n,WebpLossless,T1,HD
15,46,RSU-0002,Local,1768626838584331,1768626838589622,1768626838590258,1768626839156816,,1768626838660354,1768626839156815,,1768626839165117,580786,567194,,,496461,381916,16,1280,720,yolov5n,WebpLossless,T1,HD
20,61,RSU-0000,Local,1768626839091917,1768626839099455,1768626839101576,1768626839622409,,1768626839129706,1768626839622408,,1768626839625310,533393,522954,,,492702,384220,15,1280,720,yolov5n,WebpLossless,T1,HD
20,61,RSU-0001,Local,1768626839091917,1768626839097443,1768626839097896,1768626839637434,,1768626839147796,1768626839637433,,1768626839639372,547455,539991,,,489637,384220,15,1280,720,yolov5n,WebpLossless,T1,HD
20,61,RSU-0002,Local,1768626839091917,1768626839095061,1768626839095928,1768626839651742,,1768626839156981,1768626839651741,,1768626839659694,567777,556681,,,494760,384220,15,1280,720,yolov5n,WebpLossless,T1,HD
