sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0000,Local,1768627013936949,1768627013943692,1768627013944327,1768627014564100,,1768627013999653,1768627014564099,,1768627014570149,633200,620408,,,564446,747136,16,1920,1080,yolov5n,WebpLossless,T2,FHD
0,1,RSU-0001,Local,1768627013936949,1768627013946996,1768627013947845,1768627014599455,,1768627014003219,1768627014599454,,1768627014603493,666544,652459,,,596235,747136,16,1920,1080,yolov5n,WebpLossless,T2,FHD
0,1,RSU-0002,Local,1768627013936949,1768627013947487,1768627013948952,1768627014614099,,1768627014011351,1768627014614098,,1768627014619366,682417,666612,,,602747,747136,16,1920,1080,yolov5n,WebpLossless,T2,FHD
6,19,RSU-0000,Local,1768627014544433,1768627014549031,1768627014549422,1768627015103197,,1768627014564279,1768627015103196,,1768627015109040,564607,554166,,,538917,414372,17,1920,1080,yolov5n,WebpLossless,T2,FHD
6,19,RSU-0001,Local,1768627014544433,1768627014550338,1768627014551704,1768627015143816,,1768627014599615,1768627015143815,,1768627015148606,604173,593478,,,544200,414372,17,1920,1080,yolov5n,WebpLossless,T2,FHD
6,19,RSU-0002,Local,1768627014544433,1768627014547104,1768627014547703,1768627015173472,,1768627014614507,1768627015173471,,1768627015178639,634206,626368,,,558964,414372,17,1920,1080,yolov5n,WebpLossless,T2,FHD
11,34,RSU-0000,Local,1768627015049628,1768627015055307,1768627015055924,1768627015630850,,1768627015103395,1768627015630849,,1768627015633828,584200,575543,,,527454,412442,17,1920,1080,yolov5n,WebpLossless,T2,FHD
11,34,RSU-0001,Local,1768627015049628,1768627015054610,1768627015055438,1768627015686500,,1768627015143961,1768627015686499,,1768627015688461,638833,631890,,,542538,412442,17,1920,1080,yolov5n,WebpLossless,T2,FHD
12,37,RSU-0002,Local,1768627015150841,1768627015154186,1768627015155752,1768627015725287,,1768627015173877,1768627015725286,,1768627015733469,582628,571101,,,551409,413952,16,1920,1080,yolov5n,WebpLossless,T2,FHD
16,49,RSU-0000,Local,1768627015556848,1768627015561884,1768627015562503,1768627016162415,,1768627015631181,1768627016162415,,1768627016169770,612922,600531,,,531234,414564,16,1920,1080,yolov5n,WebpLossless,T2,FHD
17,52,RSU-0001,Local,1768627015658317,1768627015664441,1768627015666132,1768627016226388,,1768627015686654,1768627016226387,,1768627016231110,572793,561947,,,539733,416386,16,1920,1080,yolov5n,WebpLossless,T2,FHD
17,52,RSU-0002,Local,1768627015658317,1768627015657661,1768627015658264,1768627016277107,,1768627015725445,1768627016277106,,1768627016281882,623565,619446,,,551661,416386,16,1920,1080,yolov5n,WebpLossless,T2,FHD
21,64,RSU-0000,Local,1768627016064278,1768627016069741,1768627016070356,1768627016695885,,1768627016162577,1768627016695884,,1768627016699107,634829,626144,,,533307,421226,17,1920,1080,yolov5n,WebpLossless,T2,FHD
22,67,RSU-0001,Local,1768627016166085,1768627016171321,1768627016171935,1768627016767651,,1768627016226539,1768627016767651,,1768627016772534,606449,596330,,,541112,422790,14,1920,1080,yolov5n,WebpLossless,T2,FHD
23,70,RSU-0002,Local,1768627016267311,1768627016270277,1768627016270641,1768627016829600,,1768627016277214,1768627016829600,,1768627016837890,570579,559323,,,552386,420552,15,1920,1080,yolov5n,WebpLossless,T2,FHD
27,82,RSU-0000,Local,1768627016672436,1768627016678053,1768627016679296,1768627017227061,,1768627016696024,1768627017227060,,1768627017233026,560590,549008,,,531036,421728,18,1920,1080,yolov5n,WebpLossless,T2,FHD
27,82,RSU-0001,Local,1768627016672436,1768627016678033,1768627016678605,1768627017307555,,1768627016768022,1768627017307554,,1768627017309970,637534,629522,,,539532,421728,18,1920,1080,yolov5n,WebpLossless,T2,FHD
28,85,RSU-0002,Local,1768627016773707,1768627016775794,1768627016776353,1768627017382443,,1768627016829997,1768627017382442,,1768627017388112,614405,606649,,,552445,424460,17,1920,1080,yolov5n,WebpLossless,T2,FHD
32,97,RSU-0000,Local,1768627017178666,1768627017183127,1768627017183620,1768627017761142,,1768627017227225,1768627017761141,,1768627017767204,588538,578015,,,533916,421752,15,1920,1080,yolov5n,WebpLossless,T2,FHD
33,100,RSU-0001,Local,1768627017280503,1768627017287422,1768627017287783,1768627017854753,,1768627017307891,1768627017854752,,1768627017860076,579573,567331,,,546861,425096,18,1920,1080,yolov5n,WebpLossless,T2,FHD
33,100,RSU-0002,Local,1768627017280503,1768627017283502,1768627017284325,1768627017940214,,1768627017382596,1768627017940213,,1768627017947873,667370,656712,,,557617,425096,18,1920,1080,yolov5n,WebpLossless,T2,FHD
37,112,RSU-0000,Local,1768627017686958,1768627017691089,1768627017691811,1768627018289914,,1768627017761281,1768627018289913,,1768627018301090,614132,598825,,,528632,429496,18,1920,1080,yolov5n,WebpLossless,T2,FHD
38,115,RSU-0001,Local,1768627017787717,1768627017793507,1768627017794125,1768627018396781,,1768627017855231,1768627018396781,,1768627018402135,614418,603274,,,541550,428190,16,1920,1080,yolov5n,WebpLossless,T2,FHD
39,118,RSU-0002,Local,1768627017888618,1768627017891061,1768627017891748,1768627018493957,,1768627017940608,1768627018493957,,1768627018502246,613628,602896,,,553349,429022,19,1920,1080,yolov5n,WebpLossless,T2,FHD
42,127,RSU-0000,Local,1768627018193028,1768627018197813,1768627018198308,1768627018821901,,1768627018290064,1768627018821900,,1768627018824822,631794,624088,,,531836,429772,18,1920,1080,yolov5n,WebpLossless,T2,FHD
43,130,RSU-0001,Local,1768627018294321,1768627018299489,1768627018300127,1768627018940623,,1768627018397153,1768627018940623,,1768627018942700,648379,641134,,,543470,425802,17,1920,1080,yolov5n,WebpLossless,T2,FHD
44,133,RSU-0002,Local,1768627018396027,1768627018398740,1768627018399477,1768627019047596,,1768627018494343,1768627019047595,,1768627019055724,659697,648856,,,553252,427986,18,1920,1080,yolov5n,WebpLossless,T2,FHD
48,145,RSU-0000,Local,1768627018800685,1768627018806412,1768627018808160,1768627019355992,,1768627018822042,1768627019355991,,1768627019361931,561246,549580,,,533949,430622,19,1920,1080,yolov5n,WebpLossless,T2,FHD
49,148,RSU-0001,Local,1768627018901401,1768627018906817,1768627018907769,1768627019480632,,1768627018941046,1768627019480632,,1768627019485833,584432,573815,,,539586,431404,18,1920,1080,yolov5n,WebpLossless,T2,FHD
50,151,RSU-0002,Local,1768627019003431,1768627019007148,1768627019007703,1768627019599162,,1768627019047748,1768627019599161,,1768627019607445,604014,592014,,,551413,431688,19,1920,1080,yolov5n,WebpLossless,T2,FHD
53,160,RSU-0000,Local,1768627019309206,1768627019314306,1768627019316263,1768627019885459,,1768627019356136,1768627019885459,,1768627019891338,582132,571153,,,529323,427754,17,1920,1080,yolov5n,WebpLossless,T2,FHD
54,163,RSU-0001,Local,1768627019410778,1768627019415689,1768627019416165,1768627020026163,,1768627019480992,1768627020026162,,1768627020028311,617533,610474,,,545170,426970,18,1920,1080,yolov5n,WebpLossless,T2,FHD
55,166,RSU-0002,Local,1768627019512205,1768627019515007,1768627019515750,1768627020156205,,1768627019599344,1768627020156205,,1768627020163810,651605,641198,,,556861,427118,17,1920,1080,yolov5n,WebpLossless,T2,FHD
58,175,RSU-0000,Local,1768627019815843,1768627019820003,1768627019820503,1768627020417835,,1768627019885622,1768627020417835,,1768627020424238,608395,597832,,,532213,426278,19,1920,1080,yolov5n,WebpLossless,T2,FHD
60,181,RSU-0001,Local,1768627020017983,1768627020024240,1768627020024903,1768627020572350,,1768627020026625,1768627020572349,,1768627020574528,556545,548110,,,545724,426176,17,1920,1080,yolov5n,WebpLossless,T2,FHD
61,184,RSU-0002,Local,1768627020118808,1768627020122551,1768627020123625,1768627020707653,,1768627020156434,1768627020707652,,1768627020715970,597162,585102,,,551218,423902,18,1920,1080,yolov5n,WebpLossless,T2,FHD
63,190,RSU-0000,Local,1768627020320625,1768627020324020,1768627020324603,1768627020948423,,1768627020417996,1768627020948423,,1768627020951104,630479,624403,,,530427,428166,16,1920,1080,yolov5n,WebpLossless,T2,FHD
65,196,RSU-0001,Local,1768627020523049,1768627020529786,1768627020531953,1768627021111509,,1768627020572726,1768627021111509,,1768627021120304,597255,581723,,,538783,427574,15,1920,1080,yolov5n,WebpLossless,T2,FHD
66,199,RSU-0002,Local,1768627020625463,1768627020627686,1768627020628241,1768627021259810,,1768627020707809,1768627021259809,,1768627021265005,639542,632124,,,552000,428570,15,1920,1080,yolov5n,WebpLossless,T2,FHD
69,208,RSU-0000,Local,1768627020929813,1768627020936341,1768627020937553,1768627021479942,,1768627020948579,1768627021479941,,1768627021482951,553138,543601,,,531362,428956,18,1920,1080,yolov5n,WebpLossless,T2,FHD
70,211,RSU-0001,Local,1768627021030698,1768627021035471,1768627021036014,1768627021657689,,1768627021111614,1768627021657688,,1768627021659703,629005,622218,,,546074,428342,15,1920,1080,yolov5n,WebpLossless,T2,FHD
72,217,RSU-0002,Local,1768627021233060,1768627021236363,1768627021237132,1768627021810143,,1768627021259963,1768627021810142,,1768627021818094,585034,573780,,,550179,427186,15,1920,1080,yolov5n,WebpLossless,T2,FHD
74,223,RSU-0000,Local,1768627021436268,1768627021444174,1768627021444639,1768627022010269,,1768627021480323,1768627022010268,,1768627022016370,580102,566095,,,529945,427896,16,1920,1080,yolov5n,WebpLossless,T2,FHD
76,229,RSU-0001,Local,1768627021638427,1768627021645856,1768627021646644,1768627022197446,,1768627021657849,1768627022197445,,1768627022202901,564474,551590,,,539596,428408,16,1920,1080,yolov5n,WebpLossless,T2,FHD
77,232,RSU-0002,Local,1768627021740034,1768627021741425,1768627021741967,1768627022362899,,1768627021810296,1768627022362898,,1768627022367713,627679,621474,,,552602,428980,17,1920,1080,yolov5n,WebpLossless,T2,FHD
79,238,RSU-0000,Local,1768627021941263,1768627021951523,1768627021952154,1768627022541454,,1768627022010631,1768627022541453,,1768627022547458,606195,589931,,,530822,428734,17,1920,1080,yolov5n,WebpLossless,T2,FHD
81,244,RSU-0001,Local,1768627022144185,1768627022150597,1768627022151179,1768627022741587,,1768627022197819,1768627022741586,,1768627022746626,602441,590990,,,543767,427744,18,1920,1080,yolov5n,WebpLossless,T2,FHD
83,250,RSU-0002,Local,1768627022346505,1768627022347848,1768627022348736,1768627022914435,,1768627022363050,1768627022914435,,1768627022922811,576306,566587,,,551385,428486,18,1920,1080,yolov5n,WebpLossless,T2,FHD
84,253,RSU-0000,Local,1768627022448477,1768627022452271,1768627022452970,1768627023073355,,1768627022541602,1768627023073354,,1768627023076428,627951,621084,,,531752,430690,17,1920,1080,yolov5n,WebpLossless,T2,FHD
86,259,RSU-0001,Local,1768627022650480,1768627022656592,1768627022657109,1768627023281996,,1768627022741959,1768627023281996,,1768627023284085,633605,625404,,,540037,430382,17,1920,1080,yolov5n,WebpLossless,T2,FHD
88,265,RSU-0002,Local,1768627022852625,1768627022855046,1768627022856019,1768627023468109,,1768627022914591,1768627023468108,,1768627023473158,620533,613063,,,553517,429866,16,1920,1080,yolov5n,WebpLossless,T2,FHD
90,271,RSU-0000,Local,1768627023056053,1768627023062261,1768627023063265,1768627023605344,,1768627023073502,1768627023605343,,1768627023608296,552243,543083,,,531841,430892,17,1920,1080,yolov5n,WebpLossless,T2,FHD
92,277,RSU-0001,Local,1768627023259131,1768627023265955,1768627023267707,1768627023825099,,1768627023282348,1768627023825098,,1768627023830341,571210,559144,,,542750,427986,16,1920,1080,yolov5n,WebpLossless,T2,FHD
94,283,RSU-0002,Local,1768627023462122,1768627023464154,1768627023465062,1768627024021428,,1768627023468465,1768627024021427,,1768627024029284,567162,557274,,,552962,428366,16,1920,1080,yolov5n,WebpLossless,T2,FHD
95,286,RSU-0000,Local,1768627023563889,1768627023568361,1768627023569861,1768627024135080,,1768627023605504,1768627024135080,,1768627024140975,577086,566719,,,529576,428774,16,1920,1080,yolov5n,WebpLossless,T2,FHD
97,292,RSU-0001,Local,1768627023766896,1768627023773177,1768627023773895,1768627024366479,,1768627023825494,1768627024366478,,1768627024371458,604562,593302,,,540984,426132,15,1920,1080,yolov5n,WebpLossless,T2,FHD
99,298,RSU-0002,Local,1768627023969283,1768627023971586,1768627023972152,1768627024576250,,1768627024021666,1768627024576249,,1768627024582678,613395,604664,,,554583,424900,17,1920,1080,yolov5n,WebpLossless,T2,FHD
100,301,RSU-0000,Local,1768627024070515,1768627024074551,1768627024075589,1768627024665268,,1768627024135241,1768627024665267,,1768627024670892,600377,590717,,,530026,421712,14,1920,1080,yolov5n,WebpLossless,T2,FHD
102,307,RSU-0001,Local,1768627024273049,1768627024278595,1768627024279334,1768627024908567,,1768627024366629,1768627024908566,,1768627024910650,637601,629972,,,541937,421728,15,1920,1080,yolov5n,WebpLossless,T2,FHD
104,313,RSU-0002,Local,1768627024475680,1768627024479463,1768627024480189,1768627025135288,,1768627024576612,1768627025135288,,1768627025143177,667497,655825,,,558676,420376,16,1920,1080,yolov5n,WebpLossless,T2,FHD
105,316,RSU-0000,Local,1768627024576345,1768627024581389,1768627024581999,1768627025196581,,1768627024665383,1768627025196580,,1768627025199487,623142,615192,,,531197,421628,17,1920,1080,yolov5n,WebpLossless,T2,FHD
108,325,RSU-0001,Local,1768627024880611,1768627024887518,1768627024888785,1768627025449257,,1768627024908720,1768627025449256,,1768627025454389,573778,561739,,,540536,422822,16,1920,1080,yolov5n,WebpLossless,T2,FHD
110,331,RSU-0002,Local,1768627025084278,1768627025086972,1768627025087606,1768627025689311,,1768627025135510,1768627025689310,,1768627025697353,613075,602339,,,553800,421360,17,1920,1080,yolov5n,WebpLossless,T2,FHD
111,334,RSU-0000,Local,1768627025185566,1768627025190643,1768627025190983,1768627025726605,,1768627025196733,1768627025726604,,1768627025729609,544043,535962,,,529871,423362,16,1920,1080,yolov5n,WebpLossless,T2,FHD
113,340,RSU-0001,Local,1768627025387672,1768627025393766,1768627025394402,1768627025991127,,1768627025449415,1768627025991126,,1768627025996499,608827,597361,,,541711,423070,19,1920,1080,yolov5n,WebpLossless,T2,FHD
