sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0000,Local,1768620336426203,1768620336435372,1768620336435729,1768620336912494,,1768620336482127,1768620336912493,,1768620336917186,490983,477122,,,430366,227146,14,640,640,yolov5n,WebpLossless,T3,Letterbox
0,1,RSU-0001,Local,1768620336426203,1768620336431461,1768620336431788,1768620336921189,,1768620336500650,1768620336921188,,1768620336926753,500550,489728,,,420538,227146,14,640,640,yolov5n,WebpLossless,T3,Letterbox
0,1,RSU-0002,Local,1768620336426203,1768620336439504,1768620336439914,1768620336936079,,1768620336494704,1768620336936078,,1768620336940467,514264,496575,,,441374,227146,14,640,640,yolov5n,WebpLossless,T3,Letterbox
1,31,RSU-0001,Local,1768620337427609,1768620337432151,1768620337432398,1768620337817847,,1768620337432463,1768620337817847,,1768620337823372,395763,385696,,,385384,202272,13,640,640,yolov5n,WebpLossless,T3,Letterbox
1,31,RSU-0000,Local,1768620337427609,1768620337435222,1768620337435444,1768620337844565,,1768620337435499,1768620337844564,,1768620337848676,421067,409343,,,409065,202272,13,640,640,yolov5n,WebpLossless,T3,Letterbox
1,31,RSU-0002,Local,1768620337427609,1768620337434077,1768620337434312,1768620337852183,,1768620337434373,1768620337852182,,1768620337856246,428637,418106,,,417809,202272,13,640,640,yolov5n,WebpLossless,T3,Letterbox
2,61,RSU-0001,Local,1768620338429317,1768620338433738,1768620338433962,1768620338811759,,1768620338434013,1768620338811758,,1768620338819959,390642,378021,,,377745,203548,15,640,640,yolov5n,WebpLossless,T3,Letterbox
2,61,RSU-0000,Local,1768620338429317,1768620338436767,1768620338436993,1768620338846082,,1768620338437042,1768620338846081,,1768620338850925,421608,409315,,,409039,203548,15,640,640,yolov5n,WebpLossless,T3,Letterbox
2,61,RSU-0002,Local,1768620338429317,1768620338435750,1768620338435983,1768620338864782,,1768620338436040,1768620338864782,,1768620338870920,441603,429032,,,428742,203548,15,640,640,yolov5n,WebpLossless,T3,Letterbox
3,91,RSU-0001,Local,1768620339431129,1768620339435613,1768620339435844,1768620339817856,,1768620339435895,1768620339817855,,1768620339823929,392800,382243,,,381960,205088,16,640,640,yolov5n,WebpLossless,T3,Letterbox
3,91,RSU-0002,Local,1768620339431129,1768620339437598,1768620339437828,1768620339846849,,1768620339437945,1768620339846848,,1768620339850942,419813,409251,,,408903,205088,16,640,640,yolov5n,WebpLossless,T3,Letterbox
3,91,RSU-0000,Local,1768620339431129,1768620339438137,1768620339438362,1768620339858417,,1768620339438410,1768620339858416,,1768620339863106,431977,420280,,,420006,205088,16,640,640,yolov5n,WebpLossless,T3,Letterbox
4,121,RSU-0001,Local,1768620340432669,1768620340437942,1768620340438167,1768620340820766,,1768620340438291,1768620340820765,,1768620340826540,393871,382824,,,382474,204350,17,640,640,yolov5n,WebpLossless,T3,Letterbox
4,121,RSU-0000,Local,1768620340432669,1768620340439812,1768620340440035,1768620340843224,,1768620340440083,1768620340843223,,1768620340848205,415536,403412,,,403140,204350,17,640,640,yolov5n,WebpLossless,T3,Letterbox
4,121,RSU-0002,Local,1768620340432669,1768620340438098,1768620340438333,1768620340851625,,1768620340438397,1768620340851624,,1768620340856155,423486,413527,,,413227,204350,17,640,640,yolov5n,WebpLossless,T3,Letterbox
5,151,RSU-0001,Local,1768620341434345,1768620341440999,1768620341441249,1768620341824916,,1768620341441311,1768620341824915,,1768620341830723,396378,383917,,,383604,205726,18,640,640,yolov5n,WebpLossless,T3,Letterbox
5,151,RSU-0000,Local,1768620341434345,1768620341440530,1768620341440765,1768620341845169,,1768620341440811,1768620341845168,,1768620341850140,415795,404639,,,404357,205726,18,640,640,yolov5n,WebpLossless,T3,Letterbox
5,151,RSU-0002,Local,1768620341434345,1768620341440017,1768620341440252,1768620341850411,,1768620341440376,1768620341850410,,1768620341854949,420604,410394,,,410034,205726,18,640,640,yolov5n,WebpLossless,T3,Letterbox
6,181,RSU-0001,Local,1768620342436036,1768620342440870,1768620342441116,1768620342816796,,1768620342441238,1768620342816796,,1768620342822406,386370,375926,,,375558,204990,15,640,640,yolov5n,WebpLossless,T3,Letterbox
6,181,RSU-0000,Local,1768620342436036,1768620342442385,1768620342442622,1768620342845782,,1768620342442668,1768620342845781,,1768620342850603,414567,403397,,,403113,204990,15,640,640,yolov5n,WebpLossless,T3,Letterbox
6,181,RSU-0002,Local,1768620342436036,1768620342444154,1768620342444378,1768620342856612,,1768620342444445,1768620342856612,,1768620342860164,424128,412458,,,412167,204990,15,640,640,yolov5n,WebpLossless,T3,Letterbox
