sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0000,Local,1768630275360827,1768630275367608,1768630275368338,1768630275931960,,1768630275417859,1768630275931959,,1768630275940075,579248,564352,,,514100,509564,16,1280,720,yolov5n,WebpLossy,T1,HD
0,1,RSU-0002,Local,1768630275360827,1768630275367675,1768630275368235,1768630275957344,,1768630275419769,1768630275957343,,1768630275970353,609526,589669,,,537574,509564,16,1280,720,yolov5n,WebpLossy,T1,HD
0,1,RSU-0001,Local,1768630275360827,1768630275367452,1768630275368641,1768630275965472,,1768630275427121,1768630275965471,,1768630275970447,609620,598020,,,538350,509564,16,1280,720,yolov5n,WebpLossy,T1,HD
8,17,RSU-0000,Local,1768630275907180,1768630275911372,1768630275926718,1768630276418852,,1768630275932177,1768630276418852,,1768630276423764,516584,507480,,,486675,377816,17,1280,720,yolov5n,WebpLossy,T1,HD
8,17,RSU-0002,Local,1768630275907180,1768630275904720,1768630275918230,1768630276487643,,1768630275957452,1768630276487642,,1768630276500874,593694,582923,,,530190,377816,17,1280,720,yolov5n,WebpLossy,T1,HD
8,17,RSU-0001,Local,1768630275907180,1768630275914956,1768630275919423,1768630276507412,,1768630275965847,1768630276507412,,1768630276510654,603474,592456,,,541565,377816,17,1280,720,yolov5n,WebpLossy,T1,HD
15,31,RSU-0000,Local,1768630276384660,1768630276390949,1768630276393019,1768630276900670,,1768630276419220,1768630276900669,,1768630276907701,523041,509721,,,481449,379250,15,1280,720,yolov5n,WebpLossy,T1,HD
16,33,RSU-0002,Local,1768630276453464,1768630276451343,1768630276471749,1768630277013764,,1768630276487993,1768630277013763,,1768630277023842,570378,562421,,,525770,377228,17,1280,720,yolov5n,WebpLossy,T1,HD
16,33,RSU-0001,Local,1768630276453464,1768630276459474,1768630276466230,1768630277047555,,1768630276507823,1768630277047555,,1768630277050737,597273,588081,,,539732,377228,17,1280,720,yolov5n,WebpLossy,T1,HD
22,45,RSU-0000,Local,1768630276862068,1768630276866299,1768630276885914,1768630277382506,,1768630276901098,1768630277382505,,1768630277390340,528272,516207,,,481407,382454,17,1280,720,yolov5n,WebpLossy,T1,HD
24,49,RSU-0002,Local,1768630276997924,1768630276996214,1768630276997027,1768630277542049,,1768630277014165,1768630277542048,,1768630277558867,560943,545835,,,527883,381258,15,1280,720,yolov5n,WebpLossy,T1,HD
24,49,RSU-0001,Local,1768630276997924,1768630277005908,1768630277007566,1768630277585565,,1768630277047709,1768630277585564,,1768630277585797,587873,579657,,,537855,381258,15,1280,720,yolov5n,WebpLossy,T1,HD
29,59,RSU-0000,Local,1768630277337728,1768630277343029,1768630277358467,1768630277863687,,1768630277382902,1768630277863686,,1768630277871299,533571,520658,,,480784,383544,16,1280,720,yolov5n,WebpLossy,T1,HD
31,63,RSU-0002,Local,1768630277473633,1768630277470860,1768630277481647,1768630278070878,,1768630277542434,1768630278070877,,1768630278088329,614696,600018,,,528443,385000,17,1280,720,yolov5n,WebpLossy,T1,HD
32,65,RSU-0001,Local,1768630277541291,1768630277549339,1768630277556931,1768630278123893,,1768630277585939,1768630278123893,,1768630278123870,582579,574554,,,537954,382932,15,1280,720,yolov5n,WebpLossy,T1,HD
36,73,RSU-0000,Local,1768630277812420,1768630277814660,1768630277815159,1768630278344351,,1768630277864020,1768630278344350,,1768630278351554,539134,529691,,,480330,382122,14,1280,720,yolov5n,WebpLossy,T1,HD
39,79,RSU-0002,Local,1768630278016744,1768630278015725,1768630278016272,1768630278598523,,1768630278071309,1768630278598522,,1768630278608910,592166,582798,,,527213,385336,18,1280,720,yolov5n,WebpLossy,T1,HD
40,81,RSU-0001,Local,1768630278085371,1768630278091806,1768630278099088,1768630278660993,,1768630278124062,1768630278660992,,1768630278661035,575664,569187,,,536930,382640,16,1280,720,yolov5n,WebpLossy,T1,HD
43,87,RSU-0000,Local,1768630278288580,1768630278291275,1768630278303374,1768630278823922,,1768630278344698,1768630278823921,,1768630278831660,543080,532647,,,479223,388442,17,1280,720,yolov5n,WebpLossy,T1,HD
47,95,RSU-0002,Local,1768630278560566,1768630278560616,1768630278576756,1768630279125858,,1768630278598930,1768630279125858,,1768630279135923,575357,565242,,,526928,387846,16,1280,720,yolov5n,WebpLossy,T1,HD
48,97,RSU-0001,Local,1768630278629332,1768630278636129,1768630278636651,1768630279205418,,1768630278661370,1768630279205417,,1768630279205701,576369,569289,,,544047,385376,15,1280,720,yolov5n,WebpLossy,T1,HD
50,101,RSU-0000,Local,1768630278765106,1768630278768173,1768630278785447,1768630279300536,,1768630278824297,1768630279300535,,1768630279307644,542538,532363,,,476238,388954,18,1280,720,yolov5n,WebpLossy,T1,HD
55,111,RSU-0002,Local,1768630279104909,1768630279104541,1768630279117576,1768630279652631,,1768630279126245,1768630279652631,,1768630279662909,558000,548090,,,526386,389628,16,1280,720,yolov5n,WebpLossy,T1,HD
56,113,RSU-0001,Local,1768630279173138,1768630279179656,1768630279184405,1768630279741606,,1768630279205791,1768630279741605,,1768630279742023,568885,561950,,,535814,386768,18,1280,720,yolov5n,WebpLossy,T1,HD
57,115,RSU-0000,Local,1768630279240962,1768630279243926,1768630279244418,1768630279779432,,1768630279300911,1768630279779432,,1768630279787262,546300,535506,,,478521,388742,16,1280,720,yolov5n,WebpLossy,T1,HD
63,127,RSU-0002,Local,1768630279649375,1768630279648849,1768630279649458,1768630280183630,,1768630279653000,1768630280183629,,1768630280197400,548025,534781,,,530629,390104,18,1280,720,yolov5n,WebpLossy,T1,HD
64,129,RSU-0000,Local,1768630279717425,1768630279719954,1768630279730614,1768630280260178,,1768630279779835,1768630280260177,,1768630280267718,550293,540224,,,480342,387086,17,1280,720,yolov5n,WebpLossy,T1,HD
64,129,RSU-0001,Local,1768630279717425,1768630279724203,1768630279730336,1768630280284091,,1768630279741974,1768630280284090,,1768630280284416,566991,559888,,,542116,387086,17,1280,720,yolov5n,WebpLossy,T1,HD
70,141,RSU-0002,Local,1768630280125474,1768630280122621,1768630280142756,1768630280714685,,1768630280183996,1768630280714684,,1768630280727997,602523,592064,,,530688,390416,19,1280,720,yolov5n,WebpLossy,T1,HD
71,143,RSU-0000,Local,1768630280194399,1768630280199136,1768630280212047,1768630280741800,,1768630280260543,1768630280741800,,1768630280757147,562748,542664,,,481257,391046,19,1280,720,yolov5n,WebpLossy,T1,HD
72,145,RSU-0001,Local,1768630280262787,1768630280270796,1768630280272385,1768630280822015,,1768630280284238,1768630280822015,,1768630280822452,559665,551219,,,537777,388136,19,1280,720,yolov5n,WebpLossy,T1,HD
78,157,RSU-0000,Local,1768630280670826,1768630280673552,1768630280674028,1768630281223003,,1768630280742145,1768630281223002,,1768630281238066,567240,549451,,,480857,389508,21,1280,720,yolov5n,WebpLossy,T1,HD
78,157,RSU-0002,Local,1768630280670826,1768630280668766,1768630280669637,1768630281245026,,1768630280715074,1768630281245025,,1768630281257317,586491,576260,,,529951,389508,21,1280,720,yolov5n,WebpLossy,T1,HD
80,161,RSU-0001,Local,1768630280806711,1768630280814507,1768630280817172,1768630281363201,,1768630280822422,1768630281363200,,1768630281366292,559581,548694,,,540778,384802,16,1280,720,yolov5n,WebpLossy,T1,HD
85,171,RSU-0000,Local,1768630281147430,1768630281151139,1768630281161396,1768630281705262,,1768630281223336,1768630281705262,,1768630281710003,562573,554123,,,481926,383572,18,1280,720,yolov5n,WebpLossy,T1,HD
86,173,RSU-0002,Local,1768630281216295,1768630281214033,1768630281228351,1768630281775776,,1768630281245174,1768630281775775,,1768630281786647,570352,561743,,,530601,386032,19,1280,720,yolov5n,WebpLossy,T1,HD
87,175,RSU-0001,Local,1768630281283579,1768630281291500,1768630281291974,1768630281900174,,1768630281363537,1768630281900173,,1768630281902634,619055,608674,,,536636,385860,19,1280,720,yolov5n,WebpLossy,T1,HD
93,187,RSU-0000,Local,1768630281695708,1768630281699378,1768630281699722,1768630282184098,,1768630281705622,1768630282184098,,1768630282197029,501321,484720,,,478476,384888,16,1280,720,yolov5n,WebpLossy,T1,HD
94,189,RSU-0002,Local,1768630281763570,1768630281759791,1768630281770215,1768630282305292,,1768630281776152,1768630282305291,,1768630282316387,552817,545501,,,529139,386976,17,1280,720,yolov5n,WebpLossy,T1,HD
95,191,RSU-0001,Local,1768630281832001,1768630281839121,1768630281842633,1768630282436804,,1768630281900339,1768630282436804,,1768630282440079,608078,597683,,,536465,386836,16,1280,720,yolov5n,WebpLossy,T1,HD
99,199,RSU-0000,Local,1768630282105261,1768630282104882,1768630282105417,1768630282664836,,1768630282184446,1768630282664835,,1768630282669339,564078,559954,,,480389,386926,15,1280,720,yolov5n,WebpLossy,T1,HD
101,203,RSU-0002,Local,1768630282241254,1768630282239962,1768630282250580,1768630282855997,,1768630282305442,1768630282855996,,1768630282872351,631097,616035,,,550554,386896,14,1280,720,yolov5n,WebpLossy,T1,HD
103,207,RSU-0001,Local,1768630282377364,1768630282384660,1768630282389188,1768630282977130,,1768630282436956,1768630282977129,,1768630282980366,603002,592470,,,540173,388150,16,1280,720,yolov5n,WebpLossy,T1,HD
107,215,RSU-0000,Local,1768630282648679,1768630282652426,1768630282664130,1768630283144731,,1768630282665069,1768630283144730,,1768630283149529,500850,492305,,,479661,387314,16,1280,720,yolov5n,WebpLossy,T1,HD
109,219,RSU-0002,Local,1768630282785034,1768630282783179,1768630282796326,1768630283388077,,1768630282856117,1768630283388076,,1768630283400965,615931,604898,,,531959,387312,15,1280,720,yolov5n,WebpLossy,T1,HD
111,223,RSU-0001,Local,1768630282920976,1768630282927555,1768630282928075,1768630283513937,,1768630282977505,1768630283513936,,1768630283517389,596413,586382,,,536431,388372,16,1280,720,yolov5n,WebpLossy,T1,HD
114,229,RSU-0000,Local,1768630283124519,1768630283125621,1768630283125921,1768630283624486,,1768630283145084,1768630283624485,,1768630283636505,511986,498865,,,479401,387614,16,1280,720,yolov5n,WebpLossy,T1,HD
117,235,RSU-0002,Local,1768630283328616,1768630283327386,1768630283328328,1768630283918640,,1768630283388211,1768630283918639,,1768630283928616,600000,591254,,,530428,386914,19,1280,720,yolov5n,WebpLossy,T1,HD
119,239,RSU-0001,Local,1768630283464536,1768630283472665,1768630283477383,1768630284060867,,1768630283514307,1768630284060867,,1768630284063917,599381,588202,,,546560,386792,17,1280,720,yolov5n,WebpLossy,T1,HD
120,241,RSU-0000,Local,1768630283533095,1768630283535891,1768630283536469,1768630284103356,,1768630283624837,1768630284103355,,1768630284108073,574978,567465,,,478518,385004,16,1280,720,yolov5n,WebpLossy,T1,HD
125,251,RSU-0002,Local,1768630283873441,1768630283872813,1768630283888493,1768630284446336,,1768630283918812,1768630284446335,,1768630284456364,582923,573523,,,527523,387444,17,1280,720,yolov5n,WebpLossy,T1,HD
128,257,RSU-0000,Local,1768630284078113,1768630284080099,1768630284096733,1768630284584474,,1768630284103777,1768630284584473,,1768630284589303,511190,504375,,,480696,387274,17,1280,720,yolov5n,WebpLossy,T1,HD
127,255,RSU-0001,Local,1768630284009742,1768630284018664,1768630284029242,1768630284600662,,1768630284061243,1768630284600662,,1768630284605884,596142,581998,,,539419,388454,17,1280,720,yolov5n,WebpLossy,T1,HD
133,267,RSU-0002,Local,1768630284419369,1768630284418723,1768630284430377,1768630284972347,,1768630284446503,1768630284972346,,1768630284982126,562757,553624,,,525843,389248,17,1280,720,yolov5n,WebpLossy,T1,HD
135,271,RSU-0000,Local,1768630284554734,1768630284558542,1768630284559374,1768630285061512,,1768630284584834,1768630285061511,,1768630285066079,511345,502970,,,476677,388402,17,1280,720,yolov5n,WebpLossy,T1,HD
135,271,RSU-0001,Local,1768630284554734,1768630284563130,1768630284564909,1768630285142428,,1768630284601031,1768630285142428,,1768630285142686,587952,579298,,,541397,388402,17,1280,720,yolov5n,WebpLossy,T1,HD
141,283,RSU-0002,Local,1768630284964587,1768630284963686,1768630284964183,1768630285498505,,1768630284972496,1768630285498504,,1768630285511542,546955,534819,,,526008,387736,16,1280,720,yolov5n,WebpLossy,T1,HD
142,285,RSU-0000,Local,1768630285033022,1768630285037358,1768630285049887,1768630285539621,,1768630285061857,1768630285539620,,1768630285544597,511575,502263,,,477763,388648,16,1280,720,yolov5n,WebpLossy,T1,HD
143,287,RSU-0001,Local,1768630285100676,1768630285108645,1768630285116121,1768630285683598,,1768630285142827,1768630285683597,,1768630285683793,583117,574953,,,540770,387642,16,1280,720,yolov5n,WebpLossy,T1,HD
149,299,RSU-0000,Local,1768630285509484,1768630285514244,1768630285528776,1768630286020822,,1768630285539953,1768630286020821,,1768630286025834,516350,506578,,,480868,383658,16,1280,720,yolov5n,WebpLossy,T1,HD
148,297,RSU-0002,Local,1768630285440555,1768630285438799,1768630285450568,1768630286027661,,1768630285498666,1768630286027660,,1768630286040705,600150,588862,,,528994,383170,16,1280,720,yolov5n,WebpLossy,T1,HD
151,303,RSU-0001,Local,1768630285646485,1768630285655306,1768630285663277,1768630286225311,,1768630285684023,1768630286225310,,1768630286225304,578819,570005,,,541287,383730,15,1280,720,yolov5n,WebpLossy,T1,HD
156,313,RSU-0000,Local,1768630285986524,1768630285990374,1768630285991133,1768630286501080,,1768630286021181,1768630286501079,,1768630286508691,522167,510706,,,479898,381366,16,1280,720,yolov5n,WebpLossy,T1,HD
156,313,RSU-0002,Local,1768630285986524,1768630285984609,1768630285985111,1768630286555548,,1768630286027811,1768630286555547,,1768630286565677,579153,570939,,,527736,381366,16,1280,720,yolov5n,WebpLossy,T1,HD
159,319,RSU-0001,Local,1768630286190601,1768630286198975,1768630286199651,1768630286765352,,1768630286225738,1768630286765352,,1768630286765637,575036,566377,,,539614,383290,17,1280,720,yolov5n,WebpLossy,T1,HD
163,327,RSU-0000,Local,1768630286463291,1768630286467005,1768630286477512,1768630286982385,,1768630286501438,1768630286982383,,1768630286990170,526879,515380,,,480945,382920,17,1280,720,yolov5n,WebpLossy,T1,HD
164,329,RSU-0002,Local,1768630286530937,1768630286529726,1768630286543733,1768630287080857,,1768630286555676,1768630287080857,,1768630287095099,564162,551131,,,525181,380252,18,1280,720,yolov5n,WebpLossy,T1,HD
