sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Local,1769284625476061,1769284625476942,1769284625493423,1769284626128336,,1769284625530949,1769284626128335,,1769284626135979,659918,651394,,,,597386,509564,16,yolov5n,WebpLossy,T1,HD
0,1,RSU-0002,Local,1769284625476062,1769284625478530,1769284625484614,1769284626153901,,1769284625535356,1769284626153900,,1769284626161207,685145,675371,,,,618544,509564,16,yolov5n,WebpLossy,T1,HD
0,1,RSU-0001,Local,1769284625476061,1769284625483959,1769284625486178,1769284626186401,,1769284625538999,1769284626186400,,1769284626192357,716296,702442,,,,647401,509564,16,yolov5n,WebpLossy,T1,HD
1,31,RSU-0000,Local,1769284626477073,1769284626480339,1769284626500782,1769284627082518,,1769284626500858,1769284627082517,,1769284627090337,613264,602179,,,,581659,379250,15,yolov5n,WebpLossy,T1,HD
1,31,RSU-0001,Local,1769284626477085,1769284626483379,1769284626483743,1769284627100279,,1769284626483946,1769284627100278,,1769284627106107,629022,616900,,,,616332,379250,15,yolov5n,WebpLossy,T1,HD
1,31,RSU-0002,Local,1769284626477086,1769284626478886,1769284626483367,1769284627159223,,1769284626483442,1769284627159222,,1769284627167801,690715,680337,,,,675780,379250,15,yolov5n,WebpLossy,T1,HD
2,61,RSU-0000,Local,1769284627478715,1769284627481868,1769284627492497,1769284628053486,,1769284627492571,1769284628053485,,1769284628061593,582878,571618,,,,560914,384220,15,yolov5n,WebpLossy,T1,HD
2,61,RSU-0001,Local,1769284627478731,1769284627483963,1769284627484338,1769284628107734,,1769284627484432,1769284628107733,,1769284628113974,635243,623771,,,,623301,384220,15,yolov5n,WebpLossy,T1,HD
2,61,RSU-0002,Local,1769284627478732,1769284627480708,1769284627485129,1769284628153618,,1769284627485187,1769284628153617,,1769284628161251,682519,672910,,,,668430,384220,15,yolov5n,WebpLossy,T1,HD
3,91,RSU-0000,Local,1769284628480495,1769284628482462,1769284628509165,1769284629070160,,1769284628509259,1769284629070159,,1769284629078045,597550,587698,,,,560900,388816,17,yolov5n,WebpLossy,T1,HD
3,91,RSU-0001,Local,1769284628480511,1769284628485113,1769284628485498,1769284629094540,,1769284628485571,1769284629094539,,1769284629100483,619972,609427,,,,608968,388816,17,yolov5n,WebpLossy,T1,HD
3,91,RSU-0002,Local,1769284628480513,1769284628484238,1769284628488314,1769284629158736,,1769284628488376,1769284629158735,,1769284629166555,686042,674498,,,,670359,388816,17,yolov5n,WebpLossy,T1,HD
4,121,RSU-0000,Local,1769284629482392,1769284629485441,1769284629525468,1769284630090414,,1769284629525534,1769284630090413,,1769284630098276,615884,604973,,,,564879,387380,17,yolov5n,WebpLossy,T1,HD
