sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0002,Local,1769297479366561,1769297479372082,1769297479372439,1769297479950829,,1769297479424922,1769297479950828,,1769297479956443,589882,578747,,,,525906,187358,14,yolov5n,WebpLossy,T1,Letterbox
0,1,RSU-0000,Local,1769297479366560,1769297479377001,1769297479377330,1769297479973384,,1769297479427164,1769297479973383,,1769297479974643,608083,596383,,,,546219,187358,14,yolov5n,WebpLossy,T1,Letterbox
0,1,RSU-0001,Local,1769297479366561,1769297479376085,1769297479376393,1769297480008939,,1769297479437196,1769297480008938,,1769297480013708,647147,632854,,,,571742,187358,14,yolov5n,WebpLossy,T1,Letterbox
8,17,RSU-0000,Local,1769297479910099,1769297479919461,1769297479926031,1769297480459216,,1769297479973487,1769297480459215,,1769297480461568,551469,539755,,,,485728,164376,14,yolov5n,WebpLossy,T1,Letterbox
8,17,RSU-0002,Local,1769297479910111,1769297479915287,1769297479917870,1769297480458889,,1769297479950966,1769297480458888,,1769297480461997,551886,543602,,,,507922,164376,14,yolov5n,WebpLossy,T1,Letterbox
9,19,RSU-0001,Local,1769297479978273,1769297479983592,1769297479989936,1769297480597695,,1769297480009088,1769297480597694,,1769297480604667,626394,614103,,,,588606,165118,14,yolov5n,WebpLossy,T1,Letterbox
15,31,RSU-0000,Local,1769297480385877,1769297480395941,1769297480396209,1769297480941306,,1769297480459350,1769297480941305,,1769297480940046,554169,545365,,,,481955,165294,13,yolov5n,WebpLossy,T1,Letterbox
15,31,RSU-0002,Local,1769297480385900,1769297480392696,1769297480392933,1769297480960156,,1769297480459005,1769297480960155,,1769297480962683,576783,567460,,,,501150,165294,13,yolov5n,WebpLossy,T1,Letterbox
17,35,RSU-0001,Local,1769297480523839,1769297480526425,1769297480532146,1769297481177147,,1769297480597849,1769297481177145,,1769297481184075,660236,650722,,,,579296,164844,14,yolov5n,WebpLossy,T1,Letterbox
22,45,RSU-0000,Local,1769297480864485,1769297480873071,1769297480890015,1769297481421056,,1769297480941420,1769297481421055,,1769297481419383,554898,547985,,,,479635,165620,15,yolov5n,WebpLossy,T1,Letterbox
23,47,RSU-0002,Local,1769297480932357,1769297480937995,1769297480940343,1769297481458943,,1769297480960301,1769297481458942,,1769297481464580,532223,520948,,,,498641,166102,14,yolov5n,WebpLossy,T1,Letterbox
26,53,RSU-0001,Local,1769297481135530,1769297481138262,1769297481146141,1769297481756412,,1769297481177251,1769297481756411,,1769297481760990,625460,618150,,,,579160,165836,14,yolov5n,WebpLossy,T1,Letterbox
30,61,RSU-0000,Local,1769297481406562,1769297481416627,1769297481417215,1769297481902258,,1769297481421156,1769297481902257,,1769297481900474,493912,485631,,,,481101,166078,15,yolov5n,WebpLossy,T1,Letterbox
30,61,RSU-0002,Local,1769297481406591,1769297481412373,1769297481412625,1769297481965269,,1769297481459087,1769297481965268,,1769297481967886,561295,552896,,,,506181,166078,15,yolov5n,WebpLossy,T1,Letterbox
35,71,RSU-0001,Local,1769297481746494,1769297481750584,1769297481756338,1769297482334405,,1769297481756494,1769297482334403,,1769297482342096,595602,583821,,,,577909,166924,13,yolov5n,WebpLossy,T1,Letterbox
37,75,RSU-0000,Local,1769297481882388,1769297481892418,1769297481899127,1769297482381930,,1769297481902406,1769297482381929,,1769297482379957,497569,489512,,,,479523,166190,13,yolov5n,WebpLossy,T1,Letterbox
38,77,RSU-0002,Local,1769297481949940,1769297481956010,1769297481959188,1769297482464336,,1769297481965424,1769297482464335,,1769297482469978,520038,508326,,,,498911,166728,13,yolov5n,WebpLossy,T1,Letterbox
44,89,RSU-0000,Local,1769297482357606,1769297482367237,1769297482374569,1769297482862344,,1769297482382071,1769297482862343,,1769297482860666,503060,495107,,,,480272,166806,15,yolov5n,WebpLossy,T1,Letterbox
43,87,RSU-0001,Local,1769297482290470,1769297482295098,1769297482306100,1769297482912955,,1769297482334562,1769297482912954,,1769297482919299,628829,617857,,,,578392,167320,14,yolov5n,WebpLossy,T1,Letterbox
45,91,RSU-0002,Local,1769297482425608,1769297482430960,1769297482431616,1769297482967978,,1769297482464480,1769297482967977,,1769297482973667,548059,537018,,,,503497,168150,16,yolov5n,WebpLossy,T1,Letterbox
51,103,RSU-0000,Local,1769297482833663,1769297482843123,1769297482855031,1769297483342448,,1769297482862497,1769297483342447,,1769297483340440,506777,499325,,,,479950,167518,15,yolov5n,WebpLossy,T1,Letterbox
52,105,RSU-0002,Local,1769297482901507,1769297482907063,1769297482910247,1769297483468681,,1769297482968130,1769297483468681,,1769297483471205,569698,561618,,,,500551,167126,16,yolov5n,WebpLossy,T1,Letterbox
52,105,RSU-0001,Local,1769297482901506,1769297482905584,1769297482911737,1769297483489774,,1769297482913102,1769297483489773,,1769297483497269,595763,584190,,,,576671,167126,16,yolov5n,WebpLossy,T1,Letterbox
58,117,RSU-0000,Local,1769297483309406,1769297483319823,1769297483325454,1769297483823504,,1769297483342586,1769297483823504,,1769297483821789,512383,503681,,,,480918,167848,16,yolov5n,WebpLossy,T1,Letterbox
60,121,RSU-0002,Local,1769297483445613,1769297483451412,1769297483451781,1769297483969011,,1769297483468839,1769297483969010,,1769297483974682,529069,517599,,,,500171,166836,17,yolov5n,WebpLossy,T1,Letterbox
60,121,RSU-0001,Local,1769297483445612,1769297483448267,1769297483448536,1769297484064507,,1769297483489922,1769297484064506,,1769297484071570,625958,616240,,,,574584,166836,17,yolov5n,WebpLossy,T1,Letterbox
65,131,RSU-0000,Local,1769297483785027,1769297483796934,1769297483805088,1769297484305053,,1769297483823655,1769297484305053,,1769297484305490,520463,508119,,,,481398,168396,18,yolov5n,WebpLossy,T1,Letterbox
67,135,RSU-0002,Local,1769297483921717,1769297483928310,1769297483933174,1769297484474564,,1769297483969155,1769297484474563,,1769297484479241,557524,546254,,,,505408,167986,18,yolov5n,WebpLossy,T1,Letterbox
68,137,RSU-0001,Local,1769297483990087,1769297483992111,1769297483997990,1769297484645467,,1769297484064644,1769297484645466,,1769297484653532,663445,653356,,,,580822,167466,17,yolov5n,WebpLossy,T1,Letterbox
72,145,RSU-0000,Local,1769297484261816,1769297484271377,1769297484288017,1769297484787418,,1769297484305153,1769297484787417,,1769297484785760,523944,516041,,,,482264,167204,16,yolov5n,WebpLossy,T1,Letterbox
74,149,RSU-0002,Local,1769297484398506,1769297484403240,1769297484405245,1769297484977255,,1769297484474705,1769297484977255,,1769297484982851,584345,574015,,,,502550,168386,19,yolov5n,WebpLossy,T1,Letterbox
79,159,RSU-0000,Local,1769297484737692,1769297484747362,1769297484765553,1769297485269309,,1769297484787557,1769297485269309,,1769297485270691,532999,521947,,,,481752,169100,14,yolov5n,WebpLossy,T1,Letterbox
77,155,RSU-0001,Local,1769297484602436,1769297484606054,1769297484614095,1769297485225140,,1769297484645633,1769297485225139,,1769297485301334,698898,619086,,,,579506,168220,18,yolov5n,WebpLossy,T1,Letterbox
82,165,RSU-0002,Local,1769297484942725,1769297484948249,1769297484951096,1769297485476099,,1769297484977412,1769297485476098,,1769297485481779,539054,527850,,,,498686,167516,17,yolov5n,WebpLossy,T1,Letterbox
86,173,RSU-0000,Local,1769297485214834,1769297485224883,1769297485232944,1769297485750302,,1769297485269445,1769297485750302,,1769297485751392,536558,525419,,,,480857,167166,16,yolov5n,WebpLossy,T1,Letterbox
85,171,RSU-0001,Local,1769297485147242,1769297485149829,1769297485155034,1769297485804971,,1769297485225245,1769297485804971,,1769297485809642,662400,655142,,,,579726,166892,16,yolov5n,WebpLossy,T1,Letterbox
89,179,RSU-0002,Local,1769297485419421,1769297485424294,1769297485425992,1769297485975490,,1769297485476243,1769297485975489,,1769297485977748,558327,551196,,,,499246,166996,15,yolov5n,WebpLossy,T1,Letterbox
93,187,RSU-0000,Local,1769297485690722,1769297485700631,1769297485705570,1769297486232474,,1769297485750457,1769297486232473,,1769297486233532,542810,531843,,,,482016,166818,14,yolov5n,WebpLossy,T1,Letterbox
94,189,RSU-0001,Local,1769297485758824,1769297485763958,1769297485778830,1769297486383039,,1769297485805075,1769297486383039,,1769297486387540,628716,619081,,,,577964,167502,15,yolov5n,WebpLossy,T1,Letterbox
