sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0001,Local,1768619301149301,1768619301158506,1768619301158868,1768619301631164,,1768619301207811,1768619301631163,,1768619301635761,486460,472658,,,423352,187358,14,640,640,yolov5n,WebpLossy,T1,Letterbox
0,1,RSU-0000,Local,1768619301149301,1768619301158802,1768619301159087,1768619301647757,,1768619301213291,1768619301647756,,1768619301652974,503673,488955,,,434465,187358,14,640,640,yolov5n,WebpLossy,T1,Letterbox
0,1,RSU-0002,Local,1768619301149301,1768619301163415,1768619301163787,1768619301662143,,1768619301224341,1768619301662142,,1768619301666433,517132,498728,,,437801,187358,14,640,640,yolov5n,WebpLossy,T1,Letterbox
1,31,RSU-0001,Local,1768619302150388,1768619302156575,1768619302156755,1768619302531779,,1768619302156799,1768619302531779,,1768619302533309,382921,375204,,,374980,165294,13,640,640,yolov5n,WebpLossy,T1,Letterbox
1,31,RSU-0000,Local,1768619302150388,1768619302155217,1768619302155422,1768619302570454,,1768619302155557,1768619302570453,,1768619302575028,424640,415237,,,414896,165294,13,640,640,yolov5n,WebpLossy,T1,Letterbox
1,31,RSU-0002,Local,1768619302150388,1768619302159069,1768619302159309,1768619302572693,,1768619302159361,1768619302572692,,1768619302578983,428595,413624,,,413331,165294,13,640,640,yolov5n,WebpLossy,T1,Letterbox
2,61,RSU-0001,Local,1768619303152046,1768619303159610,1768619303159809,1768619303548029,,1768619303159857,1768619303548028,,1768619303551952,399906,388419,,,388171,166078,15,640,640,yolov5n,WebpLossy,T1,Letterbox
2,61,RSU-0002,Local,1768619303152046,1768619303158711,1768619303158926,1768619303564798,,1768619303158980,1768619303564797,,1768619303569045,416999,406087,,,405817,166078,15,640,640,yolov5n,WebpLossy,T1,Letterbox
2,61,RSU-0000,Local,1768619303152046,1768619303156904,1768619303157109,1768619303565519,,1768619303157163,1768619303565519,,1768619303570356,418310,408615,,,408356,166078,15,640,640,yolov5n,WebpLossy,T1,Letterbox
3,91,RSU-0001,Local,1768619304154328,1768619304160661,1768619304160857,1768619304533220,,1768619304160900,1768619304533219,,1768619304538085,383757,372559,,,372319,168150,16,640,640,yolov5n,WebpLossy,T1,Letterbox
3,91,RSU-0002,Local,1768619304154328,1768619304160126,1768619304160349,1768619304565847,,1768619304160399,1768619304565847,,1768619304570607,416279,405721,,,405448,168150,16,640,640,yolov5n,WebpLossy,T1,Letterbox
3,91,RSU-0000,Local,1768619304154328,1768619304161540,1768619304161746,1768619304571855,,1768619304161794,1768619304571854,,1768619304580159,425831,410315,,,410060,168150,16,640,640,yolov5n,WebpLossy,T1,Letterbox
4,121,RSU-0001,Local,1768619305156432,1768619305161917,1768619305162115,1768619305535932,,1768619305162158,1768619305535931,,1768619305539998,383566,374015,,,373773,166836,17,640,640,yolov5n,WebpLossy,T1,Letterbox
4,121,RSU-0002,Local,1768619305156432,1768619305164029,1768619305164235,1768619305571116,,1768619305164296,1768619305571115,,1768619305575978,419546,407087,,,406819,166836,17,640,640,yolov5n,WebpLossy,T1,Letterbox
4,121,RSU-0000,Local,1768619305156432,1768619305162321,1768619305162532,1768619305572699,,1768619305162578,1768619305572698,,1768619305577249,420817,410378,,,410120,166836,17,640,640,yolov5n,WebpLossy,T1,Letterbox
5,151,RSU-0001,Local,1768619306158237,1768619306165568,1768619306165768,1768619306537958,,1768619306165812,1768619306537957,,1768619306539677,381440,372390,,,372145,168314,18,640,640,yolov5n,WebpLossy,T1,Letterbox
5,151,RSU-0002,Local,1768619306158237,1768619306163480,1768619306163689,1768619306568962,,1768619306163752,1768619306568962,,1768619306573359,415122,405482,,,405210,168314,18,640,640,yolov5n,WebpLossy,T1,Letterbox
5,151,RSU-0000,Local,1768619306158237,1768619306164165,1768619306164376,1768619306576029,,1768619306164418,1768619306576028,,1768619306580693,422456,411864,,,411610,168314,18,640,640,yolov5n,WebpLossy,T1,Letterbox
6,181,RSU-0001,Local,1768619307159945,1768619307165442,1768619307165634,1768619307545580,,1768619307165680,1768619307545579,,1768619307550066,390121,380138,,,379899,167656,15,640,640,yolov5n,WebpLossy,T1,Letterbox
