sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0001,Local,1768622450029270,1768622450035494,1768622450037295,1768622450662200,,1768622450096684,1768622450662199,,1768622450665087,635817,626706,,,565515,747136,16,1920,1080,yolov5n,WebpLossy,T2,FHD
0,1,RSU-0000,Local,1768622450029270,1768622450037203,1768622450038397,1768622450675377,,1768622450096613,1768622450675376,,1768622450681509,652239,638174,,,578763,747136,16,1920,1080,yolov5n,WebpLossy,T2,FHD
0,1,RSU-0002,Local,1768622450029270,1768622450043667,1768622450044423,1768622450731344,,1768622450110284,1768622450731343,,1768622450736035,706765,687677,,,621059,747136,16,1920,1080,yolov5n,WebpLossy,T2,FHD
3,19,RSU-0001,Local,1768622450634006,1768622450643363,1768622450644403,1768622451197374,,1768622450662353,1768622451197373,,1768622451202409,568403,554011,,,535020,414372,17,1920,1080,yolov5n,WebpLossy,T2,FHD
3,19,RSU-0000,Local,1768622450634006,1768622450641359,1768622450641902,1768622451218134,,1768622450675621,1768622451218133,,1768622451222998,588992,576775,,,542512,414372,17,1920,1080,yolov5n,WebpLossy,T2,FHD
3,19,RSU-0002,Local,1768622450634006,1768622450642669,1768622450654901,1768622451332938,,1768622450731436,1768622451332937,,1768622451335731,701725,690269,,,601501,414372,17,1920,1080,yolov5n,WebpLossy,T2,FHD
5,31,RSU-0001,Local,1768622451035334,1768622451042239,1768622451043318,1768622451717577,,1768622451197730,1768622451717576,,1768622451722020,686686,675338,,,519846,414110,15,1920,1080,yolov5n,WebpLossy,T2,FHD
5,31,RSU-0000,Local,1768622451035334,1768622451042489,1768622451043249,1768622451762083,,1768622451218283,1768622451762082,,1768622451767599,732265,719594,,,543799,414110,15,1920,1080,yolov5n,WebpLossy,T2,FHD
6,37,RSU-0002,Local,1768622451237260,1768622451245778,1768622451257456,1768622451929249,,1768622451333080,1768622451929248,,1768622451931964,694704,683471,,,596168,413952,16,1920,1080,yolov5n,WebpLossy,T2,FHD
8,49,RSU-0001,Local,1768622451641289,1768622451647218,1768622451647718,1768622452239601,,1768622451717731,1768622452239601,,1768622452243755,602466,592383,,,521870,414564,16,1920,1080,yolov5n,WebpLossy,T2,FHD
8,49,RSU-0000,Local,1768622451641289,1768622451648312,1768622451648902,1768622452300900,,1768622451762226,1768622452300900,,1768622452308755,667466,652588,,,538674,414564,16,1920,1080,yolov5n,WebpLossy,T2,FHD
9,55,RSU-0002,Local,1768622451843104,1768622451851581,1768622451864523,1768622452525184,,1768622451929400,1768622452525183,,1768622452527904,684800,673603,,,595783,418972,15,1920,1080,yolov5n,WebpLossy,T2,FHD
10,61,RSU-0001,Local,1768622452044800,1768622452050766,1768622452051499,1768622452763378,,1768622452239765,1768622452763377,,1768622452767622,722822,712612,,,523612,420674,16,1920,1080,yolov5n,WebpLossy,T2,FHD
11,67,RSU-0000,Local,1768622452246324,1768622452251400,1768622452251892,1768622452836657,,1768622452301119,1768622452836655,,1768622452841251,594927,585257,,,535536,422790,14,1920,1080,yolov5n,WebpLossy,T2,FHD
12,73,RSU-0002,Local,1768622452448408,1768622452455779,1768622452467383,1768622453118043,,1768622452525336,1768622453118043,,1768622453121489,673081,662264,,,592707,417268,14,1920,1080,yolov5n,WebpLossy,T2,FHD
13,79,RSU-0001,Local,1768622452649681,1768622452658762,1768622452659328,1768622453283258,,1768622452763763,1768622453283257,,1768622453284573,634892,624496,,,519494,423028,17,1920,1080,yolov5n,WebpLossy,T2,FHD
13,79,RSU-0000,Local,1768622452649681,1768622452659588,1768622452660301,1768622453372434,,1768622452836884,1768622453372434,,1768622453377463,727782,712846,,,535550,423028,17,1920,1080,yolov5n,WebpLossy,T2,FHD
15,91,RSU-0002,Local,1768622453052237,1768622453060135,1768622453060579,1768622453715497,,1768622453118240,1768622453715495,,1768622453718294,666057,655362,,,597255,424556,18,1920,1080,yolov5n,WebpLossy,T2,FHD
16,97,RSU-0001,Local,1768622453254099,1768622453259762,1768622453260915,1768622453808181,,1768622453283611,1768622453808180,,1768622453811834,557735,548419,,,524569,421752,15,1920,1080,yolov5n,WebpLossy,T2,FHD
16,97,RSU-0000,Local,1768622453254099,1768622453260193,1768622453260912,1768622453906113,,1768622453372582,1768622453906112,,1768622453911526,657427,645920,,,533530,421752,15,1920,1080,yolov5n,WebpLossy,T2,FHD
18,109,RSU-0002,Local,1768622453658183,1768622453667329,1768622453684772,1768622454314137,,1768622453715645,1768622454314136,,1768622454316841,658658,646808,,,598491,427872,16,1920,1080,yolov5n,WebpLossy,T2,FHD
18,109,RSU-0001,Local,1768622453658183,1768622453665116,1768622453665588,1768622454328812,,1768622453808546,1768622454328812,,1768622454333196,675013,663696,,,520266,427872,16,1920,1080,yolov5n,WebpLossy,T2,FHD
19,115,RSU-0000,Local,1768622453859430,1768622453865183,1768622453867053,1768622454438141,,1768622453906264,1768622454438141,,1768622454443525,584095,572958,,,531877,428190,16,1920,1080,yolov5n,WebpLossy,T2,FHD
21,127,RSU-0001,Local,1768622454262910,1768622454275731,1768622454276471,1768622454853453,,1768622454329193,1768622454853451,,1768622454857747,594837,577722,,,524258,429772,18,1920,1080,yolov5n,WebpLossy,T2,FHD
21,127,RSU-0002,Local,1768622454262910,1768622454271616,1768622454289006,1768622454928515,,1768622454314329,1768622454928514,,1768622454928395,665485,656899,,,614185,429772,18,1920,1080,yolov5n,WebpLossy,T2,FHD
21,127,RSU-0000,Local,1768622454262910,1768622454269790,1768622454270263,1768622454972600,,1768622454438498,1768622454972599,,1768622454977295,714385,702810,,,534101,429772,18,1920,1080,yolov5n,WebpLossy,T2,FHD
23,139,RSU-0001,Local,1768622454664544,1768622454675275,1768622454675745,1768622455375525,,1768622454853816,1768622455375525,,1768622455379932,715388,700250,,,521709,431292,19,1920,1080,yolov5n,WebpLossy,T2,FHD
24,145,RSU-0000,Local,1768622454866106,1768622454872221,1768622454872947,1768622455506774,,1768622454972963,1768622455506774,,1768622455509350,643244,634553,,,533811,430622,19,1920,1080,yolov5n,WebpLossy,T2,FHD
24,145,RSU-0002,Local,1768622454866106,1768622454873870,1768622454887128,1768622455520398,,1768622454928856,1768622455520397,,1768622455522238,656132,646528,,,591541,430622,19,1920,1080,yolov5n,WebpLossy,T2,FHD
26,157,RSU-0001,Local,1768622455268966,1768622455275619,1768622455275978,1768622455902292,,1768622455375889,1768622455902291,,1768622455903654,634688,626673,,,526402,429476,21,1920,1080,yolov5n,WebpLossy,T2,FHD
27,163,RSU-0000,Local,1768622455469784,1768622455475663,1768622455476141,1768622456040489,,1768622455507131,1768622456040488,,1768622456045507,575723,564826,,,533357,426970,18,1920,1080,yolov5n,WebpLossy,T2,FHD
27,163,RSU-0002,Local,1768622455469784,1768622455478586,1768622455498164,1768622456112562,,1768622455520781,1768622456112562,,1768622456112326,642542,633976,,,591781,426970,18,1920,1080,yolov5n,WebpLossy,T2,FHD
29,175,RSU-0001,Local,1768622455871716,1768622455878422,1768622455878942,1768622456423563,,1768622455902657,1768622456423563,,1768622456428040,556324,545141,,,520906,426278,19,1920,1080,yolov5n,WebpLossy,T2,FHD
29,175,RSU-0000,Local,1768622455871716,1768622455877443,1768622455878008,1768622456574499,,1768622456040862,1768622456574499,,1768622456580145,708429,697056,,,533637,426278,19,1920,1080,yolov5n,WebpLossy,T2,FHD
30,181,RSU-0002,Local,1768622456072913,1768622456083950,1768622456085227,1768622456705628,,1768622456112929,1768622456705626,,1768622456705249,632336,621678,,,592697,426176,17,1920,1080,yolov5n,WebpLossy,T2,FHD
31,187,RSU-0001,Local,1768622456273984,1768622456283386,1768622456284342,1768622456948150,,1768622456423944,1768622456948149,,1768622456951992,678008,664764,,,524205,425116,15,1920,1080,yolov5n,WebpLossy,T2,FHD
32,193,RSU-0000,Local,1768622456474768,1768622456479423,1768622456480294,1768622457107669,,1768622456574873,1768622457107668,,1768622457110202,635434,628246,,,532795,427134,17,1920,1080,yolov5n,WebpLossy,T2,FHD
33,199,RSU-0002,Local,1768622456675891,1768622456685152,1768622456699869,1768622457298350,,1768622456706009,1768622457298349,,1768622457302830,626939,613198,,,592340,428570,15,1920,1080,yolov5n,WebpLossy,T2,FHD
34,205,RSU-0001,Local,1768622456876720,1768622456882777,1768622456883347,1768622457468203,,1768622456948303,1768622457468203,,1768622457471958,595238,585426,,,519900,427552,15,1920,1080,yolov5n,WebpLossy,T2,FHD
35,211,RSU-0000,Local,1768622457077971,1768622457083170,1768622457083881,1768622457640446,,1768622457108019,1768622457640445,,1768622457645493,567522,557276,,,532426,428342,15,1920,1080,yolov5n,WebpLossy,T2,FHD
35,211,RSU-0002,Local,1768622457077971,1768622457099669,1768622457100107,1768622457889481,,1768622457298726,1768622457889480,,1768622457892886,814915,789812,,,590754,428342,15,1920,1080,yolov5n,WebpLossy,T2,FHD
