sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0000,Local,1768746150508796,1768746150524412,1768746150524712,1768746150986574,,1768746150565479,1768746150986573,,1768746150988346,479550,462162,,,421094,187358,14,640,640,yolov5n,WebpLossy,T2,Letterbox
0,1,RSU-0001,Local,1768746150508796,1768746150527289,1768746150527558,1768746151002096,,1768746150573762,1768746151002095,,1768746151001329,492533,474807,,,428333,187358,14,640,640,yolov5n,WebpLossy,T2,Letterbox
0,1,RSU-0002,Local,1768746150508796,1768746150738682,1768746150738913,1768746151184040,,1768746150739462,1768746151184039,,1768746151182073,673277,445358,,,444577,187358,14,640,640,yolov5n,WebpLossy,T2,Letterbox
6,13,RSU-0000,Local,1768746150916955,1768746150926661,1768746150926949,1768746151391927,,1768746150986722,1768746151391926,,1768746151392259,475304,465266,,,405204,165306,13,640,640,yolov5n,WebpLossy,T2,Letterbox
7,15,RSU-0001,Local,1768746150984627,1768746150995574,1768746151000895,1768746151425083,,1768746151002215,1768746151425083,,1768746151420857,436230,429509,,,422868,165432,13,640,640,yolov5n,WebpLossy,T2,Letterbox
9,19,RSU-0002,Local,1768746151120390,1768746151135351,1768746151135755,1768746151600791,,1768746151184186,1768746151600790,,1768746151598723,478333,465440,,,416604,165118,14,640,640,yolov5n,WebpLossy,T2,Letterbox
12,25,RSU-0000,Local,1768746151324363,1768746151334277,1768746151334628,1768746151795877,,1768746151392085,1768746151795877,,1768746151797019,472656,461600,,,403792,163716,14,640,640,yolov5n,WebpLossy,T2,Letterbox
13,27,RSU-0001,Local,1768746151392203,1768746151404108,1768746151414463,1768746151840303,,1768746151425234,1768746151840303,,1768746151836260,444057,436195,,,415069,165530,13,640,640,yolov5n,WebpLossy,T2,Letterbox
15,31,RSU-0002,Local,1768746151527413,1768746151544529,1768746151544949,1768746152017069,,1768746151600950,1768746152017068,,1768746152014627,487214,472540,,,416118,165294,13,640,640,yolov5n,WebpLossy,T2,Letterbox
18,37,RSU-0000,Local,1768746151732173,1768746151741793,1768746151742119,1768746152198533,,1768746151796019,1768746152198532,,1768746152199809,467636,456740,,,402513,165492,14,640,640,yolov5n,WebpLossy,T2,Letterbox
19,39,RSU-0001,Local,1768746151799275,1768746151812105,1768746151820814,1768746152257838,,1768746151840453,1768746152257837,,1768746152255321,456046,445733,,,417384,164828,15,640,640,yolov5n,WebpLossy,T2,Letterbox
21,43,RSU-0002,Local,1768746151935755,1768746151948756,1768746151949110,1768746152426678,,1768746152017209,1768746152426677,,1768746152421908,486153,477922,,,409468,165140,15,640,640,yolov5n,WebpLossy,T2,Letterbox
24,49,RSU-0000,Local,1768746152140165,1768746152149459,1768746152149834,1768746152604448,,1768746152198675,1768746152604447,,1768746152605662,465497,454989,,,405772,165014,14,640,640,yolov5n,WebpLossy,T2,Letterbox
25,51,RSU-0001,Local,1768746152208358,1768746152222002,1768746152230869,1768746152673563,,1768746152257979,1768746152673563,,1768746152672734,464376,451561,,,415584,165968,15,640,640,yolov5n,WebpLossy,T2,Letterbox
27,55,RSU-0002,Local,1768746152344919,1768746152358232,1768746152358685,1768746152837580,,1768746152426828,1768746152837580,,1768746152834888,489969,479348,,,410752,166358,15,640,640,yolov5n,WebpLossy,T2,Letterbox
30,61,RSU-0000,Local,1768746152548784,1768746152558048,1768746152558345,1768746153010525,,1768746152604601,1768746153010525,,1768746153011880,463096,452477,,,405924,166078,15,640,640,yolov5n,WebpLossy,T2,Letterbox
31,63,RSU-0001,Local,1768746152617085,1768746152628349,1768746152638570,1768746153090681,,1768746152674171,1768746153090681,,1768746153089430,472345,462332,,,416510,166776,16,640,640,yolov5n,WebpLossy,T2,Letterbox
33,67,RSU-0002,Local,1768746152754176,1768746152767619,1768746152767994,1768746153254724,,1768746152837715,1768746153254723,,1768746153249535,495359,487105,,,417008,167098,14,640,640,yolov5n,WebpLossy,T2,Letterbox
36,73,RSU-0000,Local,1768746152957687,1768746152967687,1768746152968830,1768746153417319,,1768746153010666,1768746153417318,,1768746153415321,457634,449632,,,406652,165852,14,640,640,yolov5n,WebpLossy,T2,Letterbox
37,75,RSU-0001,Local,1768746153026331,1768746153038281,1768746153043336,1768746153508234,,1768746153091342,1768746153508233,,1768746153504374,478043,469953,,,416891,166190,13,640,640,yolov5n,WebpLossy,T2,Letterbox
40,81,RSU-0002,Local,1768746153230195,1768746153243723,1768746153248871,1768746153664830,,1768746153254869,1768746153664830,,1768746153659885,429690,421107,,,409961,165746,14,640,640,yolov5n,WebpLossy,T2,Letterbox
