sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Local,1769298063044274,1769298063051789,1769298063052870,1769298063777124,,1769298063108308,1769298063777123,,1769298063780275,736001,725335,,,,668815,953250,16,yolov5n,WebpLossy,T3,FHD
0,1,RSU-0002,Local,1769298063044275,1769298063052519,1769298063053748,1769298063778460,,1769298063105230,1769298063778460,,1769298063783274,738999,725941,,,,673230,953250,16,yolov5n,WebpLossy,T3,FHD
0,1,RSU-0001,Local,1769298063044275,1769298063047235,1769298063068533,1769298063868944,,1769298063117484,1769298063868943,,1769298063882072,837797,821709,,,,751459,953250,16,yolov5n,WebpLossy,T3,FHD
10,21,RSU-0002,Local,1769298063723817,1769298063731478,1769298063736992,1769298064394740,,1769298063778597,1769298064394739,,1769298064399711,675894,663262,,,,616142,518416,16,yolov5n,WebpLossy,T3,FHD
10,21,RSU-0000,Local,1769298063723804,1769298063732235,1769298063747880,1769298064441404,,1769298063777266,1769298064441403,,1769298064464709,740905,709169,,,,664137,518416,16,yolov5n,WebpLossy,T3,FHD
11,23,RSU-0001,Local,1769298063792633,1769298063796639,1769298063811842,1769298064643222,,1769298063869054,1769298064643221,,1769298064647388,854755,846583,,,,774167,518584,15,yolov5n,WebpLossy,T3,FHD
19,39,RSU-0002,Local,1769298064335149,1769298064340931,1769298064344239,1769298065007466,,1769298064394882,1769298065007466,,1769298065012291,677142,666535,,,,612584,518222,17,yolov5n,WebpLossy,T3,FHD
19,39,RSU-0000,Local,1769298064335132,1769298064343319,1769298064357039,1769298065098615,,1769298064441534,1769298065098614,,1769298065098407,763275,755296,,,,657080,518222,17,yolov5n,WebpLossy,T3,FHD
23,47,RSU-0001,Local,1769298064606800,1769298064613166,1769298064632890,1769298065407530,,1769298064643378,1769298065407529,,1769298065414445,807645,794364,,,,764151,521930,15,yolov5n,WebpLossy,T3,FHD
28,57,RSU-0002,Local,1769298064946635,1769298064952592,1769298064957434,1769298065611237,,1769298065007568,1769298065611236,,1769298065615954,669319,658645,,,,603668,520838,16,yolov5n,WebpLossy,T3,FHD
30,61,RSU-0000,Local,1769298065082565,1769298065091422,1769298065093081,1769298065756894,,1769298065098757,1769298065756893,,1769298065759966,677401,665472,,,,658136,526500,16,yolov5n,WebpLossy,T3,FHD
34,69,RSU-0001,Local,1769298065353975,1769298065357592,1769298065406855,1769298066177646,,1769298065407650,1769298066177645,,1769298066193964,839989,820054,,,,769995,525360,14,yolov5n,WebpLossy,T3,FHD
37,75,RSU-0002,Local,1769298065559631,1769298065564751,1769298065568077,1769298066221215,,1769298065611341,1769298066221214,,1769298066226086,666455,656464,,,,609873,525478,16,yolov5n,WebpLossy,T3,FHD
39,79,RSU-0000,Local,1769298065695055,1769298065702501,1769298065745523,1769298066414527,,1769298065757027,1769298066414526,,1769298066414580,719525,712026,,,,657499,529924,17,yolov5n,WebpLossy,T3,FHD
46,93,RSU-0002,Local,1769298066170102,1769298066175364,1769298066178549,1769298066826756,,1769298066221355,1769298066826755,,1769298066831204,661102,651392,,,,605400,531952,17,yolov5n,WebpLossy,T3,FHD
45,91,RSU-0001,Local,1769298066102335,1769298066108393,1769298066117349,1769298066946506,,1769298066177737,1769298066946505,,1769298066950528,848193,838113,,,,768768,532332,18,yolov5n,WebpLossy,T3,FHD
49,99,RSU-0000,Local,1769298066374003,1769298066384046,1769298066409123,1769298067073638,,1769298066414686,1769298067073637,,1769298067080421,706418,689592,,,,658951,532778,17,yolov5n,WebpLossy,T3,FHD
55,111,RSU-0002,Local,1769298066782443,1769298066789090,1769298066795243,1769298067436871,,1769298066826910,1769298067436870,,1769298067441732,659289,647781,,,,609960,537016,16,yolov5n,WebpLossy,T3,FHD
57,115,RSU-0001,Local,1769298066918054,1769298066923023,1769298066939952,1769298067714262,,1769298066946649,1769298067714261,,1769298067721353,803299,791239,,,,767612,536170,16,yolov5n,WebpLossy,T3,FHD
58,117,RSU-0000,Local,1769298066985680,1769298066993548,1769298067042676,1769298067736408,,1769298067073768,1769298067736407,,1769298067739649,753969,742860,,,,662639,537842,18,yolov5n,WebpLossy,T3,FHD
64,129,RSU-0002,Local,1769298067393374,1769298067400658,1769298067406317,1769298068042610,,1769298067437013,1769298068042609,,1769298068044738,651364,641952,,,,605596,534846,18,yolov5n,WebpLossy,T3,FHD
68,137,RSU-0000,Local,1769298067666456,1769298067673183,1769298067687406,1769298068395239,,1769298067736547,1769298068395239,,1769298068411123,744667,722056,,,,658692,537666,19,yolov5n,WebpLossy,T3,FHD
68,137,RSU-0001,Local,1769298067666470,1769298067670824,1769298067692693,1769298068478552,,1769298067714415,1769298068478551,,1769298068485522,819052,807728,,,,764136,537666,19,yolov5n,WebpLossy,T3,FHD
73,147,RSU-0002,Local,1769298068005529,1769298068017095,1769298068024071,1769298068653056,,1769298068042711,1769298068653055,,1769298068658040,652511,635961,,,,610344,540534,19,yolov5n,WebpLossy,T3,FHD
77,155,RSU-0000,Local,1769298068277386,1769298068286945,1769298068305304,1769298069056807,,1769298068395385,1769298069056806,,1769298069057494,780108,769862,,,,661421,537768,19,yolov5n,WebpLossy,T3,FHD
79,159,RSU-0001,Local,1769298068413491,1769298068418654,1769298068434672,1769298069246177,,1769298068478708,1769298069246176,,1769298069256553,843062,827523,,,,767468,538400,17,yolov5n,WebpLossy,T3,FHD
82,165,RSU-0002,Local,1769298068617509,1769298068624030,1769298068631008,1769298069256408,,1769298068653198,1769298069256407,,1769298069258338,640829,632378,,,,603209,536012,17,yolov5n,WebpLossy,T3,FHD
88,177,RSU-0000,Local,1769298069024905,1769298069032292,1769298069048922,1769298069716952,,1769298069056948,1769298069716951,,1769298069759657,734752,684660,,,,660003,531686,17,yolov5n,WebpLossy,T3,FHD
91,183,RSU-0002,Local,1769298069229628,1769298069237151,1769298069242995,1769298069865921,,1769298069256547,1769298069865921,,1769298069867936,638308,628770,,,,609374,530854,18,yolov5n,WebpLossy,T3,FHD
90,181,RSU-0001,Local,1769298069161144,1769298069165876,1769298069180270,1769298070009877,,1769298069246315,1769298070009876,,1769298070013804,852660,844001,,,,763561,532682,17,yolov5n,WebpLossy,T3,FHD
97,195,RSU-0000,Local,1769298069638647,1769298069646789,1769298069701013,1769298070379569,,1769298069717072,1769298070379568,,1769298070382923,744276,732780,,,,662496,533888,16,yolov5n,WebpLossy,T3,FHD
100,201,RSU-0002,Local,1769298069841694,1769298069848795,1769298069855781,1769298070470287,,1769298069866058,1769298070470286,,1769298070472531,630837,621492,,,,604228,531876,14,yolov5n,WebpLossy,T3,FHD
102,205,RSU-0001,Local,1769298069977147,1769298069982287,1769298070002102,1769298070777255,,1769298070009981,1769298070777255,,1769298070784298,807151,794968,,,,767274,535282,15,yolov5n,WebpLossy,T3,FHD
107,215,RSU-0000,Local,1769298070317647,1769298070325200,1769298070344031,1769298071040280,,1769298070379739,1769298071040279,,1769298071065341,747694,715080,,,,660540,535290,16,yolov5n,WebpLossy,T3,FHD
109,219,RSU-0002,Local,1769298070452740,1769298070459987,1769298070465807,1769298071078165,,1769298070470429,1769298071078164,,1769298071079965,627225,618178,,,,607735,534742,16,yolov5n,WebpLossy,T3,FHD
113,227,RSU-0001,Local,1769298070725136,1769298070727635,1769298070743149,1769298071542615,,1769298070777375,1769298071542615,,1769298071547753,822617,814980,,,,765240,536382,15,yolov5n,WebpLossy,T3,FHD
118,237,RSU-0002,Local,1769298071065123,1769298071071032,1769298071076270,1769298071688983,,1769298071078317,1769298071688982,,1769298071691990,626867,617951,,,,610665,535920,17,yolov5n,WebpLossy,T3,FHD
116,233,RSU-0000,Local,1769298070929106,1769298070934793,1769298070988152,1769298071703497,,1769298071040423,1769298071703496,,1769298071719946,790840,768704,,,,663073,535484,17,yolov5n,WebpLossy,T3,FHD
126,253,RSU-0002,Local,1769298071609307,1769298071621649,1769298071624881,1769298072294742,,1769298071689132,1769298072294742,,1769298072297022,687715,673093,,,,605610,537832,17,yolov5n,WebpLossy,T3,FHD
124,249,RSU-0001,Local,1769298071473440,1769298071476578,1769298071490542,1769298072306709,,1769298071542788,1769298072306709,,1769298072347385,873945,830131,,,,763921,533672,18,yolov5n,WebpLossy,T3,FHD
126,253,RSU-0000,Local,1769298071609289,1769298071615416,1769298071675105,1769298072361362,,1769298071703628,1769298072361361,,1769298072363206,753917,745946,,,,657733,537832,17,yolov5n,WebpLossy,T3,FHD
135,271,RSU-0002,Local,1769298072221155,1769298072228025,1769298072228822,1769298072906764,,1769298072294858,1769298072906763,,1769298072909888,688733,678739,,,,611905,539206,17,yolov5n,WebpLossy,T3,FHD
136,273,RSU-0000,Local,1769298072288847,1769298072296517,1769298072310669,1769298073021160,,1769298072361517,1769298073021159,,1769298073024201,735354,724643,,,,659642,534220,16,yolov5n,WebpLossy,T3,FHD
135,271,RSU-0001,Local,1769298072221153,1769298072223673,1769298072224440,1769298073073303,,1769298072306843,1769298073073302,,1769298073077185,856032,849630,,,,766459,539206,17,yolov5n,WebpLossy,T3,FHD
144,289,RSU-0002,Local,1769298072832868,1769298072839582,1769298072843045,1769298073513549,,1769298072906910,1769298073513548,,1769298073518568,685700,673967,,,,606638,532702,17,yolov5n,WebpLossy,T3,FHD
146,293,RSU-0000,Local,1769298072969365,1769298072976504,1769298072992364,1769298073677543,,1769298073021313,1769298073677543,,1769298073721273,751908,701039,,,,656230,533662,17,yolov5n,WebpLossy,T3,FHD
147,295,RSU-0001,Local,1769298073037570,1769298073041350,1769298073059205,1769298073838989,,1769298073073420,1769298073838989,,1769298073845780,808210,797639,,,,765569,533038,16,yolov5n,WebpLossy,T3,FHD
153,307,RSU-0002,Local,1769298073446332,1769298073457300,1769298073462002,1769298074124385,,1769298073513680,1769298074124384,,1769298074129816,683484,667085,,,,610704,526734,15,yolov5n,WebpLossy,T3,FHD
155,311,RSU-0000,Local,1769298073582117,1769298073589770,1769298073608981,1769298074336433,,1769298073677634,1769298074336431,,1769298074394297,812180,746663,,,,658797,527420,16,yolov5n,WebpLossy,T3,FHD
158,317,RSU-0001,Local,1769298073785894,1769298073789417,1769298073838627,1769298074607475,,1769298073839112,1769298074607474,,1769298074625377,839483,818058,,,,768362,529050,16,yolov5n,WebpLossy,T3,FHD
