sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Local,1769310374565511,1769310374574393,1769310374574945,1769310376014129,,1769310374671003,1769310376014128,,1769310376014551,1449040,1439736,,,,1343125,84671,17,yolov5s,JpgLossy,T1,HD
0,1,RSU-0002,Local,1769310374565512,1769310374571008,1769310374571579,1769310376071846,,1769310374668315,1769310376071845,,1769310376078621,1513109,1500838,,,,1403530,84671,17,yolov5s,JpgLossy,T1,HD
1,4,RSU-0001,Local,1769310374667368,1769310374669557,1769310374676624,1769310376246704,,1769310374708549,1769310376246703,,1769310376255896,1588528,1577147,,,,1538154,86651,18,yolov5s,JpgLossy,T1,HD
14,43,RSU-0000,Local,1769310375984481,1769310375992147,1769310375992451,1769310377332320,,1769310376014281,1769310377332319,,1769310377332768,1348287,1340173,,,,1318038,76419,20,yolov5s,JpgLossy,T1,HD
14,43,RSU-0002,Local,1769310375984500,1769310375986528,1769310375986782,1769310377561741,,1769310376071980,1769310377561740,,1769310377568857,1584357,1575213,,,,1489760,76419,20,yolov5s,JpgLossy,T1,HD
16,49,RSU-0001,Local,1769310376187493,1769310376190331,1769310376193119,1769310377886959,,1769310376246850,1769310377886958,,1769310377895586,1708093,1696628,,,,1640108,76475,19,yolov5s,JpgLossy,T1,HD
27,82,RSU-0000,Local,1769310377303593,1769310377314539,1769310377318200,1769310378635295,,1769310377332456,1769310378635294,,1769310378635721,1332128,1320756,,,,1302838,77305,19,yolov5s,JpgLossy,T1,HD
29,88,RSU-0002,Local,1769310377505773,1769310377509609,1769310377512416,1769310379052807,,1769310377561894,1769310379052806,,1769310379057957,1552184,1543198,,,,1490912,77624,19,yolov5s,JpgLossy,T1,HD
32,97,RSU-0001,Local,1769310377809360,1769310377810960,1769310377812103,1769310379513722,,1769310377887106,1769310379513721,,1769310379522509,1713149,1702762,,,,1626615,77452,21,yolov5s,JpgLossy,T1,HD
40,121,RSU-0000,Local,1769310378618882,1769310378629451,1769310378630197,1769310379945319,,1769310378635430,1769310379945318,,1769310379949287,1330405,1315868,,,,1309888,77668,20,yolov5s,JpgLossy,T1,HD
44,133,RSU-0002,Local,1769310379024445,1769310379029170,1769310379030171,1769310380529970,,1769310379052965,1769310380529969,,1769310380537019,1512574,1500800,,,,1477004,77779,20,yolov5s,JpgLossy,T1,HD
48,145,RSU-0001,Local,1769310379430491,1769310379431573,1769310379431829,1769310381140955,,1769310379513870,1769310381140954,,1769310381149718,1719227,1709382,,,,1627084,77857,21,yolov5s,JpgLossy,T1,HD
52,157,RSU-0000,Local,1769310379836497,1769310379844145,1769310379844378,1769310381240199,,1769310379945635,1769310381240198,,1769310381243937,1407440,1396054,,,,1294563,77540,22,yolov5s,JpgLossy,T1,HD
58,175,RSU-0002,Local,1769310380444981,1769310380449714,1769310380449984,1769310382014047,,1769310380530124,1769310382014046,,1769310382021316,1576335,1564333,,,,1483922,77041,21,yolov5s,JpgLossy,T1,HD
65,196,RSU-0000,Local,1769310381152875,1769310381159998,1769310381163067,1769310382541453,,1769310381240341,1769310382541452,,1769310382545155,1392280,1381455,,,,1301111,77180,19,yolov5s,JpgLossy,T1,HD
64,193,RSU-0001,Local,1769310381051557,1769310381052573,1769310381052834,1769310382764223,,1769310381141108,1769310382764223,,1769310382773097,1721540,1711650,,,,1623115,77164,19,yolov5s,JpgLossy,T1,HD
73,220,RSU-0002,Local,1769310381963621,1769310381967097,1769310381970031,1769310383488735,,1769310382014191,1769310383488734,,1769310383494414,1530793,1521638,,,,1474543,77048,19,yolov5s,JpgLossy,T1,HD
78,235,RSU-0000,Local,1769310382471152,1769310382479973,1769310382480743,1769310383841450,,1769310382541564,1769310383841449,,1769310383845317,1374165,1361477,,,,1299885,77423,20,yolov5s,JpgLossy,T1,HD
80,241,RSU-0001,Local,1769310382674463,1769310382675550,1769310382675809,1769310384389745,,1769310382764367,1769310384389744,,1769310384399075,1724612,1714195,,,,1625377,77337,18,yolov5s,JpgLossy,T1,HD
87,262,RSU-0002,Local,1769310383384067,1769310383389854,1769310383393031,1769310384971591,,1769310383488875,1769310384971590,,1769310384977861,1593794,1581737,,,,1482715,78069,18,yolov5s,JpgLossy,T1,HD
91,274,RSU-0000,Local,1769310383789263,1769310383796728,1769310383799542,1769310385140334,,1769310383841591,1769310385140333,,1769310385140898,1351635,1343606,,,,1298742,77446,19,yolov5s,JpgLossy,T1,HD
96,289,RSU-0001,Local,1769310384294436,1769310384296274,1769310384296491,1769310386021054,,1769310384389893,1769310386021053,,1769310386027370,1732934,1724780,,,,1631160,76915,19,yolov5s,JpgLossy,T1,HD
104,313,RSU-0000,Local,1769310385104307,1769310385112095,1769310385112718,1769310386439214,,1769310385140477,1769310386439213,,1769310386440105,1335798,1327119,,,,1298736,76442,19,yolov5s,JpgLossy,T1,HD
102,307,RSU-0002,Local,1769310384901007,1769310384906051,1769310384906700,1769310386450277,,1769310384971743,1769310386450276,,1769310386454488,1553481,1544226,,,,1478533,76523,17,yolov5s,JpgLossy,T1,HD
