sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0000,Local,1768638092340730,1768638092348230,1768638092348403,1768638093388839,,1768638092416382,1768638093388839,,1768638093396500,1055770,1040609,,,972457,28714,16,640,640,yolov5s,JpgLossy,T1,Letterbox
0,1,RSU-0002,Local,1768638092340730,1768638092342640,1768638092343019,1768638093386154,,1768638092373958,1768638093386153,,1768638093399392,1058662,1043514,,,1012195,28714,16,640,640,yolov5s,JpgLossy,T1,Letterbox
1,4,RSU-0001,Local,1768638092441370,1768638092446866,1768638092449826,1768638093461673,,1768638092471223,1768638093461672,,1768638093469100,1027730,1014807,,,990449,28947,17,640,640,yolov5s,JpgLossy,T1,Letterbox
10,31,RSU-0000,Local,1768638093353630,1768638093355846,1768638093356138,1768638094336505,,1768638093388971,1768638094336503,,1768638094341160,987530,980659,,,947532,27529,16,640,640,yolov5s,JpgLossy,T1,Letterbox
10,31,RSU-0002,Local,1768638093353630,1768638093350554,1768638093351374,1768638094382742,,1768638093386314,1768638094382741,,1768638094392106,1038476,1032188,,,996427,27529,16,640,640,yolov5s,JpgLossy,T1,Letterbox
11,34,RSU-0001,Local,1768638093454781,1768638093460225,1768638093460622,1768638094461331,,1768638093462179,1768638094461329,,1768638094466648,1011867,1001106,,,999150,27490,19,640,640,yolov5s,JpgLossy,T1,Letterbox
19,58,RSU-0000,Local,1768638094264180,1768638094266276,1768638094267999,1768638095272721,,1768638094336657,1768638095272720,,1768638095275112,1010932,1006445,,,936063,27785,16,640,640,yolov5s,JpgLossy,T1,Letterbox
20,61,RSU-0002,Local,1768638094365799,1768638094364767,1768638094364964,1768638095367051,,1768638094382913,1768638095367051,,1768638095379321,1013522,1002284,,,984138,27784,16,640,640,yolov5s,JpgLossy,T1,Letterbox
20,61,RSU-0001,Local,1768638094365799,1768638094370907,1768638094371170,1768638095446552,,1768638094461913,1768638095446551,,1768638095451969,1086170,1075645,,,984638,27784,16,640,640,yolov5s,JpgLossy,T1,Letterbox
28,85,RSU-0000,Local,1768638095176605,1768638095183808,1768638095184031,1768638096207265,,1768638095272872,1768638096207265,,1768638096209367,1032762,1023457,,,934393,27969,18,640,640,yolov5s,JpgLossy,T1,Letterbox
29,88,RSU-0002,Local,1768638095277458,1768638095273188,1768638095274972,1768638096350129,,1768638095367472,1768638096350128,,1768638096362367,1084909,1076941,,,982656,27998,16,640,640,yolov5s,JpgLossy,T1,Letterbox
30,91,RSU-0001,Local,1768638095379187,1768638095386299,1768638095386630,1768638096430151,,1768638095447132,1768638096430150,,1768638096432496,1053309,1043852,,,983018,28009,17,640,640,yolov5s,JpgLossy,T1,Letterbox
38,115,RSU-0000,Local,1768638096190858,1768638096200094,1768638096200697,1768638097142689,,1768638096207422,1768638097142688,,1768638097147919,957061,942595,,,935266,28135,20,640,640,yolov5s,JpgLossy,T1,Letterbox
