sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0002,Local,1768747607768522,1768747607785032,1768747607785201,1768747608759438,,1768747607785249,1768747608759437,,1768747608758693,990171,974406,,,974188,28714,16,640,640,yolov5s,JpgLossy,T1,Letterbox
0,1,RSU-0000,Local,1768747607768522,1768747607782845,1768747607783036,1768747608863092,,1768747607922640,1768747608863091,,1768747608866265,1097743,1080247,,,940451,28714,16,640,640,yolov5s,JpgLossy,T1,Letterbox
0,1,RSU-0001,Local,1768747607768522,1768747607789982,1768747607790392,1768747608902981,,1768747607889940,1768747608902981,,1768747608903342,1134820,1112999,,,1013041,28714,16,640,640,yolov5s,JpgLossy,T1,Letterbox
1,31,RSU-0002,Local,1768747608770079,1768747608777323,1768747608777486,1768747609711665,,1768747608777534,1768747609711664,,1768747609710948,940869,934342,,,934130,27529,16,640,640,yolov5s,JpgLossy,T1,Letterbox
1,31,RSU-0000,Local,1768747608770079,1768747608783119,1768747608783304,1768747609833285,,1768747608863583,1768747609833285,,1768747609832031,1061952,1050166,,,969702,27529,16,640,640,yolov5s,JpgLossy,T1,Letterbox
1,31,RSU-0001,Local,1768747608770079,1768747608785935,1768747608786128,1768747609934899,,1768747608903126,1768747609934898,,1768747609931024,1160945,1148964,,,1031772,27529,16,640,640,yolov5s,JpgLossy,T1,Letterbox
2,61,RSU-0002,Local,1768747609771555,1768747609780626,1768747609780762,1768747610725488,,1768747609780827,1768747610725487,,1768747610724107,952552,944862,,,944660,27784,16,640,640,yolov5s,JpgLossy,T1,Letterbox
2,61,RSU-0000,Local,1768747609771555,1768747609782563,1768747609782754,1768747610792923,,1768747609833826,1768747610792922,,1768747610788779,1017224,1010360,,,959096,27784,16,640,640,yolov5s,JpgLossy,T1,Letterbox
2,61,RSU-0001,Local,1768747609771555,1768747609785160,1768747609785521,1768747610958342,,1768747609935419,1768747610958341,,1768747610958648,1187093,1173182,,,1022922,27784,16,640,640,yolov5s,JpgLossy,T1,Letterbox
3,91,RSU-0002,Local,1768747610772970,1768747610784724,1768747610784883,1768747611709400,,1768747610784947,1768747611709399,,1768747611708430,935460,924676,,,924452,28009,17,640,640,yolov5s,JpgLossy,T1,Letterbox
3,91,RSU-0000,Local,1768747610772970,1768747610786815,1768747610787104,1768747611754188,,1768747610793605,1768747611754187,,1768747611753144,980174,967373,,,960582,28009,17,640,640,yolov5s,JpgLossy,T1,Letterbox
3,91,RSU-0001,Local,1768747610772970,1768747610786175,1768747610786358,1768747611983441,,1768747610958841,1768747611983440,,1768747611980659,1207689,1197266,,,1024599,28009,17,640,640,yolov5s,JpgLossy,T1,Letterbox
4,121,RSU-0002,Local,1768747611774372,1768747611785672,1768747611785822,1768747612708863,,1768747611785888,1768747612708862,,1768747612707822,933450,923191,,,922974,28063,19,640,640,yolov5s,JpgLossy,T1,Letterbox
4,121,RSU-0000,Local,1768747611774372,1768747611783463,1768747611783608,1768747612756756,,1768747611783647,1768747612756756,,1768747612755886,981514,973293,,,973109,28063,19,640,640,yolov5s,JpgLossy,T1,Letterbox
4,121,RSU-0001,Local,1768747611774372,1768747611787749,1768747611787950,1768747613006367,,1768747611983972,1768747613006366,,1768747613003322,1228950,1218618,,,1022394,28063,19,640,640,yolov5s,JpgLossy,T1,Letterbox
5,151,RSU-0002,Local,1768747612776274,1768747612786889,1768747612787050,1768747613711807,,1768747612787104,1768747613711806,,1768747613712145,935871,924918,,,924702,28072,18,640,640,yolov5s,JpgLossy,T1,Letterbox
5,151,RSU-0000,Local,1768747612776274,1768747612785878,1768747612786013,1768747613744238,,1768747612786059,1768747613744237,,1768747613742433,966159,958360,,,958178,28072,18,640,640,yolov5s,JpgLossy,T1,Letterbox
5,151,RSU-0001,Local,1768747612776274,1768747612791168,1768747612791792,1768747614034182,,1768747613006885,1768747614034181,,1768747614031121,1254847,1243014,,,1027296,28072,18,640,640,yolov5s,JpgLossy,T1,Letterbox
6,181,RSU-0002,Local,1768747613778189,1768747613788381,1768747613788541,1768747614710938,,1768747613788582,1768747614710937,,1768747614710311,932122,922557,,,922355,27944,19,640,640,yolov5s,JpgLossy,T1,Letterbox
6,181,RSU-0000,Local,1768747613778189,1768747613790417,1768747613790550,1768747614763781,,1768747613790585,1768747614763781,,1768747614762875,984686,973364,,,973196,27944,19,640,640,yolov5s,JpgLossy,T1,Letterbox
6,181,RSU-0001,Local,1768747613778189,1768747613791866,1768747613792147,1768747615060109,,1768747614034906,1768747615060108,,1768747615057789,1279600,1268243,,,1025202,27944,19,640,640,yolov5s,JpgLossy,T1,Letterbox
7,211,RSU-0002,Local,1768747614779347,1768747614791916,1768747614792073,1768747615718457,,1768747614792127,1768747615718457,,1768747615717507,938160,926541,,,926330,28029,22,640,640,yolov5s,JpgLossy,T1,Letterbox
7,211,RSU-0000,Local,1768747614779347,1768747614788157,1768747614788298,1768747615745262,,1768747614788340,1768747615745261,,1768747615744240,964893,957105,,,956921,28029,22,640,640,yolov5s,JpgLossy,T1,Letterbox
7,211,RSU-0001,Local,1768747614779347,1768747614792493,1768747614792700,1768747616091719,,1768747615060826,1768747616091718,,1768747616089300,1309953,1299226,,,1030892,28029,22,640,640,yolov5s,JpgLossy,T1,Letterbox
8,241,RSU-0002,Local,1768747615780899,1768747615792141,1768747615792326,1768747616717582,,1768747615792388,1768747616717581,,1768747616718963,938064,925441,,,925193,27949,19,640,640,yolov5s,JpgLossy,T1,Letterbox
8,241,RSU-0000,Local,1768747615780899,1768747615793597,1768747615793729,1768747616755032,,1768747615793786,1768747616755031,,1768747616992664,1211765,961435,,,961245,27949,19,640,640,yolov5s,JpgLossy,T1,Letterbox
8,241,RSU-0001,Local,1768747615780899,1768747615794564,1768747615794803,1768747617116473,,1768747616092423,1768747617116472,,1768747617113702,1332803,1321909,,,1024049,27949,19,640,640,yolov5s,JpgLossy,T1,Letterbox
