sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0002,Local,1768632095482556,1768632095487468,1768632095487687,1768632096577146,,1768632095506163,1768632096577145,,1768632096587376,1104820,1089678,,,1070982,84671,17,1280,720,yolov5s,JpgLossy,T2,HD
0,1,RSU-0000,Local,1768632095482556,1768632095488750,1768632095489098,1768632096623357,,1768632095579460,1768632096623356,,1768632096630528,1147972,1134607,,,1043896,84671,17,1280,720,yolov5s,JpgLossy,T2,HD
0,1,RSU-0001,Local,1768632095482556,1768632095493981,1768632095494851,1768632096699260,,1768632095645370,1768632096699259,,1768632096705307,1222751,1205279,,,1053889,84671,17,1280,720,yolov5s,JpgLossy,T2,HD
1,31,RSU-0000,Local,1768632096483877,1768632096491593,1768632096491916,1768632097625148,,1768632096623922,1768632097625147,,1768632097632015,1148138,1133555,,,1001225,76181,18,1280,720,yolov5s,JpgLossy,T2,HD
1,31,RSU-0002,Local,1768632096483877,1768632096491486,1768632096491740,1768632097636280,,1768632096577704,1768632097636279,,1768632097645612,1161735,1144794,,,1058575,76181,18,1280,720,yolov5s,JpgLossy,T2,HD
1,31,RSU-0001,Local,1768632096483877,1768632096499191,1768632096499704,1768632097756374,,1768632096699757,1768632097756374,,1768632097759393,1275516,1257183,,,1056617,76181,18,1280,720,yolov5s,JpgLossy,T2,HD
2,61,RSU-0000,Local,1768632097484889,1768632097495587,1768632097495868,1768632098619905,,1768632097625848,1768632098619904,,1768632098627329,1142440,1124318,,,994056,76981,20,1280,720,yolov5s,JpgLossy,T2,HD
2,61,RSU-0002,Local,1768632097484889,1768632097486229,1768632097486489,1768632098681941,,1768632097636850,1768632098681940,,1768632098692529,1207640,1195712,,,1045090,76981,20,1280,720,yolov5s,JpgLossy,T2,HD
2,61,RSU-0001,Local,1768632097484889,1768632097493022,1768632097493918,1768632098805480,,1768632097756934,1768632098805480,,1768632098808396,1323507,1312458,,,1048546,76981,20,1280,720,yolov5s,JpgLossy,T2,HD
3,91,RSU-0000,Local,1768632098486075,1768632098495558,1768632098495854,1768632099609461,,1768632098620218,1768632099609460,,1768632099613283,1127208,1113903,,,989242,77644,20,1280,720,yolov5s,JpgLossy,T2,HD
