sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Local,1769306561967838,1769306561974369,1769306561974837,1769306563376628,,1769306562068546,1769306563376627,,1769306563380421,1412583,1402259,,,,1308081,28714,16,yolov5s,JpgLossy,T2,Letterbox
0,1,RSU-0002,Local,1769306561967838,1769306561975556,1769306561975952,1769306563373638,,1769306562078082,1769306563373638,,1769306563382105,1414267,1398082,,,,1295556,28714,16,yolov5s,JpgLossy,T2,Letterbox
0,1,RSU-0001,Local,1769306561967838,1769306561973693,1769306561974052,1769306563494444,,1769306562067179,1769306563494443,,1769306563502698,1534860,1520751,,,,1427264,28714,16,yolov5s,JpgLossy,T2,Letterbox
6,37,RSU-0002,Local,1769306563178564,1769306563186245,1769306563188890,1769306564631190,,1769306563373781,1769306564631189,,1769306564635769,1457205,1444945,,,,1257408,27469,15,yolov5s,JpgLossy,T2,Letterbox
6,37,RSU-0000,Local,1769306563178549,1769306563184968,1769306563186533,1769306564733405,,1769306563376781,1769306564733405,,1769306564737752,1559203,1548437,,,,1356624,27469,15,yolov5s,JpgLossy,T2,Letterbox
7,43,RSU-0001,Local,1769306563380427,1769306563384223,1769306563387536,1769306564904475,,1769306563494602,1769306564904475,,1769306564910960,1530533,1520252,,,,1409873,27662,18,yolov5s,JpgLossy,T2,Letterbox
13,79,RSU-0002,Local,1769306564589469,1769306564597271,1769306564600780,1769306565868233,,1769306564631291,1769306565868232,,1769306565872164,1282695,1270962,,,,1236941,27943,17,yolov5s,JpgLossy,T2,Letterbox
13,79,RSU-0000,Local,1769306564589454,1769306564596408,1769306564600252,1769306566077092,,1769306564733551,1769306566077091,,1769306566080991,1491537,1480684,,,,1343540,27943,17,yolov5s,JpgLossy,T2,Letterbox
14,85,RSU-0001,Local,1769306564791251,1769306564795153,1769306564796813,1769306566304749,,1769306564904628,1769306566304748,,1769306566311474,1520223,1509596,,,,1400120,27969,18,yolov5s,JpgLossy,T2,Letterbox
19,115,RSU-0002,Local,1769306565797242,1769306565804195,1769306565807233,1769306567107474,,1769306565868373,1769306567107473,,1769306567111146,1313904,1303279,,,,1239100,28135,20,yolov5s,JpgLossy,T2,Letterbox
20,121,RSU-0000,Local,1769306565997817,1769306566004769,1769306566004967,1769306567418652,,1769306566077193,1769306567418651,,1769306567419314,1421497,1413883,,,,1341458,28063,19,yolov5s,JpgLossy,T2,Letterbox
21,127,RSU-0001,Local,1769306566199747,1769306566203804,1769306566205508,1769306567702222,,1769306566304912,1769306567702221,,1769306567708589,1508842,1498418,,,,1397309,28055,18,yolov5s,JpgLossy,T2,Letterbox
25,151,RSU-0002,Local,1769306567003761,1769306567007259,1769306567007441,1769306568349485,,1769306567107577,1769306568349484,,1769306568353736,1349975,1342226,,,,1241907,28072,18,yolov5s,JpgLossy,T2,Letterbox
27,163,RSU-0000,Local,1769306567407242,1769306567415211,1769306567417770,1769306568759597,,1769306567418789,1769306568759596,,1769306568763695,1356453,1344386,,,,1340807,27939,20,yolov5s,JpgLossy,T2,Letterbox
28,169,RSU-0001,Local,1769306567608359,1769306567613007,1769306567614678,1769306569098865,,1769306567702386,1769306569098864,,1769306569105273,1496914,1485858,,,,1396478,27836,18,yolov5s,JpgLossy,T2,Letterbox
31,187,RSU-0002,Local,1769306568213314,1769306568220383,1769306568223074,1769306569587178,,1769306568349643,1769306569587177,,1769306569592058,1378744,1366795,,,,1237534,27981,18,yolov5s,JpgLossy,T2,Letterbox
33,199,RSU-0000,Local,1769306568616351,1769306568622298,1769306568624064,1769306570101617,,1769306568759767,1769306570101617,,1769306570105669,1489318,1479319,,,,1341850,27991,19,yolov5s,JpgLossy,T2,Letterbox
35,211,RSU-0001,Local,1769306569018935,1769306569022870,1769306569023049,1769306570494916,,1769306569099015,1769306570494915,,1769306570501404,1482469,1472046,,,,1395900,28029,22,yolov5s,JpgLossy,T2,Letterbox
