sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
1,3,RSU-0000,Local,1769316491524040,1769316491527331,1769316491537685,1769316492932533,,1769316491547190,1769316492932532,,1769316492937864,1413824,1405202,,,,1385342,129012,17,yolov5s,JpgLossy,T3,FHD
1,3,RSU-0002,Local,1769316491524057,1769316491529362,1769316491532659,1769316492981993,,1769316491571108,1769316492981992,,1769316492983462,1459405,1452631,,,,1410884,129012,17,yolov5s,JpgLossy,T3,FHD
0,1,RSU-0001,Local,1769316491456130,1769316491459715,1769316491460084,1769316493024286,,1769316491507974,1769316493024285,,1769316493030908,1574778,1564571,,,,1516311,117204,18,yolov5s,JpgLossy,T3,FHD
21,43,RSU-0000,Local,1769316492883579,1769316492889003,1769316492896182,1769316494267660,,1769316492932674,1769316494267660,,1769316494270308,1386729,1378657,,,,1334986,60782,20,yolov5s,JpgLossy,T3,FHD
22,45,RSU-0002,Local,1769316492951247,1769316492957315,1769316492958934,1769316494429148,,1769316492982130,1769316494429147,,1769316494433945,1482698,1471833,,,,1447017,60953,20,yolov5s,JpgLossy,T3,FHD
23,47,RSU-0001,Local,1769316493018629,1769316493020929,1769316493024083,1769316494559294,,1769316493024490,1769316494559293,,1769316494569080,1550451,1538365,,,,1534803,60910,20,yolov5s,JpgLossy,T3,FHD
41,83,RSU-0000,Local,1769316494243957,1769316494250086,1769316494255379,1769316495588459,,1769316494267821,1769316495588458,,1769316495594093,1350136,1338373,,,,1320637,61306,19,yolov5s,JpgLossy,T3,FHD
43,87,RSU-0002,Local,1769316494381340,1769316494386471,1769316494387420,1769316495864776,,1769316494429282,1769316495864775,,1769316495869499,1488159,1478305,,,,1435493,61513,20,yolov5s,JpgLossy,T3,FHD
45,91,RSU-0001,Local,1769316494517155,1769316494519198,1769316494519851,1769316496083903,,1769316494559440,1769316496083902,,1769316496091233,1574078,1564705,,,,1524462,61707,18,yolov5s,JpgLossy,T3,FHD
60,121,RSU-0000,Local,1769316495539456,1769316495543566,1769316495543879,1769316496910458,,1769316495588598,1769316496910457,,1769316496913007,1373551,1366892,,,,1321859,61850,20,yolov5s,JpgLossy,T3,FHD
64,129,RSU-0002,Local,1769316495810787,1769316495816357,1769316495817488,1769316497300121,,1769316495864899,1769316497300120,,1769316497304660,1493873,1483764,,,,1435221,61628,21,yolov5s,JpgLossy,T3,FHD
