sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0002,Local,1768632252574858,1768632252579339,1768632252579616,1768632253692757,,1768632252596677,1768632253692757,,1768632253701948,1127090,1113418,,,1096080,117204,18,1920,1080,yolov5s,JpgLossy,T3,FHD
0,1,RSU-0000,Local,1768632252574858,1768632252579875,1768632252580235,1768632253724710,,1768632252666972,1768632253724709,,1768632253734433,1159575,1144835,,,1057737,117204,18,1920,1080,yolov5s,JpgLossy,T3,FHD
0,1,RSU-0001,Local,1768632252574858,1768632252588011,1768632252588420,1768632253792940,,1768632252724288,1768632253792940,,1768632253796186,1221328,1204929,,,1068652,117204,18,1920,1080,yolov5s,JpgLossy,T3,FHD
1,31,RSU-0000,Local,1768632253575632,1768632253582221,1768632253582471,1768632254729109,,1768632253724932,1768632254729108,,1768632254734299,1158667,1146888,,,1004176,60376,18,1920,1080,yolov5s,JpgLossy,T3,FHD
1,31,RSU-0002,Local,1768632253575632,1768632253583385,1768632253583621,1768632254783390,,1768632253693602,1768632254783389,,1768632254792339,1216707,1200005,,,1089787,60376,18,1920,1080,yolov5s,JpgLossy,T3,FHD
1,31,RSU-0001,Local,1768632253575632,1768632253588280,1768632253589311,1768632254912281,,1768632253793496,1768632254912280,,1768632254915408,1339776,1324001,,,1118784,60376,18,1920,1080,yolov5s,JpgLossy,T3,FHD
2,61,RSU-0000,Local,1768632254577269,1768632254583812,1768632254584128,1768632255729591,,1768632254729258,1768632255729591,,1768632255732877,1155608,1145779,,,1000333,61153,20,1920,1080,yolov5s,JpgLossy,T3,FHD
2,61,RSU-0002,Local,1768632254577269,1768632254578816,1768632254579199,1768632255864945,,1768632254784201,1768632255864944,,1768632255874468,1297199,1286129,,,1080743,61153,20,1920,1080,yolov5s,JpgLossy,T3,FHD
2,61,RSU-0001,Local,1768632254577269,1768632254590730,1768632254591175,1768632256023980,,1768632254912777,1768632256023979,,1768632256026587,1449318,1433250,,,1111202,61153,20,1920,1080,yolov5s,JpgLossy,T3,FHD
3,91,RSU-0000,Local,1768632255578785,1768632255587628,1768632255587914,1768632256730330,,1768632255729743,1768632256730329,,1768632256736840,1158055,1142702,,,1000586,61707,18,1920,1080,yolov5s,JpgLossy,T3,FHD
3,91,RSU-0002,Local,1768632255578785,1768632255582505,1768632255582771,1768632256947500,,1768632255865719,1768632256947499,,1768632256956592,1377807,1364995,,,1081780,61707,18,1920,1080,yolov5s,JpgLossy,T3,FHD
3,91,RSU-0001,Local,1768632255578785,1768632255586350,1768632255586740,1768632257133924,,1768632256024713,1768632257133923,,1768632257137320,1558535,1547574,,,1109210,61707,18,1920,1080,yolov5s,JpgLossy,T3,FHD
4,121,RSU-0000,Local,1768632256579682,1768632256583920,1768632256584155,1768632257732830,,1768632256730488,1768632257732830,,1768632257741148,1161466,1148910,,,1002342,61850,20,1920,1080,yolov5s,JpgLossy,T3,FHD
4,121,RSU-0002,Local,1768632256579682,1768632256583044,1768632256583450,1768632258029192,,1768632256948264,1768632258029191,,1768632258038485,1458803,1446148,,,1080927,61850,20,1920,1080,yolov5s,JpgLossy,T3,FHD
4,121,RSU-0001,Local,1768632256579682,1768632256590875,1768632256591275,1768632258240208,,1768632257134455,1768632258240207,,1768632258242556,1662874,1649333,,,1105752,61850,20,1920,1080,yolov5s,JpgLossy,T3,FHD
5,151,RSU-0000,Local,1768632257580677,1768632257587015,1768632257587254,1768632258735139,,1768632257732980,1768632258735139,,1768632258738198,1157521,1148124,,,1002159,62125,21,1920,1080,yolov5s,JpgLossy,T3,FHD
5,151,RSU-0002,Local,1768632257580677,1768632257583193,1768632257583525,1768632259111704,,1768632258029948,1768632259111703,,1768632259123923,1543246,1528511,,,1081755,62125,21,1920,1080,yolov5s,JpgLossy,T3,FHD
5,151,RSU-0001,Local,1768632257580677,1768632257595112,1768632257595909,1768632259354713,,1768632258240707,1768632259354712,,1768632259358043,1777366,1759601,,,1114005,62125,21,1920,1080,yolov5s,JpgLossy,T3,FHD
6,181,RSU-0000,Local,1768632258581573,1768632258587960,1768632258588269,1768632259734623,,1768632258735654,1768632259734622,,1768632259745602,1164029,1146663,,,998968,61344,19,1920,1080,yolov5s,JpgLossy,T3,FHD
6,181,RSU-0002,Local,1768632258581573,1768632258583938,1768632258584375,1768632260193313,,1768632259112265,1768632260193313,,1768632260202379,1620806,1609375,,,1081048,61344,19,1920,1080,yolov5s,JpgLossy,T3,FHD
6,181,RSU-0001,Local,1768632258581573,1768632258588844,1768632258589287,1768632260473366,,1768632259355278,1768632260473366,,1768632260476660,1895087,1884522,,,1118088,61344,19,1920,1080,yolov5s,JpgLossy,T3,FHD
7,211,RSU-0000,Local,1768632259582734,1768632259586847,1768632259587155,1768632260736816,,1768632259734845,1768632260736815,,1768632260743167,1160433,1149969,,,1001970,61722,20,1920,1080,yolov5s,JpgLossy,T3,FHD
7,211,RSU-0002,Local,1768632259582734,1768632259585583,1768632259585783,1768632261276409,,1768632260194046,1768632261276409,,1768632261287921,1705187,1690826,,,1082363,61722,20,1920,1080,yolov5s,JpgLossy,T3,FHD
