sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0000,Local,1768635340733788,1768635340745397,1768635340747028,1768635341895543,,1768635340797689,1768635341895542,,1768635341904837,1171049,1150146,,,1097853,1321370,17,1920,1080,yolov5s,PngLossless,T1,FHD
0,1,RSU-0002,Local,1768635340733788,1768635340742885,1768635340744172,1768635341945704,,1768635340784378,1768635341945702,,1768635341968339,1234551,1202819,,,1161324,1321370,17,1920,1080,yolov5s,PngLossless,T1,FHD
0,1,RSU-0001,Local,1768635340733788,1768635340743428,1768635340745713,1768635342028016,,1768635340891100,1768635342028015,,1768635342034311,1300523,1284588,,,1136915,1321370,17,1920,1080,yolov5s,PngLossless,T1,FHD
5,31,RSU-0000,Local,1768635341741907,1768635341747855,1768635341748635,1768635342972356,,1768635341895895,1768635342972355,,1768635342974782,1232875,1224501,,,1076460,789208,19,1920,1080,yolov5s,PngLossless,T1,FHD
5,31,RSU-0002,Local,1768635341741907,1768635341747732,1768635341749076,1768635343092377,,1768635341946067,1768635343092376,,1768635343096594,1354687,1344645,,,1146309,789208,19,1920,1080,yolov5s,PngLossless,T1,FHD
6,37,RSU-0001,Local,1768635341943075,1768635341947732,1768635341948921,1768635343207721,,1768635342028331,1768635343207720,,1768635343214572,1271497,1259989,,,1179389,789633,19,1920,1080,yolov5s,PngLossless,T1,FHD
11,67,RSU-0000,Local,1768635342948841,1768635342953619,1768635342955104,1768635344034205,,1768635342972502,1768635344034204,,1768635344040084,1091243,1080586,,,1061702,804927,19,1920,1080,yolov5s,PngLossless,T1,FHD
11,67,RSU-0002,Local,1768635342948841,1768635342955545,1768635342956324,1768635344224112,,1768635343092790,1768635344224112,,1768635344228510,1279669,1268567,,,1131322,804927,19,1920,1080,yolov5s,PngLossless,T1,FHD
12,73,RSU-0001,Local,1768635343150163,1768635343151155,1768635343154594,1768635344374226,,1768635343207858,1768635344374225,,1768635344377947,1227784,1223071,,,1166367,796709,17,1920,1080,yolov5s,PngLossless,T1,FHD
16,97,RSU-0000,Local,1768635343956943,1768635343961590,1768635343962513,1768635345097392,,1768635344034355,1768635345097391,,1768635345100130,1143187,1135802,,,1063036,806610,21,1920,1080,yolov5s,PngLossless,T1,FHD
17,103,RSU-0002,Local,1768635344157909,1768635344163478,1768635344164615,1768635345357889,,1768635344224285,1768635345357888,,1768635345362883,1204974,1194411,,,1133603,816455,18,1920,1080,yolov5s,PngLossless,T1,FHD
18,109,RSU-0001,Local,1768635344359377,1768635344366871,1768635344367977,1768635345544395,,1768635344374353,1768635345544395,,1768635345550331,1190954,1177524,,,1170042,818641,19,1920,1080,yolov5s,PngLossless,T1,FHD
21,127,RSU-0000,Local,1768635344963323,1768635344968113,1768635344969081,1768635346163296,,1768635345097541,1768635346163295,,1768635346169434,1206111,1195183,,,1065754,822052,23,1920,1080,yolov5s,PngLossless,T1,FHD
