sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0000,Local,1768635429300588,1768635429312995,1768635429314000,1768635430401243,,1768635429361890,1768635430401242,,1768635430408513,1107925,1088248,,,1039352,839782,17,1280,720,yolov5s,PngLossless,T1,HD
0,1,RSU-0002,Local,1768635429300588,1768635429306618,1768635429307582,1768635430462680,,1768635429375362,1768635430462680,,1768635430467655,1167067,1156062,,,1087318,839782,17,1280,720,yolov5s,PngLossless,T1,HD
0,1,RSU-0001,Local,1768635429300588,1768635429315235,1768635429315977,1768635430480051,,1768635429401207,1768635430480050,,1768635430489138,1188550,1164816,,,1078843,839782,17,1280,720,yolov5s,PngLossless,T1,HD
5,31,RSU-0000,Local,1768635430307998,1768635430313905,1768635430314803,1768635431414525,,1768635430401400,1768635431414524,,1768635431419679,1111681,1100620,,,1013124,630862,20,1280,720,yolov5s,PngLossless,T1,HD
5,31,RSU-0001,Local,1768635430307998,1768635430312458,1768635430313101,1768635431524882,,1768635430480463,1768635431524881,,1768635431528048,1220050,1212424,,,1044418,630862,20,1280,720,yolov5s,PngLossless,T1,HD
5,31,RSU-0002,Local,1768635430307998,1768635430319347,1768635430320139,1768635431544099,,1768635430463080,1768635431544098,,1768635431546490,1238492,1224752,,,1081018,630862,20,1280,720,yolov5s,PngLossless,T1,HD
10,61,RSU-0000,Local,1768635431314583,1768635431320164,1768635431321106,1768635432423588,,1768635431414748,1768635432423587,,1768635432428830,1114247,1103424,,,1008839,637959,20,1280,720,yolov5s,PngLossless,T1,HD
11,67,RSU-0001,Local,1768635431516463,1768635431522279,1768635431522806,1768635432566966,,1768635431525275,1768635432566965,,1768635432577154,1060691,1044687,,,1041690,638379,19,1280,720,yolov5s,PngLossless,T1,HD
11,67,RSU-0002,Local,1768635431516463,1768635431523759,1768635431541280,1768635432617266,,1768635431544495,1768635432617266,,1768635432622726,1106263,1093507,,,1072771,638379,19,1280,720,yolov5s,PngLossless,T1,HD
15,91,RSU-0000,Local,1768635432324451,1768635432330531,1768635432331318,1768635433430390,,1768635432423732,1768635433430389,,1768635433435643,1111192,1099859,,,1006657,645522,21,1280,720,yolov5s,PngLossless,T1,HD
16,97,RSU-0001,Local,1768635432525942,1768635432531551,1768635432532238,1768635433616360,,1768635432567339,1768635433616358,,1768635433621990,1096048,1084809,,,1049019,639179,21,1280,720,yolov5s,PngLossless,T1,HD
16,97,RSU-0002,Local,1768635432525942,1768635432531865,1768635432532801,1768635433683204,,1768635432617780,1768635433683203,,1768635433688253,1162311,1151339,,,1065423,639179,21,1280,720,yolov5s,PngLossless,T1,HD
20,121,RSU-0000,Local,1768635433332088,1768635433339599,1768635433340370,1768635434436723,,1768635433430540,1768635434436722,,1768635434440998,1108910,1097124,,,1006182,642167,19,1280,720,yolov5s,PngLossless,T1,HD
21,127,RSU-0001,Local,1768635433534289,1768635433541266,1768635433542099,1768635434661991,,1768635433616736,1768635434661990,,1768635434668332,1134043,1120725,,,1045254,647303,21,1280,720,yolov5s,PngLossless,T1,HD
21,127,RSU-0002,Local,1768635433534289,1768635433539696,1768635433540627,1768635434752401,,1768635433683626,1768635434752400,,1768635434754509,1220220,1212705,,,1068774,647303,21,1280,720,yolov5s,PngLossless,T1,HD
25,151,RSU-0000,Local,1768635434338465,1768635434344123,1768635434345033,1768635435446861,,1768635434436872,1768635435446860,,1768635435452190,1113725,1102738,,,1009988,648763,21,1280,720,yolov5s,PngLossless,T1,HD
26,157,RSU-0001,Local,1768635434539591,1768635434544693,1768635434546232,1768635435705464,,1768635434662118,1768635435705463,,1768635435711972,1172381,1160771,,,1043345,646184,22,1280,720,yolov5s,PngLossless,T1,HD
27,163,RSU-0002,Local,1768635434740871,1768635434746733,1768635434747785,1768635435818628,,1768635434752781,1768635435818628,,1768635435823942,1083071,1071895,,,1065847,641700,20,1280,720,yolov5s,PngLossless,T1,HD
30,181,RSU-0000,Local,1768635435343263,1768635435350320,1768635435351225,1768635436454840,,1768635435447009,1768635436454840,,1768635436460271,1117008,1104520,,,1007831,642266,19,1280,720,yolov5s,PngLossless,T1,HD
31,187,RSU-0001,Local,1768635435544991,1768635435549106,1768635435550140,1768635436742554,,1768635435705838,1768635436742554,,1768635436749041,1204050,1193448,,,1036716,639993,20,1280,720,yolov5s,PngLossless,T1,HD
32,193,RSU-0002,Local,1768635435745838,1768635435751224,1768635435752105,1768635436886116,,1768635435819043,1768635436886115,,1768635436891252,1145414,1134892,,,1067072,641477,18,1280,720,yolov5s,PngLossless,T1,HD
35,211,RSU-0000,Local,1768635436349196,1768635436355307,1768635436356260,1768635437462409,,1768635436455004,1768635437462408,,1768635437467817,1118621,1107102,,,1007404,643300,19,1280,720,yolov5s,PngLossless,T1,HD
36,217,RSU-0001,Local,1768635436550846,1768635436554845,1768635436555878,1768635437784942,,1768635436742933,1768635437784941,,1768635437788351,1237505,1230097,,,1042008,638375,19,1280,720,yolov5s,PngLossless,T1,HD
37,223,RSU-0002,Local,1768635436751502,1768635436757829,1768635436758857,1768635437954766,,1768635436886500,1768635437954765,,1768635437960121,1208619,1196937,,,1068265,643169,19,1280,720,yolov5s,PngLossless,T1,HD
40,241,RSU-0000,Local,1768635437354877,1768635437359949,1768635437360904,1768635438469227,,1768635437462574,1768635438469226,,1768635438474665,1119788,1109278,,,1006652,640630,19,1280,720,yolov5s,PngLossless,T1,HD
42,253,RSU-0001,Local,1768635437758259,1768635437763943,1768635437764684,1768635438906257,,1768635437785312,1768635438906256,,1768635438912813,1154554,1142314,,,1120944,644810,18,1280,720,yolov5s,PngLossless,T1,HD
42,253,RSU-0002,Local,1768635437758259,1768635437763831,1768635437764577,1768635439019400,,1768635437955167,1768635439019399,,1768635439024522,1266263,1255569,,,1064232,644810,18,1280,720,yolov5s,PngLossless,T1,HD
