sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
1,4,RSU-0000,Local,1768749696169783,1768749696174615,1768749696175176,1768749697142070,,1768749696188654,1768749697142069,,1768749697148904,979121,967455,,,953415,300917,18,640,640,yolov5s,PngLossless,T2,Letterbox
0,1,RSU-0001,Local,1768749696067966,1768749696081852,1768749696082199,1768749697196975,,1768749696162903,1768749697196974,,1768749697198057,1130091,1115123,,,1034071,289689,17,640,640,yolov5s,PngLossless,T2,Letterbox
1,4,RSU-0002,Local,1768749696169783,1768749696174487,1768749696175021,1768749697217947,,1768749696218633,1768749697217946,,1768749697224311,1054528,1043460,,,999313,300917,18,640,640,yolov5s,PngLossless,T2,Letterbox
10,31,RSU-0000,Local,1768749697080798,1768749697085600,1768749697085998,1768749698123061,,1768749697142436,1768749698123061,,1768749698133705,1052907,1037461,,,980625,265104,17,640,640,yolov5s,PngLossless,T2,Letterbox
11,34,RSU-0001,Local,1768749697181659,1768749697190261,1768749697190563,1768749698201396,,1768749697197402,1768749698201395,,1768749698206864,1025205,1011135,,,1003993,265165,19,640,640,yolov5s,PngLossless,T2,Letterbox
11,34,RSU-0002,Local,1768749697181659,1768749697192374,1768749697193472,1768749698214867,,1768749697218045,1768749698214866,,1768749698225525,1043866,1022493,,,996821,265165,19,640,640,yolov5s,PngLossless,T2,Letterbox
20,61,RSU-0000,Local,1768749698092316,1768749698096590,1768749698098308,1768749699093589,,1768749698123392,1768749699093588,,1768749699100147,1007831,996999,,,970196,268206,18,640,640,yolov5s,PngLossless,T2,Letterbox
21,64,RSU-0001,Local,1768749698194251,1768749698200795,1768749698201055,1768749699195943,,1768749698201616,1768749699195942,,1768749699199922,1005671,995148,,,994326,268530,18,640,640,yolov5s,PngLossless,T2,Letterbox
21,64,RSU-0002,Local,1768749698194251,1768749698201147,1768749698202403,1768749699194273,,1768749698215079,1768749699194273,,1768749699202473,1008222,993126,,,979194,268530,18,640,640,yolov5s,PngLossless,T2,Letterbox
29,88,RSU-0000,Local,1768749699006321,1768749699010043,1768749699010491,1768749700062761,,1768749699093921,1768749700062760,,1768749700069419,1063098,1052718,,,968839,271255,19,640,640,yolov5s,PngLossless,T2,Letterbox
30,91,RSU-0002,Local,1768749699107564,1768749699115959,1768749699116407,1768749700179241,,1768749699194420,1768749700179240,,1768749700187040,1079476,1063282,,,984820,271917,19,640,640,yolov5s,PngLossless,T2,Letterbox
30,91,RSU-0001,Local,1768749699107564,1768749699113443,1768749699113959,1768749700191227,,1768749699196356,1768749700191226,,1768749700197356,1089792,1077784,,,994870,271917,19,640,640,yolov5s,PngLossless,T2,Letterbox
39,118,RSU-0000,Local,1768749700019582,1768749700024714,1768749700026308,1768749701027401,,1768749700063145,1768749701027400,,1768749701034733,1015151,1002687,,,964255,271884,20,640,640,yolov5s,PngLossless,T2,Letterbox
40,121,RSU-0002,Local,1768749700120817,1768749700132729,1768749700134081,1768749701151594,,1768749700179387,1768749701151594,,1768749701156626,1035809,1018865,,,972207,269342,20,640,640,yolov5s,PngLossless,T2,Letterbox
40,121,RSU-0001,Local,1768749700120817,1768749700128422,1768749700129019,1768749701185380,,1768749700191639,1768749701185379,,1768749701189400,1068583,1056958,,,993740,269342,20,640,640,yolov5s,PngLossless,T2,Letterbox
48,145,RSU-0000,Local,1768749700930603,1768749700934444,1768749700934941,1768749701994835,,1768749701027745,1768749701994834,,1768749702001308,1070705,1060391,,,967089,269287,20,640,640,yolov5s,PngLossless,T2,Letterbox
50,151,RSU-0002,Local,1768749701132450,1768749701141018,1768749701142171,1768749702124185,,1768749701151710,1768749702124184,,1768749702136036,1003586,983167,,,972474,270562,20,640,640,yolov5s,PngLossless,T2,Letterbox
50,151,RSU-0001,Local,1768749701132450,1768749701138123,1768749701138498,1768749702184525,,1768749701185809,1768749702184524,,1768749702185670,1053220,1046402,,,998715,270562,20,640,640,yolov5s,PngLossless,T2,Letterbox
58,175,RSU-0000,Local,1768749701943899,1768749701949249,1768749701949633,1768749702966283,,1768749701995172,1768749702966282,,1768749702969902,1026003,1017034,,,971110,269490,18,640,640,yolov5s,PngLossless,T2,Letterbox
59,178,RSU-0002,Local,1768749702044747,1768749702052038,1768749702052731,1768749703100917,,1768749702124358,1768749703100916,,1768749703106061,1061314,1048879,,,976558,268006,20,640,640,yolov5s,PngLossless,T2,Letterbox
60,181,RSU-0001,Local,1768749702145461,1768749702152119,1768749702152624,1768749703181921,,1768749702184926,1768749703181920,,1768749703182941,1037480,1029802,,,996994,269160,21,640,640,yolov5s,PngLossless,T2,Letterbox
68,205,RSU-0000,Local,1768749702959160,1768749702964135,1768749702965026,1768749703938420,,1768749702966617,1768749703938419,,1768749703944889,985729,974285,,,971802,269370,19,640,640,yolov5s,PngLossless,T2,Letterbox
69,208,RSU-0002,Local,1768749703060350,1768749703073382,1768749703075107,1768749704070070,,1768749703101460,1768749704070069,,1768749704079529,1019179,996688,,,968609,269687,19,640,640,yolov5s,PngLossless,T2,Letterbox
70,211,RSU-0001,Local,1768749703161683,1768749703169022,1768749703170432,1768749704173592,,1768749703182238,1768749704173591,,1768749704177548,1015865,1004570,,,991353,269994,20,640,640,yolov5s,PngLossless,T2,Letterbox
77,232,RSU-0000,Local,1768749703871561,1768749703875510,1768749703875942,1768749704908907,,1768749703938762,1768749704908906,,1768749704912408,1040847,1033397,,,970144,269666,18,640,640,yolov5s,PngLossless,T2,Letterbox
78,235,RSU-0002,Local,1768749703973111,1768749703980090,1768749703980580,1768749705045234,,1768749704071416,1768749705045233,,1768749705052294,1079183,1065144,,,973817,269123,19,640,640,yolov5s,PngLossless,T2,Letterbox
79,238,RSU-0001,Local,1768749704075376,1768749704081745,1768749704082156,1768749705165827,,1768749704174025,1768749705165826,,1768749705169951,1094575,1084082,,,991801,269514,19,640,640,yolov5s,PngLossless,T2,Letterbox
87,262,RSU-0000,Local,1768749704886288,1768749704892203,1768749704893091,1768749705889416,,1768749704909230,1768749705889415,,1768749705901617,1015329,997213,,,980185,272198,18,640,640,yolov5s,PngLossless,T2,Letterbox
88,265,RSU-0002,Local,1768749704987989,1768749704992659,1768749704993035,1768749706019909,,1768749705046327,1768749706019908,,1768749706029384,1041395,1027250,,,973581,268773,19,640,640,yolov5s,PngLossless,T2,Letterbox
89,268,RSU-0001,Local,1768749705089477,1768749705095717,1768749705096097,1768749706157086,,1768749705166188,1768749706157085,,1768749706167091,1077614,1061369,,,990897,270532,18,640,640,yolov5s,PngLossless,T2,Letterbox
96,289,RSU-0000,Local,1768749705798634,1768749705807385,1768749705807860,1768749706862256,,1768749705889773,1768749706862255,,1768749706868819,1070185,1054871,,,972482,268469,16,640,640,yolov5s,PngLossless,T2,Letterbox
98,295,RSU-0002,Local,1768749706000998,1768749706008392,1768749706009172,1768749706995570,,1768749706021017,1768749706995569,,1768749707003273,1002275,987178,,,974552,268932,17,640,640,yolov5s,PngLossless,T2,Letterbox
99,298,RSU-0001,Local,1768749706103331,1768749706109321,1768749706109689,1768749707153065,,1768749706157454,1768749707153064,,1768749707154185,1050854,1043744,,,995610,267778,17,640,640,yolov5s,PngLossless,T2,Letterbox
106,319,RSU-0000,Local,1768749706812995,1768749706816468,1768749706816834,1768749707837692,,1768749706862597,1768749707837692,,1768749707841035,1028040,1021224,,,975095,267338,17,640,640,yolov5s,PngLossless,T2,Letterbox
107,322,RSU-0002,Local,1768749706914825,1768749706919148,1768749706919487,1768749707967376,,1768749706996079,1768749707967375,,1768749707971479,1056654,1048228,,,971296,267142,17,640,640,yolov5s,PngLossless,T2,Letterbox
109,328,RSU-0001,Local,1768749707116329,1768749707123303,1768749707124393,1768749708148295,,1768749707153433,1768749708148294,,1768749708149384,1033055,1024992,,,994861,266748,17,640,640,yolov5s,PngLossless,T2,Letterbox
116,349,RSU-0000,Local,1768749707825720,1768749707830483,1768749707831393,1768749708809345,,1768749707838045,1768749708809344,,1768749708816160,990440,978862,,,971299,268474,17,640,640,yolov5s,PngLossless,T2,Letterbox
117,352,RSU-0002,Local,1768749707926791,1768749707933292,1768749707934238,1768749708943081,,1768749707967485,1768749708943080,,1768749708951209,1024418,1009789,,,975595,268390,18,640,640,yolov5s,PngLossless,T2,Letterbox
119,358,RSU-0001,Local,1768749708129652,1768749708137778,1768749708138169,1768749709143888,,1768749708148693,1768749709143887,,1768749709148337,1018685,1006110,,,995194,267309,15,640,640,yolov5s,PngLossless,T2,Letterbox
125,376,RSU-0000,Local,1768749708736470,1768749708741516,1768749708741913,1768749709784509,,1768749708809703,1768749709784508,,1768749709788134,1051664,1042993,,,974805,267060,17,640,640,yolov5s,PngLossless,T2,Letterbox
126,379,RSU-0002,Local,1768749708837583,1768749708840878,1768749708841488,1768749709919051,,1768749708943599,1768749709919051,,1768749709926871,1089288,1078173,,,975452,265593,17,640,640,yolov5s,PngLossless,T2,Letterbox
128,385,RSU-0001,Local,1768749709040445,1768749709046182,1768749709046645,1768749710134132,,1768749709144261,1768749710134131,,1768749710138341,1097896,1087950,,,989870,265248,17,640,640,yolov5s,PngLossless,T2,Letterbox
135,406,RSU-0000,Local,1768749709749506,1768749709754565,1768749709755232,1768749710761301,,1768749709784872,1768749710761301,,1768749710767881,1018375,1006736,,,976429,267375,17,640,640,yolov5s,PngLossless,T2,Letterbox
136,409,RSU-0002,Local,1768749709850775,1768749709855004,1768749709855576,1768749710894649,,1768749709919210,1768749710894648,,1768749710899342,1048567,1039645,,,975438,264896,16,640,640,yolov5s,PngLossless,T2,Letterbox
138,415,RSU-0001,Local,1768749710053835,1768749710061115,1768749710061587,1768749711126494,,1768749710134496,1768749711126494,,1768749711130070,1076235,1065379,,,991998,267897,18,640,640,yolov5s,PngLossless,T2,Letterbox
144,433,RSU-0000,Local,1768749710661568,1768749710666397,1768749710666894,1768749711737606,,1768749710761651,1768749711737605,,1768749711741172,1079604,1071209,,,975954,263841,16,640,640,yolov5s,PngLossless,T2,Letterbox
146,439,RSU-0002,Local,1768749710863481,1768749710869059,1768749710869864,1768749711870214,,1768749710894807,1768749711870214,,1768749711877829,1014348,1001155,,,975407,266498,16,640,640,yolov5s,PngLossless,T2,Letterbox
148,445,RSU-0001,Local,1768749711066947,1768749711073471,1768749711073875,1768749712121742,,1768749711126870,1768749712121741,,1768749712122640,1055693,1048271,,,994871,265415,17,640,640,yolov5s,PngLossless,T2,Letterbox
154,463,RSU-0000,Local,1768749711677868,1768749711686798,1768749711687201,1768749712712594,,1768749711737952,1768749712712593,,1768749712716143,1038275,1025796,,,974641,266088,16,640,640,yolov5s,PngLossless,T2,Letterbox
155,466,RSU-0002,Local,1768749711779110,1768749711783439,1768749711783989,1768749712846337,,1768749711870360,1768749712846336,,1768749712852387,1073277,1062898,,,975976,266190,16,640,640,yolov5s,PngLossless,T2,Letterbox
158,475,RSU-0001,Local,1768749712085031,1768749712092152,1768749712092667,1768749713119009,,1768749712122097,1768749713119008,,1768749713119951,1034920,1026857,,,996911,265611,16,640,640,yolov5s,PngLossless,T2,Letterbox
164,493,RSU-0000,Local,1768749712692595,1768749712696190,1768749712697052,1768749713688863,,1768749712712941,1768749713688863,,1768749713695538,1002943,992673,,,975922,266603,15,640,640,yolov5s,PngLossless,T2,Letterbox
165,496,RSU-0002,Local,1768749712794014,1768749712805220,1768749712806617,1768749713818897,,1768749712846485,1768749713818896,,1768749713828900,1034886,1013677,,,972411,267785,17,640,640,yolov5s,PngLossless,T2,Letterbox
168,505,RSU-0001,Local,1768749713098974,1768749713106765,1768749713108005,1768749714111306,,1768749713119379,1768749714111305,,1768749714115975,1017001,1004541,,,991926,267214,16,640,640,yolov5s,PngLossless,T2,Letterbox
173,520,RSU-0000,Local,1768749713604988,1768749713608878,1768749713609340,1768749714664696,,1768749713689207,1768749714664696,,1768749714671332,1066344,1055818,,,975489,269138,14,640,640,yolov5s,PngLossless,T2,Letterbox
175,526,RSU-0002,Local,1768749713809439,1768749713816967,1768749713817536,1768749714798569,,1768749713819368,1768749714798569,,1768749714805992,996553,981602,,,979201,269138,19,640,640,yolov5s,PngLossless,T2,Letterbox
177,532,RSU-0001,Local,1768749714012101,1768749714018192,1768749714018570,1768749715103855,,1768749714111673,1768749715103854,,1768749715107970,1095869,1085663,,,992181,267332,17,640,640,yolov5s,PngLossless,T2,Letterbox
183,550,RSU-0000,Local,1768749714620535,1768749714623415,1768749714623711,1768749715642448,,1768749714665041,1768749715642448,,1768749715645938,1025403,1019033,,,977407,266113,18,640,640,yolov5s,PngLossless,T2,Letterbox
184,553,RSU-0002,Local,1768749714722070,1768749714728141,1768749714728573,1768749715776245,,1768749714798717,1768749715776245,,1768749715781114,1059044,1048104,,,977528,265759,18,640,640,yolov5s,PngLossless,T2,Letterbox
187,562,RSU-0001,Local,1768749715025188,1768749715030096,1768749715030594,1768749716096414,,1768749715104234,1768749716096413,,1768749716100882,1075694,1066318,,,992179,264874,17,640,640,yolov5s,PngLossless,T2,Letterbox
193,580,RSU-0000,Local,1768749715634946,1768749715640168,1768749715640824,1768749716618536,,1768749715642796,1768749716618535,,1768749716625142,990196,978368,,,975739,268328,17,640,640,yolov5s,PngLossless,T2,Letterbox
194,583,RSU-0002,Local,1768749715736532,1768749715741375,1768749715741948,1768749716750698,,1768749715776786,1768749716750697,,1768749716759089,1022557,1009323,,,973911,268868,17,640,640,yolov5s,PngLossless,T2,Letterbox
197,592,RSU-0001,Local,1768749716040740,1768749716047882,1768749716048213,1768749717086727,,1768749716096762,1768749717086726,,1768749717087964,1047224,1038845,,,989964,269771,19,640,640,yolov5s,PngLossless,T2,Letterbox
202,607,RSU-0000,Local,1768749716547303,1768749716551490,1768749716551899,1768749717596737,,1768749716618878,1768749717596736,,1768749717600092,1052789,1045247,,,977858,271362,18,640,640,yolov5s,PngLossless,T2,Letterbox
203,610,RSU-0002,Local,1768749716648868,1768749716652932,1768749716653488,1768749717730013,,1768749716751228,1768749717730013,,1768749717738045,1089177,1077081,,,978785,270611,17,640,640,yolov5s,PngLossless,T2,Letterbox
207,622,RSU-0001,Local,1768749717054390,1768749717061340,1768749717062400,1768749718082173,,1768749717087092,1768749718082173,,1768749718083322,1028932,1020833,,,995081,272926,18,640,640,yolov5s,PngLossless,T2,Letterbox
212,637,RSU-0000,Local,1768749717561941,1768749717566886,1768749717567522,1768749718570420,,1768749717597082,1768749718570419,,1768749718577962,1016021,1003534,,,973337,273357,20,640,640,yolov5s,PngLossless,T2,Letterbox
213,640,RSU-0002,Local,1768749717663650,1768749717667580,1768749717668493,1768749718710383,,1768749717730419,1768749718710382,,1768749718715487,1051837,1042803,,,979963,274349,19,640,640,yolov5s,PngLossless,T2,Letterbox
217,652,RSU-0001,Local,1768749718068128,1768749718075354,1768749718075830,1768749719078888,,1768749718082541,1768749719078888,,1768749719082176,1014048,1003534,,,996347,271825,18,640,640,yolov5s,PngLossless,T2,Letterbox
