sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
1,3,RSU-0002,Local,1769319452535962,1769319452541223,1769319452574959,1769319454236283,,1769319452605116,1769319454236282,,1769319454240965,1705003,1695060,,,,1631166,8296178,17,yolov5s,PngLossless,T3,FHD
0,1,RSU-0001,Local,1769319452468588,1769319452467018,1769319452478092,1769319454132821,,1769319452521955,1769319454132821,,1769319454380961,1912373,1665803,,,,1610866,8296178,17,yolov5s,PngLossless,T3,FHD
0,1,RSU-0000,Local,1769319452468587,1769319452487371,1769319452499196,1769319454052540,,1769319452628824,1769319454052540,,1769319455266953,2798366,1565169,,,,1423716,8296178,17,yolov5s,PngLossless,T3,FHD
3,7,RSU-0000,Local,1769319452673516,1769319453492197,1769319453803473,1769319455431354,,1769319454052658,1769319455431353,,1769319455783790,3110274,1939157,,,,1378695,8296178,20,yolov5s,PngLossless,T3,FHD
25,51,RSU-0002,Local,1769319454168332,1769319454173540,1769319454232684,1769319455895304,,1769319454236420,1769319455895303,,1769319455928637,1760305,1721764,,,,1658883,8296178,20,yolov5s,PngLossless,T3,FHD
6,13,RSU-0001,Local,1769319452877093,1769319453775112,1769319453992355,1769319455720125,,1769319454132956,1769319455720125,,1769319456691561,3814468,1945013,,,,1587169,8296178,17,yolov5s,PngLossless,T3,FHD
7,15,RSU-0000,Local,1769319452944818,1769319455084384,1769319455276557,1769319456807351,,1769319455431510,1769319456807350,,1769319457204038,4259220,1722967,,,,1375840,8296178,17,yolov5s,PngLossless,T3,FHD
49,99,RSU-0002,Local,1769319455799427,1769319455804876,1769319455842948,1769319457528049,,1769319455895705,1769319457528048,,1769319457559977,1760550,1723173,,,,1632343,8296178,19,yolov5s,PngLossless,T3,FHD
15,31,RSU-0001,Local,1769319453490679,1769319455505188,1769319455577740,1769319457267357,,1769319455720267,1769319457267356,,1769319457725308,4234629,1762169,,,,1547089,8296178,19,yolov5s,PngLossless,T3,FHD
12,25,RSU-0000,Local,1769319453285206,1769319456596905,1769319456603660,1769319458197273,,1769319456807479,1769319458197273,,1769319458367731,5082525,1600368,,,,1389794,8296178,18,yolov5s,PngLossless,T3,FHD
21,43,RSU-0001,Local,1769319453897166,1769319456680759,1769319456868929,1769319458818258,,1769319457267474,1769319458818257,,1769319458967338,5070172,2137499,,,,1550783,8296178,19,yolov5s,PngLossless,T3,FHD
