sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0002,Local,1769305599540673,1769305599550551,1769305599567128,1769305600964022,,1769305599610312,1769305600964021,,1769305600968488,1427815,1413471,,,,1353709,3687468,17,yolov5s,PngLossless,T3,HD
0,1,RSU-0000,Local,1769305599540673,1769305599545712,1769305599796143,1769305601154138,,1769305599796202,1769305601154137,,1769305601159298,1618625,1608426,,,,1357935,3687468,17,yolov5s,PngLossless,T3,HD
0,1,RSU-0001,Local,1769305599540673,1769305599548615,1769305599635931,1769305601177414,,1769305599686885,1769305601177413,,1769305601183674,1643001,1628799,,,,1490528,3687468,17,yolov5s,PngLossless,T3,HD
1,31,RSU-0002,Local,1769305600542423,1769305600549917,1769305600573721,1769305602287525,,1769305600964178,1769305602287525,,1769305602293796,1751373,1737608,,,,1323347,3687468,20,yolov5s,PngLossless,T3,HD
1,31,RSU-0000,Local,1769305600542408,1769305600547903,1769305600901839,1769305602467731,,1769305601154661,1769305602467730,,1769305602472522,1930114,1919828,,,,1313069,3687468,20,yolov5s,PngLossless,T3,HD
1,31,RSU-0001,Local,1769305600542422,1769305600547127,1769305600633337,1769305602662706,,1769305601177531,1769305602662706,,1769305602669035,2126613,2115579,,,,1485175,3687468,20,yolov5s,PngLossless,T3,HD
2,61,RSU-0002,Local,1769305601544668,1769305601551861,1769305601572841,1769305603591792,,1769305602287794,1769305603591792,,1769305603596105,2051437,2039931,,,,1303998,3687468,20,yolov5s,PngLossless,T3,HD
2,61,RSU-0000,Local,1769305601544650,1769305601550763,1769305601719106,1769305603774842,,1769305602467877,1769305603774842,,1769305603779536,2234886,2224079,,,,1306965,3687468,20,yolov5s,PngLossless,T3,HD
3,91,RSU-0001,Local,1769305602545794,1769305602550654,1769305602641610,1769305604128077,,1769305602662862,1769305604128076,,1769305604134468,1588674,1577423,,,,1465214,3687468,21,yolov5s,PngLossless,T3,HD
4,121,RSU-0002,Local,1769305603546701,1769305603553702,1769305603568794,1769305604895784,,1769305603591945,1769305604895784,,1769305604900275,1353574,1342082,,,,1303839,3687468,19,yolov5s,PngLossless,T3,HD
4,121,RSU-0000,Local,1769305603546683,1769305603554582,1769305603653353,1769305605076087,,1769305603774982,1769305605076086,,1769305605080781,1534098,1521505,,,,1301104,3687468,19,yolov5s,PngLossless,T3,HD
4,121,RSU-0001,Local,1769305603546700,1769305603550779,1769305603638203,1769305605596894,,1769305604128222,1769305605596893,,1769305605651915,2105215,2046115,,,,1468671,3687468,19,yolov5s,PngLossless,T3,HD
5,151,RSU-0002,Local,1769305604548523,1769305604557040,1769305604560216,1769305606201808,,1769305604895933,1769305606201807,,1769305606206053,1657530,1644768,,,,1305874,3687468,21,yolov5s,PngLossless,T3,HD
5,151,RSU-0000,Local,1769305604548508,1769305604556471,1769305604742953,1769305606378183,,1769305605076223,1769305606378183,,1769305606382998,1834490,1821712,,,,1301960,3687468,21,yolov5s,PngLossless,T3,HD
5,151,RSU-0001,Local,1769305604548522,1769305604553741,1769305604640477,1769305607060544,,1769305605597032,1769305607060543,,1769305607066636,2518114,2506803,,,,1463511,3687468,21,yolov5s,PngLossless,T3,HD
6,181,RSU-0002,Local,1769305605549786,1769305605557915,1769305605579913,1769305607503912,,1769305606201948,1769305607503911,,1769305607508406,1958620,1945997,,,,1301963,3687468,19,yolov5s,PngLossless,T3,HD
6,181,RSU-0000,Local,1769305605549767,1769305605556538,1769305605720459,1769305607688841,,1769305606378321,1769305607688840,,1769305607693010,2143243,2132303,,,,1310519,3687468,19,yolov5s,PngLossless,T3,HD
7,211,RSU-0001,Local,1769305606550592,1769305606555747,1769305606641975,1769305608522103,,1769305607060688,1769305608522102,,1769305608528659,1978067,1966356,,,,1461414,3687468,19,yolov5s,PngLossless,T3,HD
7,211,RSU-0002,Local,1769305606550594,1769305606556297,1769305606577475,1769305608811967,,1769305607504315,1769305608811966,,1769305608817749,2267155,2255670,,,,1307651,3687468,19,yolov5s,PngLossless,T3,HD
8,241,RSU-0000,Local,1769305607552396,1769305607559716,1769305607656596,1769305608988798,,1769305607688939,1769305608988797,,1769305608993788,1441392,1429082,,,,1299858,3687468,19,yolov5s,PngLossless,T3,HD
8,241,RSU-0001,Local,1769305607552412,1769305607556372,1769305607641529,1769305609985416,,1769305608522247,1769305609985415,,1769305609991381,2438969,2429044,,,,1463168,3687468,19,yolov5s,PngLossless,T3,HD
