sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0000,Local,1768633117471580,1768633117479990,1768633117482162,1768633118548271,,1768633117576968,1768633118548270,,1768633118555768,1084188,1068281,,,971302,1323972,17,640,640,yolov5s,PngLossless,T3,Letterbox
0,1,RSU-0002,Local,1768633117471580,1768633117476486,1768633117507622,1768633118591380,,1768633117581864,1768633118591379,,1768633118599786,1128206,1114894,,,1009515,1323972,17,640,640,yolov5s,PngLossless,T3,Letterbox
0,1,RSU-0001,Local,1768633117471580,1768633117483420,1768633117488413,1768633118611779,,1768633117618590,1768633118611778,,1768633118619058,1147478,1128359,,,993188,1323972,17,640,640,yolov5s,PngLossless,T3,Letterbox
1,31,RSU-0001,Local,1768633118473335,1768633118481968,1768633118483617,1768633119562926,,1768633118611883,1768633119562925,,1768633119566810,1093475,1080958,,,951042,1324092,17,640,640,yolov5s,PngLossless,T3,Letterbox
1,31,RSU-0000,Local,1768633118473335,1768633118487702,1768633118489671,1768633119590823,,1768633118548766,1768633119590822,,1768633119595293,1121958,1103121,,,1042056,1324092,17,640,640,yolov5s,PngLossless,T3,Letterbox
1,31,RSU-0002,Local,1768633118473335,1768633118483371,1768633118501931,1768633119587430,,1768633118592005,1768633119587429,,1768633119598853,1125518,1104059,,,995424,1324092,17,640,640,yolov5s,PngLossless,T3,Letterbox
2,61,RSU-0001,Local,1768633119474580,1768633119482027,1768633119484177,1768633120504910,,1768633119563102,1768633120504909,,1768633120506141,1031561,1022883,,,941807,1324037,18,640,640,yolov5s,PngLossless,T3,Letterbox
2,61,RSU-0002,Local,1768633119474580,1768633119476964,1768633119487604,1768633120577625,,1768633119587858,1768633120577625,,1768633120591074,1116494,1100661,,,989767,1324037,18,640,640,yolov5s,PngLossless,T3,Letterbox
2,61,RSU-0000,Local,1768633119474580,1768633119482995,1768633119484472,1768633120626885,,1768633119591357,1768633120626884,,1768633120633295,1158715,1143890,,,1035527,1324037,18,640,640,yolov5s,PngLossless,T3,Letterbox
3,91,RSU-0001,Local,1768633120476255,1768633120483573,1768633120484873,1768633121447500,,1768633120505419,1768633121447499,,1768633121452264,976009,963927,,,942080,1323922,19,640,640,yolov5s,PngLossless,T3,Letterbox
3,91,RSU-0002,Local,1768633120476255,1768633120479621,1768633120513387,1768633121568035,,1768633120578211,1768633121568034,,1768633121575895,1099640,1088414,,,989823,1323922,19,640,640,yolov5s,PngLossless,T3,Letterbox
3,91,RSU-0000,Local,1768633120476255,1768633120487565,1768633120489994,1768633121657984,,1768633120627497,1768633121657983,,1768633121663202,1186947,1170419,,,1030486,1323922,19,640,640,yolov5s,PngLossless,T3,Letterbox
4,121,RSU-0001,Local,1768633121478136,1768633121482549,1768633121483664,1768633122429833,,1768633121483768,1768633122429832,,1768633122433900,955764,947284,,,946064,1323989,20,640,640,yolov5s,PngLossless,T3,Letterbox
4,121,RSU-0002,Local,1768633121478136,1768633121479858,1768633121514182,1768633122559294,,1768633121568455,1768633122559293,,1768633122567398,1089262,1079436,,,990838,1323989,20,640,640,yolov5s,PngLossless,T3,Letterbox
4,121,RSU-0000,Local,1768633121478136,1768633121485411,1768633121486654,1768633122692597,,1768633121658511,1768633122692596,,1768633122699628,1221492,1207186,,,1034085,1323989,20,640,640,yolov5s,PngLossless,T3,Letterbox
5,151,RSU-0001,Local,1768633122479706,1768633122482011,1768633122483008,1768633123436048,,1768633122483161,1768633123436047,,1768633123436781,957075,954037,,,952886,1324016,20,640,640,yolov5s,PngLossless,T3,Letterbox
5,151,RSU-0002,Local,1768633122479706,1768633122483667,1768633122521176,1768633123547019,,1768633122559866,1768633123547019,,1768633123555476,1075770,1063352,,,987153,1324016,20,640,640,yolov5s,PngLossless,T3,Letterbox
5,151,RSU-0000,Local,1768633122479706,1768633122486721,1768633122488458,1768633123728046,,1768633122693199,1768633123728045,,1768633123732319,1252613,1241325,,,1034846,1324016,20,640,640,yolov5s,PngLossless,T3,Letterbox
6,181,RSU-0001,Local,1768633123481098,1768633123488577,1768633123489614,1768633124430341,,1768633123489714,1768633124430340,,1768633124433855,952757,941764,,,940626,1324096,21,640,640,yolov5s,PngLossless,T3,Letterbox
6,181,RSU-0002,Local,1768633123481098,1768633123483735,1768633123527718,1768633124536653,,1768633123547471,1768633124536653,,1768633124544989,1063891,1052918,,,989182,1324096,21,640,640,yolov5s,PngLossless,T3,Letterbox
