sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_processing_us,zp_queueing_us,inference_time_us,frame_size_bytes,detection_count,model_name,codec,tier,resolution
0,1,RSU-0000,Local,1769305736204955,1769305736216458,1769305736218699,1769305737638082,,1769305736318040,1769305737638081,,1769305737642892,1437937,1421624,,,,1320041,1323972,17,yolov5s,PngLossless,T3,Letterbox
0,1,RSU-0002,Local,1769305736204956,1769305736213832,1769305736223442,1769305737643617,,1769305736339752,1769305737643616,,1769305737648034,1443078,1429785,,,,1303864,1323972,17,yolov5s,PngLossless,T3,Letterbox
0,1,RSU-0001,Local,1769305736204956,1769305736213154,1769305736275264,1769305737787264,,1769305736346870,1769305737787263,,1769305737792844,1587888,1574110,,,,1440393,1323972,17,yolov5s,PngLossless,T3,Letterbox
1,31,RSU-0002,Local,1769305737206428,1769305737213925,1769305737222412,1769305738898059,,1769305737643776,1769305738898058,,1769305738902820,1696392,1684134,,,,1254282,1324092,17,yolov5s,PngLossless,T3,Letterbox
1,31,RSU-0000,Local,1769305737206414,1769305737214219,1769305737215467,1769305739073826,,1769305737638220,1769305739073825,,1769305739079002,1872588,1859607,,,,1435605,1324092,17,yolov5s,PngLossless,T3,Letterbox
1,31,RSU-0001,Local,1769305737206427,1769305737210714,1769305737245101,1769305739311116,,1769305737787412,1769305739311115,,1769305739316897,2110470,2100402,,,,1523703,1324092,17,yolov5s,PngLossless,T3,Letterbox
2,61,RSU-0002,Local,1769305738207833,1769305738213740,1769305738223257,1769305740141172,,1769305738898531,1769305740141171,,1769305740145732,1937899,1927432,,,,1242640,1324037,18,yolov5s,PngLossless,T3,Letterbox
2,61,RSU-0000,Local,1769305738207814,1769305738214137,1769305738215867,1769305740496833,,1769305739073965,1769305740496832,,1769305740500815,2293001,2282696,,,,1422867,1324037,18,yolov5s,PngLossless,T3,Letterbox
3,91,RSU-0001,Local,1769305739209657,1769305739213027,1769305739246186,1769305740819402,,1769305739311266,1769305740819401,,1769305740826096,1616439,1606375,,,,1508135,1323922,19,yolov5s,PngLossless,T3,Letterbox
3,91,RSU-0002,Local,1769305739209658,1769305739217919,1769305739226553,1769305741387752,,1769305740141723,1769305741387752,,1769305741391984,2182326,2169833,,,,1246029,1323922,19,yolov5s,PngLossless,T3,Letterbox
4,121,RSU-0000,Local,1769305740211313,1769305740217710,1769305740219270,1769305741918383,,1769305740496973,1769305741918382,,1769305741923336,1712023,1700673,,,,1421409,1323989,20,yolov5s,PngLossless,T3,Letterbox
4,121,RSU-0001,Local,1769305740211328,1769305740215635,1769305740248010,1769305742326814,,1769305740819563,1769305742326813,,1769305742332641,2121313,2111179,,,,1507250,1323989,20,yolov5s,PngLossless,T3,Letterbox
5,151,RSU-0002,Local,1769305741212435,1769305741221114,1769305741229933,1769305742636848,,1769305741387904,1769305742636847,,1769305742641105,1428670,1415734,,,,1248943,1324016,20,yolov5s,PngLossless,T3,Letterbox
5,151,RSU-0000,Local,1769305741212415,1769305741219277,1769305741221367,1769305743341101,,1769305741918539,1769305743341100,,1769305743345604,2133189,2121824,,,,1422561,1324016,20,yolov5s,PngLossless,T3,Letterbox
6,181,RSU-0001,Local,1769305742214621,1769305742218899,1769305742252081,1769305743838111,,1769305742326965,1769305743838110,,1769305743844328,1629707,1619212,,,,1511145,1324096,21,yolov5s,PngLossless,T3,Letterbox
6,181,RSU-0002,Local,1769305742214622,1769305742221146,1769305742233436,1769305743888042,,1769305742637215,1769305743888042,,1769305743892802,1678180,1666896,,,,1250827,1324096,21,yolov5s,PngLossless,T3,Letterbox
7,211,RSU-0000,Local,1769305743216316,1769305743223631,1769305743225118,1769305744762114,,1769305743341242,1769305744762113,,1769305744767051,1550735,1538483,,,,1420871,1324115,20,yolov5s,PngLossless,T3,Letterbox
7,211,RSU-0002,Local,1769305743216335,1769305743222844,1769305743231180,1769305745135537,,1769305743888252,1769305745135536,,1769305745140203,1923868,1912693,,,,1247284,1324115,20,yolov5s,PngLossless,T3,Letterbox
8,241,RSU-0001,Local,1769305744217558,1769305744222674,1769305744254591,1769305745769961,,1769305744254667,1769305745769960,,1769305745776310,1558752,1547287,,,,1515293,1324121,19,yolov5s,PngLossless,T3,Letterbox
8,241,RSU-0000,Local,1769305744217534,1769305744223369,1769305744225018,1769305746175460,,1769305744762267,1769305746175459,,1769305746180426,1962892,1952091,,,,1413192,1324121,19,yolov5s,PngLossless,T3,Letterbox
8,241,RSU-0002,Local,1769305744217559,1769305744229252,1769305744240288,1769305746388467,,1769305745135677,1769305746388467,,1769305746393017,2175458,2159215,,,,1252790,1324121,19,yolov5s,PngLossless,T3,Letterbox
9,271,RSU-0001,Local,1769305745218996,1769305745223121,1769305745256617,1769305747286773,,1769305745770122,1769305747286772,,1769305747289859,2070863,2063652,,,,1516650,1324117,18,yolov5s,PngLossless,T3,Letterbox
9,271,RSU-0000,Local,1769305745218984,1769305745225395,1769305745226901,1769305747591539,,1769305746175604,1769305747591538,,1769305747596124,2377140,2366144,,,,1415934,1324117,18,yolov5s,PngLossless,T3,Letterbox
10,301,RSU-0002,Local,1769305746219921,1769305746228258,1769305746237370,1769305747634021,,1769305746388619,1769305747634020,,1769305747638811,1418890,1405763,,,,1245401,1324155,17,yolov5s,PngLossless,T3,Letterbox
11,331,RSU-0001,Local,1769305747221435,1769305747225550,1769305747258858,1769305748803525,,1769305747286927,1769305748803524,,1769305748809808,1588373,1577975,,,,1516597,1324165,17,yolov5s,PngLossless,T3,Letterbox
11,331,RSU-0002,Local,1769305747221436,1769305747229405,1769305747230941,1769305748879964,,1769305747634174,1769305748879963,,1769305748884822,1663386,1650559,,,,1245789,1324165,17,yolov5s,PngLossless,T3,Letterbox
11,331,RSU-0000,Local,1769305747221420,1769305747227986,1769305747229325,1769305749012135,,1769305747591709,1769305749012134,,1769305749017192,1795772,1784149,,,,1420425,1324165,17,yolov5s,PngLossless,T3,Letterbox
12,361,RSU-0002,Local,1769305748223052,1769305748228388,1769305748229894,1769305750123374,,1769305748880120,1769305750123373,,1769305750128042,1904990,1894986,,,,1243253,1324130,17,yolov5s,PngLossless,T3,Letterbox
