sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
1,3,RSU-0000,Local,1768645159330146,1768645159328920,1768645159329711,1768645160536897,,1768645159397117,1768645160536897,,1768645160545083,1214937,1207977,,,1139780,939188,17,1920,1080,yolov5s,WebpLossless,T1,FHD
1,3,RSU-0001,Local,1768645159330146,1768645159336693,1768645159337636,1768645160555235,,1768645159384764,1768645160555234,,1768645160561707,1231561,1218542,,,1170470,939188,17,1920,1080,yolov5s,WebpLossless,T1,FHD
0,1,RSU-0002,Local,1768645159261810,1768645159261834,1768645159262599,1768645160542788,,1768645159333416,1768645160542788,,1768645160562408,1300598,1280954,,,1209372,737694,17,1920,1080,yolov5s,WebpLossless,T1,FHD
18,37,RSU-0000,Local,1768645160487588,1768645160492305,1768645160494188,1768645161619615,,1768645160537000,1768645161619614,,1768645161629136,1141548,1127310,,,1082614,416542,19,1920,1080,yolov5s,WebpLossless,T1,FHD
18,37,RSU-0001,Local,1768645160487588,1768645160495088,1768645160495610,1768645161678504,,1768645160555556,1768645161678503,,1768645161679297,1191709,1183416,,,1122947,416542,19,1920,1080,yolov5s,WebpLossless,T1,FHD
18,37,RSU-0002,Local,1768645160487588,1768645160484331,1768645160485119,1768645161754751,,1768645160543149,1768645161754751,,1768645161769906,1282318,1270420,,,1211602,416542,19,1920,1080,yolov5s,WebpLossless,T1,FHD
34,69,RSU-0000,Local,1768645161575508,1768645161577503,1768645161579554,1768645162693163,,1768645161619951,1768645162693162,,1768645162699530,1124022,1115660,,,1073211,423088,19,1920,1080,yolov5s,WebpLossless,T1,FHD
35,71,RSU-0001,Local,1768645161643424,1768645161651713,1768645161652905,1768645162780190,,1768645161678865,1768645162780190,,1768645162780926,1137502,1128477,,,1101325,422656,17,1920,1080,yolov5s,WebpLossless,T1,FHD
36,73,RSU-0002,Local,1768645161711723,1768645161707190,1768645161707714,1768645162944808,,1768645161755135,1768645162944808,,1768645162956965,1245242,1237618,,,1189673,421420,17,1920,1080,yolov5s,WebpLossless,T1,FHD
50,101,RSU-0000,Local,1768645162666909,1768645162668209,1768645162668556,1768645163769500,,1768645162693562,1768645163769499,,1768645163775629,1108720,1101291,,,1075937,428900,19,1920,1080,yolov5s,WebpLossless,T1,FHD
51,103,RSU-0001,Local,1768645162735102,1768645162745487,1768645162746859,1768645163885033,,1768645162780529,1768645163885032,,1768645163886076,1150974,1139546,,,1104503,429538,18,1920,1080,yolov5s,WebpLossless,T1,FHD
54,109,RSU-0002,Local,1768645162938578,1768645162938003,1768645162938370,1768645164137770,,1768645162945192,1768645164137769,,1768645164153046,1214468,1199767,,,1192577,431630,19,1920,1080,yolov5s,WebpLossless,T1,FHD
66,133,RSU-0000,Local,1768645163757153,1768645163758829,1768645163760495,1768645164843445,,1768645163769868,1768645164843444,,1768645164852949,1095796,1084616,,,1073576,431196,20,1920,1080,yolov5s,WebpLossless,T1,FHD
67,135,RSU-0001,Local,1768645163825545,1768645163832742,1768645163833300,1768645164997242,,1768645163885408,1768645164997241,,1768645164998141,1172596,1164500,,,1111833,433996,20,1920,1080,yolov5s,WebpLossless,T1,FHD
71,143,RSU-0002,Local,1768645164096561,1768645164095389,1768645164097555,1768645165325433,,1768645164138160,1768645165325432,,1768645165337740,1241179,1230044,,,1187272,435740,20,1920,1080,yolov5s,WebpLossless,T1,FHD
81,163,RSU-0000,Local,1768645164777729,1768645164777890,1768645164778437,1768645165921481,,1768645164843852,1768645165921480,,1768645165930678,1152949,1143591,,,1077628,429320,20,1920,1080,yolov5s,WebpLossless,T1,FHD
84,169,RSU-0001,Local,1768645164983088,1768645164990172,1768645164990515,1768645166117103,,1768645164997650,1768645166117102,,1768645166118289,1135201,1126931,,,1119452,426266,20,1920,1080,yolov5s,WebpLossless,T1,FHD
89,179,RSU-0002,Local,1768645165325103,1768645165321966,1768645165322944,1768645166519425,,1768645165325840,1768645166519424,,1768645166534570,1209467,1197459,,,1193584,426624,19,1920,1080,yolov5s,WebpLossless,T1,FHD
97,195,RSU-0000,Local,1768645165868907,1768645165871120,1768645165871656,1768645167000306,,1768645165921864,1768645167000305,,1768645167009515,1140608,1129186,,,1078441,429258,18,1920,1080,yolov5s,WebpLossless,T1,FHD
100,201,RSU-0001,Local,1768645166072729,1768645166083472,1768645166084065,1768645167224733,,1768645166117326,1768645167224732,,1768645167228598,1155869,1141261,,,1107406,428474,20,1920,1080,yolov5s,WebpLossless,T1,FHD
106,213,RSU-0002,Local,1768645166482384,1768645166479461,1768645166481017,1768645167708389,,1768645166519796,1768645167708388,,1768645167720586,1238202,1228928,,,1188592,430648,20,1920,1080,yolov5s,WebpLossless,T1,FHD
113,227,RSU-0000,Local,1768645166961561,1768645166963265,1768645166964055,1768645168080746,,1768645167000646,1768645168080745,,1768645168087319,1125758,1117481,,,1080099,430158,19,1920,1080,yolov5s,WebpLossless,T1,FHD
116,233,RSU-0001,Local,1768645167165721,1768645167171505,1768645167172060,1768645168334901,,1768645167224887,1768645168334900,,1768645168335945,1170224,1163396,,,1110013,430594,19,1920,1080,yolov5s,WebpLossless,T1,FHD
124,249,RSU-0002,Local,1768645167710365,1768645167707982,1768645167708531,1768645168898408,,1768645167708916,1768645168898407,,1768645168910585,1200220,1190426,,,1189491,430536,17,1920,1080,yolov5s,WebpLossless,T1,FHD
129,259,RSU-0000,Local,1768645168051087,1768645168053094,1768645168055336,1768645169155090,,1768645168081130,1768645169155090,,1768645169161309,1110222,1101996,,,1073960,432884,19,1920,1080,yolov5s,WebpLossless,T1,FHD
133,267,RSU-0001,Local,1768645168323004,1768645168329767,1768645168331090,1768645169443274,,1768645168335072,1768645169443273,,1768645169444306,1121302,1113507,,,1108201,433938,19,1920,1080,yolov5s,WebpLossless,T1,FHD
141,283,RSU-0002,Local,1768645168868162,1768645168864454,1768645168864940,1768645170092943,,1768645168898798,1768645170092943,,1768645170105062,1236900,1228489,,,1194145,431030,18,1920,1080,yolov5s,WebpLossless,T1,FHD
145,291,RSU-0000,Local,1768645169138361,1768645169141226,1768645169142977,1768645170231206,,1768645169155452,1768645170231206,,1768645170237305,1098944,1089980,,,1075754,429542,18,1920,1080,yolov5s,WebpLossless,T1,FHD
149,299,RSU-0001,Local,1768645169409519,1768645169416156,1768645169417454,1768645170553447,,1768645169443486,1768645170553446,,1768645170557285,1147766,1137291,,,1109960,426810,17,1920,1080,yolov5s,WebpLossless,T1,FHD
159,319,RSU-0002,Local,1768645170091565,1768645170086992,1768645170087395,1768645171284060,,1768645170093323,1768645171284059,,1768645171298896,1207331,1197068,,,1190736,425702,20,1920,1080,yolov5s,WebpLossless,T1,FHD
161,323,RSU-0000,Local,1768645170228294,1768645170228671,1768645170229577,1768645171304274,,1768645170231369,1768645171304273,,1768645171313328,1085034,1075603,,,1072904,424880,19,1920,1080,yolov5s,WebpLossless,T1,FHD
165,331,RSU-0001,Local,1768645170500039,1768645170506337,1768645170506815,1768645171664800,,1768645170553599,1768645171664799,,1768645171665694,1165655,1158463,,,1111200,424148,18,1920,1080,yolov5s,WebpLossless,T1,FHD
176,353,RSU-0000,Local,1768645171249021,1768645171250838,1768645171251321,1768645172384872,,1768645171304655,1768645172384871,,1768645172393181,1144160,1134034,,,1080216,426600,20,1920,1080,yolov5s,WebpLossless,T1,FHD
