sequence_id,frame_number,source_device,mode,controller_sent_pulse,capture_start,encode_complete,send_start,receive_start,inference_start,inference_complete,send_result,controller_received,total_latency_us,rsu_overhead_us,network_latency_us,zp_overhead_us,inference_time_us,frame_size_bytes,detection_count,image_width,image_height,model_name,codec,tier,resolution
0,1,RSU-0002,Local,1768641248597280,1768641248613136,1768641248613795,1768641249795425,,1768641248684883,1768641249795424,,1768641249794794,1197514,1182289,,,1110541,519002,17,1280,720,yolov5s,WebpLossless,T2,HD
1,4,RSU-0000,Local,1768641248698987,1768641248705648,1768641248706242,1768641249821745,,1768641248750040,1768641249821744,,1768641249823695,1124708,1116097,,,1071704,579662,18,1280,720,yolov5s,WebpLossless,T2,HD
1,4,RSU-0001,Local,1768641248698987,1768641248706635,1768641248707511,1768641249874540,,1768641248746109,1768641249874539,,1768641249877734,1178747,1167905,,,1128430,579662,18,1280,720,yolov5s,WebpLossless,T2,HD
11,34,RSU-0002,Local,1768641249710488,1768641249725432,1768641249725938,1768641250884224,,1768641249795575,1768641250884223,,1768641250879503,1169015,1158792,,,1088648,383248,20,1280,720,yolov5s,WebpLossless,T2,HD
12,37,RSU-0000,Local,1768641249812388,1768641249819576,1768641249820349,1768641250917805,,1768641249822276,1768641250917804,,1768641250922781,1110393,1098229,,,1095528,383788,19,1280,720,yolov5s,WebpLossless,T2,HD
12,37,RSU-0001,Local,1768641249812388,1768641249820897,1768641249821304,1768641251049590,,1768641249874699,1768641251049589,,1768641251050126,1237738,1228693,,,1174890,383788,19,1280,720,yolov5s,WebpLossless,T2,HD
22,67,RSU-0002,Local,1768641250825722,1768641250840934,1768641250841425,1768641251965918,,1768641250884382,1768641251965917,,1768641251958129,1132407,1124984,,,1081535,389754,19,1280,720,yolov5s,WebpLossless,T2,HD
22,67,RSU-0000,Local,1768641250825722,1768641250831295,1768641250831913,1768641252008003,,1768641250918181,1768641252008002,,1768641252012848,1187126,1176708,,,1089821,389754,19,1280,720,yolov5s,WebpLossless,T2,HD
24,73,RSU-0001,Local,1768641251028874,1768641251037380,1768641251038081,1768641252202652,,1768641251049967,1768641252202652,,1768641252205740,1176866,1165272,,,1152685,385936,18,1280,720,yolov5s,WebpLossless,T2,HD
33,100,RSU-0002,Local,1768641251942196,1768641251959038,1768641251959582,1768641253045984,,1768641251966083,1768641253045983,,1768641253041364,1099168,1086946,,,1079900,393440,19,1280,720,yolov5s,WebpLossless,T2,HD
33,100,RSU-0000,Local,1768641251942196,1768641251949614,1768641251949944,1768641253097735,,1768641252008154,1768641253097734,,1768641253099731,1157535,1148121,,,1089580,393440,19,1280,720,yolov5s,WebpLossless,T2,HD
35,106,RSU-0001,Local,1768641252146125,1768641252153465,1768641252153972,1768641253363458,,1768641252203055,1768641253363457,,1768641253366678,1220553,1209993,,,1160402,393556,20,1280,720,yolov5s,WebpLossless,T2,HD
43,130,RSU-0002,Local,1768641252957000,1768641252971800,1768641252972262,1768641254124678,,1768641253046156,1768641254124677,,1768641254119097,1162097,1152878,,,1078521,392496,21,1280,720,yolov5s,WebpLossless,T2,HD
44,133,RSU-0000,Local,1768641253057859,1768641253065310,1768641253066142,1768641254180887,,1768641253098123,1768641254180886,,1768641254182635,1124776,1115577,,,1082763,393708,20,1280,720,yolov5s,WebpLossless,T2,HD
46,139,RSU-0001,Local,1768641253260259,1768641253269707,1768641253270326,1768641254519606,,1768641253363829,1768641254519605,,1768641254519851,1259592,1249899,,,1155776,395234,20,1280,720,yolov5s,WebpLossless,T2,HD
